CHILDCODE	EDCHSTR5	ATSCR5	GRDER5	CMPGRDR5	SAMESCR5	TYSCR5	PROVR5	SCHNMER5
20020	3	1	9	1	1	 	 	 
20020	4	1	10	4	0	3	1	1061
20021	1	1	7	1	1	3	1	136
20021	2	1	8	1	0	3	1	417
20021	3	1	9	1	1	 	 	 
20021	4	1	10	4	0	3	1	1064
20022	1	1	7	1	1	3	1	136
20022	2	1	7	1	1	 	 	 
20022	3	1	8	1	1	 	 	 
20022	4	1	10	4	0	3	1	358
20023	1	1	7	1	1	3	1	136
20023	2	1	8	1	1	 	 	 
20023	3	1	9	1	1	 	 	 
20023	4	1	10	4	0	3	1	358
20024	1	1	7	1	1	3	1	136
20024	2	1	8	1	1	 	 	 
20024	3	1	9	1	1	 	 	 
20024	4	1	10	4	0	3	1	1067
20025	1	1	6	1	0	3	1	136
20025	2	1	7	1	1	 	 	 
20025	3	1	8	1	1	 	 	 
20025	4	1	9	4	1	 	 	 
20026	1	1	7	1	1	3	1	136
20026	2	1	8	1	1	 	 	 
20026	3	1	9	1	1	 	 	 
20026	4	1	10	4	0	3	1	358
20027	1	1	7	1	1	3	1	136
20027	2	1	8	1	1	 	 	 
20027	3	1	9	1	1	 	 	 
20027	4	1	10	4	0	3	1	358
20028	1	1	7	1	1	3	1	136
20028	2	1	8	1	1	 	 	 
20028	3	1	9	1	1	 	 	 
20028	4	1	10	4	0	3	1	358
20029	1	1	7	1	1	3	1	136
20029	2	1	8	1	1	 	 	 
20029	3	1	9	1	1	 	 	 
20029	4	1	10	4	0	1	1	357
20032	1	0	 	 	 	 	 	 
20032	2	0	 	 	 	 	 	 
20032	3	0	 	 	 	 	 	 
20032	4	0	 	 	 	 	 	 
20033	1	1	7	1	1	3	1	90
20033	2	1	8	1	1	 	 	 
20033	3	1	9	1	1	 	 	 
20033	4	1	10	4	0	3	1	358
20035	1	1	7	1	1	3	1	136
20035	2	1	8	1	1	 	 	 
20035	3	1	9	1	1	 	 	 
20035	4	1	10	4	0	3	1	358
20036	1	1	6	1	1	3	1	136
20036	2	1	6	1	1	 	 	 
20036	3	1	8	1	1	 	 	 
20036	4	1	9	4	1	 	 	 
20037	1	1	7	1	1	3	1	136
20037	2	1	8	1	1	 	 	 
20037	3	1	9	1	1	 	 	 
20037	4	1	10	4	0	1	1	357
20038	1	1	7	1	1	3	1	136
20038	2	1	8	1	1	 	 	 
20038	3	1	9	2	1	 	 	 
20038	4	0	 	 	 	 	 	 
20039	1	1	6	1	1	3	1	90
20039	2	1	7	1	1	 	 	 
20039	3	1	8	1	1	 	 	 
20039	4	1	9	4	1	 	 	 
20041	1	1	7	1	1	3	1	137
20041	2	1	8	1	1	 	 	 
20041	3	1	9	1	1	 	 	 
20041	4	1	10	4	0	3	1	358
20043	1	1	7	1	1	3	1	137
20043	2	1	8	1	1	 	 	 
20043	3	1	9	1	1	 	 	 
20043	4	1	10	4	0	3	1	358
20044	1	1	6	1	0	3	1	137
20044	2	1	7	1	1	 	 	 
20044	3	1	8	1	1	 	 	 
20044	4	1	9	4	1	 	 	 
20046	1	1	6	1	1	3	1	137
20046	2	1	7	1	1	 	 	 
20046	3	1	8	1	1	 	 	 
20046	4	1	9	4	1	 	 	 
20047	1	1	6	1	1	3	1	1056
20047	2	1	7	1	1	 	 	 
20047	3	1	8	1	1	 	 	 
20047	4	1	9	4	1	 	 	 
20048	1	1	7	1	1	3	1	137
20048	2	1	8	1	1	 	 	 
20048	3	1	9	1	1	 	 	 
20048	4	1	10	4	0	3	1	358
20050	1	1	7	1	1	3	1	137
20050	2	1	8	1	1	 	 	 
20050	3	1	9	1	1	 	 	 
20050	4	1	10	4	0	3	1	358
20052	1	1	7	1	1	3	1	136
20052	2	1	8	1	1	 	 	 
20052	3	1	9	1	1	 	 	 
20052	4	1	10	4	0	3	1	358
20053	1	1	7	1	1	3	1	137
20053	2	1	8	1	1	 	 	 
20053	3	1	9	1	1	 	 	 
20053	4	1	10	4	0	3	1	358
20054	1	1	7	1	1	3	1	136
20054	2	0	 	 	 	 	 	 
20054	3	0	 	 	 	 	 	 
20054	4	0	 	 	 	 	 	 
