CHILDCODE	EDCHSTR4	EDGRADER4	TYSCR4	STATER4	DSSCR4	SCHNMER4
31032	12	0	 	 	 	 
31032	13	0	 	 	 	 
31033	10	11	1	1	9	2895
31033	11	11	1	1	9	2895
31033	12	12	1	1	9	2895
31033	13	15	3	1	9	2896
31034	10	12	3	1	1	2898
31034	11	15	3	1	1	2899
31034	12	15	3	1	1	2899
31034	13	15	3	1	1	2899
31035	10	0	 	 	 	 
31035	11	0	 	 	 	 
31035	12	0	 	 	 	 
31035	13	0	 	 	 	 
31036	10	11	1	1	1	2891
31036	11	12	1	1	1	2891
31036	12	0	 	 	 	 
31036	13	15	1	1	1	2867
31038	10	9	1	1	1	892
31038	11	10	1	1	1	892
31038	12	11	1	1	3	2879
31038	13	12	1	1	1	2877
31039	10	8	3	1	1	906
31039	11	9	3	1	1	906
31039	12	10	3	1	1	906
31039	13	11	3	1	1	2899
31040	10	11	1	1	3	2901
31040	11	12	1	1	3	2901
31040	12	15	1	2	98	2902
31040	13	15	1	1	1	2903
31041	10	10	3	1	1	906
31041	11	11	3	1	1	2898
31041	12	12	3	1	1	2898
31041	13	15	3	1	1	2900
31042	10	11	1	1	1	2865
31042	11	12	1	1	1	2865
31042	12	15	1	1	1	2903
31042	13	15	1	1	1	2903
31043	10	11	1	1	1	2904
31043	11	12	1	1	1	2904
31043	12	15	1	1	3	2905
31043	13	15	1	1	3	2905
31047	10	10	1	1	3	2641
31047	11	12	1	1	3	2907
31047	12	12	1	1	3	2907
31047	13	14	1	1	3	2908
31048	10	11	3	1	1	2868
31048	11	12	3	1	1	2868
31048	12	15	8	1	1	2909
31048	13	15	8	1	1	2909
31049	10	11	1	1	3	2910
31049	11	12	1	1	3	2910
31049	12	15	3	1	1	2894
31049	13	15	3	1	1	2894
31050	10	10	8	1	1	2911
31050	11	0	 	 	 	 
31050	12	0	 	 	 	 
31050	13	0	 	 	 	 
41001	10	10	3	1	1	917
41001	11	11	3	1	1	2912
41001	12	12	3	1	1	2912
41001	13	0	 	 	 	 
41002	10	10	3	1	1	2913
41002	11	11	3	1	1	2912
41002	12	12	3	1	1	2912
41002	13	15	1	1	1	2914
41003	10	10	3	1	1	906
41003	11	0	 	 	 	 
41003	12	0	 	 	 	 
41003	13	0	 	 	 	 
41004	10	10	3	1	1	910
41004	11	11	3	1	1	2894
41004	12	12	3	1	1	2894
41004	13	0	 	 	 	 
41005	10	8	3	1	1	2643
41005	11	9	3	1	1	2643
41005	12	10	3	1	1	2643
41005	13	11	3	1	1	2912
41006	10	9	3	1	1	924
41006	11	10	3	1	1	924
41006	12	0	 	 	 	 
41006	13	0	 	 	 	 
41007	10	8	3	1	1	924
41007	11	9	3	1	1	924
41007	12	10	3	1	1	924
41007	13	0	 	 	 	 
41009	10	11	3	1	2	2915
41009	11	12	3	1	2	2915
41009	12	0	 	 	 	 
41009	13	0	 	 	 	 
41010	10	9	3	1	1	924
41010	11	10	3	1	1	924
41010	12	11	1	1	1	2961
41010	13	12	1	1	1	2961
41011	10	0	 	 	 	 
41011	11	0	 	 	 	 
41011	12	0	 	 	 	 
41011	13	0	 	 	 	 
41012	10	10	3	1	1	924
41012	11	11	1	1	1	2917
41012	12	12	1	1	1	2917
41012	13	15	3	1	3	2918
41013	10	10	3	1	1	2913
41013	11	11	1	1	1	2916
41013	12	12	1	1	1	2916
41013	13	15	1	1	1	2914
41014	10	9	3	1	1	919
41014	11	10	3	1	1	919
41014	12	11	3	1	1	2919
41014	13	12	3	1	1	2919
41015	10	12	3	1	1	2920
41015	11	0	 	 	 	 
41015	12	0	 	 	 	 
41015	13	0	 	 	 	 
41016	10	10	3	1	1	930
41016	11	11	3	1	1	2921
41016	12	12	3	1	1	2921
41016	13	0	 	 	 	 
41017	10	11	1	1	1	2922
41017	11	12	1	1	1	2922
41017	12	15	1	1	1	2914
41017	13	14	1	1	2	2923
41018	10	12	1	1	3	2879
41018	11	15	3	1	1	2924
41018	12	15	3	1	1	2924
41018	13	15	3	1	1	2924
41019	10	11	3	1	1	2925
41019	11	12	3	1	1	2925
41019	12	14	3	1	1	2925
41019	13	0	 	 	 	 
41020	10	11	1	1	1	2927
41020	11	12	1	1	1	2927
41020	12	0	 	 	 	 
41020	13	0	 	 	 	 
41021	10	9	3	1	1	939
41021	11	10	3	1	1	939
41021	12	11	1	1	1	934
41021	13	12	1	1	1	934
41022	10	8	3	1	1	2928
41022	11	9	3	1	1	2928
41022	12	10	3	1	1	2928
41022	13	11	3	1	1	2929
41023	10	0	 	 	 	 
41023	11	0	 	 	 	 
41023	12	0	 	 	 	 
41023	13	0	 	 	 	 
41024	10	10	3	1	1	921
41024	11	11	3	1	1	2929
41024	12	12	3	1	1	2929
41024	13	15	1	1	1	2930
41025	10	8	3	1	1	2928
41025	11	9	3	1	1	2928
41025	12	10	3	1	1	2928
41025	13	11	3	1	1	2929
41026	10	0	 	 	 	 
41026	11	0	 	 	 	 
41026	12	0	 	 	 	 
41026	13	0	 	 	 	 
41027	10	11	1	1	1	2917
41027	11	12	1	1	1	2917
41027	12	15	1	1	1	2931
41027	13	15	1	1	1	2931
41028	10	11	1	1	1	2917
41028	11	12	1	1	1	2917
41028	12	15	1	1	4	2932
