CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	ACTMTHR4	ACTDYMTR4	ACTWEKR4	ACTDAYHR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
111028	2	5	3	6	20	 	 	9	1	9600	 	2	 	1	3
111028	3	12	5	3	12	 	 	6	1	3600	 	2	 	0	3
111030	1	1	6	5	7	 	 	8	0	 	 	 	 	1	5
111031	1	1	6	4	10	 	 	4	0	 	 	 	 	1	4
111031	2	5	3	6	5	 	 	8	1	2400	 	2	 	1	5
111032	1	1	2	4	15	 	 	8	0	 	 	 	 	1	4
111033	1	13	1	12	25	 	 	9	1	96000	 	4	 	1	3
111034	1	1	3	4	2	 	 	9	0	 	 	 	 	0	3
111034	2	12	3	3	20	 	 	7	1	4000	 	5	 	0	2
111034	3	5	3	4	4	 	 	7	1	120	 	2	 	1	12
111035	1	1	6	3	6	 	 	9	0	 	 	 	 	1	3
111035	2	5	3	3	26	 	 	8	1	600	 	3	 	1	3
111035	3	12	7	2	12	 	 	6	1	660	 	3	 	0	2
111036	1	1	6	3	10	 	 	7	0	 	 	 	 	1	0
111036	2	5	3	2	10	 	 	7	1	2000	 	2	 	1	0
111036	3	19	7	3	10	 	 	4	1	4200	 	2	 	1	0
111038	1	1	6	6	20	 	 	6	0	 	 	 	 	1	6
111038	2	5	3	4	20	 	 	8	1	12000	 	2	 	1	4
111039	1	1	6	6	8	 	 	7	0	 	 	 	 	1	6
111039	2	5	2	5	3	 	 	7	1	1500	 	2	 	1	5
111040	1	1	2	1	10	 	 	6	0	 	 	 	 	0	0
111041	1	5	3	8	20	 	 	8	1	16000	 	3	 	1	8
111041	2	1	2	3	12	 	 	10	0	 	 	 	 	1	3
111041	3	11	5	3	18	 	 	6	1	5400	 	3	 	1	3
111044	1	1	2	7	12	 	 	7	0	 	 	 	 	1	12
111044	2	5	2	2	20	 	 	7	1	70	 	2	 	1	5
111044	3	9	2	10	20	 	 	2	1	100	 	2	 	1	12
111045	1	13	1	12	4	 	 	8	1	6400	 	4	 	1	12
111047	1	1	6	6	7	 	 	6	0	 	 	 	 	1	2
111048	1	1	6	6	25	 	 	6	0	 	 	 	 	1	6
111049	1	13	1	10	26	 	 	12	3	6000	3500	4	 	1	12
111049	2	5	3	2	20	 	 	8	1	100	 	2	 	0	0
111051	1	1	2	4	5	 	 	7	0	 	 	 	 	0	4
111053	1	1	6	6	4	 	 	6	0	 	 	 	 	1	6
111055	1	5	3	9	28	 	 	8	1	25200	 	2	 	1	8
111055	2	12	3	3	12	 	 	5	1	3600	 	3	 	0	3
111057	1	1	2	3	15	 	 	8	0	 	 	 	 	1	3
111057	2	12	2	2	10	 	 	4	1	400	 	4	 	0	3
111057	3	5	2	5	15	 	 	7	1	100	 	2	 	1	9
121002	1	5	3	6	8	 	 	8	1	7200	 	2	 	0	0
121003	1	1	6	7	14	 	 	6	0	 	 	 	 	0	1
121008	1	11	6	1	14	 	 	5	0	 	 	 	 	0	1
121010	1	12	3	12	12	 	 	6	1	14400	 	2	 	1	12
121012	1	1	3	3	10	 	 	5	0	 	 	 	 	0	3
121013	1	9	2	10	25	 	 	8	1	16666	 	5	 	1	12
121013	2	5	3	2	15	 	 	8	1	3000	 	2	 	1	1
121016	1	1	6	4	5	 	 	7	0	 	 	 	 	1	5
121019	1	13	1	7	26	 	 	12	1	7000	 	4	 	1	11
121019	2	13	1	5	26	 	 	12	1	6500	 	4	 	0	0
121020	1	1	2	2	5	 	 	2	0	 	 	 	 	0	2
121024	1	1	6	8	10	 	 	9	0	 	 	 	 	1	3
121024	2	12	3	1	12	 	 	7	1	1000	 	3	 	0	3
121024	3	5	3	10	15	 	 	8	1	12000	 	2	 	1	10
121026	1	1	6	3	2	 	 	2	0	 	 	 	 	0	0
121027	1	1	2	8	3	 	 	5	0	 	 	 	 	1	8
121029	1	13	1	12	30	 	 	12	1	48000	 	4	 	1	12
121030	1	5	3	7	15	 	 	7	1	6300	 	2	 	1	7
121030	2	12	5	1	18	 	 	6	1	2340	 	2	 	1	1
121030	3	1	6	3	10	 	 	10	0	 	 	 	 	1	3
121034	1	12	3	12	15	 	 	9	1	36000	 	2	 	1	12
121037	1	5	3	8	20	 	 	9	1	11200	 	2	 	0	0
121037	2	1	6	4	10	 	 	6	0	 	 	 	 	0	0
121037	3	19	1	2	25	 	 	8	6	0	0	88	 	1	12
121038	1	1	3	7	7	 	 	3	0	 	 	 	 	1	4
121038	2	19	3	3	12	 	 	7	1	3200	 	2	 	0	3
121039	1	13	1	12	30	 	 	8	3	72000	18720	2	 	1	12
