childid	country	round	yc	math	group
ET101018	1	2	0	244.285186767578	1
ET101019	1	2	0	459.727813720703	1
ET101020	1	2	0	473.770111083984	1
ET101021	1	2	0	431.619842529297	1
ET101022	1	2	0	295.683624267578	1
ET101023	1	2	0	429.179443359375	1
ET101024	1	2	0	377.550628662109	1
ET101025	1	2	0	561.069030761719	1
ET101027	1	2	0	482.700347900391	1
ET101028	1	2	0	388.920471191406	1
ET101030	1	2	0	403.311614990234	1
ET101031	1	2	0	370.66015625	1
ET101032	1	2	0	401.564147949219	1
ET101033	1	2	0	634.272888183594	1
ET101034	1	2	0	321.149780273438	1
ET101035	1	2	0	433.147216796875	1
ET101036	1	2	0	536.710144042969	1
ET101037	1	2	0	339.824005126953	1
ET101038	1	2	0	379.377563476563	1
ET101039	1	2	0	516.695739746094	1
ET101040	1	2	0	401.761047363281	1
ET101041	1	2	0	431.577056884766	1
ET101042	1	2	0	489.058532714844	1
ET101043	1	2	0	409.818115234375	1
ET101044	1	2	0	465.255401611328	1
ET101045	1	2	0	418.501770019531	1
ET101046	1	2	0	476.078247070313	1
ET101047	1	2	0	542.091430664063	1
ET101048	1	2	0	490.400360107422	1
ET101049	1	2	0	535.299011230469	1
ET101050	1	2	0	344.48779296875	1
ET111001	1	2	0	426.453643798828	1
ET111002	1	2	0	444.831268310547	1
ET111003	1	2	0	384.881622314453	1
ET111004	1	2	0	383.244354248047	1
ET111005	1	2	0	524.328308105469	1
ET111006	1	2	0	310.681091308594	1
ET111007	1	2	0	446.319183349609	1
ET111008	1	2	0	509.039428710938	1
ET111009	1	2	0	473.080230712891	1
ET111010	1	2	0	421.012329101563	1
ET111011	1	2	0	552.637939453125	1
ET111012	1	2	0	464.766052246094	1
ET111015	1	2	0	392.377197265625	1
ET111016	1	2	0	390.125640869141	1
ET111017	1	2	0	350.830780029297	1
ET111018	1	2	0	412.173187255859	1
ET111019	1	2	0	299.864715576172	1
ET111020	1	2	0	411.339263916016	1
ET111021	1	2	0	487.427093505859	1
ET111022	1	2	0	495.672637939453	1
ET111023	1	2	0	515.892456054688	1
ET111024	1	2	0	283.67138671875	1
ET111025	1	2	0	380.563110351563	1
ET111027	1	2	0	536.851135253906	1
ET111028	1	2	0	373.927459716797	1
ET111029	1	2	0	613.660278320313	1
ET111030	1	2	0	464.757171630859	1
ET111031	1	2	0	422.3505859375	1
ET111032	1	2	0	440.14404296875	1
ET111033	1	2	0	384.985687255859	1
ET111034	1	2	0	545.956848144531	1
ET111035	1	2	0	254.243179321289	1
ET111036	1	2	0	371.976989746094	1
ET111037	1	2	0	643.951965332031	1
ET111038	1	2	0	439.218048095703	1
ET111039	1	2	0	377.181549072266	1
ET111040	1	2	0	399.372344970703	1
ET111041	1	2	0	345.306945800781	1
ET111042	1	2	0	395.296325683594	1
ET111043	1	2	0	427.494018554688	1
ET111044	1	2	0	332.386413574219	1
ET111045	1	2	0	462.640045166016	1
ET111046	1	2	0	467.453277587891	1
ET111047	1	2	0	362.097229003906	1
ET111048	1	2	0	413.302459716797	1
ET121001	1	2	0	526.756103515625	1
ET121002	1	2	0	514.248962402344	1
ET121004	1	2	0	471.565368652344	1
ET121005	1	2	0	544.620971679688	1
ET121007	1	2	0	514.500732421875	1
ET121008	1	2	0	516.192687988281	1
ET121009	1	2	0	415.018188476563	1
ET121010	1	2	0	352.652862548828	1
ET121011	1	2	0	448.442443847656	1
ET121012	1	2	0	284.638000488281	1
ET121013	1	2	0	486.392303466797	1
ET121014	1	2	0	266.125518798828	1
ET121015	1	2	0	333.016815185547	1
ET121017	1	2	0	549.325256347656	1
ET121018	1	2	0	490.475372314453	1
ET121020	1	2	0	634.150634765625	1
ET121021	1	2	0	564.619873046875	1
ET121022	1	2	0	335.124572753906	1
ET121023	1	2	0	408.828796386719	1
ET121024	1	2	0	336.511474609375	1
ET121025	1	2	0	531.635986328125	1
ET121026	1	2	0	330.953643798828	1
ET121027	1	2	0	432.618957519531	1
ET121028	1	2	0	466.810699462891	1
ET121029	1	2	0	583.8427734375	1
ET121030	1	2	0	455.713226318359	1
ET121031	1	2	0	490.55712890625	1
ET121032	1	2	0	418.844848632813	1
ET121033	1	2	0	518.124389648438	1
ET121034	1	2	0	239.345031738281	1
ET121036	1	2	0	322.074371337891	1
ET121037	1	2	0	506.896942138672	1
ET121038	1	2	0	427.331237792969	1
ET121039	1	2	0	374.074188232422	1
ET121040	1	2	0	493.711853027344	1
ET121041	1	2	0	465.642150878906	1
ET121043	1	2	0	555.52978515625	1
ET121044	1	2	0	541.943298339844	1
ET121046	1	2	0	551.069519042969	1
ET121047	1	2	0	426.571960449219	1
ET121048	1	2	0	540.695983886719	1
ET121049	1	2	0	484.93017578125	1
ET121050	1	2	0	484.317291259766	1
ET121053	1	2	0	473.151214599609	1
ET121054	1	2	0	465.284606933594	1
ET121055	1	2	0	308.843353271484	1
ET121056	1	2	0	731.609985351563	1
ET121057	1	2	0	336.621002197266	1
