commid	rsid	module	section	module2	section2	module3	section3	ageres	sexres	capac	livres
VN013	10	2	1	 	10	 	 	24	2	10	24
VN013	11	2	1	 	3	 	 	33	2	8	6
VN013	12	1	4	 	 	 	 	42	2	8	42
VN013	13	2	4	 	5	 	 	38	2	3	38
VN013	99	 	 	 	 	 	 	99	99	99	99
VN022	1	1	1	 	 	 	 	42	2	1	42
VN022	2	1	1	 	 	 	 	27	1	8	27
VN022	3	1	1	 	 	 	 	36	2	8	36
VN022	4	1	1	 	 	 	 	57	2	2	55
VN022	5	2	1	 	 	 	 	53	2	4	52
VN022	6	2	1	 	 	 	 	25	2	8	25
VN022	7	2	3	 	 	 	 	34	1	8	31
VN022	8	2	3	 	 	 	 	39	2	4	21
VN027	1	1	1	 	3	 	6	50	1	1	46
VN027	2	1	1	 	2	 	3	40	1	1	36
VN027	3	1	1	 	3	 	 	55	1	2	50
VN027	4	1	2	 	 	 	 	41	1	2	41
VN027	5	1	4	 	 	 	 	58	1	1	53
VN027	6	1	2	2	6	 	 	57	1	2	57
VN027	7	2	1	 	 	 	 	45	1	2	45
VN027	8	1	3	2	3	 	 	32	2	4	28
VN027	9	2	2	 	 	 	 	30	2	4	28
VN027	10	2	3	 	 	 	 	47	2	4	47
VN027	11	1	6	 	 	 	 	48	2	6	48
VN027	12	2	4	 	 	 	 	46	1	3	21
VN027	13	1	3	 	6	 	 	35	2	8	35
VN027	14	1	4	2	11	 	 	50	1	8	55
VN027	15	1	5	 	 	 	 	35	1	10	32
VN027	16	1	5	 	 	 	 	36	1	10	31
VN027	17	1	5	 	 	 	 	32	2	10	32
VN027	18	1	5	 	 	 	 	24	2	10	24
VN016	1	1	1	 	2	 	6	44	1	1	44
VN016	2	1	1	 	2	 	3	55	1	8	10
VN016	3	1	1	 	2	 	3	32	2	8	29
VN016	4	1	1	 	2	 	3	51	1	1	16
VN016	5	1	3	 	4	 	 	44	2	6	28
VN016	6	2	1	 	3	 	 	50	2	4	30
