CHILDCODE	CHMVIDR5	CNTRYR5	TYPLOCR5	YRMOVER5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPFMR5	MVOTHMR5	MVNONHR5	RSNMVR51	RSNMVR52
201040	2	51	3	2015	0	Y	 	 	 	 	 	 	 	3	1
201042	1	51	3	2014	8	N	N	Y	Y	N	N	Y	N	4	88
201042	2	51	1	2015	0	N	N	Y	Y	N	N	Y	N	9	88
201049	1	51	5	2013	0	N	N	Y	N	N	N	N	N	3	1
201051	1	51	1	2014	12	N	Y	Y	N	N	N	N	N	9	88
201051	2	51	1	2015	0	N	Y	Y	N	N	N	N	N	9	88
201054	1	51	5	2016	3	N	N	N	Y	N	N	N	N	9	88
201054	2	51	5	2016	0	N	N	N	Y	N	N	N	N	1	88
201058	1	51	1	2014	0	N	N	Y	N	N	N	N	N	9	 
201069	1	51	1	2014	0	N	Y	Y	Y	N	N	N	N	9	88
201073	1	51	3	2015	0	N	N	Y	Y	N	N	N	N	1	88
201075	1	51	1	2014	0	N	Y	Y	Y	N	N	N	N	9	88
201076	1	51	1	2013	0	N	Y	Y	Y	N	N	N	N	9	88
201085	1	51	3	2016	9	N	Y	N	Y	N	N	N	N	3	88
201085	2	51	3	2016	0	N	Y	N	Y	N	N	N	N	9	88
201087	1	51	3	2015	6	N	Y	Y	Y	N	N	N	N	3	1
201087	2	51	1	2016	0	N	Y	Y	Y	N	N	N	N	9	1
201098	1	51	4	2016	0	Y	 	 	 	 	 	 	 	1	88
201099	2	51	1	2015	0	N	Y	N	Y	N	N	N	N	9	88
