PLACEID	EDINIDR4	EDFACAVL	OTHEDFAC	EDFACTIM	EDFACTRN
53	6	1	 	 	 
53	7	88	 	 	 
54	1	0	 	40	5
54	2	0	 	40	5
54	3	0	 	40	5
54	4	0	 	40	5
54	5	0	 	120	8
54	6	0	 	40	5
54	7	88	 	 	 
55	1	0	 	40	5
55	2	0	 	40	5
55	3	0	 	40	5
55	4	0	 	40	5
55	5	0	 	100	8
55	6	0	 	40	5
55	7	88	 	 	 
56	1	0	 	45	5
56	2	3	 	 	 
56	3	3	 	 	 
56	4	3	 	 	 
56	5	3	 	 	 
56	6	3	 	 	 
56	7	88	 	 	 
57	1	1	 	 	 
57	2	3	 	 	 
57	3	0	 	60	5
57	4	0	 	60	5
57	5	0	 	120	5
57	6	0	 	60	5
57	7	88	 	 	 
58	1	0	 	70	8
58	2	0	 	70	8
58	3	0	 	30	8
58	4	0	 	30	8
58	5	0	 	70	8
58	6	0	 	70	8
58	7	88	 	 	 
61	1	0	 	60	8
61	2	0	 	60	8
61	3	0	 	30	8
61	4	0	 	60	8
61	5	0	 	80	8
61	6	0	 	80	8
61	7	3	 	 	 
62	1	0	 	80	8
62	2	0	 	80	8
62	3	0	 	15	8
62	4	0	 	15	5
62	5	0	 	85	8
62	6	0	 	80	8
62	7	3	 	 	 
63	1	0	 	60	8
63	2	0	 	55	8
63	3	0	 	20	5
63	4	0	 	20	5
63	5	0	 	60	8
63	6	0	 	60	8
63	7	3	 	 	 
64	1	0	 	60	8
64	2	0	 	60	8
64	3	0	 	30	5
64	4	0	 	60	8
64	5	0	 	70	8
64	6	0	 	60	8
64	7	3	 	 	 
65	1	0	 	45	8
65	2	0	 	45	8
65	3	0	 	30	5
65	4	0	 	45	8
65	5	0	 	50	8
65	6	0	 	45	8
65	7	3	 	 	 
66	1	0	 	240	8
66	2	0	 	240	8
66	3	0	 	30	5
66	4	0	 	30	5
66	5	0	 	90	8
66	6	0	 	90	8
66	7	3	 	 	 
67	1	0	 	60	8
67	2	0	 	60	8
67	3	0	 	20	5
67	4	0	 	20	5
67	5	0	 	60	8
67	6	0	 	60	8
67	7	3	 	 	 
68	1	0	 	30	8
68	2	1	 	 	 
68	3	0	 	20	5
68	4	0	 	20	5
68	5	0	 	25	8
68	6	0	 	30	8
68	7	3	 	 	 
69	1	0	 	90	8
69	2	0	 	90	8
69	3	0	 	30	5
69	4	0	 	30	5
69	5	0	 	90	8
69	6	0	 	90	8
69	7	3	 	 	 
70	1	0	 	90	8
70	2	0	 	50	8
70	3	0	 	50	8
70	4	0	 	50	8
70	5	0	 	90	8
70	6	0	 	90	8
70	7	3	 	 	 
71	1	0	 	60	8
71	2	0	 	60	8
71	3	0	 	10	8
71	4	0	 	60	8
71	5	3	 	 	 
71	6	0	 	60	8
71	7	88	 	 	 
72	1	0	 	120	8
72	2	0	 	120	8
72	3	0	 	75	8
72	4	0	 	120	8
72	5	3	 	 	 
72	6	0	 	105	8
72	7	88	 	 	 
73	1	0	 	120	8
73	2	0	 	120	8
73	3	0	 	60	8
73	4	0	 	120	8
73	5	3	 	 	 
73	6	0	 	120	8
73	7	88	 	 	 
74	1	1	 	 	 
74	2	3	 	 	 
74	3	0	 	15	5
74	4	0	 	30	5
74	5	3	 	 	 
74	6	0	 	30	5
74	7	88	 	 	 
75	1	0	 	90	8
75	2	0	 	90	8
75	3	0	 	90	8
75	4	0	 	90	8
75	5	3	 	 	 
75	6	0	 	90	8
75	7	88	 	 	 
76	1	0	 	75	8
76	2	0	 	100	8
76	3	0	 	75	8
76	4	0	 	75	8
76	5	0	 	155	10
76	6	3	 	 	 
76	7	3	 	 	 
77	1	0	 	250	8
77	2	0	 	30	8
77	3	0	 	30	8
77	4	0	 	30	8
77	5	0	 	180	10
77	6	0	 	30	8
77	7	3	 	 	 
78	1	0	 	180	10
78	2	0	 	90	8
78	3	0	 	60	8
78	4	0	 	60	8
78	5	0	 	180	10
78	6	0	 	60	8
78	7	3	 	 	 
79	1	0	 	240	8
79	2	0	 	60	8
79	3	0	 	30	8
79	4	0	 	30	8
79	5	0	 	240	8
79	6	0	 	30	8
79	7	3	 	 	 
80	1	3	 	 	 
80	2	0	 	90	5
80	3	0	 	90	5
80	4	0	 	90	5
80	5	0	 	240	8
80	6	0	 	90	5
80	7	3	 	 	 
81	1	0	 	30	5
81	2	3	 	 	 
81	3	0	 	30	5
81	4	0	 	30	5
81	5	3	 	 	 
81	6	0	 	30	5
81	7	3	 	 	 
82	1	0	 	20	5
82	2	3	 	 	 
82	3	0	 	20	5
82	4	0	 	20	5
82	5	3	 	 	 
82	6	0	 	20	5
82	7	88	 	 	 
83	1	0	 	20	5
83	2	3	 	 	 
83	3	0	 	20	5
83	4	0	 	20	5
83	5	3	 	 	 
83	6	0	 	20	5
83	7	88	 	 	 
84	1	0	 	15	5
84	2	3	 	 	 
84	3	0	 	15	5
84	4	0	 	15	5
84	5	3	 	 	 
84	6	0	 	15	5
84	7	88	 	 	 
85	1	0	 	15	5
85	2	0	 	15	5
85	3	0	 	15	5
85	4	0	 	15	5
85	5	3	 	 	 
85	6	0	 	15	5
85	7	88	 	 	 
86	1	1	 	 	 
86	2	1	 	 	 
86	3	1	 	 	 
86	4	1	 	 	 
86	5	1	 	 	 
86	6	1	 	 	 
86	7	88	 	 	 
87	1	1	 	 	 
87	2	1	 	 	 
87	3	1	 	 	 
87	4	1	 	 	 
87	5	1	 	 	 
87	6	1	 	 	 
87	7	88	 	 	 
88	1	1	 	 	 
88	2	1	 	 	 
88	3	1	 	 	 
88	4	1	 	 	 
88	5	1	 	 	 
88	6	1	 	 	 
88	7	88	 	 	 
89	1	0	 	75	8
89	2	0	 	70	8
89	3	0	 	25	8
89	4	0	 	30	8
89	5	0	 	90	8
89	6	0	 	90	8
89	7	88	 	 	 
90	1	0	 	85	8
90	2	0	 	40	8
90	3	0	 	30	8
90	4	0	 	30	8
90	5	0	 	90	8
90	6	0	 	30	8
90	7	88	 	 	 
91	1	0	 	90	8
91	2	0	 	180	8
91	3	0	 	25	8
91	4	0	 	15	1
91	5	0	 	120	8
91	6	0	 	120	8
91	7	88	 	 	 
92	1	0	 	30	8
92	2	0	 	10	5
92	3	0	 	15	5
92	4	0	 	15	5
92	5	3	 	 	 
92	6	0	 	15	5
92	7	88	 	 	 
93	1	3	 	 	 
93	2	3	 	 	 
93	3	1	 	 	 
93	4	3	 	 	 
93	5	3	 	 	 
93	6	1	 	 	 
93	7	88	 	 	 
94	1	1	 	 	 
94	2	1	 	 	 
94	3	0	 	15	5
94	4	0	 	15	5
94	5	0	 	40	5
94	6	0	 	40	5
94	7	88	 	 	 
96	1	1	 	 	 
96	2	3	 	 	 
96	3	1	 	 	 
96	4	1	 	 	 
96	5	3	 	 	 
96	6	1	 	 	 
96	7	88	 	 	 
97	1	3	 	 	 
97	2	1	 	 	 
97	3	0	 	20	8
97	4	3	 	 	 
97	5	88	 	 	 
97	6	3	 	 	 
97	7	88	 	 	 
99	1	0	 	35	5
99	2	0	 	35	5
99	3	0	 	35	5
99	4	0	 	35	5
99	5	3	 	 	 
99	6	3	 	 	 
99	7	88	 	 	 
101	1	0	 	30	5
101	2	1	 	 	 
101	3	1	 	 	 
101	4	0	 	10	1
101	5	0	 	45	8
101	6	0	 	10	1
101	7	88	 	 	 
102	1	1	 	 	 
102	2	0	 	20	5
102	3	0	 	15	3
102	4	0	 	15	4
102	5	0	 	60	8
102	6	1	 	 	 
102	7	0	 	0	88
