PLACEID	RSID	AGERES	SEXRES	CASTE	CAPAC	LIVRES
23	30	44	1	3	8	44
23	31	55	1	3	8	55
23	32	39	2	3	8	39
23	33	28	1	1	8	28
23	34	65	2	3	8	65
23	35	32	1	3	8	10
23	36	27	1	4	8	2
23	37	35	2	4	8	15
23	38	32	1	3	8	32
24	1	81	1	4	8	81
24	2	44	1	4	1	44
24	3	36	2	2	8	6
24	4	37	2	3	8	8
24	5	34	2	4	8	8
24	6	48	2	4	8	7
24	7	50	2	4	8	7
24	8	52	1	4	8	3
24	9	67	1	4	4	67
24	10	56	1	3	8	56
24	11	32	1	4	8	32
24	12	42	1	3	8	35
24	13	23	1	4	8	23
24	14	31	1	3	8	31
24	15	32	1	3	8	3
24	16	48	1	4	8	9
24	17	38	1	3	8	38
24	18	50	1	3	8	50
24	19	48	2	3	8	48
24	20	50	1	3	8	50
24	21	30	1	4	8	30
24	22	42	1	4	8	42
24	23	52	1	3	8	3
24	24	38	1	3	8	3
24	25	52	1	3	8	12
24	26	26	1	3	8	26
24	27	53	1	3	8	30
24	28	28	1	3	8	28
24	29	52	1	3	8	52
24	30	70	1	3	8	70
24	31	48	1	3	8	16
24	32	45	2	4	8	45
24	33	38	1	4	8	38
24	34	27	1	3	8	8
24	35	42	1	3	8	42
24	36	52	1	4	8	35
24	37	48	1	1	8	48
24	38	42	1	1	8	42
24	39	39	2	1	8	39
25	1	36	2	3	2	15
25	2	40	2	3	8	9
25	3	34	2	3	8	9
25	4	36	2	3	8	3
25	5	42	1	3	8	42
25	6	38	2	3	4	15
25	7	34	2	3	3	4
25	8	55	1	4	8	55
25	9	60	1	4	8	60
25	10	48	1	3	8	48
25	11	52	1	4	8	15
25	12	45	1	3	8	16
25	13	49	1	4	8	20
25	14	40	1	3	8	18
25	15	42	1	3	8	15
25	16	62	1	4	8	20
25	17	55	1	4	8	17
25	18	42	1	4	8	42
25	19	34	1	4	8	34
25	20	38	1	3	8	38
25	21	53	1	3	8	35
25	22	35	1	3	8	10
25	23	26	1	3	8	12
25	24	43	1	3	8	15
25	25	42	1	3	8	15
25	26	46	1	3	8	10
25	27	30	1	3	8	15
25	28	44	1	3	8	12
25	29	32	1	1	8	10
25	30	38	1	3	8	15
25	31	45	1	3	8	45
25	32	30	1	3	8	30
25	33	42	1	3	8	38
26	1	32	2	3	8	20
26	2	38	2	1	8	30
26	3	32	2	3	2	28
26	4	40	2	2	2	40
26	5	28	2	3	3	28
26	6	63	2	3	3	60
26	7	48	1	3	8	30
26	8	52	1	3	8	3
26	9	38	1	3	8	3
26	10	62	1	3	8	50
