PLACEID	PRGIDR4	CURRPROG	PROGSTOP
22	40	1	 
22	44	0	88
22	45	0	88
22	46	0	88
22	47	1	 
22	50	0	88
22	51	1	 
22	52	1	 
22	53	1	 
22	55	0	88
22	62	0	88
22	63	0	88
22	65	1	 
22	66	1	 
22	67	0	88
22	68	0	88
23	10	1	 
23	11	1	 
23	12	0	88
23	13	0	88
23	15	0	88
23	16	0	88
23	17	1	 
23	18	1	 
23	21	1	 
23	24	1	 
23	25	1	 
23	26	1	 
23	27	0	88
23	29	0	88
23	34	0	88
23	35	1	 
23	37	1	 
23	38	0	88
23	39	0	88
23	40	1	 
23	44	0	88
23	45	1	 
23	46	0	88
23	47	1	 
23	50	0	88
23	51	1	 
23	52	1	 
23	53	0	88
23	55	1	 
23	62	1	 
23	63	0	88
23	65	0	88
23	66	0	88
23	67	1	 
23	68	1	 
24	10	1	 
24	11	1	 
24	12	1	 
24	13	1	 
24	15	1	 
24	16	0	77
24	17	1	 
24	18	0	88
24	21	1	 
24	24	1	 
24	25	0	88
24	26	1	 
24	27	1	 
24	29	1	 
24	34	0	88
24	35	1	 
24	37	1	 
24	38	1	 
24	39	1	 
24	40	1	 
24	44	0	88
24	45	0	88
24	46	0	88
24	47	1	 
24	50	1	 
24	51	0	88
24	52	1	 
24	53	0	88
24	55	1	 
24	62	0	88
24	63	0	88
24	65	0	88
24	66	0	88
24	67	1	 
24	68	0	88
25	10	1	 
25	11	1	 
25	12	1	 
25	13	1	 
25	15	1	 
25	16	0	88
25	17	1	 
25	18	1	 
25	21	1	 
25	24	1	 
25	25	1	 
25	26	1	 
25	27	1	 
25	29	1	 
25	34	0	88
25	35	1	 
25	37	1	 
25	38	1	 
25	39	1	 
25	40	1	 
25	44	0	88
25	45	0	88
25	46	0	88
25	47	1	 
25	50	0	88
25	51	0	88
25	52	1	 
25	53	1	 
25	55	1	 
25	62	1	 
25	63	0	88
25	65	1	 
25	66	0	88
25	67	1	 
25	68	0	88
26	10	1	 
26	11	0	88
26	12	0	88
26	13	1	 
26	15	0	88
26	16	0	88
26	17	1	 
26	18	1	 
26	21	1	 
26	24	1	 
26	25	1	 
26	26	1	 
26	27	1	 
26	29	1	 
26	34	0	88
26	35	0	88
26	37	0	88
26	38	1	 
26	39	1	 
26	40	1	 
26	44	0	88
26	45	0	88
26	46	0	88
26	47	1	 
26	50	0	88
26	51	0	88
26	52	0	88
26	53	0	88
26	55	0	88
26	62	1	 
26	63	0	88
26	65	0	88
26	66	1	 
26	67	1	 
26	68	0	88
27	10	1	 
27	11	1	 
27	12	0	88
27	13	1	 
27	15	1	 
27	16	0	88
27	17	1	 
27	18	0	88
27	21	1	 
27	24	1	 
27	25	1	 
27	26	1	 
27	27	1	 
27	29	1	 
27	34	0	88
27	35	1	 
27	37	1	 
27	38	0	88
27	39	0	88
