CHILDID	CROPID	CROP	QNTHARV	QNTUNIT	ESTVLCRP	VLCRSLD	CROPCOST
VN091050	2	44	800	1	1440	0	100
VN091050	3	25	0	99	-99	-99	-99
VN091052	1	116	360	1	720	0	10
VN091052	2	85	1000	1	1000	0	50
VN091052	3	21	1000	3	3000	0	0
VN091052	4	1	3500	1	8750	0	1800
VN091053	1	1	2400	1	6000	0	640
VN091053	2	44	2000	1	4000	0	190
VN091053	3	74	1200	1	1200	0	0
VN091053	4	74	720	1	1420	0	0
VN091053	5	116	730	1	1460	0	0
VN091056	1	44	1200	1	2400	0	400
VN091056	2	85	2000	1	1000	0	0
VN091056	3	1	3000	1	7500	0	300
VN091056	4	15	50	1	250	0	0
VN091057	1	1	2000	1	5000	2500	490
VN091057	2	44	2400	1	2400	1200	100
VN091061	1	1	1000	1	3000	0	270
VN091061	2	44	700	1	1400	0	50
VN091061	3	25	10	1	600	600	0
VN091062	1	1	1800	1	5400	0	450
VN091062	2	44	300	1	600	0	90
VN091062	3	25	50	1	3000	3000	0
VN091064	1	25	60	1	3600	3600	0
VN091064	2	44	400	1	720	0	100
VN091064	3	85	0	99	-99	-99	-99
VN091064	4	1	2700	1	6750	0	1000
VN091070	1	1	1350	1	2375	0	500
VN091070	2	44	600	1	900	0	100
VN091070	3	85	0	99	-99	-99	-99
VN091070	4	25	80	1	4800	4800	0
VN091070	5	116	100	1	300	0	50
VN091071	1	1	1300	1	3900	0	270
VN091071	2	44	300	1	600	0	90
VN091071	3	25	40	1	2400	2400	0
VN101001	1	1	1200	1	3000	0	450
VN101001	2	44	2200	1	4500	3600	360
VN101001	3	116	100	1	100	0	10
VN101004	1	44	1500	1	3000	2000	1000
VN101004	2	1	800	1	2000	0	700
VN101004	3	111	0	1	-99	-99	0
VN101005	1	111	50	1	250	250	0
VN101005	2	45	0	99	-99	-99	0
VN101005	3	116	100	1	200	0	20
VN101006	1	44	700	1	1400	1400	200
VN101006	2	1	600	1	1500	0	300
VN101008	1	85	20	10	20000	20000	6000
VN101008	2	1	0	1	-99	-99	-99
VN101009	1	44	4000	1	10000	0	2000
VN101009	2	1	3000	1	7500	0	1000
VN101009	3	116	700	1	1400	0	40
VN101010	1	44	3000	1	9000	1200	350
VN101010	2	85	0	99	-99	-99	0
VN101010	3	1	1500	1	4500	0	150
VN101010	4	116	100	1	200	0	10
VN101010	5	112	20	1	40	0	10
VN101010	6	10	60	1	180	0	15
VN101011	1	44	1000	1	2000	1000	300
VN101011	2	85	1500	1	1650	500	0
VN101011	3	1	1200	1	3000	0	400
VN101011	4	116	50	1	100	0	10
VN101011	5	10	200	1	400	0	40
VN101011	6	112	300	1	600	0	60
VN101014	1	116	100	1	200	100	20
VN101014	2	74	200	1	300	0	15
VN101015	1	111	300	1	1500	200	0
VN101015	2	116	180	1	360	0	0
VN101017	1	1	800	1	2000	0	600
VN101018	1	1	1040	1	3120	0	250
VN101018	2	44	3000	1	8100	7000	1200
VN101020	1	44	6000	1	16200	12500	500
VN101020	2	1	2300	1	17200	2800	600
VN101021	1	44	2500	1	6750	0	250
VN101021	2	85	600	1	300	0	0
VN101021	3	1	2400	1	7200	0	380
VN101021	4	126	60	1	180	0	10
VN101021	5	10	70	1	210	0	10
VN101022	1	1	1500	1	4500	0	450
VN101022	2	10	100	1	200	0	20
VN101022	3	44	1500	1	4500	0	360
VN101022	4	85	2000	1	800	500	90
VN101022	5	116	100	1	200	0	15
VN101022	6	126	180	1	360	0	25
VN101023	1	44	1000	1	2500	600	200
VN101023	2	85	2000	1	1000	500	0
VN101023	3	1	1000	1	2500	0	300
VN101023	4	112	100	1	200	0	20
VN101023	5	10	200	1	400	0	30
VN101023	6	116	200	1	400	0	15
VN101024	1	1	1100	1	2750	0	1000
VN101024	2	85	4000	1	2000	2000	0
VN101024	3	44	300	1	600	0	300
VN101024	4	116	100	1	200	0	10
VN101024	5	112	50	1	175	0	25
VN101025	1	44	2000	1	5700	1350	200
VN101025	2	1	1600	1	4800	0	350
VN101025	3	116	50	1	100	0	10
VN101025	4	112	50	1	150	0	5
VN101025	5	10	40	1	120	0	10
VN101026	1	1	2000	1	5000	0	1000
VN101026	2	44	1000	1	2500	1000	600
VN101026	3	85	800	1	600	0	0
VN101026	4	116	800	1	1600	0	40
VN101027	1	1	1000	1	3000	0	270
VN101027	2	85	0	99	-99	-99	0
VN101027	3	116	30	1	60	0	5
VN101027	4	126	20	1	40	0	5
VN101027	5	74	50	1	125	0	10
VN101028	1	44	1000	1	2000	1200	800
VN101028	2	1	1000	1	3500	0	700
VN101028	3	116	200	1	400	0	0
VN101029	1	85	1000	1	400	0	0
VN101029	2	44	1500	1	3750	0	100
VN101029	3	1	1000	1	2500	0	100
VN101029	4	116	300	1	600	0	30
VN101029	5	21	0	1	0	0	0
VN101030	1	1	1400	1	4200	0	100
VN101030	2	44	900	1	2500	0	350
VN101031	1	1	1500	1	3750	0	900
VN101031	2	44	1000	1	2000	0	400
VN101031	3	10	50	1	100	0	20
VN101031	4	116	90	1	180	0	30
VN101034	1	1	1000	1	2500	0	400
VN101034	2	116	700	1	1440	-99	90
VN101034	3	44	700	1	1440	400	150
VN101034	4	85	500	1	600	300	0
VN101035	1	1	2000	1	5000	500	300
VN101035	2	85	0	1	-99	-99	0
VN101035	3	44	600	1	1200	1000	100
VN101035	4	10	400	1	1200	0	50
VN101035	5	116	300	1	600	0	40
VN101036	1	44	1500	1	3000	2000	600
VN101036	2	1	1000	1	2500	0	500
VN101036	3	116	100	1	200	0	10
VN101037	1	1	1200	1	3600	0	200
VN101037	2	44	500	1	1350	0	100
VN101037	3	85	4000	1	1600	0	0
VN101037	4	116	700	1	2100	0	50
VN101038	1	44	400	1	1000	1000	150
VN101038	2	1	1000	1	2500	500	250
VN101038	3	116	50	1	100	0	20
VN101038	4	10	100	1	300	0	20
VN101039	1	1	800	1	2000	0	610
VN101039	2	44	300	1	750	360	77
VN101039	3	85	1000	1	400	200	0
VN101039	4	74	730	1	2100	0	20
VN101040	1	85	1000	1	400	0	0
VN101040	2	116	500	1	1000	0	30
VN101040	3	111	30	1	150	0	0
VN101040	4	44	500	1	1200	800	80
VN101040	5	1	700	1	1600	0	200
VN101041	1	111	20	1	40	0	0
VN101041	2	45	5	1	25	0	0
VN101041	3	85	1000	1	500	0	0
VN101041	4	1	1000	1	3000	0	200
VN101041	5	116	700	1	1400	0	40
VN101042	1	44	700	1	1400	600	450
VN101042	2	1	1200	1	3000	0	900
VN101042	3	116	100	1	200	0	4
VN101043	1	1	300	1	750	0	380
VN101043	2	10	400	1	800	400	90
VN101043	3	25	100	1	500	400	90
VN101043	4	44	600	1	1500	0	770
VN101043	5	110	3000	1	6000	5000	270
VN101044	1	110	1500	1	3000	3000	500
VN101044	2	116	800	1	1600	800	40
VN101044	3	52	50	1	300	300	30
VN101044	4	44	1500	1	3750	0	800
VN101044	5	1	200	1	500	0	30
VN101045	1	116	250	1	250	250	30
VN101045	2	110	0	1	500	200	50
VN101045	3	74	0	3	-99	-99	110
VN101047	1	44	1200	1	2240	0	500
VN101047	2	1	300	1	900	0	70
VN101048	1	1	1200	1	3000	0	580
VN101048	2	10	1000	1	500	500	90
VN101048	3	25	100	1	500	100	80
VN101048	4	44	2000	1	5000	0	380
VN101048	5	110	3000	1	6000	6000	400
VN101049	1	1	1000	1	2500	0	300
VN101049	2	116	200	1	400	100	30
VN101049	3	10	100	1	200	0	20
VN101049	4	110	2000	1	4000	4000	50
VN101050	1	110	500	1	1000	1000	200
VN101051	1	1	600	1	1500	0	500
VN101051	2	111	0	99	-99	-99	0
VN101051	3	116	100	1	200	0	20
VN101054	1	1	1100	1	2750	0	560
VN101054	2	74	730	1	1400	0	90
VN101054	3	85	3000	1	1200	500	90
VN101054	4	44	600	1	1600	1000	190
VN101059	1	44	1800	1	3240	3240	700
VN101059	2	1	800	1	2000	0	400
VN101064	1	1	2000	1	5000	0	1500
VN101064	2	44	500	1	1000	200	300
VN101064	3	85	1000	1	400	0	0
VN101064	4	122	0	1	0	0	0
VN101064	5	116	700	1	1440	0	50
VN101067	1	44	1000	1	2000	400	500
VN101067	2	1	800	1	2000	0	450
VN101067	3	116	100	1	200	0	20
VN101067	4	50	0	99	-99	-99	-99
VN101083	1	1	400	1	1200	0	80
VN101083	2	44	1000	1	2700	0	900
VN101083	3	110	1000	1	2000	2000	330
VN101083	4	116	500	1	1500	200	100
VN111001	1	80	7000	1	4000	4000	2000
VN111001	2	1	300	1	900	0	100
VN111002	1	80	26000	1	16000	16000	5000
VN111002	2	1	1500	1	3700	0	1500
VN111002	3	15	10	1	40	0	10
VN111002	4	116	20	1	30	0	5
VN111003	1	80	15000	1	7000	7000	3500
VN111003	2	85	2000	1	2000	0	600
VN111003	3	31	100	1	200	0	0
VN111003	4	1	700	1	2000	0	400
VN111003	5	74	350	1	300	0	50
VN111004	1	80	30000	1	15000	15000	10000
VN111004	2	85	500	1	550	0	200
VN111004	3	44	200	1	320	200	100
VN111004	4	112	60	1	150	0	20
VN111004	5	10	50	1	100	0	20
VN111005	1	44	2500	1	5000	2500	2500
VN111005	2	85	10000	1	4000	4000	1500
VN111005	3	1	1000	1	2500	0	1000
VN111005	4	74	100	1	100	0	20
VN111006	1	44	7000	1	15400	15400	3500
VN111006	2	85	1000	1	450	450	100
VN111006	3	1	600	1	1620	0	350
VN111008	1	1	500	1	1250	0	500
VN111008	2	116	45	1	300	0	70
VN111009	1	44	4000	1	10000	0	2000
VN111009	2	85	18000	1	8000	4000	3400
VN111009	3	69	180	1	180	0	0
VN111009	4	1	2000	1	6000	0	1150
VN111009	5	112	300	1	700	0	20
VN111009	6	10	250	1	500	0	20
VN111009	7	74	100	1	100	0	20
VN111010	1	1	300	1	900	0	400
VN111011	1	122	300	1	600	600	300
VN111011	2	85	5000	1	2000	1500	500
VN111011	3	1	340	1	918	0	200
VN111011	4	116	30	1	90	0	20
VN111011	5	10	10	1	30	0	5
VN111011	6	111	10	1	30	0	10
VN111012	1	85	15000	1	6000	0	700
VN111012	2	1	800	1	2400	0	720
VN111012	3	116	250	1	375	0	70
VN111013	1	116	200	1	300	0	50
VN111014	1	85	12000	1	5000	3000	500
VN111014	2	44	2000	1	6000	2000	1000
VN111014	3	1	3000	1	9000	0	3000
VN111016	1	1	500	1	1350	0	500
VN111017	1	1	700	1	2100	0	630
VN111017	2	85	1000	1	1100	1100	300
VN111017	3	116	260	1	390	0	50
VN111019	1	1	300	1	810	0	500
VN111020	1	85	5000	1	2000	2000	900
VN111020	2	1	1500	1	4050	0	800
VN111021	1	80	10000	1	4000	4000	2000
VN111021	2	85	3000	1	1000	0	200
VN111021	3	44	100	1	300	0	100
VN111021	4	15	100	1	500	500	100
VN111021	5	1	1000	1	3000	0	1000
VN111021	6	126	30	1	70	30	10
VN111021	7	116	130	1	190	100	30
VN111021	8	74	63	1	180	100	10
VN111021	9	112	120	1	300	200	50
VN111021	10	10	200	1	400	260	100
VN111022	1	80	17000	1	20000	20000	3500
VN111022	2	85	3750	1	1500	1300	250
VN111022	3	1	900	1	2700	0	300
VN111022	4	10	30	1	60	0	15
VN111025	1	85	10000	1	4000	4000	400
VN111025	2	1	1600	1	4800	0	1250
VN111025	3	116	280	1	420	0	40
VN111027	1	85	16000	1	6400	5500	360
VN111027	2	1	1100	1	3300	0	400
VN111028	1	85	15000	1	5500	5000	1000
VN111028	2	1	600	1	1800	0	800
VN111028	3	74	100	1	200	0	20
VN111030	1	85	3000	1	1200	1200	400
VN111030	2	1	600	1	1600	0	300
VN111030	3	44	50	1	125	0	50
VN111030	4	80	0	99	-99	-99	-99
VN111030	5	10	50	1	150	0	50
VN111031	1	1	600	1	1680	0	1200
VN111032	1	1	200	1	600	0	150
VN111032	2	80	17000	1	10000	10000	4000
VN111032	3	85	1000	1	1000	500	500
VN111033	1	44	400	1	1200	0	500
VN111033	2	111	100	1	1500	1000	200
VN111033	3	25	100	1	500	200	50
VN111033	4	1	800	1	2400	0	850
VN111035	1	44	2500	1	5000	0	1700
VN111035	2	85	8000	1	3200	0	540
VN111035	3	1	1800	1	5400	0	1900
VN111035	4	74	300	1	450	0	50
VN111036	1	85	1200	1	1320	1320	100
VN111036	2	44	300	1	630	630	200
VN111036	3	1	1000	1	2700	0	570
VN111036	4	112	25	1	75	70	30
VN111036	5	10	30	1	90	85	35
VN111038	1	85	4900	1	2000	2000	400
VN111038	2	1	700	1	2000	0	360
VN111038	3	74	500	1	2000	1700	200
VN111039	1	122	1200	1	2400	2400	800
VN111039	2	85	10000	1	4000	3600	600
VN111039	3	111	300	1	1200	1000	0
VN111039	4	1	2300	1	6210	0	2500
VN111040	1	85	20000	1	8000	4000	2000
VN111040	2	1	500	1	1800	0	350
VN111040	3	10	50	1	100	0	20
VN111041	1	122	2400	1	4800	4800	1500
VN111041	2	85	10000	1	4000	3000	1000
VN111041	3	116	60	1	120	0	30
VN111041	4	112	20	1	60	0	15
VN111041	5	10	30	1	90	0	20
VN111041	6	1	1000	1	2700	0	800
VN111042	1	85	8000	1	3200	3200	500
VN111042	2	122	500	1	1000	1000	300
VN111042	3	1	1000	1	3000	0	900
VN111042	4	116	350	1	500	0	40
VN111043	1	85	4000	1	1600	0	800
VN111043	2	44	200	1	500	0	300
VN111043	3	111	0	1	0	0	0
VN111043	4	10	30	1	60	0	10
VN111043	5	93	150	1	150	150	0
VN111043	6	1	800	1	2000	0	1200
VN111044	1	44	1000	1	2000	0	100
VN111044	2	80	9700	1	4000	4000	1000
VN111044	3	1	160	1	480	0	30
VN111044	4	116	20	1	30	0	5
VN111044	5	15	100	1	700	400	50
VN111045	1	44	1500	1	3000	1200	1000
VN111045	2	80	600	1	3600	3600	800
VN111045	3	1	300	1	900	0	280
VN111045	4	10	40	1	250	0	50
VN111045	5	116	50	1	300	0	50
VN111047	1	80	14800	1	5920	4800	1950
VN111047	2	1	1500	1	3900	0	1170
VN111047	3	116	80	1	120	0	50
VN111047	4	85	100	1	200	0	5
VN111048	1	1	600	1	1620	0	900
VN111048	2	44	2000	1	4400	1000	1600
VN111048	3	85	3000	1	1200	0	100
VN111048	4	15	300	1	1800	1800	400
VN111048	5	80	10000	1	6000	6000	1400
VN111050	1	1	2000	1	6000	0	700
VN111050	2	44	1500	1	3700	0	500
VN111050	3	85	2000	1	1000	0	190
VN111050	4	74	150	1	300	0	100
VN111057	1	85	20000	1	8000	4000	1600
VN111057	2	44	1500	1	3000	0	500
VN111057	3	1	1100	1	3300	0	700
VN111057	4	116	200	1	400	0	50
VN111065	1	99	0	99	-99	-99	-99
VN111065	2	44	2000	1	5000	0	1500
VN111065	3	85	5000	1	2000	0	1000
VN111065	4	1	1200	1	3600	0	1000
VN111065	5	116	100	1	200	0	60
VN111065	6	112	120	1	290	0	60
VN111065	7	50	10	1	25	0	5
VN111069	1	85	10000	1	4000	4000	800
VN111069	2	44	500	1	1000	0	200
VN111069	3	1	2000	1	6000	0	2300
VN111069	4	116	270	1	405	0	60
VN111086	1	44	200	1	450	0	150
VN111086	2	85	400	1	160	0	40
VN111086	3	1	700	1	2000	0	1000
VN111086	4	10	70	1	150	0	30
VN111086	5	116	100	1	250	0	50
VN111086	6	65	5	1	60	0	5
VN111109	1	85	30000	1	11000	11000	2000
VN111109	2	44	300	1	900	0	300
VN111111	1	85	7000	1	2500	1800	540
VN111111	2	44	1200	1	3500	0	700
VN111111	3	1	2500	1	7500	0	1500
VN111111	4	10	100	1	200	0	30
VN111111	5	112	100	1	250	0	30
VN111111	6	65	5	1	100	0	10
VN111119	1	80	25000	1	15000	15000	6000
VN111119	2	1	1500	1	4000	0	1000
VN111119	3	112	300	1	500	0	200
VN111119	4	10	200	1	400	0	200
VN111119	5	15	10	1	100	0	30
VN121001	1	122	2000	1	4800	4800	1800
VN121001	2	85	5000	1	2000	0	500
VN121001	3	44	1000	1	2500	0	1000
VN121001	4	111	1000	1	5000	5000	1000
VN121001	5	1	1500	1	4500	0	1600
VN121001	6	74	500	1	500	300	50
VN121002	1	44	1000	1	3000	0	1000
VN121002	2	85	10000	1	4000	2000	500
VN121002	3	10	100	1	200	100	50
VN121002	4	112	100	1	250	100	50
VN121002	5	50	10	1	50	0	5
VN121002	6	1	800	1	2160	0	500
VN121003	1	1	1000	1	3000	0	1000
VN121003	2	112	50	1	100	0	20
VN121003	3	74	100	1	200	0	30
VN121004	1	85	7000	1	2800	2800	200
VN121004	2	44	2500	1	5000	1000	800
VN121004	3	122	283	1	560	500	180
VN121004	4	1	1600	1	4800	0	1200
VN121004	5	116	400	1	450	0	50
VN121005	1	111	1000	1	7000	7000	300
VN121005	2	1	1500	1	4500	0	1000
VN121005	3	44	1000	1	3000	0	1000
VN121005	4	85	500	1	200	0	20
VN121006	1	72	300	1	600	600	150
VN121006	2	112	200	1	350	0	50
VN121006	3	116	150	1	300	0	50
VN121006	4	1	400	1	1200	0	500
VN121007	1	85	5000	1	2000	0	700
VN121007	2	44	2000	1	6000	0	1000
VN121007	3	74	1000	1	2000	2000	500
VN121007	4	1	2000	1	6000	0	1000
VN121008	1	85	10000	1	4000	2000	300
VN121008	2	44	1500	1	3000	0	600
VN121008	3	1	1800	1	5400	0	1500
VN121008	4	116	280	1	350	0	50
VN121009	1	44	2000	1	5000	0	2000
VN121009	2	111	500	1	1500	1400	200
VN121009	3	1	1500	1	4200	0	1000
VN121011	1	85	5000	1	2000	0	200
VN121011	2	1	3000	1	9000	1200	2700
VN121011	3	122	400	1	960	800	100
VN121012	1	1	800	1	2400	0	1200
VN121012	2	126	200	1	400	0	20
VN121012	3	10	150	1	300	0	40
VN121012	4	74	300	1	700	200	50
VN121013	1	44	3000	1	6900	4600	2480
VN121013	2	85	3000	1	1200	0	500
VN121013	3	1	600	1	1500	0	500
VN121013	4	111	0	1	0	0	0
VN121013	5	116	20	1	60	0	10
VN121013	6	10	30	1	90	0	10
VN121014	1	1	600	1	1340	0	1000
VN121014	2	44	3000	1	8100	8100	1800
VN121019	1	99	30000	1	12000	10000	2000
VN121019	2	122	1300	1	3120	3120	1000
VN121019	3	1	1000	1	2700	0	500
VN121019	4	112	30	1	60	0	10
VN121019	5	116	30	1	60	0	10
VN121019	6	10	40	1	120	0	20
VN121020	1	122	200	1	440	440	0
VN121020	2	85	5000	1	2000	2000	300
VN121020	3	44	700	1	2000	2000	1000
VN121020	4	1	1200	1	3600	0	1000
VN121021	1	85	1000	1	400	0	50
VN121021	2	1	400	1	1200	0	300
VN121022	1	85	30000	1	12000	10000	1200
VN121022	2	122	1630	1	3900	3900	700
VN121022	3	1	3800	1	11400	7000	3300
VN121022	4	10	500	1	1500	0	100
VN121023	1	85	10000	1	4000	0	500
VN121023	2	1	1400	1	4200	0	1200
VN121023	3	74	200	1	200	0	20
VN121025	1	85	3000	1	1200	0	300
VN121025	2	122	700	1	1500	1500	500
VN121025	3	1	1000	1	3000	0	1300
VN121025	4	111	0	1	0	0	0
VN121025	5	25	10	1	50	0	0
VN121028	1	85	3000	1	1200	1200	120
VN121028	2	1	3000	1	9000	3300	2000
VN121028	3	116	300	1	500	0	50
VN121030	1	85	7000	1	2800	2000	200
VN121030	2	1	1580	1	4500	0	1200
VN121030	3	44	1680	1	2000	1500	300
VN121030	4	116	400	1	600	0	40
VN121031	1	85	5000	1	2000	0	200
VN121031	2	1	2500	1	7500	0	1600
VN121031	3	74	300	1	300	0	30
VN121032	1	25	200	1	500	500	100
VN121032	2	111	120	1	1000	1000	400
VN121032	3	112	300	1	1500	1400	300
VN121032	4	10	400	1	1200	1100	300
VN121032	5	116	250	1	750	700	200
VN121032	6	1	800	1	2160	0	800
VN121033	1	85	500	1	200	0	20
VN121033	2	1	2000	1	6000	0	1000
VN121033	3	111	200	1	600	500	0
VN121034	1	1	2500	1	6500	3000	1300
VN121034	2	31	1000	1	300	0	80
VN121034	3	116	30	1	90	0	20
VN121034	4	10	20	1	60	0	10
VN121034	5	112	30	1	120	0	20
VN121035	1	85	15000	1	6000	6000	500
VN121035	2	10	200	1	400	0	30
VN121035	3	116	250	1	500	0	50
VN121035	4	1	1000	1	3000	0	1600
VN121036	1	122	100	1	200	0	0
VN121036	2	85	1000	1	400	0	200
VN121036	3	1	2000	1	6000	1500	1000
VN121036	4	44	2000	1	6000	3000	1200
VN121036	5	74	200	1	200	0	20
VN121037	1	122	1000	1	3000	3000	200
VN121037	2	85	4000	1	1600	1600	160
VN121037	3	1	1600	1	4800	0	1500
VN121037	4	116	300	1	450	0	40
VN121038	1	85	4000	1	1600	1600	180
VN121038	2	1	1000	1	2700	0	800
VN121038	3	10	100	1	300	150	60
VN121038	4	112	60	1	180	100	15
VN121038	5	116	50	1	150	0	10
VN121039	1	85	3500	1	1400	400	150
VN121039	2	1	1200	1	3600	0	1900
VN121039	3	10	150	1	250	0	50
VN121039	4	116	100	1	200	0	40
VN121039	5	112	100	1	200	0	50
VN121040	1	92	4000	1	12100	12000	1200
VN121040	2	25	60	1	600	500	0
VN121040	3	44	1000	1	3000	0	500
VN121040	4	1	800	1	2400	0	500
VN121041	1	85	1300	1	520	0	50
VN121041	2	1	1200	1	3600	0	1200
VN121041	3	116	200	1	700	0	70
VN121042	1	85	3000	1	1200	1000	100
VN121042	2	1	1000	1	2700	0	700
VN121042	3	122	300	1	600	600	300
VN121042	4	111	50	1	200	200	0
VN121043	1	85	5000	1	2000	0	200
VN121043	2	1	2000	1	6000	0	1800
VN121043	3	112	100	1	300	0	50
VN121044	1	85	2000	1	800	0	100
VN121044	2	1	2000	1	6000	0	3000
VN121044	3	44	200	1	600	0	200
VN121044	4	10	100	1	200	0	50
VN121044	5	116	100	1	250	0	50
VN121045	1	44	0	99	0	0	0
VN121045	2	45	0	99	0	0	0
VN121045	3	4	0	99	0	0	-99
VN121047	1	85	1500	1	600	0	100
VN121047	2	111	0	99	0	0	0
VN121047	3	1	300	1	810	0	300
VN121048	1	111	250	1	600	500	0
VN121048	2	10	100	1	200	0	40
VN121048	3	116	100	1	250	0	30
VN121048	4	1	600	1	1800	0	800
VN121049	1	85	4000	1	1600	1600	160
VN121049	2	1	2000	1	6000	3000	1800
VN121049	3	10	100	1	300	0	30
VN121049	4	112	100	1	300	0	30
VN121050	1	85	15000	1	6000	5000	500
VN121050	2	1	2000	1	5400	0	1640
VN121050	3	10	20	1	60	0	10
VN121050	4	116	30	1	90	0	15
VN121050	5	112	50	1	15	0	25
VN121057	1	85	3000	1	1200	1200	100
VN121057	2	44	2000	1	4000	2000	700
VN121057	3	1	500	1	1500	0	450
VN121057	4	10	250	1	400	0	60
VN121061	1	111	0	1	0	0	0
VN121063	1	85	22000	1	10000	5000	1000
VN121063	2	44	1500	1	4500	2000	800
VN121063	3	1	800	1	2500	0	900
VN121063	4	112	200	1	500	0	100
VN121063	5	10	300	1	600	0	100
VN121074	1	85	30000	1	15000	15000	1000
VN121074	2	1	3000	1	9000	4000	2000
VN121074	3	44	2000	1	6000	4000	1500
VN121074	4	112	300	1	500	0	50
VN121074	5	116	100	1	200	0	30
VN121088	1	122	30	1	100	100	0
VN121088	2	1	800	1	2400	0	600
VN121088	3	10	1000	1	1700	1500	100
VN121088	4	44	300	1	600	0	60
VN121088	5	112	300	1	600	0	40
VN121088	6	74	100	1	300	0	50
VN121094	1	122	1000	1	2200	2200	270
VN121094	2	1	1200	1	3600	0	837
VN121094	3	85	1000	1	400	0	0
VN121094	4	112	20	1	40	0	15
VN121094	5	10	20	1	40	0	10
VN121094	6	69	30	1	90	0	10
VN121109	1	122	100	1	250	250	400
VN121109	2	85	6000	1	2500	2000	120
VN121109	3	1	1500	1	5000	0	2800
VN121109	4	116	50	1	120	0	20
VN121109	5	74	100	1	300	0	20
VN121109	6	10	100	1	250	0	50
VN121124	1	85	10000	1	4000	3500	300
VN121124	2	1	1500	1	4050	0	1050
VN121124	3	122	-99	99	-99	-99	-99
VN121124	4	44	300	1	990	800	200
VN121126	1	1	1500	1	4500	0	1200
VN121126	2	85	1000	1	400	0	40
VN121126	3	74	300	1	500	0	50
VN131001	1	1	1.2	10	3400	1000	1500
VN131002	1	1	1500	1	5200	2200	2000
VN131003	1	1	350	1	1050	0	500
VN131004	1	118	10	3	1000	1000	600
VN131004	2	1	1.8	10	540	0	150
VN131005	1	1	1	10	3000	0	1200
VN131006	1	1	2	10	6000	0	2900
VN131006	2	51	70	1	500	400	840
VN131006	3	15	3	10	2000	1400	500
VN131007	1	51	3	10	5000	5000	1000
VN131008	1	51	1.6	10	7500	7500	2000
VN131008	2	32	2.3	10	1500	1500	300
VN131008	3	1	6	10	1800	0	400
VN131008	4	116	1	10	1000	1000	200
VN131008	5	25	1.3	10	1300	1300	300
VN131008	6	74	1.7	10	5000	5000	800
VN131008	7	118	0	99	-99	-99	-99
VN131009	1	1	1.8	10	5000	2500	2210
VN131010	1	1	1.4	10	4200	0	1500
VN131011	1	1	8	10	1200	600	600
VN131012	1	1	1	10	3000	0	700
VN131013	1	1	1	10	2500	1000	1000
VN131014	1	1	1.6	10	4300	1500	2200
VN131017	1	1	6	10	1200	0	600
VN131019	1	1	8	10	1600	0	600
VN131020	1	1	1.5	10	4500	0	1000
VN131021	1	1	1.2	10	2400	0	1700
VN131022	1	1	1	10	3000	400	1600
VN131022	2	69	0	1	0	0	0
VN131022	3	56	0	1	60	16	10
VN131022	4	74	5	1	20	10	150
VN131022	5	118	0	3	0	0	0
VN131022	6	51	0	1	0	0	0
VN131022	7	28	5	1	25	25	0
VN131023	1	111	0	1	0	0	0
VN131023	2	116	5	10	1300	1000	300
VN131023	3	74	4	10	1300	1000	400
VN131024	1	1	1.3	10	3400	400	1000
VN131025	1	1	1.6	10	5000	1700	2070
VN131025	2	69	0	10	0	0	0
VN131025	3	32	60	1	400	0	30
VN131026	1	1	1200	1	6600	6000	1400
VN131027	1	1	2	10	5500	0	4300
VN131027	2	111	1	10	1500	1000	300
VN131027	3	45	0	3	-99	-99	-99
VN131028	1	1	4	10	12000	0	3700
VN131028	2	4	150	3	5000	5000	600
VN131028	3	51	0	10	0	0	0
VN131028	4	111	0	10	0	0	0
VN131028	5	69	0	10	0	0	0
VN131030	1	1	1	10	3000	0	1350
VN131030	2	116	3	10	3000	2500	500
VN131030	3	118	0	99	0	0	0
VN131030	4	74	3	10	6000	6000	1500
VN131031	1	1	3	10	7800	2000	2200
VN131031	2	56	1.2	10	2200	2000	300
VN131031	3	50	1	10	800	700	600
VN131031	4	72	0	99	0	0	0
VN131033	1	1	1.4	10	4200	0	3000
VN131033	2	74	1	10	100	100	50
VN131036	1	74	1.5	10	4000	4000	1500
VN131036	2	116	6	10	1200	1200	300
VN131036	3	1	3	10	9000	3000	1500
VN131037	1	118	600	3	12000	12000	6000
VN131037	2	116	1	10	200	0	50
VN131037	3	74	2000	2	2000	2000	1000
VN131037	4	1	3	10	900	0	840
VN131037	5	50	2	10	300	300	300
VN131038	1	51	3.5	10	4500	4500	3000
VN131038	2	15	1	10	600	240	150
VN131038	3	117	0	3	0	0	0
VN131038	4	25	2.5	10	1500	1500	1000
VN131038	5	1	4	10	1200	0	500
VN131039	1	51	0	99	0	0	0
VN131039	2	92	1	10	1500	1200	300
VN131039	3	15	2	10	1500	1500	150
VN131039	4	25	6	10	500	500	100
VN131039	5	116	6.5	10	500	400	100
VN131039	6	118	0	3	0	0	0
VN131040	1	25	0	99	0	0	0
VN131040	2	118	0	99	0	0	0
VN131041	1	25	1	10	2400	2400	1500
VN131041	2	51	1.6	10	1300	1300	1500
VN131041	3	118	0	3	0	0	0
VN131042	1	51	2	10	700	700	2000
VN131042	2	116	5	10	200	200	30
VN131042	3	74	5	10	1000	1000	300
VN131042	4	92	2.5	10	7000	7000	1000
VN131042	5	15	70	1	490	0	100
VN131042	6	25	5	10	700	700	500
VN131043	1	25	1.3	10	4000	4000	1000
