CHILDID	PASSID	PASSET	NUMPASS	VALPASS	DECPASS
VN071009	1	23	4	500	2
VN071010	1	23	6	2500	2
VN071011	1	3	0	-99	99
VN071011	2	1	4	50	2
VN071013	1	1	2	60	2
VN071013	2	5	1	200	2
VN071014	1	1	4	70	1
VN071014	2	3	1	300	1
VN071015	1	1	11	700	1
VN071015	2	3	1	300	1
VN071015	3	5	1	500	1
VN071018	1	5	1	180	1
VN071018	2	3	1	5	1
VN071018	3	1	7	100	1
VN071019	1	5	1	2500	1
VN071019	2	8	1	500	1
VN071019	3	1	6	100	1
VN071020	1	30	1	5000	3
VN071020	2	31	1	3000	3
VN071021	1	5	1	100	2
VN071021	2	8	1	100	2
VN071021	3	1	5	10	2
VN071023	1	1	4	50	1
VN071023	2	3	1	200	1
VN071023	3	5	1	500	1
VN071024	1	1	-77	-77	77
VN071024	2	3	2	10000	2
VN071024	3	5	2	20000	2
VN071025	1	15	-77	1000	4
VN071026	1	5	1	500	1
VN071026	2	3	1	200	1
VN071026	3	1	4	120	1
VN071027	1	30	3	6000	2
VN071028	1	5	1	1500	2
VN071028	2	3	1	10	2
VN071028	3	1	7	100	2
VN071029	1	3	1	80	1
VN071029	2	5	1	300	1
VN071029	3	1	4	80	1
VN071031	1	23	4	80	3
VN071032	1	5	0	0	88
VN071032	2	3	0	0	88
VN071032	3	1	5	50	1
VN071033	1	25	1	150	2
VN071033	2	23	7	110	2
VN071034	1	25	1	10000	1
VN071034	2	23	4	160	2
VN071035	1	1	6	200	1
VN071035	2	3	1	2000	1
VN071035	3	5	1	1000	1
VN071036	1	25	1	3000	1
VN071036	2	30	1	70	1
VN071037	1	23	12	100	2
VN071037	2	25	1	4000	2
VN071037	3	88	-99	-99	99
VN071038	1	8	3	300	1
VN071038	2	5	2	450	2
VN071038	3	1	8	300	2
VN071039	1	3	1	1000	2
VN071039	2	5	1	500	2
VN071039	3	88	 	 	 
VN071041	1	1	6	120	2
VN071041	2	3	1	300	2
VN071041	3	88	-99	-99	99
VN071042	1	1	1	10	2
VN071042	2	88	-99	-99	99
VN071043	1	5	1	1000	1
VN071043	2	3	1	200	1
VN071043	3	1	3	45	1
VN071044	1	8	1	120	2
VN071044	2	5	1	200	2
VN071044	3	1	3	70	2
VN071045	1	5	1	1000	1
VN071045	2	1	5	100	1
VN071046	1	1	3	50	1
VN071047	1	5	1	200	1
VN071047	2	3	1	300	1
VN071047	3	1	9	200	1
VN071048	1	5	2	300	1
VN071048	2	3	1	500	1
VN071048	3	1	17	400	2
VN071049	1	3	0	-99	99
VN071049	2	1	12	10	1
VN071073	1	5	1	700	1
VN071073	2	3	0	-99	99
VN071073	3	1	3	60	1
VN071091	1	5	2	4000	1
VN071091	2	3	1	3000	1
VN071091	3	31	1	10000	1
VN071097	1	1	3	20	3
VN071097	2	3	1	100	3
VN071097	3	5	1	200	3
VN071112	1	14	2	9000	1
VN071112	2	30	2	1000	1
VN071120	1	5	1	2500	3
VN071120	2	8	1	2000	3
VN071121	1	3	1	5000	3
VN071121	2	5	1	250	3
VN071121	3	1	7	50	3
VN081003	1	7	3	0	1
VN081004	1	1	3	25	2
VN081005	1	13	5	-77	1
VN081006	1	15	5	35	80
VN081007	1	8	1	0	1
VN081008	1	1	1	0	1
VN081011	1	25	1	450	2
VN081017	1	1	3	15	1
VN081018	1	30	10	800	1
VN081019	1	1	5	280	1
VN081020	1	1	3	0	2
VN081022	1	21	3	2000	80
VN081024	1	1	3	165	1
VN081024	2	30	1	315	2
VN081025	1	13	2	25	1
VN081026	1	23	1	150	2
VN081028	1	1	2	28	2
VN081030	1	30	1	-77	1
VN081031	1	5	1	600	1
VN081031	2	1	4	0	1
VN081032	1	1	3	60	2
VN081034	1	15	3	290	2
VN081035	1	23	6	6000	80
VN081035	2	25	1	3000	80
VN081036	1	13	7	-77	1
VN081038	1	25	1	80000	80
VN081039	1	25	1	8000	80
VN081042	1	13	3	0	2
VN081043	1	23	1	30	1
VN081047	1	15	4	-77	1
VN081049	1	23	-77	-77	80
VN081073	1	23	3	500	1
VN081092	1	9	5	1000	1
VN081105	1	1	3	0	1
VN081108	1	1	3	0	1
VN081120	1	22	-77	-77	2
VN081130	1	8	30	60	1
VN081130	2	1	2	15	1
VN081139	1	15	1	200	2
VN081150	1	21	4	3000	1
VN081152	1	23	3	200	1
VN091001	1	1	7	200	2
VN091003	1	8	6	500	2
VN091003	2	1	13	200	2
VN091005	1	10	4	600	2
VN091005	2	25	1	6000	2
VN091006	1	1	8	320	80
VN091008	1	1	4	200	1
VN091008	2	1	5	100	1
VN091009	1	1	8	500	3
VN091010	1	1	6	450	1
VN091011	1	1	10	450	99
VN091012	1	1	6	100	3
VN091013	1	1	6	100	1
VN091014	1	1	10	200	2
VN091015	1	1	12	300	1
VN091016	1	1	4	20	1
VN091017	1	1	9	200	1
VN091018	1	1	6	50	1
VN091019	1	1	10	340	1
VN091020	1	1	7	150	3
VN091020	2	3	1	0	3
VN091021	1	1	8	100	18
VN091022	1	1	2	100	1
VN091024	1	1	15	350	2
VN091025	1	1	16	60	80
VN091026	1	1	13	300	1
VN091026	2	8	3	50	1
VN091027	1	1	6	250	80
VN091028	1	1	9	200	80
VN091028	2	3	1	30	80
VN091029	1	1	11	900	1
VN091030	1	1	9	240	1
VN091030	2	3	1	70	1
VN091030	3	8	3	50	2
VN091031	1	1	4	130	1
VN091032	1	1	12	200	1
VN091032	2	6	1	100	1
VN091033	1	1	10	150	1
VN091036	1	1	12	300	1
VN091036	2	3	1	60	1
VN091037	1	1	5	100	1
VN091039	1	1	11	300	1
VN091041	1	1	9	400	1
VN091042	1	1	11	300	1
VN091044	1	1	20	500	2
VN091045	1	1	6	160	2
VN091046	1	30	1	3000	1
VN091048	1	25	3	10000	1
VN091049	1	1	4	110	1
VN091050	1	1	6	150	1
VN091052	1	1	9	600	1
VN091053	1	1	9	600	1
VN091056	1	1	9	100	80
VN091056	2	3	1	80	80
VN091056	3	6	1	900	80
VN091057	1	1	6	150	1
VN091057	2	6	1	100	1
VN091061	1	1	6	190	1
VN091062	1	1	6	230	2
VN091064	1	1	9	170	1
VN091070	1	1	13	500	1
VN091071	1	1	4	120	1
VN101001	1	1	6	150	1
VN101001	2	6	1	200	1
VN101004	1	1	10	400	1
VN101004	2	3	1	80	1
VN101004	3	5	1	500	1
VN101005	1	26	1	12000	1
VN101006	1	23	2	120	1
VN101006	2	25	1	3000	1
VN101008	1	1	-77	100	1
VN101009	1	1	5	150	1
VN101010	1	1	15	300	1
VN101010	2	3	1	50	1
VN101011	1	1	4	150	1
VN101011	2	3	1	100	1
VN101011	3	6	1	100	1
VN101014	1	30	2	30	1
VN101015	1	30	3	8000	1
VN101016	1	21	5	6000	5
VN101017	1	17	10	1000	1
VN101018	1	1	7	120	1
VN101019	1	17	10	30000	1
VN101020	1	1	6	500	1
VN101020	2	5	1	200	1
VN101021	1	1	13	200	1
VN101021	2	3	1	50	1
VN101022	1	1	6	150	2
VN101022	2	3	1	100	2
VN101022	3	6	1	200	2
VN101023	1	1	5	200	2
VN101024	1	1	12	500	1
VN101024	2	6	1	200	1
VN101025	1	1	11	150	3
VN101025	2	3	1	50	3
VN101026	1	1	7	200	1
VN101026	2	6	1	200	1
VN101027	1	1	8	150	2
VN101028	1	1	10	200	2
VN101028	2	5	1	300	1
VN101028	3	6	1	200	1
VN101029	1	1	2	80	3
VN101029	2	5	1	400	3
VN101030	1	1	8	200	1
VN101031	1	1	4	150	1
VN101031	2	5	1	300	1
VN101034	1	1	4	100	2
VN101034	2	3	1	80	2
VN101034	3	6	1	100	2
VN101035	1	1	4	100	1
VN101036	1	1	9	300	1
VN101036	2	3	1	100	1
VN101036	3	6	1	200	1
VN101037	1	13	2	200	2
VN101038	1	1	3	20	2
VN101039	1	1	4	150	1
VN101039	2	6	1	200	1
VN101039	3	3	1	50	1
VN101040	1	1	4	100	1
VN101041	1	1	5	100	1
VN101041	2	3	1	50	1
VN101041	3	6	1	60	1
VN101042	1	1	12	300	1
VN101042	2	3	1	80	1
VN101042	3	6	1	250	1
VN101043	1	1	4	40	1
VN101044	1	1	4	50	1
VN101045	1	1	4	20	1
VN101047	1	1	10	70	1
VN101047	2	3	1	50	1
VN101048	1	1	8	220	4
VN101049	1	1	7	150	3
VN101049	2	3	1	50	3
VN101050	1	1	3	15	1
VN101051	1	30	6	30	3
VN101054	1	1	5	150	1
VN101059	1	1	3	30	2
VN101064	1	1	4	150	1
VN101064	2	3	1	60	1
VN101067	1	1	8	300	1
VN101067	2	6	1	200	1
VN101075	1	25	1	140000	1
VN101083	1	1	7	70	1
VN111001	1	1	3	50	80
VN111001	2	30	3	200	80
VN111002	1	1	10	40	2
VN111003	1	1	7	100	80
VN111003	2	30	1	100	80
VN111004	1	1	7	100	3
VN111005	1	30	1	100	80
VN111005	2	1	3	50	80
VN111006	1	6	1	70	2
VN111006	2	1	6	120	2
VN111009	1	6	1	100	3
VN111009	2	5	1	50	3
VN111009	3	1	3	20	3
VN111010	1	25	2	10000	80
VN111011	1	1	5	70	80
VN111012	1	1	6	30	80
VN111014	1	1	8	200	80
VN111014	2	30	5	1500	80
VN111016	1	13	10	200	80
VN111017	1	1	5	30	80
VN111019	1	30	4	2000	80
VN111020	1	1	16	100	80
VN111020	2	5	1	200	80
VN111020	3	6	1	50	80
VN111021	1	11	4	30	1
VN111021	2	8	1	300	1
VN111022	1	1	12	500	2
VN111022	2	8	1	0	99
VN111025	1	1	6	30	80
VN111027	1	1	6	40	3
VN111028	1	30	3	5000	80
VN111028	2	1	5	50	80
VN111030	1	1	6	30	3
VN111030	2	30	1	0	99
VN111031	1	3	1	60	1
VN111031	2	1	4	100	1
VN111032	1	1	3	100	80
VN111034	1	15	6	500	80
VN111034	2	23	10	7000	80
VN111035	1	1	7	70	2
VN111035	2	30	6	500	2
VN111036	1	1	10	80	80
VN111036	2	8	1	200	88
VN111038	1	3	1	50	80
VN111038	2	5	1	300	80
VN111038	3	6	1	260	80
VN111039	1	1	6	500	80
VN111040	1	8	3	4000	80
VN111040	2	1	5	30	80
VN111041	1	1	8	200	80
VN111042	1	1	20	600	2
VN111043	1	1	10	100	80
VN111044	1	1	5	20	80
VN111045	1	1	5	300	80
VN111047	1	30	1	5000	2
VN111048	1	1	4	150	2
VN111048	2	30	1	1500	1
VN111048	3	88	-99	-99	99
VN111050	1	30	2	1000	80
VN111050	2	1	3	100	80
VN111057	1	1	12	100	80
VN111057	2	30	1	3000	1
VN111065	1	1	10	1000	80
VN111065	2	30	2	5000	80
VN111069	1	1	5	20	80
VN111086	1	1	14	300	80
VN111086	2	1	4	200	80
VN111109	1	1	5	50	80
VN111109	2	30	1	100	80
VN111111	1	1	9	300	80
