CHILDID	LOANID	LOANTYPE	LOANSRCE	LOANIMPT	LOANKIDS	LOANREPY
VN201038	1	2	7	2	3	3
VN201042	1	2	7	2	2	1
VN201044	1	1	1	2	3	1
VN201044	2	1	3	2	3	1
VN201044	3	2	8	2	3	1
VN201045	1	2	7	2	2	2
VN201046	1	2	8	3	3	3
VN201054	1	1	3	2	2	1
VN201056	1	1	1	2	2	2
VN201059	1	2	7	2	3	2
VN201068	1	2	8	3	3	3
VN201073	1	1	6	1	3	2
VN201074	1	1	2	1	1	2
VN201089	1	2	7	2	2	2
VN201104	1	1	2	1	3	3
VN201104	2	2	8	3	3	2
