CHILDID	ID	AGE	MEMSEX	RELATE	LIVHSE	GRADE	STILL	CHGRADE	CHSTILL	WHYNOT	AGEGRADE	AGESTSCH	HHSCHTYP	PERF	SCHOOLEN	DISAB	ACT1	MONTHS1	DAYS1	HOURS1	ACT2	MONTHS2	DAYS2	HOURS2	ACT3	MONTHS3	DAYS3	HOURS3	SLEEP	CHCARE	HHCHORE	NPAYWORK	PAYWORK	SCHOOL	STUDY	PLAY
VN011029	17	7	2	7	1	 	 	1	1	88	88	6	3	3	2	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	5	2	7
VN011030	0	12	1	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	20	4	17	88	88	88	88	88	88	88	9	1	3	0	0	4	4	3
VN011030	1	40	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	8	20	8	1	3	8	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011030	2	38	2	1	1	12	0	 	 	 	 	 	 	 	 	0	12	9	20	8	1	4	10	4	15	12	18	2	 	 	 	 	 	 	 	 
VN011030	3	15	1	7	1	 	 	9	1	88	88	6	3	2	2	0	15	10	18	5	17	88	88	88	88	88	88	88	8	2	3	0	0	4	5	2
VN011030	17	8	1	7	1	 	 	3	1	88	88	6	3	2	2	0	15	8	12	2	17	88	88	88	88	88	88	88	10	0	2	0	0	4	2	6
VN011031	0	12	2	0	1	 	 	6	1	88	88	6	3	2	2	0	15	6	12	4	17	88	88	88	88	88	88	88	11	5	2	0	0	5	0	1
VN011031	1	82	2	6	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011031	2	39	1	1	1	7	0	 	 	 	 	 	 	 	 	3	1	6	10	5	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011031	3	35	2	1	1	2	0	 	 	 	 	 	 	 	 	0	5	12	20	8	15	12	30	5	88	88	88	88	 	 	 	 	 	 	 	 
VN011031	4	14	2	7	1	 	 	8	1	88	88	6	3	2	2	0	15	10	15	4	17	88	88	88	88	88	88	88	9	0	6	0	0	5	2	2
VN011031	5	10	1	7	1	 	 	4	1	88	88	6	3	2	2	0	15	5	10	2	17	88	88	88	88	88	88	88	9	2	4	0	0	4	1	2
VN011031	6	2	2	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011032	0	11	2	0	1	 	 	6	1	88	88	6	3	3	2	0	15	5	15	5	17	88	88	88	88	88	88	88	8	0	5	0	0	4	4	3
VN011032	1	50	2	1	1	3	0	 	 	 	 	 	 	 	 	0	12	7	20	7	1	6	9	4	15	12	30	1	 	 	 	 	 	 	 	 
VN011032	2	21	1	7	1	9	0	 	 	 	 	 	 	 	 	0	12	6	24	8	1	4	6	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011033	0	12	2	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	12	4	17	88	88	88	88	88	88	88	10	2	2	0	0	5	2	3
VN011033	1	45	1	1	1	14	0	 	 	 	 	 	 	 	 	0	13	12	30	8	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011033	2	40	2	1	1	9	0	 	 	 	 	 	 	 	 	0	10	12	30	12	1	6	5	4	88	88	88	88	 	 	 	 	 	 	 	 
VN011033	3	17	1	7	1	 	 	0	4	24	4	9	 	 	 	5	15	12	30	2	17	88	88	88	88	88	88	88	15	0	0	0	0	0	0	9
VN011033	4	15	2	7	1	 	 	9	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	10	0	4
