PLACEID	TYWKIDR4	TYPEMALE	TYPEFMLE	TYPECHLD
504	11	 	 	-88
504	12	 	 	-88
505	1	-11	-11	-11
505	2	20	-11	-11
505	3	50	-11	-11
505	4	-11	-11	-11
505	5	 	 	-11
505	6	 	 	-11
505	7	 	 	-11
505	8	 	 	-11
505	9	-88	-88	-88
505	10	-88	-88	-88
505	11	 	 	-88
505	12	 	 	-88
507	1	-11	-11	-11
507	2	30	-11	-11
507	3	40	-11	-11
507	4	-11	-11	-11
507	5	 	 	-11
507	6	 	 	-11
507	7	 	 	-11
507	8	 	 	-11
507	9	35	-11	-11
507	10	-88	-88	-88
507	11	 	 	-88
507	12	 	 	-88
508	1	-11	-11	-11
508	2	-11	-11	-11
508	3	50	-11	-11
508	4	-11	-11	-11
508	5	 	 	-11
508	6	 	 	-11
508	7	 	 	-11
508	8	 	 	-11
508	9	30	-11	-11
508	10	-88	-88	-88
508	11	 	 	-88
508	12	 	 	-88
509	1	-11	-11	-11
509	2	-11	-11	-11
509	3	40	-11	-11
509	4	-11	-11	-11
509	5	 	 	-11
509	6	 	 	-11
509	7	 	 	-11
509	8	 	 	-11
509	9	-88	-88	-88
509	10	-88	-88	-88
509	11	 	 	-88
509	12	 	 	-88
510	1	-11	-11	-11
510	2	20	-11	-11
510	3	40	-11	-11
510	4	-11	-11	-11
510	5	 	 	-11
510	6	 	 	-11
510	7	 	 	-11
510	8	 	 	-11
510	9	30	-11	-11
510	10	-88	-88	-88
510	11	 	 	-88
510	12	 	 	-88
511	1	-11	-11	-11
511	2	15	-11	-11
511	3	20	-11	-11
511	4	-11	-11	-11
511	5	 	 	-11
511	6	 	 	-11
511	7	 	 	-11
511	8	 	 	-11
511	9	30	-11	-11
511	10	-88	-88	-88
511	11	 	 	-88
511	12	 	 	-88
512	1	-11	20	-11
512	2	40	-11	-11
512	3	35	-11	-11
512	4	-11	-11	-11
512	5	 	 	-11
512	6	 	 	-11
512	7	 	 	-11
512	8	 	 	-11
512	9	-88	-88	0
512	10	-88	-88	-88
512	11	 	 	-88
512	12	 	 	-88
601	1	-11	20	-11
601	2	30	-11	-11
601	3	30	-11	-11
601	4	30	-11	-11
601	5	 	 	-11
601	6	 	 	-11
601	7	 	 	-11
601	8	 	 	-11
601	9	50	30	10
601	10	50	40	-11
601	11	 	 	-88
601	12	 	 	-88
602	1	-11	-11	-11
602	2	25	25	-11
602	3	30	-11	-11
602	4	30	30	-11
602	5	 	 	20
602	6	 	 	20
602	7	 	 	-11
602	8	 	 	20
602	9	25	-11	-11
602	10	25	-11	-11
602	11	 	 	-88
602	12	 	 	-88
701	1	-11	-11	-11
701	2	25	-11	-11
701	3	30	-11	-11
701	4	25	25	-11
701	5	 	 	-11
701	6	 	 	-11
701	7	 	 	-11
701	8	 	 	10
701	9	-88	-88	-88
701	10	-88	-88	-88
701	11	 	 	-88
701	12	 	 	-88
702	1	-11	15	-11
702	2	20	-11	-11
702	3	30	-11	-11
702	4	-11	-11	-11
702	5	 	 	3
702	6	 	 	10
702	7	 	 	10
702	8	 	 	5
702	9	20	20	-11
702	10	-11	10	-11
702	11	 	 	-88
702	12	 	 	-88
703	1	-11	20	-11
703	2	30	-11	-11
703	3	30	-11	-11
703	4	-11	-11	-11
703	5	 	 	-11
703	6	 	 	15
703	7	 	 	15
703	8	 	 	10
703	9	20	-11	6
703	10	40	-11	-11
703	11	 	 	-88
703	12	 	 	-88
704	1	-11	16	-11
704	2	30	-11	-11
704	3	30	-11	-11
704	4	-11	25	-11
704	5	 	 	-11
704	6	 	 	10
704	7	 	 	-11
704	8	 	 	10
704	9	-88	-88	-88
704	10	-88	-88	-88
704	11	 	 	-88
704	12	 	 	-88
801	1	-11	15	-11
801	2	25	-11	-11
801	3	50	-11	15
801	4	25	-11	-11
801	5	 	 	10
801	6	 	 	-11
801	7	 	 	-11
801	8	 	 	-11
801	9	80	-11	30
801	10	20	-11	-11
801	11	 	 	-22
801	12	 	 	-88
802	1	-11	20	-11
802	2	30	-11	-11
802	3	40	-11	-11
802	4	30	-11	-11
802	5	 	 	-11
802	6	 	 	15
802	7	 	 	-11
802	8	 	 	15
802	9	25	-11	-11
802	10	40	-11	-11
802	11	 	 	-88
802	12	 	 	-88
901	1	-11	20	-11
901	2	25	-11	-11
901	3	35	-11	-11
901	4	-11	-11	-11
901	5	 	 	-11
901	6	 	 	-11
901	7	 	 	-11
901	8	 	 	-11
901	9	35	-11	-11
901	10	-88	-88	-88
901	11	 	 	-88
901	12	 	 	-88
902	1	-11	15	-11
902	2	-11	-11	-11
902	3	30	-11	-11
902	4	-11	-11	-11
902	5	 	 	-11
902	6	 	 	-11
902	7	 	 	-11
902	8	 	 	-11
902	9	-88	-88	-88
902	10	-88	-88	-88
902	11	 	 	-88
902	12	 	 	-88
903	1	-11	-11	-11
903	2	-11	-11	-11
903	3	30	-11	-11
903	4	-11	-11	-11
903	5	 	 	-11
903	6	 	 	-11
903	7	 	 	-11
903	8	 	 	-11
903	9	50	-11	-11
903	10	-88	-88	-88
