PLACEID	HSTFIDR4	STAFFLL	STFFLNG1	STFFLNG2
512	13	0	 	 
512	14	4	1	88
512	15	5	1	88
512	16	0	 	 
512	17	0	 	 
601	1	2	1	88
601	2	0	 	 
601	3	3	1	88
601	4	0	 	 
601	5	0	 	 
601	6	3	1	88
601	7	24	1	88
601	8	0	 	 
601	9	0	 	 
601	10	1	1	88
601	11	0	 	 
601	12	2	1	88
601	13	0	 	 
601	14	3	1	88
601	15	11	1	88
601	16	1	1	88
601	17	0	 	 
602	1	26	1	88
602	2	20	1	88
602	3	3	1	88
602	4	0	 	 
602	5	3	1	88
602	6	82	1	88
602	7	58	1	88
602	8	3	1	88
602	9	2	1	88
602	10	3	1	88
602	11	1	1	88
602	12	1	1	88
602	13	5	1	88
602	14	22	1	88
602	15	117	1	88
602	16	0	 	 
602	17	0	 	 
701	1	0	 	 
701	2	0	 	 
701	3	0	 	 
701	4	0	 	 
701	5	0	 	 
701	6	1	1	88
701	7	1	1	88
701	8	0	 	 
701	9	0	 	 
701	10	0	 	 
701	11	0	 	 
701	12	0	 	 
701	13	0	 	 
701	14	2	1	88
701	15	0	 	 
701	16	0	 	 
701	17	0	 	 
702	1	3	1	88
702	2	0	 	 
702	3	2	1	88
702	4	0	 	 
702	5	0	 	 
702	6	7	1	88
702	7	9	1	88
702	8	2	1	88
702	9	1	1	88
702	10	5	1	88
702	11	0	 	 
702	12	2	1	88
702	13	0	 	 
702	14	5	1	88
702	15	0	 	 
702	16	0	 	 
702	17	0	 	 
703	1	3	1	88
703	2	0	 	 
703	3	2	1	88
703	4	0	 	 
703	5	0	 	 
703	6	7	1	88
703	7	9	1	88
703	8	2	1	88
703	9	1	1	88
703	10	5	1	88
703	11	0	 	 
703	12	2	1	88
703	13	0	 	 
703	14	5	1	88
703	15	0	 	 
703	16	0	 	 
703	17	0	 	 
704	1	0	 	 
704	2	0	 	 
704	3	0	 	 
704	4	0	 	 
704	5	0	 	 
704	6	1	1	88
704	7	1	1	88
704	8	0	 	 
704	9	0	 	 
704	10	0	 	 
704	11	0	 	 
704	12	0	 	 
704	13	0	 	 
704	14	2	1	88
704	15	0	 	 
704	16	0	 	 
704	17	0	 	 
801	1	8	1	88
801	2	1	1	88
801	3	2	1	88
801	4	0	 	 
801	5	0	 	 
801	6	6	1	88
801	7	10	1	88
801	8	1	1	88
801	9	1	1	88
801	10	2	1	88
801	11	0	 	 
801	12	2	1	88
801	13	1	1	88
801	14	6	1	88
801	15	1	1	88
801	16	1	1	88
801	17	3	1	88
802	1	1	1	88
802	2	0	 	 
802	3	1	1	88
802	4	0	 	 
802	5	0	 	 
802	6	2	1	88
802	7	5	1	88
802	8	1	1	88
802	9	1	1	88
802	10	0	 	 
802	11	2	1	88
802	12	0	 	 
802	13	0	 	 
802	14	1	1	88
802	15	0	 	 
802	16	0	 	 
802	17	0	 	 
901	1	1	1	88
901	2	0	 	 
901	3	0	 	 
901	4	2	1	2
901	5	0	 	 
901	6	1	1	88
901	7	3	1	88
901	8	0	 	 
901	9	0	 	 
901	10	0	 	 
901	11	0	 	 
901	12	0	 	 
901	13	0	 	 
901	14	1	1	88
901	15	0	 	 
901	16	0	 	 
901	17	0	 	 
902	1	0	 	 
902	2	0	 	 
902	3	0	 	 
902	4	0	 	 
902	5	0	 	 
902	6	0	 	 
902	7	2	1	2
902	8	0	 	 
902	9	0	 	 
902	10	0	 	 
902	11	0	 	 
902	12	0	 	 
902	13	0	 	 
902	14	0	 	 
902	15	0	 	 
902	16	0	 	 
902	17	0	 	 
903	1	0	 	 
903	2	0	 	 
903	3	0	 	 
903	4	0	 	 
903	5	0	 	 
903	6	0	 	 
903	7	1	1	2
903	8	0	 	 
903	9	0	 	 
903	10	0	 	 
903	11	0	 	 
903	12	0	 	 
903	13	0	 	 
903	14	1	1	2
903	15	0	 	 
903	16	0	 	 
903	17	0	 	 
904	1	1	1	88
904	2	0	 	 
904	3	1	1	88
904	4	0	 	 
904	5	0	 	 
904	6	2	1	2
904	7	4	1	2
