CHILDCODE	FOODIDR5	HHCONSR5	VLRPR5	OWNVR5	GFTVR5	GFSRR5
10020	2	1	0	75	0	 
10020	3	0	 	 	 	 
10020	4	0	 	 	 	 
10020	5	0	 	 	 	 
10020	6	1	200	0	0	 
10020	7	0	 	 	 	 
10020	8	0	 	 	 	 
10020	9	1	150	0	0	 
10020	10	0	 	 	 	 
10020	11	0	 	 	 	 
10020	12	1	45	0	0	 
10020	13	0	 	 	 	 
10020	14	1	10	0	0	 
10020	15	0	 	 	 	 
10020	16	1	10	0	0	 
10020	17	0	 	 	 	 
10020	18	0	 	 	 	 
10020	19	0	 	 	 	 
10020	20	0	 	 	 	 
10020	21	0	 	 	 	 
10020	24	0	 	 	 	 
10021	0	0	 	 	 	 
10021	1	1	0	0	-77	1
10021	2	1	0	150	0	 
10021	3	1	100	0	0	 
10021	4	0	 	 	 	 
10021	5	0	 	 	 	 
10021	6	1	300	0	0	 
10021	7	0	 	 	 	 
10021	8	1	300	0	0	 
10021	9	1	250	0	0	 
10021	10	0	 	 	 	 
10021	11	1	0	0	90	1
10021	12	1	0	0	150	1
10021	13	1	0	0	200	1
10021	14	1	20	0	0	 
10021	15	1	40	0	0	 
10021	16	1	20	0	0	 
10021	17	0	 	 	 	 
10021	18	1	200	0	0	 
10021	19	1	200	0	0	 
10021	20	1	30	0	0	 
10021	21	0	 	 	 	 
10021	24	0	 	 	 	 
10022	0	0	 	 	 	 
10022	1	0	 	 	 	 
10022	2	1	0	180	0	 
10022	3	0	 	 	 	 
10022	4	0	 	 	 	 
10022	5	0	 	 	 	 
10022	6	1	750	0	0	 
10022	7	0	 	 	 	 
10022	8	0	 	 	 	 
10022	9	0	 	 	 	 
10022	10	0	 	 	 	 
10022	11	1	40	0	0	 
10022	12	1	75	0	0	 
10022	13	1	100	0	0	 
10022	14	1	25	0	0	 
10022	15	1	42	0	0	 
10022	16	1	40	0	0	 
10022	17	0	 	 	 	 
10022	18	0	 	 	 	 
10022	19	1	30	0	0	 
10022	20	1	50	0	0	 
10022	21	0	 	 	 	 
10022	24	0	 	 	 	 
10024	0	1	25	0	0	 
10024	1	1	15	0	0	 
10024	2	1	0	130	0	 
10024	3	1	50	0	0	 
10024	4	0	 	 	 	 
10024	5	0	 	 	 	 
10024	6	1	150	0	0	 
10024	7	0	 	 	 	 
10024	8	0	 	 	 	 
10024	9	1	120	0	0	 
10024	10	0	 	 	 	 
10024	11	1	10	30	0	 
10024	12	1	75	0	0	 
10024	13	1	30	0	0	 
10024	14	1	50	0	0	 
10024	15	1	50	0	0	 
10024	16	0	 	 	 	 
10024	17	0	 	 	 	 
10024	18	0	 	 	 	 
10024	19	1	50	0	0	 
10024	20	0	 	 	 	 
10024	21	1	120	0	0	 
10024	24	0	 	 	 	 
10025	0	1	50	0	0	 
10025	1	1	20	0	0	 
10025	2	1	0	300	0	 
10025	3	1	20	0	0	 
10025	4	0	 	 	 	 
10025	5	1	30	0	0	 
10025	6	1	150	0	0	 
10025	7	0	 	 	 	 
10025	8	1	200	0	0	 
10025	9	1	70	0	0	 
10025	10	0	 	 	 	 
10025	11	1	50	0	0	 
10025	12	1	30	0	0	 
10025	13	1	50	0	0	 
10025	14	1	100	0	0	 
10025	15	1	50	0	0	 
10025	16	1	20	0	0	 
10025	17	0	 	 	 	 
10025	18	1	100	0	0	 
10025	19	1	50	0	0	 
10025	20	0	 	 	 	 
10025	21	1	200	0	0	 
10025	24	0	 	 	 	 
10026	0	0	 	 	 	 
10026	1	0	 	 	 	 
10026	2	1	66	150	0	 
10026	3	1	40	0	0	 
10026	4	0	 	 	 	 
10026	5	0	 	 	 	 
10026	6	1	200	0	0	 
10026	7	0	 	 	 	 
10026	8	1	60	0	0	 
10026	9	1	150	0	0	 
10026	10	0	 	 	 	 
10026	11	1	50	0	0	 
10026	12	1	0	30	0	 
10026	13	1	100	0	0	 
10026	14	1	60	0	0	 
10026	15	1	40	0	0	 
10026	16	0	 	 	 	 
10026	17	0	 	 	 	 
