CHILDCODE	LVSKIDR5	AYANR5	NMAMR5
10076	16	 	 
10076	17	 	 
10076	58	 	 
10077	1	 	 
10077	2	 	 
10077	3	 	 
10077	4	 	 
10077	7	 	 
10077	8	 	 
10077	9	 	 
10077	13	 	 
10077	14	 	 
10077	15	 	 
10077	16	 	 
10077	17	 	 
10077	58	 	 
10078	1	 	 
10078	2	 	 
10078	3	 	 
10078	4	 	 
10078	7	 	 
10078	8	 	 
10078	9	 	 
10078	13	 	 
10078	14	 	 
10078	15	 	 
10078	16	 	 
10078	17	 	 
10078	58	 	 
10079	1	 	 
10079	2	 	 
10079	3	 	 
10079	4	 	 
10079	7	 	 
10079	8	 	 
10079	9	 	 
10079	13	 	 
10079	14	 	 
10079	15	 	 
10079	16	 	 
10079	17	 	 
10079	58	 	 
10080	1	 	 
10080	2	 	 
10080	3	 	 
10080	4	 	 
10080	7	 	 
10080	8	 	 
10080	9	 	 
10080	13	 	 
10080	14	 	 
10080	15	 	 
10080	16	 	 
10080	17	 	 
10080	58	 	 
10081	1	0	 
10081	2	0	 
10081	3	0	 
10081	4	0	 
10081	7	0	 
10081	8	0	 
10081	9	0	 
10081	13	0	 
10081	14	0	 
10081	15	0	 
10081	16	0	 
10081	17	0	 
10081	58	1	2
10082	1	0	 
10082	2	0	 
10082	3	0	 
10082	4	0	 
10082	7	0	 
10082	8	0	 
10082	9	0	 
10082	13	0	 
10082	14	0	 
10082	15	1	7
10082	16	0	 
10082	17	0	 
10082	58	0	 
10083	1	 	 
10083	2	 	 
10083	3	 	 
10083	4	 	 
10083	7	 	 
10083	8	 	 
10083	9	 	 
10083	13	 	 
10083	14	 	 
10083	15	 	 
10083	16	 	 
10083	17	 	 
10083	58	 	 
10084	1	 	 
10084	2	 	 
10084	3	 	 
10084	4	 	 
10084	7	 	 
10084	8	 	 
10084	9	 	 
10084	13	 	 
10084	14	 	 
10084	15	 	 
10084	16	 	 
10084	17	 	 
10084	58	 	 
10086	1	0	 
10086	2	0	 
10086	3	1	1
10086	4	0	 
10086	7	1	1
10086	8	0	 
10086	9	0	 
10086	13	0	 
10086	14	0	 
10086	15	0	 
10086	16	0	 
10086	17	0	 
10086	58	0	 
10087	1	0	 
10087	2	0	 
10087	3	0	 
10087	4	0	 
10087	7	1	2
10087	8	0	 
10087	9	0	 
10087	13	0	 
10087	14	0	 
10087	15	0	 
10087	16	0	 
10087	17	0	 
10087	58	0	 
10088	1	 	 
10088	2	 	 
10088	3	 	 
10088	4	 	 
10088	7	 	 
10088	8	 	 
10088	9	 	 
10088	13	 	 
10088	14	 	 
10088	15	 	 
10088	16	 	 
10088	17	 	 
10088	58	 	 
10089	1	0	 
10089	2	0	 
10089	3	0	 
10089	4	0	 
10089	7	1	1
10089	8	0	 
10089	9	0	 
10089	13	0	 
10089	14	0	 
10089	15	0	 
10089	16	0	 
10089	17	0	 
10089	58	0	 
10091	1	0	 
10091	2	0	 
10091	3	1	1
10091	4	0	 
10091	7	0	 
10091	8	0	 
10091	9	0	 
10091	13	0	 
10091	14	0	 
10091	15	0	 
10091	16	0	 
10091	17	0	 
10091	58	0	 
10092	1	0	 
10092	2	1	1
10092	3	0	 
10092	4	0	 
10092	7	0	 
10092	8	0	 
10092	9	0	 
10092	13	0	 
10092	14	0	 
10092	15	0	 
10092	16	0	 
10092	17	0	 
10092	58	0	 
10093	1	 	 
10093	2	 	 
10093	3	 	 
10093	4	 	 
10093	7	 	 
10093	8	 	 
10093	9	 	 
10093	13	 	 
10093	14	 	 
10093	15	 	 
10093	16	 	 
10093	17	 	 
10093	58	 	 
10094	1	0	 
10094	2	0	 
10094	3	0	 
10094	4	0	 
10094	7	0	 
10094	8	0	 
10094	9	0	 
10094	13	0	 
10094	14	0	 
10094	15	0	 
10094	16	0	 
10094	17	0	 
10094	58	1	5
10095	1	 	 
10095	2	 	 
10095	3	 	 
10095	4	 	 
10095	7	 	 
10095	8	 	 
10095	9	 	 
10095	13	 	 
10095	14	 	 
10095	15	 	 
10095	16	 	 
10095	17	 	 
10095	58	 	 
10096	1	 	 
10096	2	 	 
10096	3	 	 
10096	4	 	 
10096	7	 	 
10096	8	 	 
10096	9	 	 
10096	13	 	 
10096	14	 	 
10096	15	 	 
10096	16	 	 
10096	17	 	 
10096	58	 	 
10097	1	 	 
10097	2	 	 
10097	3	 	 
10097	4	 	 
10097	7	 	 
10097	8	 	 
10097	9	 	 
10097	13	 	 
10097	14	 	 
10097	15	 	 
10097	16	 	 
10097	17	 	 
10097	58	 	 
10100	1	0	 
10100	2	0	 
10100	3	0	 
10100	4	0	 
10100	7	0	 
10100	8	0	 
10100	9	0	 
