CHILDID	PLANID	PLAN
IN060007	2	9
IN060008	1	8
IN060008	2	10
IN060009	1	8
IN060009	2	10
IN060010	1	8
IN060010	2	10
IN060011	1	10
IN060011	2	8
IN060012	1	10
IN060013	1	10
IN060013	2	8
IN060014	1	10
IN060014	2	1
IN060015	1	10
IN060015	2	8
IN060016	1	8
IN060016	2	10
IN060017	1	10
IN060017	2	10
IN060018	1	2
IN060019	1	8
IN060020	1	10
IN060021	1	10
IN060021	2	8
IN060022	1	10
IN060022	2	10
IN060023	1	10
IN060024	1	10
IN060025	1	10
IN060025	2	8
IN060026	1	8
IN060027	1	8
IN060028	1	8
IN060028	2	10
IN060029	1	10
IN060029	2	8
IN060030	1	8
IN060030	2	1
IN060031	1	5
IN060031	2	2
IN060032	1	2
IN060032	2	3
IN060033	1	8
IN060033	2	1
IN060034	1	2
IN060034	2	10
IN060035	1	10
IN060035	2	8
IN060036	1	8
IN060037	1	10
IN060038	1	10
IN060038	2	8
IN060039	1	8
IN060040	1	2
IN060040	2	7
IN060041	1	10
IN060042	1	10
IN060043	1	10
IN060044	1	10
IN060045	1	8
IN060045	2	10
IN060046	1	8
IN060046	2	10
IN060047	1	3
IN060048	1	8
IN060049	1	10
IN060049	2	8
IN060050	1	4
IN060050	2	8
IN060051	1	1
IN060052	1	10
IN060052	2	1
IN060053	1	3
IN060053	2	8
IN060054	1	8
IN060055	1	8
IN060055	2	10
IN060056	1	1
IN060056	2	10
IN060057	1	10
IN060057	2	8
IN060058	1	3
IN060058	2	8
IN060059	1	10
IN060059	2	8
IN060060	1	3
IN060060	2	8
IN060061	1	8
IN060061	2	10
IN060062	1	6
IN060063	1	1
IN060064	1	6
IN060064	2	8
IN060065	1	10
IN060065	2	2
IN060066	1	8
IN060066	2	10
IN060067	1	10
IN060067	2	8
IN060068	1	10
IN060068	2	8
IN060069	1	8
IN060070	1	8
IN060070	2	10
IN060071	1	3
IN060071	2	8
IN060072	1	10
IN060072	2	7
IN060073	1	8
IN060073	2	10
IN060074	1	8
IN060075	1	10
IN060075	2	8
IN060076	1	10
IN060077	1	10
IN060078	1	8
IN060078	2	10
IN060079	1	3
IN060079	2	8
IN060080	1	8
IN060080	2	10
IN060081	1	8
IN060081	2	10
IN060082	1	10
IN060084	1	8
IN060084	2	10
IN060085	1	8
IN060085	2	10
IN060086	1	8
IN060086	2	10
IN060087	1	8
IN060087	2	3
IN060088	1	10
IN060088	2	8
IN060089	1	10
IN060089	2	8
IN060090	1	1
IN060090	2	4
