childid	id	age	sex	relate	still	yrschool	disabled	care	support	grading
IN050020	8	6	1	6	1	23	2	2	2	1
IN050021	1	40	1	1	2	23	2	2	1	5
IN050021	2	30	2	1	2	0	2	1	2	0
IN050022	1	27	1	1	2	0	2	2	1	0
IN050022	2	25	2	1	2	0	2	1	1	0
IN050022	3	5	2	5	1	23	2	2	2	1
IN050023	1	30	1	1	2	0	2	2	1	0
IN050023	2	25	2	1	2	0	2	1	2	0
IN050024	1	50	1	3	2	0	2	2	2	0
IN050024	2	30	1	1	2	0	2	2	1	0
IN050024	3	28	2	1	2	0	2	1	2	0
IN050025	1	58	2	3	2	0	2	1	2	0
IN050025	2	25	1	1	2	0	2	2	1	0
IN050025	3	20	2	1	2	0	2	1	2	0
IN050025	4	20	1	4	2	25	2	2	1	15
IN050026	1	32	1	1	2	25	2	2	1	10
IN050026	2	24	2	1	2	0	2	1	2	0
IN050026	3	8	1	5	1	23	2	2	2	3
IN050027	1	65	2	3	2	0	2	2	2	0
IN050027	2	30	1	1	2	0	2	2	1	0
IN050027	3	25	2	1	2	0	2	1	2	0
IN050027	4	25	1	4	2	0	2	2	2	0
IN050027	5	23	2	4	2	0	2	2	2	0
IN050027	6	10	1	5	1	23	2	2	2	3
IN050027	7	6	2	5	2	0	2	2	2	0
IN050028	1	72	2	3	2	0	2	1	2	0
IN050028	2	35	1	1	2	0	2	2	1	0
IN050028	3	26	2	1	2	0	2	1	2	0
IN050028	4	5	2	5	1	23	2	2	2	1
IN050029	1	35	1	1	2	24	2	2	1	7
IN050029	2	25	2	1	2	0	2	1	1	0
IN050029	3	6	2	5	1	23	2	2	2	2
IN050030	1	80	2	7	2	0	1	2	2	0
IN050030	2	38	2	3	2	0	2	1	2	0
IN050030	3	35	1	 	2	24	2	2	1	7
IN050030	4	30	2	4	2	0	2	2	2	0
IN050030	5	25	1	1	2	23	2	2	1	5
IN050030	6	20	2	1	2	25	2	1	2	10
IN050030	7	18	1	4	1	25	2	2	2	13
IN050030	8	16	2	4	1	25	1	2	2	9
IN050030	9	14	1	4	1	25	2	2	2	10
IN050031	1	28	1	1	2	0	2	1	1	0
IN050031	2	19	2	1	2	0	2	1	1	0
IN050032	1	70	1	3	2	0	2	2	2	0
IN050032	2	33	1	1	2	0	2	1	1	0
IN050032	3	30	1	4	2	0	2	2	2	0
IN050032	4	25	2	1	2	0	2	1	1	0
IN050032	5	24	1	4	2	0	2	2	2	0
IN050032	6	21	2	4	2	0	2	2	2	0
IN050033	1	70	2	3	2	0	2	2	2	0
IN050033	2	32	1	1	2	24	2	1	1	7
IN050033	3	30	2	1	2	0	2	1	1	0
IN050033	4	9	2	5	2	0	2	2	2	0
IN050033	5	8	1	5	1	23	2	2	2	3
IN050034	1	31	1	1	2	0	2	1	1	0
IN050034	2	23	2	1	2	0	2	1	1	0
IN050035	1	70	2	3	2	0	2	2	2	0
IN050035	2	33	1	1	2	25	2	1	1	9
IN050035	3	24	2	1	2	0	2	1	1	0
IN050035	4	11	2	4	2	0	2	2	2	0
IN050035	5	6	2	5	2	23	2	2	2	1
IN050036	1	33	1	1	2	0	2	1	1	0
IN050036	2	21	2	1	2	0	2	1	1	0
IN050037	1	70	1	3	2	23	2	2	2	5
IN050037	2	60	2	3	2	0	2	2	2	0
IN050037	3	29	1	1	2	25	2	1	1	14
IN050037	4	17	2	1	2	25	2	1	1	10
IN050038	1	33	1	1	2	0	2	1	1	0
IN050038	2	21	2	1	2	0	2	1	1	0
IN050039	1	70	2	3	2	0	1	2	2	0
IN050039	2	30	1	1	2	0	2	2	1	0
IN050039	3	25	2	1	2	0	2	1	2	0
IN050040	1	32	1	1	2	0	2	2	1	0
IN050040	2	28	2	1	2	0	2	1	2	0
IN050040	3	9	2	5	1	23	2	2	2	4
IN050041	1	60	1	3	2	24	2	2	1	6
IN050041	2	50	2	3	2	0	2	2	2	0
IN050041	3	30	1	1	2	23	2	2	1	5
IN050041	4	28	1	4	2	25	2	2	2	10
IN050041	5	25	2	1	2	0	2	1	2	0
IN050042	1	35	1	1	2	25	2	2	1	8
IN050042	2	30	2	1	2	25	2	1	2	8
IN050043	1	45	2	3	2	0	2	1	2	0
IN050043	2	25	1	1	2	0	2	2	1	0
IN050043	3	23	1	4	2	0	2	2	2	0
IN050043	4	21	2	1	2	0	2	1	2	0
IN050044	1	65	1	3	2	0	2	2	2	0
IN050044	2	55	2	3	2	0	2	2	2	0
IN050044	3	40	1	1	2	0	2	1	1	0
IN050044	4	30	2	1	2	0	2	1	1	0
IN050045	1	45	1	1	2	0	2	1	1	0
IN050045	2	36	2	1	2	0	2	1	1	0
IN050045	3	15	2	5	2	24	2	2	2	6
IN050045	4	11	1	5	1	24	2	2	2	6
IN050046	1	65	2	3	2	0	2	2	2	0
IN050046	2	26	1	1	2	0	2	2	1	0
IN050046	3	22	2	1	2	0	2	1	2	0
IN050047	1	55	1	3	2	0	2	2	2	0
IN050047	2	51	2	3	2	23	2	1	2	5
IN050047	3	25	1	1	2	0	2	1	1	0
IN050047	4	22	2	1	2	0	2	1	1	0
IN050047	5	20	1	4	1	25	2	2	2	15
IN050047	6	18	1	4	1	25	2	2	2	12
IN050048	1	75	2	3	2	0	2	2	2	0
IN050048	2	30	1	1	2	0	2	1	1	0
IN050048	3	26	2	1	2	0	2	1	1	0
IN050049	1	26	1	1	2	0	2	1	1	0
IN050049	2	20	2	1	2	24	2	1	1	6
IN050050	1	32	1	1	2	0	2	1	1	0
IN050050	2	24	2	1	2	0	2	1	1	0
IN050051	1	70	1	3	2	0	2	2	2	0
IN050051	2	65	2	4	2	0	2	2	2	0
IN050051	3	35	1	4	2	24	2	2	2	7
IN050051	4	30	2	4	2	0	2	2	2	0
IN050051	5	34	1	4	2	25	2	2	2	11
IN050051	6	26	1	1	2	0	2	1	1	0
IN050051	7	22	2	1	2	24	2	1	1	6
IN050051	8	14	1	5	1	25	2	2	2	10
IN050051	9	8	1	5	1	23	2	2	2	3
IN050051	10	6	1	5	1	23	2	2	2	2
IN050051	11	5	2	5	1	23	2	2	2	1
IN050052	1	60	2	3	2	0	2	1	1	0
IN050052	2	30	1	1	2	0	1	1	1	0
IN050052	3	25	2	1	2	0	1	1	1	0
IN050053	1	31	1	1	2	0	2	1	1	0
IN050053	2	22	2	1	2	22	1	1	 	0
IN050053	3	8	1	5	1	23	2	2	2	4
IN050054	1	39	1	1	2	0	2	2	1	0
IN050054	2	32	2	1	2	0	2	1	2	0
IN050054	3	6	2	5	1	23	2	2	2	1
IN050055	1	75	1	3	2	23	2	2	2	5
IN050055	2	65	2	3	2	0	2	2	2	0
IN050055	3	40	1	1	2	0	2	2	1	0
IN050055	4	35	2	1	2	0	2	1	2	0
IN050055	5	14	2	5	1	25	2	2	2	9
IN050056	1	35	1	1	2	0	2	1	1	0
IN050056	2	25	2	1	2	0	2	1	1	0
IN050056	3	7	2	5	1	23	2	2	2	3
IN050057	1	65	1	3	2	0	1	2	2	0
IN050057	2	55	2	3	2	0	2	2	2	0
IN050057	3	28	1	4	2	25	2	2	2	10
IN050057	4	20	2	4	2	0	2	2	2	0
IN050057	5	25	1	1	2	0	2	2	1	0
IN050057	6	18	2	1	2	0	2	1	2	0
IN050058	1	37	1	1	2	0	2	2	1	0
IN050058	2	25	2	1	2	0	2	1	2	0
IN050058	3	5	2	5	1	23	2	2	2	1
IN050059	1	58	1	3	2	23	2	2	2	5
IN050059	2	26	1	1	2	25	2	2	2	10
IN050059	3	20	2	1	2	25	2	1	1	10
IN050060	1	50	1	3	2	25	2	2	1	10
IN050060	2	45	2	3	2	25	2	2	2	15
IN050060	3	28	1	1	2	25	2	2	1	12
IN050060	4	20	2	1	2	25	2	1	2	10
IN050061	1	46	2	3	2	0	2	1	2	0
IN050061	2	25	1	1	2	23	2	1	1	5
IN050061	3	21	1	4	2	0	2	2	2	0
IN050061	4	20	1	4	2	0	2	2	2	0
IN050061	5	19	2	1	2	0	2	1	1	0
IN050062	1	34	1	1	2	25	2	2	1	10
IN050062	2	29	2	1	2	24	2	1	2	6
IN050062	3	7	2	5	1	0	2	2	2	0
IN050063	1	28	1	1	2	25	2	2	1	11
IN050063	2	19	2	1	2	25	2	1	2	10
IN050064	1	50	2	3	2	0	2	1	2	0
IN050064	2	24	1	1	2	25	2	1	1	10
IN050064	3	22	2	1	2	0	2	1	1	0
IN050064	28	2	1	5	 	 	2	 	 	 
IN050065	1	30	1	1	2	25	2	2	1	10
IN050065	2	24	2	1	2	0	2	1	2	0
IN050065	3	6	2	5	1	23	2	2	2	1
IN050065	28	3	2	5	 	 	2	 	 	 
IN050066	1	45	2	3	2	0	2	1	2	0
IN050066	2	23	1	1	2	0	2	2	1	0
IN050066	3	19	2	1	2	0	2	1	1	0
IN050067	1	30	1	1	2	0	2	1	1	0
IN050067	2	23	2	1	2	0	2	1	1	0
IN050067	3	5	2	5	1	23	2	2	2	1
IN050068	1	40	1	1	2	0	2	2	1	0
IN050068	2	35	2	1	2	0	2	1	2	0
IN050069	1	50	2	3	2	0	2	2	2	0
IN050069	2	25	1	1	2	0	2	2	1	0
IN050069	3	20	2	1	2	0	2	1	2	0
IN050070	1	60	2	3	2	0	2	2	1	0
IN050070	2	35	1	4	2	0	2	2	2	0
IN050070	3	32	2	4	2	0	2	2	2	0
IN050070	4	28	2	4	2	0	2	2	2	0
IN050070	5	25	1	1	2	0	2	2	1	0
IN050070	6	22	2	1	2	0	2	1	2	0
IN050070	7	22	1	4	2	25	2	2	2	10
IN050070	28	4	2	6	 	 	2	 	 	 
IN050071	1	55	1	3	2	0	1	2	2	0
IN050071	2	50	2	3	2	23	2	2	1	5
IN050071	3	33	1	4	2	25	2	2	2	15
IN050071	4	26	1	1	2	23	2	2	1	5
IN050071	5	24	2	4	2	25	2	2	2	10
IN050071	6	20	2	1	2	0	2	1	2	0
IN050071	28	3	1	5	 	 	2	 	 	 
IN050072	1	65	1	3	2	0	2	2	1	0
IN050072	2	60	2	3	2	0	2	2	2	0
IN050072	3	26	1	1	2	0	2	2	1	0
IN050072	4	19	1	4	2	25	2	2	2	12
IN050072	5	17	2	1	2	0	2	1	2	0
IN050072	28	4	1	5	 	 	2	 	 	 
IN050073	1	60	2	3	2	0	2	2	2	0
IN050073	2	30	1	1	2	0	2	2	1	0
IN050073	3	25	2	1	2	24	2	1	2	7
IN050073	28	3	2	5	 	 	2	 	 	 
IN050074	1	65	2	3	2	0	2	1	2	0
IN050074	2	32	1	1	2	25	2	1	1	11
IN050074	3	25	1	4	2	0	2	1	2	0
IN050074	4	22	2	1	2	25	2	1	1	10
IN050074	28	1	2	5	 	 	2	 	 	 
IN050075	1	76	1	7	2	0	2	2	1	0
IN050075	2	64	2	7	2	0	2	1	2	0
IN050075	3	22	1	1	2	0	2	1	2	0
IN050075	4	18	2	1	2	0	2	1	2	0
IN050075	5	17	1	4	1	25	2	2	1	12
IN050075	6	14	1	4	1	25	2	2	2	9
IN050076	1	50	2	3	2	0	2	1	2	0
IN050076	2	35	1	1	2	25	1	2	1	14
IN050076	3	22	2	1	2	25	2	1	2	10
IN050076	28	4	1	5	 	 	2	 	 	 
IN050077	1	26	1	1	2	23	2	2	1	5
IN050077	2	21	2	1	2	25	2	1	2	10
IN050078	1	55	1	3	2	0	2	2	2	0
IN050078	2	52	2	3	2	0	1	1	2	0
IN050078	3	25	1	1	2	0	2	2	1	0
IN050078	4	20	2	1	2	0	2	1	2	0
IN050078	28	4	1	5	 	 	2	 	 	 
IN050078	29	2	2	5	 	 	2	 	 	 
IN050079	1	50	1	3	2	0	2	2	1	0
IN050079	2	45	2	3	2	0	2	2	2	0
IN050079	3	28	1	4	2	0	2	2	2	0
IN050079	4	26	2	4	2	0	2	2	2	0
IN050079	5	24	1	1	2	0	2	2	1	0
IN050079	6	21	2	1	2	0	2	1	2	0
IN050079	7	19	1	4	2	25	2	2	2	10
IN050079	8	17	1	4	2	25	2	2	2	10
IN050079	28	3	2	5	 	 	2	 	 	 
IN050080	1	75	2	3	2	0	2	2	2	0
IN050080	2	55	1	3	2	0	2	2	2	0
IN050080	3	50	2	3	2	0	2	2	1	0
IN050080	4	45	1	3	2	23	2	2	1	5
IN050080	5	40	2	3	2	0	2	2	2	0
IN050080	6	27	1	1	2	25	2	2	1	10
IN050080	7	25	1	4	2	25	2	2	2	10
IN050080	8	24	2	1	2	25	2	1	2	10
IN050080	9	23	1	4	2	0	2	2	2	0
IN050080	10	19	1	4	2	25	2	2	2	11
IN050081	1	32	1	1	2	0	2	1	1	0
IN050081	2	28	2	1	2	0	2	1	1	0
IN050081	28	8	2	5	1	23	2	1	2	3
IN050082	1	70	1	3	2	0	2	1	2	0
IN050082	2	62	2	3	2	0	2	1	2	0
IN050082	3	25	1	1	2	0	2	1	1	0
IN050082	4	21	2	1	2	0	2	1	1	0
IN050083	1	54	1	3	2	0	2	2	1	0
IN050083	2	49	2	3	2	0	2	1	2	0
IN050083	3	30	1	4	2	0	2	2	2	0
IN050083	4	25	1	1	2	0	2	2	1	0
IN050083	5	20	2	1	2	0	2	1	1	0
IN050084	1	65	1	3	2	0	2	2	2	0
IN050084	2	26	1	1	2	25	2	2	1	15
IN050084	3	21	2	1	2	25	2	1	2	10
IN050085	1	26	1	1	2	0	2	2	1	0
IN050085	2	23	2	1	2	0	2	1	2	0
IN050086	1	26	1	1	2	0	2	2	1	0
IN050086	2	22	2	1	2	0	2	1	2	0
IN050087	1	60	2	3	2	0	2	2	2	0
IN050087	2	45	1	3	2	0	2	2	1	0
IN050087	3	43	2	3	2	0	2	2	2	0
IN050087	4	24	1	4	2	25	2	2	2	10
IN050087	5	21	1	1	2	25	2	2	1	10
IN050087	6	18	2	4	2	24	2	2	2	7
IN050087	7	18	1	4	1	25	2	2	2	13
IN050087	8	17	2	1	2	24	2	1	2	6
IN050088	1	50	2	3	2	0	2	2	2	0
IN050088	2	31	1	1	2	25	2	2	1	12
IN050088	3	27	2	1	2	25	2	1	2	8
IN050089	1	70	2	7	2	0	2	2	2	0
IN050089	2	55	2	3	2	0	2	1	2	0
IN050089	3	35	1	1	2	0	2	1	1	0
IN050089	4	28	2	1	2	0	2	1	1	0
IN050089	5	20	2	4	2	0	2	2	2	0
IN050089	6	17	1	4	1	25	2	2	2	12
IN050089	7	12	2	5	2	0	2	2	2	0
IN050089	8	7	1	5	1	23	2	2	2	2
IN050089	28	4	2	5	 	 	2	 	 	 
IN050090	1	45	2	3	2	0	2	2	2	0
IN050090	2	25	1	1	2	0	2	2	1	0
IN050090	3	20	2	1	2	23	2	1	2	5
IN050091	1	50	1	3	2	0	2	2	1	0
IN050091	2	30	1	1	2	25	2	2	1	10
IN050091	3	28	1	4	2	25	2	2	2	10
IN050091	4	23	2	1	2	24	2	1	2	6
IN050091	5	20	2	4	2	0	2	2	2	0
IN050091	6	18	1	4	2	24	2	2	2	7
IN050091	7	16	1	4	2	24	2	2	2	7
IN050092	1	28	1	1	2	25	2	1	1	10
IN050092	2	25	2	1	2	25	2	1	2	12
IN050093	1	65	1	3	2	0	2	2	2	0
IN050093	2	61	2	3	2	0	1	1	1	0
IN050093	3	27	1	1	2	0	2	2	2	0
IN050093	4	24	2	1	2	0	2	1	1	0
IN050094	1	65	1	3	2	0	2	2	2	0
IN050094	2	50	1	3	2	0	2	2	2	0
IN050094	3	55	2	3	2	0	2	1	2	0
IN050094	4	50	2	3	2	0	2	1	2	0
IN050094	5	33	1	1	2	25	2	1	2	15
IN050094	6	25	1	4	2	23	2	1	1	3
IN050094	7	25	2	1	2	25	2	1	1	10
IN050094	8	25	1	4	2	25	2	2	2	10
IN050094	9	24	2	4	2	25	2	2	2	8
IN050094	10	24	2	4	2	0	2	2	2	0
IN050094	11	18	1	4	1	25	2	2	2	15
IN050095	1	65	2	3	2	0	2	1	1	0
IN050095	2	30	1	1	2	0	2	2	1	0
IN050095	3	25	2	1	2	0	2	1	1	0
IN050096	1	26	1	1	2	23	2	2	1	5
IN050096	2	22	2	1	2	0	2	1	2	0
IN050097	1	65	1	3	2	23	2	2	2	5
IN050097	2	55	1	3	2	0	2	2	2	0
IN050097	3	25	1	1	2	23	2	1	1	5
IN050097	4	21	2	1	2	0	2	1	1	0
IN050098	1	60	1	3	2	0	2	2	2	0
IN050098	2	52	2	3	2	0	2	1	2	0
IN050098	3	29	1	1	2	0	2	1	1	0
IN050098	4	27	2	1	2	0	2	1	1	0
IN050098	5	27	1	4	2	0	2	2	2	0
IN050098	6	25	2	4	2	0	2	2	2	0
IN050098	7	23	1	4	1	25	2	2	2	15
IN050098	8	8	2	5	1	23	2	2	2	3
IN050098	9	5	2	6	1	23	2	2	2	1
IN050098	10	5	2	5	1	23	2	2	2	1
IN050099	1	60	1	3	2	0	2	2	2	0
IN050099	2	50	2	3	2	0	2	2	2	0
IN050099	3	32	1	1	2	0	2	1	1	0
IN050099	4	20	2	1	2	0	2	1	1	0
IN050100	1	65	2	3	2	0	2	2	2	0
IN050100	2	60	1	3	2	0	2	2	2	0
IN050100	3	55	2	3	2	0	2	1	2	0
IN050100	4	36	1	4	2	25	2	2	1	12
IN050100	5	33	2	4	2	0	2	1	2	0
IN050100	6	32	1	4	2	25	2	2	1	12
IN050100	7	29	2	4	2	0	2	1	1	0
IN050100	8	29	1	4	2	25	2	2	1	15
IN050100	9	27	1	4	2	0	2	2	1	0
IN050100	10	27	1	1	2	25	2	2	1	12
IN050100	11	24	2	1	2	0	2	1	1	0
IN050100	12	24	1	4	2	0	2	2	1	0
IN050100	13	21	2	4	2	0	2	1	1	0
IN050100	14	17	2	5	1	25	2	2	2	11
IN050100	15	10	1	5	1	23	2	2	2	4
IN050100	16	7	1	5	1	23	1	2	2	2
IN060001	1	55	2	3	2	0	2	1	2	0
IN060001	2	26	1	1	2	0	1	2	2	0
IN060001	3	21	2	1	2	0	2	1	2	0
IN060002	1	60	2	3	2	23	2	2	2	3
IN060002	2	40	1	4	2	25	2	2	1	13
IN060002	3	35	2	4	2	25	2	2	1	9
IN060002	4	30	1	1	2	25	2	2	1	9
IN060002	5	25	2	1	2	23	2	1	1	5
IN060002	6	8	1	6	1	23	2	2	2	1
IN060003	1	25	1	1	2	0	2	1	1	0
IN060003	2	20	2	1	2	0	2	1	1	0
IN060004	1	60	2	3	2	0	2	2	2	0
IN060004	2	28	1	1	2	0	2	2	1	0
IN060004	3	24	2	1	2	0	2	1	2	0
IN060005	1	65	2	3	2	0	2	2	2	0
IN060005	2	40	1	1	2	0	2	2	1	0
IN060005	3	35	2	1	2	0	2	1	2	0
IN060005	4	8	2	5	1	23	2	2	2	3
IN060006	1	50	2	3	2	0	2	2	2	0
IN060006	2	30	1	1	2	0	2	2	2	0
IN060006	3	20	2	1	2	0	2	1	1	0
IN060006	4	18	1	4	2	0	2	2	2	0
IN060006	5	16	2	4	2	0	2	2	2	0
IN060007	1	35	1	1	2	0	2	2	1	0
IN060007	2	25	2	1	2	0	2	1	2	0
IN060008	1	55	1	3	2	0	2	2	1	0
IN060008	2	50	2	3	2	0	2	2	2	0
IN060008	3	25	1	1	2	0	2	2	2	0
IN060008	4	22	2	1	2	0	2	1	1	0
IN060008	5	14	1	4	1	25	2	2	2	9
IN060009	1	61	2	3	2	0	2	1	2	0
IN060009	2	42	1	1	2	25	1	2	1	9
IN060009	3	35	1	4	2	0	2	2	1	0
IN060009	4	25	2	1	2	0	2	1	1	0
IN060009	5	26	2	4	2	0	2	1	2	0
IN060009	6	5	1	5	1	23	2	2	2	1
IN060010	1	25	1	1	2	0	2	1	1	0
IN060010	2	20	2	1	2	0	2	1	2	0
IN060011	1	30	1	1	2	0	2	1	1	0
IN060011	2	25	2	1	2	0	2	1	1	0
IN060012	1	70	2	7	2	0	1	2	2	0
IN060012	2	27	1	1	2	0	2	2	2	0
IN060012	3	21	2	1	2	0	2	1	2	0
IN060013	1	55	1	3	2	0	2	1	1	0
IN060013	2	47	2	3	2	23	2	1	2	5
IN060013	3	32	1	1	2	24	2	1	1	6
IN060013	4	23	2	1	2	25	2	1	2	9
IN060013	5	20	1	4	2	24	2	2	2	6
IN060013	6	18	2	4	2	24	2	1	2	7
IN060013	7	10	1	4	1	23	2	1	2	5
IN060014	1	20	1	1	2	23	1	1	1	5
IN060014	2	12	2	1	2	0	2	1	2	0
IN060015	1	26	1	1	2	25	2	1	 	10
IN060015	2	22	2	1	2	23	2	1	 	3
IN060016	1	50	1	3	2	0	2	1	1	0
IN060016	2	27	1	4	2	0	1	2	1	0
IN060016	3	24	1	1	2	24	1	1	1	6
IN060016	4	22	1	4	2	0	1	2	2	0
IN060016	5	22	2	4	2	0	2	2	2	0
IN060016	6	20	2	1	2	24	2	1	2	7
IN060016	7	5	2	5	1	23	1	2	2	1
IN060017	1	40	1	1	2	0	2	1	1	0
IN060017	2	25	2	1	2	0	2	1	2	0
IN060017	3	8	1	5	1	23	2	2	2	1
IN060018	1	35	1	1	2	0	2	2	1	0
IN060018	2	30	2	1	2	0	2	1	2	0
IN060018	3	13	2	5	1	25	2	2	2	8
IN060018	4	11	2	5	1	24	1	2	2	6
IN060019	1	30	1	1	2	23	2	2	1	5
IN060019	2	26	2	1	2	0	2	1	2	0
IN060020	1	49	1	7	2	0	2	2	2	0
IN060020	2	44	2	7	2	0	2	1	2	0
IN060020	3	22	1	1	2	23	2	2	2	5
IN060020	4	20	2	1	2	0	2	1	2	0
IN060020	5	18	1	4	2	23	2	2	2	5
IN060020	6	15	1	4	2	24	2	2	2	7
IN060021	1	75	2	3	2	0	2	1	2	0
IN060021	2	39	1	4	2	25	2	2	2	15
IN060021	3	32	1	1	2	25	2	1	1	10
IN060021	4	27	2	4	2	25	2	2	2	9
IN060021	5	23	2	1	2	25	2	1	1	9
IN060021	6	23	2	4	2	23	2	1	1	1
IN060021	7	5	2	5	2	0	2	2	2	0
IN060022	1	35	1	1	2	0	2	1	1	0
IN060022	2	25	2	1	2	0	2	1	2	0
IN060023	1	55	1	3	2	0	2	2	1	0
IN060023	2	45	2	3	2	0	2	2	1	0
IN060023	3	34	1	1	2	25	2	2	1	10
IN060023	4	28	2	1	2	23	2	1	1	5
IN060023	5	8	1	5	1	23	2	2	2	3
IN060024	1	36	1	1	2	0	2	2	2	0
IN060024	2	30	2	1	2	0	2	1	2	0
IN060024	3	50	2	3	2	0	2	1	2	0
IN060024	4	5	2	5	2	0	2	2	2	0
IN060025	1	68	1	3	2	25	2	2	1	8
IN060025	2	59	2	3	2	0	2	2	2	0
IN060025	3	41	1	4	2	25	1	2	2	15
IN060025	4	27	1	4	2	25	2	2	2	10
IN060025	5	24	2	4	2	23	2	2	2	2
IN060025	6	23	1	4	2	25	2	2	2	11
IN060025	7	22	1	1	2	25	2	2	1	9
IN060025	8	20	2	1	2	23	2	1	2	5
IN060026	1	65	2	3	2	0	2	2	2	0
IN060026	2	30	2	4	2	0	2	2	2	0
IN060026	3	25	1	1	2	0	2	2	1	0
IN060026	4	20	2	1	2	0	2	1	2	0
IN060026	5	8	1	4	1	23	2	2	2	3
IN060026	6	6	2	4	1	23	2	2	2	1
IN060027	1	65	2	3	2	0	2	2	2	0
IN060027	2	30	1	1	2	0	2	2	1	0
IN060027	3	20	2	1	2	23	2	1	2	5
IN060027	4	20	1	4	2	0	2	2	2	0
IN060028	1	30	1	1	2	0	2	1	1	0
IN060028	2	22	2	1	2	0	2	1	1	0
IN060029	1	55	1	3	2	0	2	2	1	0
IN060029	2	50	2	3	2	0	2	1	2	0
IN060029	3	27	1	1	2	25	2	1	1	11
IN060029	4	22	2	1	2	0	2	1	1	0
IN060030	1	51	1	3	2	0	1	1	1	0
IN060030	2	25	1	1	2	0	2	1	1	0
IN060030	3	18	2	1	2	0	2	1	1	0
IN060031	1	63	1	3	2	23	1	2	1	5
IN060031	2	52	2	3	2	0	2	1	2	0
IN060031	3	32	1	1	2	25	2	2	1	11
IN060031	4	26	2	1	2	25	2	1	2	9
IN060031	5	29	1	4	2	25	2	2	2	14
IN060031	6	21	2	4	2	25	2	2	2	11
IN060031	7	7	2	5	1	23	2	2	2	2
IN060031	8	5	2	5	1	23	2	2	2	1
IN060032	1	68	1	3	2	0	1	1	1	0
IN060032	2	61	2	3	2	0	2	1	2	0
IN060032	3	32	1	1	2	25	2	1	1	9
IN060032	4	24	2	1	2	23	2	1	2	4
IN060032	5	17	1	4	2	24	2	2	2	6
IN060032	6	7	2	5	1	23	2	1	2	2
IN060033	1	60	1	3	2	0	2	1	2	0
IN060033	2	45	2	3	2	0	2	1	2	0
IN060033	3	32	1	1	2	0	2	2	1	0
IN060033	4	25	2	1	2	25	2	1	2	9
IN060033	5	23	1	4	2	25	2	2	2	10
IN060033	6	18	2	4	2	24	2	2	2	6
IN060034	1	30	1	1	2	0	2	2	1	0
IN060034	2	28	2	1	2	0	2	1	2	0
IN060034	3	8	1	5	1	23	2	2	2	3
IN060035	1	30	1	1	2	0	2	2	1	0
IN060035	2	24	2	1	2	0	2	1	2	0
IN060036	1	65	1	3	2	23	2	2	1	2
IN060036	2	60	2	3	2	0	2	1	2	0
IN060036	3	35	1	4	2	25	2	2	2	11
IN060036	4	33	2	4	2	0	2	2	2	0
IN060036	5	27	1	1	2	25	2	2	2	9
IN060036	6	20	2	1	1	25	2	1	2	12
IN060037	1	60	1	3	2	0	2	2	2	0
IN060037	2	25	1	1	2	0	2	2	2	0
IN060037	3	18	1	4	1	25	2	2	2	11
IN060037	4	50	2	3	2	0	2	1	2	0
IN060037	5	22	2	1	2	0	2	1	2	0
IN060038	1	27	1	1	2	0	2	1	1	0
IN060038	2	19	2	1	2	0	2	1	1	0
IN060039	1	28	1	1	2	25	2	1	1	10
IN060039	2	23	2	1	2	25	2	1	1	9
IN060040	1	63	2	3	2	0	2	1	2	0
IN060040	2	29	1	1	2	25	2	2	1	15
IN060040	3	22	2	1	2	25	2	1	1	9
IN060041	1	65	2	3	2	0	2	1	2	0
IN060041	2	32	1	1	2	0	2	2	2	0
IN060041	3	25	2	1	2	0	2	1	2	0
IN060041	4	6	1	5	1	23	2	2	2	1
IN060042	1	31	1	1	2	23	2	2	2	1
IN060042	2	25	2	1	2	0	2	1	2	0
IN060042	3	7	1	5	1	23	1	2	2	1
IN060043	1	65	1	3	2	0	2	1	2	0
IN060043	2	60	2	3	2	0	2	1	2	0
IN060043	3	35	1	4	2	0	2	2	2	0
IN060043	4	30	2	4	2	0	2	2	2	0
IN060043	5	9	2	6	1	23	2	2	2	4
IN060043	6	8	2	6	1	23	2	2	2	3
IN060043	7	25	1	1	2	22	2	2	2	0
IN060043	8	22	2	1	2	0	2	2	2	0
IN060043	9	23	1	4	2	25	2	2	2	10
IN060043	10	20	2	4	2	25	2	2	2	10
IN060044	1	70	1	3	2	0	2	2	2	0
IN060044	2	30	1	1	2	0	2	2	2	0
IN060044	3	25	2	1	2	0	2	1	2	0
IN060045	1	26	1	1	2	0	2	1	1	0
IN060045	2	19	2	1	2	0	2	1	1	0
IN060046	1	46	2	3	2	0	2	1	2	0
IN060046	2	28	1	1	2	25	2	1	1	8
IN060046	3	21	2	1	2	0	2	1	1	0
IN060047	1	70	2	3	2	0	2	2	2	0
IN060047	2	58	1	3	2	23	2	2	2	4
IN060047	3	50	2	3	2	0	2	2	2	0
IN060047	4	28	1	1	2	25	2	2	1	10
IN060047	5	25	1	4	2	25	2	2	2	10
IN060047	6	23	2	1	2	25	2	1	2	9
IN060047	7	23	1	4	2	25	2	2	2	10
IN060047	8	19	1	4	1	25	2	2	2	15
IN060047	9	17	1	4	1	25	2	2	2	12
IN060048	1	65	2	3	2	0	2	2	2	0
IN060048	2	33	1	1	2	0	2	2	1	0
IN060048	3	25	2	1	2	23	2	1	2	3
IN060049	1	50	1	3	2	0	2	2	2	0
IN060049	2	40	2	3	2	0	2	1	2	0
