CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
IN040061	1	1	2	12	2	1
IN040062	1	1	1	12	1	75
IN040063	1	1	2	12	1	85
IN040063	2	3	1	12	1	80
IN040064	1	1	2	12	2	1
IN040064	2	1	2	12	3	45
IN040065	1	2	2	12	3	1
IN040065	2	3	1	12	1	75
IN040066	1	1	1	12	1	75
IN040067	1	2	1	12	1	80
IN040068	1	1	1	12	1	75
IN040069	1	1	1	12	2	1
IN040069	2	2	1	12	2	1
IN040069	3	3	1	12	1	1
IN040069	4	4	1	7	2	1
IN040070	1	1	2	12	1	52
IN040070	2	3	2	12	1	52
IN040071	1	1	1	12	1	1
IN040072	1	1	1	12	2	1
IN040073	1	1	1	12	1	60
IN040074	1	1	2	12	1	15
IN040075	1	1	1	12	2	1
IN040075	2	3	1	12	2	1
IN040075	3	5	1	12	2	1
IN040075	4	6	1	4	2	1
IN040076	1	1	1	12	1	60
