comnro	services	seraval	serchng	serdis	sertme
52	5	2	8	88	88
52	6	1	1	0	2
52	7	1	1	0	2
52	8	2	8	88	88
52	9	2	8	88	88
52	10	1	1	99	99
52	11	1	3	0	0
52	12	2	8	88	88
52	13	2	8	88	88
52	14	2	8	88	88
52	15	2	8	88	88
52	16	2	8	88	88
53	1	2	8	88	88
53	2	2	8	88	88
53	3	2	8	88	88
53	4	1	2	0	3
53	5	2	8	88	88
53	6	1	1	0	5
53	7	1	1	0	2
53	8	2	8	88	88
53	9	2	8	88	88
53	10	1	1	0	10
53	11	1	1	0	10
53	12	2	8	88	88
53	13	2	8	88	88
53	14	2	8	88	88
53	15	2	8	88	88
53	16	2	8	88	88
54	1	2	8	88	88
54	2	2	8	88	88
54	3	2	8	88	88
54	4	2	8	88	88
54	5	2	8	88	88
54	6	1	1	0	5
54	7	1	1	0	5
54	8	2	8	88	88
54	9	2	8	88	88
54	10	1	1	0	5
54	11	1	1	0	10
54	12	2	8	88	88
54	13	2	8	88	88
54	14	2	8	88	88
54	15	2	8	88	88
54	16	2	8	88	88
55	1	2	8	88	88
55	2	1	1	0	5
55	3	2	8	88	88
55	4	2	8	88	88
55	5	2	8	88	88
55	6	1	1	0	5
55	7	2	8	88	88
55	8	2	8	88	88
55	9	1	1	0	10
55	10	1	1	0	10
55	11	1	1	0	10
55	12	2	8	88	88
55	13	2	8	88	88
55	14	2	8	88	88
55	15	2	8	88	88
55	16	2	8	88	88
56	1	2	8	88	88
56	2	2	8	88	88
56	3	2	8	88	88
56	4	1	1	0	88
56	5	2	8	88	88
56	6	1	1	0	88
56	7	1	1	0	88
56	8	1	1	0	88
56	9	1	1	0	88
56	10	2	8	88	88
56	11	1	1	88	88
56	12	2	8	88	88
56	13	2	8	88	88
56	14	2	8	88	88
56	15	2	8	88	88
56	16	2	8	88	88
57	1	2	8	88	88
57	2	1	1	1	10
57	3	2	8	88	88
57	4	1	1	0	5
57	5	2	8	88	88
57	6	1	1	0	5
57	7	2	8	88	88
57	8	2	8	88	88
57	9	1	1	88	88
