comnro	helid	facility	heldis	heltme
66	4	2	88	88
66	5	2	88	88
66	6	2	88	88
66	7	2	88	88
66	8	2	88	88
66	9	2	88	88
66	10	8	88	88
67	1	2	88	88
67	2	2	88	88
67	3	2	88	88
67	4	2	88	88
67	5	1	0	5
67	6	2	88	88
67	7	2	88	88
67	8	2	88	88
67	9	2	88	88
67	10	8	88	88
68	1	2	88	88
68	2	2	88	88
68	3	2	88	88
68	4	2	88	88
68	5	1	0	5
68	6	2	88	88
68	7	2	88	88
68	8	2	88	88
68	9	2	88	88
68	10	8	88	88
69	1	2	88	88
69	2	2	88	88
69	3	2	88	88
69	4	2	88	88
69	5	2	88	88
69	6	2	88	88
69	7	2	88	88
69	8	2	88	88
69	9	2	88	88
69	10	8	88	88
70	1	2	88	88
70	2	2	88	88
70	3	1	0	5
70	4	2	88	88
70	5	1	0	5
70	6	2	88	88
70	7	2	88	88
70	8	1	0	5
70	9	2	88	88
70	10	8	88	88
71	1	2	88	88
71	2	2	88	88
71	3	1	0	10
71	4	2	88	88
71	5	2	88	88
71	6	2	88	88
71	7	2	88	88
71	8	2	88	88
71	9	2	88	88
71	10	8	88	88
72	1	2	88	88
72	2	2	88	88
72	3	2	88	88
72	4	2	88	88
72	5	1	0	5
72	6	2	88	88
72	7	2	88	88
72	8	2	88	88
72	9	2	88	88
72	10	1	0	5
73	1	2	88	88
73	2	2	88	88
73	3	1	0	10
73	4	2	88	88
73	5	2	88	88
73	6	2	88	88
73	7	2	88	88
73	8	1	0	10
73	9	2	88	88
73	10	8	88	88
74	1	1	0	3
74	2	2	88	88
74	3	1	0	5
74	4	2	88	88
74	5	1	0	5
74	6	1	0	5
74	7	2	88	88
74	8	1	0	2
74	9	2	88	88
74	10	8	88	88
75	1	2	9	60
75	2	2	9	60
75	3	2	9	60
75	4	2	9	60
75	5	1	0	0
75	6	2	9	60
75	7	2	9	60
75	8	1	0	0
75	9	2	9	60
75	10	8	88	88
76	1	2	6	30
76	2	2	6	30
76	3	2	6	30
76	4	2	6	30
76	5	1	0	5
76	6	2	6	30
76	7	2	6	30
76	8	2	6	30
76	9	2	6	30
76	10	8	88	88
77	1	2	16	75
77	2	2	16	75
77	3	2	16	75
77	4	2	16	75
77	5	1	0	5
77	6	2	16	75
77	7	2	16	75
77	8	2	16	75
77	9	2	23	75
77	10	8	88	88
78	1	2	40	180
78	2	2	40	180
78	3	2	40	180
78	4	2	40	180
78	5	2	8	90
78	6	2	40	180
78	7	2	40	180
78	8	2	40	180
78	9	2	40	180
78	10	8	88	88
79	1	2	30	240
79	2	2	30	240
79	3	2	30	240
79	4	2	30	240
79	5	1	0	5
79	6	2	30	240
79	7	2	30	240
79	8	2	30	240
79	9	2	30	240
79	10	8	88	88
80	1	2	20	120
80	2	2	13	164
80	3	2	20	120
80	4	2	13	164
80	5	1	0	88
80	6	2	20	120
80	7	2	20	120
80	8	2	20	120
80	9	2	20	120
80	10	8	88	88
81	1	2	40	74
81	2	2	40	74
81	3	2	10	90
81	4	2	40	74
81	5	2	10	90
81	6	2	40	74
81	7	2	40	74
81	8	2	40	74
81	9	2	40	74
81	10	8	88	88
82	1	2	8	25
82	2	2	8	25
82	3	2	8	25
82	4	2	10	30
82	5	1	0	5
82	6	2	30	60
82	7	2	8	25
82	8	2	8	25
82	9	2	8	25
82	10	8	88	88
