CHILDCODE	GFMRIDR5	GFTOFDR5	OFNTYUR5	VLNTYUR5	OFNTSPR5	VLNTSPR5	OFSPYUR5	VLSPYUR5	OFSPNTR5	VLSPNTR5
11031	2	 	 	 	 	 	 	 	 	 
11031	3	 	 	 	 	 	 	 	 	 
11031	4	 	 	 	 	 	 	 	 	 
11031	5	 	 	 	 	 	 	 	 	 
11031	6	 	 	 	 	 	 	 	 	 
11031	7	 	 	 	 	 	 	 	 	 
11031	8	 	 	 	 	 	 	 	 	 
11031	9	 	 	 	 	 	 	 	 	 
11031	10	 	 	 	 	 	 	 	 	 
11031	11	 	 	 	 	 	 	 	 	 
11031	12	 	 	 	 	 	 	 	 	 
11031	13	 	 	 	 	 	 	 	 	 
11032	1	 	 	 	 	 	 	 	 	 
11032	2	 	 	 	 	 	 	 	 	 
11032	3	 	 	 	 	 	 	 	 	 
11032	4	 	 	 	 	 	 	 	 	 
11032	5	 	 	 	 	 	 	 	 	 
11032	6	 	 	 	 	 	 	 	 	 
11032	7	 	 	 	 	 	 	 	 	 
11032	8	 	 	 	 	 	 	 	 	 
11032	9	 	 	 	 	 	 	 	 	 
11032	10	 	 	 	 	 	 	 	 	 
11032	11	 	 	 	 	 	 	 	 	 
11032	12	 	 	 	 	 	 	 	 	 
11032	13	 	 	 	 	 	 	 	 	 
11033	1	 	 	 	 	 	 	 	 	 
11033	2	 	 	 	 	 	 	 	 	 
11033	3	 	 	 	 	 	 	 	 	 
11033	4	 	 	 	 	 	 	 	 	 
11033	5	 	 	 	 	 	 	 	 	 
11033	6	 	 	 	 	 	 	 	 	 
11033	7	 	 	 	 	 	 	 	 	 
11033	8	 	 	 	 	 	 	 	 	 
11033	9	 	 	 	 	 	 	 	 	 
11033	10	 	 	 	 	 	 	 	 	 
11033	11	 	 	 	 	 	 	 	 	 
11033	12	 	 	 	 	 	 	 	 	 
11033	13	 	 	 	 	 	 	 	 	 
11034	1	 	 	 	 	 	 	 	 	 
11034	2	 	 	 	 	 	 	 	 	 
11034	3	 	 	 	 	 	 	 	 	 
11034	4	 	 	 	 	 	 	 	 	 
11034	5	 	 	 	 	 	 	 	 	 
11034	6	 	 	 	 	 	 	 	 	 
11034	7	 	 	 	 	 	 	 	 	 
11034	8	 	 	 	 	 	 	 	 	 
11034	9	 	 	 	 	 	 	 	 	 
11034	10	 	 	 	 	 	 	 	 	 
11034	11	 	 	 	 	 	 	 	 	 
11034	12	 	 	 	 	 	 	 	 	 
11034	13	 	 	 	 	 	 	 	 	 
11037	1	 	 	 	 	 	 	 	 	 
11037	2	 	 	 	 	 	 	 	 	 
11037	3	 	 	 	 	 	 	 	 	 
11037	4	 	 	 	 	 	 	 	 	 
11037	5	 	 	 	 	 	 	 	 	 
11037	6	 	 	 	 	 	 	 	 	 
11037	7	 	 	 	 	 	 	 	 	 
11037	8	 	 	 	 	 	 	 	 	 
11037	9	 	 	 	 	 	 	 	 	 
11037	10	 	 	 	 	 	 	 	 	 
11037	11	 	 	 	 	 	 	 	 	 
11037	12	 	 	 	 	 	 	 	 	 
11037	13	 	 	 	 	 	 	 	 	 
11038	1	 	 	 	 	 	 	 	 	 
11038	2	 	 	 	 	 	 	 	 	 
11038	3	 	 	 	 	 	 	 	 	 
11038	4	 	 	 	 	 	 	 	 	 
11038	5	 	 	 	 	 	 	 	 	 
11038	6	 	 	 	 	 	 	 	 	 
11038	7	 	 	 	 	 	 	 	 	 
11038	8	 	 	 	 	 	 	 	 	 
11038	9	 	 	 	 	 	 	 	 	 
11038	10	 	 	 	 	 	 	 	 	 
11038	11	 	 	 	 	 	 	 	 	 
11038	12	 	 	 	 	 	 	 	 	 
11038	13	 	 	 	 	 	 	 	 	 
11039	1	 	 	 	 	 	 	 	 	 
11039	2	 	 	 	 	 	 	 	 	 
11039	3	 	 	 	 	 	 	 	 	 
11039	4	 	 	 	 	 	 	 	 	 
11039	5	 	 	 	 	 	 	 	 	 
11039	6	 	 	 	 	 	 	 	 	 
11039	7	 	 	 	 	 	 	 	 	 
11039	8	 	 	 	 	 	 	 	 	 
11039	9	 	 	 	 	 	 	 	 	 
11039	10	 	 	 	 	 	 	 	 	 
11039	11	 	 	 	 	 	 	 	 	 
11039	12	 	 	 	 	 	 	 	 	 
11039	13	 	 	 	 	 	 	 	 	 
11040	1	 	 	 	 	 	 	 	 	 
11040	2	 	 	 	 	 	 	 	 	 
11040	3	 	 	 	 	 	 	 	 	 
11040	4	 	 	 	 	 	 	 	 	 
11040	5	 	 	 	 	 	 	 	 	 
11040	6	 	 	 	 	 	 	 	 	 
11040	7	 	 	 	 	 	 	 	 	 
11040	8	 	 	 	 	 	 	 	 	 
11040	9	 	 	 	 	 	 	 	 	 
11040	10	 	 	 	 	 	 	 	 	 
11040	11	 	 	 	 	 	 	 	 	 
11040	12	 	 	 	 	 	 	 	 	 
11040	13	 	 	 	 	 	 	 	 	 
11041	1	 	 	 	 	 	 	 	 	 
11041	2	 	 	 	 	 	 	 	 	 
11041	3	 	 	 	 	 	 	 	 	 
11041	4	 	 	 	 	 	 	 	 	 
11041	5	 	 	 	 	 	 	 	 	 
11041	6	 	 	 	 	 	 	 	 	 
11041	7	 	 	 	 	 	 	 	 	 
11041	8	 	 	 	 	 	 	 	 	 
11041	9	 	 	 	 	 	 	 	 	 
11041	10	 	 	 	 	 	 	 	 	 
11041	11	 	 	 	 	 	 	 	 	 
11041	12	 	 	 	 	 	 	 	 	 
11041	13	 	 	 	 	 	 	 	 	 
11042	1	 	 	 	 	 	 	 	 	 
11042	2	 	 	 	 	 	 	 	 	 
11042	3	 	 	 	 	 	 	 	 	 
11042	4	 	 	 	 	 	 	 	 	 
11042	5	 	 	 	 	 	 	 	 	 
11042	6	 	 	 	 	 	 	 	 	 
11042	7	 	 	 	 	 	 	 	 	 
11042	8	 	 	 	 	 	 	 	 	 
11042	9	 	 	 	 	 	 	 	 	 
11042	10	 	 	 	 	 	 	 	 	 
11042	11	 	 	 	 	 	 	 	 	 
11042	12	 	 	 	 	 	 	 	 	 
11042	13	 	 	 	 	 	 	 	 	 
11043	1	 	 	 	 	 	 	 	 	 
11043	2	 	 	 	 	 	 	 	 	 
11043	3	 	 	 	 	 	 	 	 	 
11043	4	 	 	 	 	 	 	 	 	 
11043	5	 	 	 	 	 	 	 	 	 
11043	6	 	 	 	 	 	 	 	 	 
11043	7	 	 	 	 	 	 	 	 	 
11043	8	 	 	 	 	 	 	 	 	 
11043	9	 	 	 	 	 	 	 	 	 
11043	10	 	 	 	 	 	 	 	 	 
11043	11	 	 	 	 	 	 	 	 	 
11043	12	 	 	 	 	 	 	 	 	 
11043	13	 	 	 	 	 	 	 	 	 
