CHILDCODE	EDCHSTR5	EDAGR5	EDGRADER5	CMPGRDR5	SMESCHR5	TYSCR5	REGNR5	SCHNMER5
51031	1	18	0	 	 	 	 	 
51031	2	19	0	 	 	 	 	 
51031	3	20	0	 	 	 	 	 
51031	4	21	0	 	 	 	 	 
51032	1	19	0	 	 	 	 	 
51032	2	20	0	 	 	 	 	 
51032	3	21	0	 	 	 	 	 
51032	4	22	0	 	 	 	 	 
51033	1	18	0	 	 	 	 	 
51033	2	19	0	 	 	 	 	 
51033	3	20	0	 	 	 	 	 
51033	4	21	0	 	 	 	 	 
51034	1	19	8	1	1	4	3	154
51034	2	20	9	1	0	4	3	1420
51034	3	21	0	 	 	 	 	 
51034	4	22	0	 	 	 	 	 
51036	1	18	0	 	 	 	 	 
51036	2	19	0	 	 	 	 	 
51036	3	20	0	 	 	 	 	 
51036	4	21	0	 	 	 	 	 
51037	1	19	6	1	1	4	1	1424
51037	2	20	7	1	0	4	1	1425
51037	3	21	8	1	1	 	 	 
51037	4	22	9	4	0	4	1	1426
51038	1	18	36	1	1	4	5	1163
51038	2	19	33	1	1	 	 	 
51038	3	20	38	1	1	 	 	 
51038	4	21	0	 	 	 	 	 
51039	1	19	10	1	1	4	3	154
51039	2	20	0	 	 	 	 	 
51039	3	21	0	 	 	 	 	 
51039	4	22	11	4	0	4	3	790
51041	1	18	9	3	0	4	3	154
51041	2	19	0	 	 	 	 	 
51041	3	20	0	 	 	 	 	 
51041	4	21	0	 	 	 	 	 
51042	1	18	12	1	1	4	3	177
51042	2	19	32	1	0	4	6	1423
51042	3	20	33	1	1	 	 	 
51042	4	21	34	4	1	 	 	 
51043	1	18	12	1	1	4	3	796
51043	2	19	32	1	0	4	3	1896
51043	3	20	33	1	1	 	 	 
51043	4	21	34	4	1	 	 	 
51044	1	19	11	3	1	4	3	177
51044	2	20	21	1	0	4	3	1404
51044	3	21	22	1	1	 	 	 
51044	4	22	0	 	 	 	 	 
51046	1	18	8	1	1	4	3	154
51046	2	19	0	 	 	 	 	 
51046	3	20	0	 	 	 	 	 
51046	4	21	0	 	 	 	 	 
51047	1	19	0	 	 	 	 	 
51047	2	20	0	 	 	 	 	 
51047	3	21	0	 	 	 	 	 
51047	4	22	0	 	 	 	 	 
51048	1	19	0	 	 	 	 	 
51048	2	20	0	 	 	 	 	 
51048	3	21	0	 	 	 	 	 
51048	4	22	0	 	 	 	 	 
51050	1	19	12	1	1	4	3	796
51050	2	20	32	1	0	4	3	1422
51050	3	21	33	1	1	 	 	 
51050	4	22	38	4	1	 	 	 
61002	1	18	0	 	 	 	 	 
61002	2	19	0	 	 	 	 	 
61002	3	20	0	 	 	 	 	 
61002	4	21	0	 	 	 	 	 
61003	1	18	10	2	1	4	3	139
61003	2	19	0	 	 	 	 	 
61003	3	20	0	 	 	 	 	 
61003	4	21	0	 	 	 	 	 
61004	1	19	9	1	0	4	3	139
61004	2	20	10	1	1	 	 	 
61004	3	21	11	3	1	 	 	 
61004	4	22	0	 	 	 	 	 
61005	1	18	8	1	1	4	3	257
61005	2	19	9	1	0	4	3	139
61005	3	20	10	77	1	 	 	 
61005	4	21	0	 	 	 	 	 
61007	1	19	0	 	 	 	 	 
61007	2	20	0	 	 	 	 	 
61007	3	21	0	 	 	 	 	 
61007	4	22	0	 	 	 	 	 
61008	1	19	9	1	0	4	3	139
61008	2	20	10	1	1	 	 	 
61008	3	21	11	1	1	 	 	 
61008	4	22	12	4	1	 	 	 
61009	1	19	9	1	0	4	3	139
61009	2	20	10	1	1	 	 	 
61009	3	21	11	1	1	 	 	 
61009	4	22	12	4	1	 	 	 
61011	1	18	0	 	 	 	 	 
61011	2	19	0	 	 	 	 	 
61011	3	20	0	 	 	 	 	 
61011	4	21	0	 	 	 	 	 
61012	1	18	0	 	 	 	 	 
61012	2	19	0	 	 	 	 	 
61012	3	20	0	 	 	 	 	 
61012	4	21	0	 	 	 	 	 
61014	1	18	0	 	 	 	 	 
61014	2	19	0	 	 	 	 	 
61014	3	20	0	 	 	 	 	 
61014	4	21	2	77	0	4	6	1427
61015	1	19	0	 	 	 	 	 
61015	2	20	0	 	 	 	 	 
61015	3	21	0	 	 	 	 	 
61015	4	22	0	 	 	 	 	 
61016	1	19	0	 	 	 	 	 
61016	2	20	0	 	 	 	 	 
61016	3	21	0	 	 	 	 	 
61016	4	22	0	 	 	 	 	 
61018	1	18	0	 	 	 	 	 
61018	2	19	0	 	 	 	 	 
61018	3	20	0	 	 	 	 	 
61018	4	21	0	 	 	 	 	 
61019	1	19	0	 	 	 	 	 
61019	2	20	0	 	 	 	 	 
61019	3	21	0	 	 	 	 	 
61019	4	22	0	 	 	 	 	 
61020	1	19	10	2	1	4	3	139
61020	2	20	25	1	0	4	3	1428
61020	3	21	26	1	1	 	 	 
61020	4	22	23	4	1	 	 	 
61021	1	18	0	 	 	 	 	 
61021	2	19	0	 	 	 	 	 
61021	3	21	0	 	 	 	 	 
61021	4	22	0	 	 	 	 	 
61022	1	16	9	1	1	4	3	139
61022	2	17	10	1	1	 	 	 
61022	3	18	11	1	1	 	 	 
61022	4	19	12	4	1	 	 	 
61023	1	19	0	 	 	 	 	 
61023	2	20	0	 	 	 	 	 
61023	3	21	0	 	 	 	 	 
61023	4	22	0	 	 	 	 	 
61024	1	19	0	 	 	 	 	 
61024	2	20	0	 	 	 	 	 
61024	3	21	0	 	 	 	 	 
61024	4	22	0	 	 	 	 	 
61025	1	18	12	1	1	4	3	139
61025	2	19	32	1	0	4	3	139
61025	3	20	33	1	1	 	 	 
61025	4	21	34	4	1	 	 	 
61026	1	19	0	 	 	 	 	 
61026	2	20	0	 	 	 	 	 
61026	3	21	0	 	 	 	 	 
61026	4	22	0	 	 	 	 	 
61027	1	19	0	 	 	 	 	 
61027	2	20	0	 	 	 	 	 
61027	3	21	4	1	0	4	3	142
61027	4	22	5	4	0	4	3	138
61029	1	19	0	 	 	 	 	 
61029	2	20	6	1	0	4	3	1429
61029	3	21	7	1	1	 	 	 
61029	4	22	0	 	 	 	 	 
61031	1	18	12	1	1	4	3	139
61031	2	19	32	1	0	4	1	1553
61031	3	20	33	1	1	 	 	 
61031	4	21	34	4	1	 	 	 
61033	1	18	6	3	1	4	3	138
61033	2	19	7	1	1	 	 	 
61033	3	20	8	1	1	 	 	 
61033	4	21	9	4	0	4	3	139
61034	1	19	9	1	0	4	3	139
61034	2	20	10	1	1	 	 	 
61034	3	21	11	1	1	 	 	 
61034	4	22	12	4	1	 	 	 
61036	1	19	10	1	1	4	3	139
61036	2	20	0	 	 	 	 	 
61036	3	21	0	 	 	 	 	 
61036	4	22	0	 	 	 	 	 
61037	1	19	0	 	 	 	 	 
61037	2	20	0	 	 	 	 	 
61037	3	21	0	 	 	 	 	 
61037	4	22	0	 	 	 	 	 
61038	1	19	0	 	 	 	 	 
61038	2	20	0	 	 	 	 	 
61038	3	21	1	1	1	 	 	 
61038	4	22	2	4	1	 	 	 
61039	1	18	7	1	1	4	3	138
61039	2	19	8	1	1	 	 	 
61039	3	20	0	 	 	 	 	 
61039	4	21	9	4	0	4	3	139
61043	1	19	7	1	1	4	3	257
61043	2	20	8	1	1	 	 	 
61043	3	21	9	1	0	4	3	139
61043	4	22	10	4	1	 	 	 
61044	1	19	11	1	1	4	3	139
61044	2	20	12	1	1	 	 	 
61044	3	21	36	1	0	1	3	1430
61044	4	22	37	4	1	 	 	 
61046	1	19	0	 	 	 	 	 
61046	2	20	0	 	 	 	 	 
61046	3	21	0	 	 	 	 	 
61046	4	22	0	 	 	 	 	 
61049	1	18	8	1	1	4	3	142
61049	2	19	9	2	1	 	 	 
61049	3	20	9	3	1	 	 	 
61049	4	21	9	3	1	 	 	 
61050	1	19	10	1	1	4	3	139
61050	2	20	11	1	1	 	 	 
61050	3	21	12	1	1	 	 	 
61050	4	22	36	4	0	4	7	1034
61051	1	19	0	 	 	 	 	 
61051	2	20	6	1	0	4	3	1431
61051	3	21	7	1	1	 	 	 
61051	4	22	8	4	1	 	 	 
61052	1	19	0	 	 	 	 	 
61052	2	20	0	 	 	 	 	 
61052	3	21	22	1	0	4	3	1432
61052	4	22	21	4	1	 	 	 
61054	1	18	10	1	1	4	3	139
61054	2	19	0	 	 	 	 	 
61054	3	20	0	 	 	 	 	 
61054	4	21	0	 	 	 	 	 
61056	1	19	10	1	1	4	3	139
61056	2	20	11	1	1	 	 	 
61056	3	21	12	1	1	 	 	 
61056	4	22	32	4	0	4	3	503
61057	1	19	7	1	1	4	3	257
61057	2	20	0	 	 	 	 	 
61057	3	21	0	 	 	 	 	 
61057	4	22	8	4	0	4	3	1433
61058	1	19	0	 	 	 	 	 
61058	2	20	0	 	 	 	 	 
61058	3	21	0	 	 	 	 	 
61058	4	22	0	 	 	 	 	 
61059	1	19	7	1	1	4	3	142
61059	2	20	8	3	1	 	 	 
61059	3	21	8	3	1	 	 	 
61059	4	22	0	 	 	 	 	 
71001	1	19	8	1	1	4	3	189
71001	2	20	9	1	0	4	3	172
71001	3	21	10	1	1	 	 	 
71001	4	22	0	 	 	 	 	 
71002	1	18	9	3	1	4	3	9999
71002	2	19	0	 	 	 	 	 
71002	3	20	0	 	 	 	 	 
71002	4	21	0	 	 	 	 	 
71003	1	18	0	 	 	 	 	 
71003	2	19	9	1	0	4	3	172
71003	3	20	10	1	1	 	 	 
71003	4	21	0	 	 	 	 	 
71004	1	19	9	1	1	4	3	172
71004	2	20	10	1	1	 	 	 
71004	3	21	0	 	 	 	 	 
71004	4	22	0	 	 	 	 	 
71006	1	18	0	 	 	 	 	 
71006	2	19	0	 	 	 	 	 
71006	3	21	0	 	 	 	 	 
71006	4	22	0	 	 	 	 	 
71007	1	18	0	 	 	 	 	 
71007	2	19	9	1	0	4	3	172
71007	3	20	10	1	1	 	 	 
71007	4	21	21	4	1	 	 	 
71008	1	18	9	2	0	4	3	172
71008	2	19	9	1	1	 	 	 
71008	3	20	10	1	1	 	 	 
71008	4	21	11	4	1	 	 	 
71009	1	18	8	2	1	4	3	189
71009	2	19	8	1	1	 	 	 
71009	3	20	9	1	0	4	3	492
71009	4	21	10	4	1	 	 	 
71010	1	17	9	1	0	4	3	1434
71010	2	18	10	1	0	4	3	1435
71010	3	19	25	1	0	4	3	1436
71010	4	20	0	 	 	 	 	 
71012	1	18	8	1	1	4	3	189
71012	2	19	9	1	0	4	3	172
71012	3	20	10	2	1	 	 	 
71012	4	21	10	4	1	 	 	 
71013	1	18	9	1	1	4	3	172
71013	2	19	0	 	 	 	 	 
71013	3	20	0	 	 	 	 	 
71013	4	21	10	1	1	 	 	 
71014	1	18	8	3	1	4	3	493
71014	2	19	8	3	1	 	 	 
71014	3	20	0	 	 	 	 	 
71014	4	21	0	 	 	 	 	 
71015	1	18	6	1	1	4	3	493
71015	2	19	0	 	 	 	 	 
71015	3	20	0	 	 	 	 	 
71015	4	21	7	4	1	 	 	 
71016	1	19	9	1	1	4	3	172
71016	2	20	0	 	 	 	 	 
71016	3	21	0	 	 	 	 	 
71016	4	22	10	1	1	 	 	 
71017	1	18	21	1	1	4	3	1437
71017	2	19	22	1	1	 	 	 
71017	3	20	23	1	1	 	 	 
71017	4	21	0	 	 	 	 	 
71018	1	18	0	 	 	 	 	 
71018	2	19	0	 	 	 	 	 
71018	3	20	0	 	 	 	 	 
71018	4	21	0	 	 	 	 	 
71019	1	18	21	1	0	1	3	1439
71019	2	19	22	1	1	 	 	 
71019	3	20	24	1	1	 	 	 
71019	4	21	36	4	0	1	3	1438
71020	1	19	22	1	1	1	3	1439
71020	2	20	23	1	1	 	 	 
71020	3	21	24	1	1	 	 	 
71020	4	22	36	4	0	1	3	1440
71021	1	19	7	1	1	4	3	189
71021	2	20	8	1	1	 	 	 
71021	3	21	9	1	0	4	3	1441
71021	4	22	10	4	1	 	 	 
71022	1	18	9	1	1	4	3	172
71022	2	19	10	1	1	 	 	 
71022	3	20	0	 	 	 	 	 
71022	4	21	0	 	 	 	 	 
71024	1	19	32	1	0	1	3	1442
71024	2	20	33	1	1	 	 	 
71024	3	21	34	1	1	 	 	 
71024	4	22	35	4	1	 	 	 
71025	1	19	12	1	1	4	3	172
71025	2	20	32	1	0	4	3	789
71025	3	21	33	1	1	 	 	 
71025	4	22	34	4	1	 	 	 
71026	1	18	9	3	1	4	3	172
71026	2	19	9	1	1	 	 	 
71026	3	20	10	1	1	 	 	 
71026	4	21	0	 	 	 	 	 
71028	1	19	0	 	 	 	 	 
71028	2	20	0	 	 	 	 	 
71028	3	21	0	 	 	 	 	 
71028	4	22	0	 	 	 	 	 
71029	1	19	8	1	1	4	3	189
71029	2	20	9	1	0	4	3	172
71029	3	21	10	1	1	 	 	 
71029	4	22	0	 	 	 	 	 
71030	1	19	12	1	1	4	3	172
71030	2	20	32	1	0	4	3	1407
71030	3	21	33	1	1	 	 	 
71030	4	22	34	4	1	 	 	 
71031	1	18	8	1	1	4	3	493
71031	2	19	9	1	0	4	3	492
71031	3	20	10	1	1	 	 	 
71031	4	21	21	4	0	4	3	1443
71032	1	19	9	1	1	4	14	1444
71032	2	20	10	1	1	 	 	 
71032	3	21	21	1	0	1	14	1445
71032	4	22	22	4	1	 	 	 
71033	1	18	9	2	0	4	3	492
71033	2	19	9	1	1	 	 	 
71033	3	20	10	1	1	 	 	 
71033	4	21	0	 	 	 	 	 
71034	1	18	8	1	1	4	3	189
71034	2	19	9	1	0	3	3	172
71034	3	20	10	1	1	 	 	 
71034	4	21	21	4	0	4	3	172
71035	1	18	0	 	 	 	 	 
71035	2	19	0	 	 	 	 	 
71035	3	20	5	1	1	 	 	 
71035	4	21	6	4	1	 	 	 
71037	1	19	10	1	1	4	3	1446
71037	2	20	0	 	 	 	 	 
71037	3	21	25	1	0	4	3	1422
71037	4	22	26	4	1	 	 	 
71038	1	19	0	 	 	 	 	 
71038	2	20	0	 	 	 	 	 
71038	3	21	0	 	 	 	 	 
71038	4	22	0	 	 	 	 	 
71039	1	18	9	2	1	4	3	172
71039	2	19	9	1	1	 	 	 
71039	3	20	10	1	1	 	 	 
71039	4	21	0	 	 	 	 	 
71040	1	19	0	 	 	 	 	 
71040	2	20	0	 	 	 	 	 
71040	3	21	0	 	 	 	 	 
71040	4	22	7	4	0	1	3	1447
71042	1	18	9	1	0	4	3	493
71042	2	19	10	1	1	 	 	 
71042	3	20	11	1	0	4	3	1434
71042	4	21	12	4	1	 	 	 
71043	1	18	8	3	1	4	3	493
71043	2	19	8	1	1	 	 	 
71043	3	20	9	1	0	4	3	492
71043	4	21	10	4	1	 	 	 
71044	1	18	9	1	1	4	3	492
71044	2	19	10	1	1	 	 	 
71044	3	20	11	1	0	4	3	172
71044	4	21	12	4	1	 	 	 
71045	1	18	0	 	 	 	 	 
71045	2	19	0	 	 	 	 	 
71045	3	20	0	 	 	 	 	 
71045	4	21	0	 	 	 	 	 
71047	1	18	9	1	1	4	3	172
71047	2	19	10	1	1	 	 	 
71047	3	20	0	 	 	 	 	 
71047	4	21	21	4	1	 	 	 
71049	1	18	10	1	1	4	3	172
71049	2	19	0	 	 	 	 	 
71049	3	20	0	 	 	 	 	 
71049	4	21	0	 	 	 	 	 
81001	1	18	10	1	1	4	4	202
81001	2	19	0	 	 	 	 	 
81001	3	20	0	 	 	 	 	 
81001	4	21	0	 	 	 	 	 
81002	1	19	0	 	 	 	 	 
81002	2	20	0	 	 	 	 	 
81002	3	21	0	 	 	 	 	 
81002	4	22	0	 	 	 	 	 
81003	1	18	9	1	1	4	4	202
81003	2	19	10	1	1	 	 	 
81003	3	20	0	 	 	 	 	 
81003	4	21	21	1	0	1	4	1448
81004	1	18	7	1	1	4	4	209
81004	2	19	8	1	1	 	 	 
81004	3	20	9	3	0	4	4	1449
81004	4	21	0	 	 	 	 	 
81005	1	19	4	1	1	4	4	209
81005	2	20	5	1	1	 	 	 
81005	3	21	6	3	1	 	 	 
81005	4	22	0	 	 	 	 	 
81006	1	19	0	 	 	 	 	 
81006	2	20	0	 	 	 	 	 
81006	3	21	0	 	 	 	 	 
81006	4	22	0	 	 	 	 	 
81007	1	18	4	3	1	4	4	209
81007	2	19	0	 	 	 	 	 
81007	3	20	0	 	 	 	 	 
81007	4	21	0	 	 	 	 	 
81008	1	18	0	 	 	 	 	 
81008	2	19	0	 	 	 	 	 
81008	3	20	0	 	 	 	 	 
81008	4	21	0	 	 	 	 	 
81009	1	19	10	3	0	4	4	202
81009	2	20	0	 	 	 	 	 
81009	3	21	0	 	 	 	 	 
81009	4	22	0	 	 	 	 	 
81010	1	19	9	3	0	4	4	202
81010	2	20	9	1	0	4	4	1450
81010	3	21	10	1	1	 	 	 
81010	4	22	11	4	1	 	 	 
81011	1	19	0	 	 	 	 	 
81011	2	20	0	 	 	 	 	 
81011	3	21	0	 	 	 	 	 
81011	4	22	0	 	 	 	 	 
81012	1	19	0	 	 	 	 	 
81012	2	20	0	 	 	 	 	 
81012	3	21	0	 	 	 	 	 
81012	4	22	0	 	 	 	 	 
81013	1	18	0	 	 	 	 	 
81013	2	19	0	 	 	 	 	 
81013	3	20	0	 	 	 	 	 
81013	4	21	0	 	 	 	 	 
81014	1	18	0	 	 	 	 	 
81014	2	19	0	 	 	 	 	 
81014	3	20	0	 	 	 	 	 
81014	4	21	0	 	 	 	 	 
81015	1	19	0	 	 	 	 	 
81015	2	20	0	 	 	 	 	 
81015	3	21	0	 	 	 	 	 
81015	4	22	0	 	 	 	 	 
81017	1	18	0	 	 	 	 	 
81017	2	19	0	 	 	 	 	 
81017	3	20	0	 	 	 	 	 
81017	4	21	0	 	 	 	 	 
81018	1	19	5	1	0	4	4	209
81018	2	20	6	1	1	 	 	 
81018	3	21	7	1	0	4	4	201
81018	4	22	8	4	1	 	 	 
81019	1	19	9	1	0	4	4	202
81019	2	20	10	1	1	 	 	 
81019	3	21	0	 	 	 	 	 
81019	4	22	0	 	 	 	 	 
81020	1	18	0	 	 	 	 	 
81020	2	19	0	 	 	 	 	 
81020	3	20	0	 	 	 	 	 
81020	4	21	0	 	 	 	 	 
81021	1	19	0	 	 	 	 	 
81021	2	20	0	 	 	 	 	 
81021	3	21	0	 	 	 	 	 
81021	4	22	0	 	 	 	 	 
81022	1	19	0	 	 	 	 	 
81022	2	20	0	 	 	 	 	 
81022	3	21	0	 	 	 	 	 
81022	4	22	0	 	 	 	 	 
81023	1	18	0	 	 	 	 	 
81023	2	19	0	 	 	 	 	 
81023	3	20	0	 	 	 	 	 
81023	4	21	0	 	 	 	 	 
81024	1	17	7	1	1	4	4	202
81024	2	18	8	1	1	 	 	 
81024	3	19	0	 	 	 	 	 
81024	4	20	0	 	 	 	 	 
81025	1	18	0	 	 	 	 	 
81025	2	19	0	 	 	 	 	 
81025	3	20	0	 	 	 	 	 
81025	4	21	0	 	 	 	 	 
81026	1	19	0	 	 	 	 	 
81026	2	20	0	 	 	 	 	 
81026	3	21	0	 	 	 	 	 
81026	4	22	0	 	 	 	 	 
81027	1	18	9	3	1	4	4	202
81027	2	19	9	3	1	 	 	 
81027	3	20	0	 	 	 	 	 
81027	4	21	9	4	1	 	 	 
81028	1	19	7	1	1	4	4	209
81028	2	20	8	1	0	4	4	209
81028	3	21	9	1	0	4	4	202
81028	4	22	10	4	1	 	 	 
81029	1	19	5	1	1	4	4	209
81029	2	20	7	1	1	 	 	 
81029	3	21	0	 	 	 	 	 
81029	4	22	0	 	 	 	 	 
81030	1	19	0	 	 	 	 	 
81030	2	20	0	 	 	 	 	 
81030	3	21	0	 	 	 	 	 
81030	4	22	0	 	 	 	 	 
81031	1	19	0	 	 	 	 	 
81031	2	20	0	 	 	 	 	 
81031	3	21	0	 	 	 	 	 
81031	4	22	0	 	 	 	 	 
81032	1	19	0	 	 	 	 	 
81032	2	20	0	 	 	 	 	 
81032	3	21	0	 	 	 	 	 
81032	4	22	0	 	 	 	 	 
81033	1	18	9	3	0	4	4	202
81033	2	19	0	 	 	 	 	 
81033	3	20	0	 	 	 	 	 
81033	4	21	0	 	 	 	 	 
81034	1	18	0	 	 	 	 	 
81034	2	19	0	 	 	 	 	 
81034	3	20	0	 	 	 	 	 
81034	4	21	0	 	 	 	 	 
81035	1	18	8	1	1	4	4	209
81035	2	19	9	3	0	4	4	202
81035	3	20	0	 	 	 	 	 
81035	4	21	0	 	 	 	 	 
81036	1	19	9	1	1	4	4	202
81036	2	20	10	1	1	 	 	 
81036	3	21	13	1	0	1	4	1451
81036	4	22	14	4	1	 	 	 
81037	1	19	0	 	 	 	 	 
81037	2	20	0	 	 	 	 	 
81037	3	21	0	 	 	 	 	 
81037	4	22	0	 	 	 	 	 
81038	1	19	9	3	0	4	4	202
81038	2	20	0	 	 	 	 	 
81038	3	21	0	 	 	 	 	 
81038	4	22	0	 	 	 	 	 
81039	1	19	13	1	1	4	4	1048
81039	2	20	22	1	1	 	 	 
81039	3	21	38	1	1	 	 	 
81039	4	22	0	 	 	 	 	 
81040	1	19	0	 	 	 	 	 
81040	2	20	0	 	 	 	 	 
81040	3	21	0	 	 	 	 	 
81040	4	22	0	 	 	 	 	 
81041	1	19	0	 	 	 	 	 
81041	2	20	0	 	 	 	 	 
81041	3	21	0	 	 	 	 	 
81041	4	22	0	 	 	 	 	 
81043	1	19	0	 	 	 	 	 
81043	2	20	0	 	 	 	 	 
81043	3	21	0	 	 	 	 	 
81043	4	22	0	 	 	 	 	 
81044	1	19	0	 	 	 	 	 
81044	2	20	0	 	 	 	 	 
81044	3	21	0	 	 	 	 	 
81044	4	22	0	 	 	 	 	 
81045	1	19	0	 	 	 	 	 
81045	2	20	0	 	 	 	 	 
81045	3	21	0	 	 	 	 	 
81045	4	22	0	 	 	 	 	 
81046	1	18	22	1	1	1	4	1540
81046	2	19	23	1	1	 	 	 
81046	3	20	0	 	 	 	 	 
81046	4	21	36	4	0	1	4	1540
81047	1	19	0	 	 	 	 	 
81047	2	20	0	 	 	 	 	 
81047	3	21	0	 	 	 	 	 
81047	4	22	0	 	 	 	 	 
81048	1	19	0	 	 	 	 	 
81048	2	20	0	 	 	 	 	 
81048	3	21	0	 	 	 	 	 
81048	4	22	0	 	 	 	 	 
81049	1	18	0	 	 	 	 	 
81049	2	19	0	 	 	 	 	 
81049	3	20	0	 	 	 	 	 
81049	4	21	0	 	 	 	 	 
81050	1	19	0	 	 	 	 	 
81050	2	20	0	 	 	 	 	 
81050	3	21	0	 	 	 	 	 
81050	4	22	0	 	 	 	 	 
91001	1	19	0	 	 	 	 	 
91001	2	20	0	 	 	 	 	 
91001	3	21	0	 	 	 	 	 
91001	4	22	0	 	 	 	 	 
91002	1	18	0	 	 	 	 	 
91002	2	19	0	 	 	 	 	 
91002	3	20	0	 	 	 	 	 
91002	4	21	0	 	 	 	 	 
91003	1	19	24	1	1	1	4	1445
91003	2	20	23	1	1	 	 	 
91003	3	21	0	 	 	 	 	 
91003	4	22	0	 	 	 	 	 
91004	1	18	21	3	0	4	4	250
91004	2	19	0	 	 	 	 	 
91004	3	20	0	 	 	 	 	 
91004	4	21	0	 	 	 	 	 
91005	1	18	0	 	 	 	 	 
91005	2	19	10	1	0	4	4	1452
91005	3	20	21	1	0	4	4	869
91005	4	21	22	4	1	 	 	 
91006	1	19	7	1	1	4	4	228
91006	2	20	8	2	1	 	 	 
91006	3	21	8	2	0	1	14	1453
91006	4	22	0	 	 	 	 	 
91007	1	19	0	 	 	 	 	 
91007	2	20	0	 	 	 	 	 
91007	3	21	7	1	0	4	4	243
91007	4	22	8	4	1	 	 	 
91008	1	19	0	 	 	 	 	 
91008	2	20	0	 	 	 	 	 
91008	3	21	0	 	 	 	 	 
91008	4	22	0	 	 	 	 	 
91010	1	18	9	1	1	4	4	250
91010	2	19	10	3	1	 	 	 
91010	3	20	10	1	1	 	 	 
91010	4	21	0	 	 	 	 	 
91011	1	19	5	3	1	4	4	243
91011	2	20	0	 	 	 	 	 
91011	3	21	0	 	 	 	 	 
91011	4	22	0	 	 	 	 	 
91012	1	19	12	1	0	4	4	250
91012	2	20	32	1	0	1	4	1417
91012	3	21	33	1	1	 	 	 
91012	4	22	34	4	1	 	 	 
91013	1	18	10	1	1	4	4	250
91013	2	19	0	 	 	 	 	 
91013	3	20	0	 	 	 	 	 
91013	4	21	0	 	 	 	 	 
91014	1	19	5	3	1	4	4	243
91014	2	20	0	 	 	 	 	 
91014	3	21	0	 	 	 	 	 
91014	4	22	0	 	 	 	 	 
91015	1	18	0	 	 	 	 	 
91015	2	19	0	 	 	 	 	 
91015	3	20	0	 	 	 	 	 
91015	4	21	0	 	 	 	 	 
91016	1	19	0	 	 	 	 	 
91016	2	20	0	 	 	 	 	 
91016	3	21	9	1	0	4	4	228
91016	4	22	10	4	1	 	 	 
91017	1	18	9	1	1	4	4	250
91017	2	19	10	1	0	4	4	250
91017	3	20	21	1	1	 	 	 
91017	4	21	24	4	1	 	 	 
91018	1	18	7	1	1	4	4	228
91018	2	19	8	1	1	 	 	 
91018	3	20	9	1	1	 	 	 
91018	4	21	10	4	1	 	 	 
91019	1	19	22	1	1	4	4	1454
91019	2	20	23	1	1	 	 	 
91019	3	21	24	1	1	 	 	 
91019	4	22	0	 	 	 	 	 
91020	1	20	21	3	0	4	4	1455
91020	2	21	0	 	 	 	 	 
91020	3	22	0	 	 	 	 	 
91020	4	23	0	 	 	 	 	 
91021	1	17	3	1	1	4	4	243
91021	2	18	4	1	1	 	 	 
91021	3	19	5	3	1	 	 	 
91021	4	20	5	4	1	 	 	 
91022	1	16	0	 	 	 	 	 
91022	2	17	0	 	 	 	 	 
91022	3	18	0	 	 	 	 	 
91022	4	19	0	 	 	 	 	 
91023	1	18	10	1	1	4	4	250
91023	2	19	0	 	 	 	 	 
91023	3	20	0	 	 	 	 	 
91023	4	21	0	 	 	 	 	 
91024	1	19	0	 	 	 	 	 
91024	2	20	0	 	 	 	 	 
91024	3	21	0	 	 	 	 	 
91024	4	22	0	 	 	 	 	 
91025	1	18	10	1	1	4	4	250
91025	2	19	0	 	 	 	 	 
91025	3	20	0	 	 	 	 	 
91025	4	21	0	 	 	 	 	 
91026	1	18	21	1	1	2	4	1540
91026	2	19	22	1	1	 	 	 
91026	3	20	23	1	0	1	4	1540
91026	4	21	33	4	0	1	4	1456
91027	1	19	5	1	0	4	4	232
91027	2	20	6	1	1	 	 	 
91027	3	21	7	1	0	4	4	253
91027	4	22	8	4	1	 	 	 
91028	1	19	0	 	 	 	 	 
91028	2	20	0	 	 	 	 	 
91028	3	21	0	 	 	 	 	 
91028	4	22	0	 	 	 	 	 
91029	1	19	0	 	 	 	 	 
91029	2	20	0	 	 	 	 	 
91029	3	21	0	 	 	 	 	 
91029	4	22	0	 	 	 	 	 
91030	1	18	12	1	0	4	4	250
91030	2	19	0	 	 	 	 	 
91030	3	20	0	 	 	 	 	 
91030	4	21	27	4	0	1	15	1540
91031	1	19	12	1	1	4	4	250
91031	2	20	36	1	0	4	7	1034
91031	3	21	33	1	1	 	 	 
91031	4	22	34	4	1	 	 	 
91032	1	19	0	 	 	 	 	 
91032	2	20	0	 	 	 	 	 
91032	3	21	0	 	 	 	 	 
91032	4	22	0	 	 	 	 	 
91033	1	19	0	 	 	 	 	 
91033	2	20	0	 	 	 	 	 
91033	3	21	0	 	 	 	 	 
91033	4	22	0	 	 	 	 	 
91034	1	18	21	3	1	1	4	1445
91034	2	19	0	 	 	 	 	 
91034	3	20	0	 	 	 	 	 
91034	4	21	0	 	 	 	 	 
91035	1	18	8	1	0	4	4	228
91035	2	19	9	3	1	 	 	 
91035	3	20	9	1	0	4	4	250
91035	4	21	10	4	1	 	 	 
91036	1	18	0	 	 	 	 	 
91036	2	19	0	 	 	 	 	 
91036	3	20	0	 	 	 	 	 
91036	4	21	0	 	 	 	 	 
91037	1	19	5	1	1	4	4	243
91037	2	20	6	1	1	 	 	 
