CHILDCODE	ACTIDR5	ACTR5	ACTOWNR5	ACTMTHR5	ACTDYMTR5	ACTHRSR5	PYMRECR5	ERNCSHR5	ERNKNDR5	HWPAIDR5	PRFACTR5	MTHPRFR5
91045	1	13	3	9	26	8	1	600	 	4	0	10
91046	1	1	2	8	15	9	0	 	 	 	1	8
91046	2	4	2	4	20	6	0	 	 	 	1	5
91047	1	1	3	6	26	8	1	60	 	3	0	7
91047	2	1	2	6	22	7	0	 	 	 	1	5
91048	1	1	3	6	22	7	0	 	 	 	1	4
91048	2	5	3	3	22	8	1	3300	 	5	0	2
91050	1	1	2	2	15	7	0	 	 	 	1	3
101001	1	10	3	8	4	6	0	 	 	 	0	0
101003	1	13	1	1	24	12	1	1300	 	4	1	12
101006	1	1	2	3	5	8	0	 	 	 	0	4
101006	2	2	6	12	20	6	1	250	 	4	1	12
101012	1	10	2	10	20	12	0	 	 	 	1	12
101012	2	4	2	12	30	1	0	 	 	 	1	12
101013	1	11	2	12	30	6	0	 	 	 	1	10
101014	1	10	2	12	26	16	0	 	 	 	1	12
101018	1	12	3	9	26	8	1	60	 	2	1	10
101018	2	4	2	12	30	2	0	 	 	 	1	12
101019	1	9	3	4	12	3	0	 	 	 	0	0
101019	2	13	1	1	30	15	1	600	 	4	0	2
101020	1	12	1	6	29	12	1	250	 	3	1	12
101021	1	4	2	1	15	2	0	 	 	 	0	2
101022	1	9	2	1	30	5	0	 	 	 	1	12
101027	1	10	2	1	30	12	0	 	 	 	1	12
101028	1	 	 	 	 	 	 	 	 	 	 	 
101029	1	11	6	6	20	7	1	60	 	2	1	12
101029	2	13	2	2	22	15	3	250	1320	4	0	0
101030	1	13	1	12	26	8	1	2200	 	4	1	12
101031	1	11	2	12	20	6	0	 	 	 	1	12
101032	1	11	6	12	26	10	1	80	 	2	1	1
101032	2	12	1	1	22	1	1	20	 	2	1	1
101035	1	10	2	9	23	12	1	150	 	2	1	12
101035	2	20	2	3	20	8	0	 	 	 	0	0
101036	1	13	3	1	2	8	1	2000	 	4	1	12
101037	1	4	2	12	30	3	0	 	 	 	1	12
101040	1	13	1	3	26	8	1	1600	 	4	1	12
101041	1	9	2	12	30	1	0	 	 	 	1	0
101048	1	13	4	12	22	8	1	1743	 	4	1	12
111003	1	13	1	12	28	10	1	1800	 	4	0	0
111003	2	3	2	3	2	2	0	 	 	 	1	12
111005	1	1	2	12	15	10	0	 	 	 	1	12
111006	2	12	1	1	21	8	1	60	 	2	1	12
111009	1	6	2	2	20	8	0	 	 	 	0	0
111009	2	13	1	8	24	12	1	800	 	4	1	12
111011	1	13	1	12	26	8	1	2800	 	4	1	12
111013	1	1	2	8	30	9	0	 	 	 	1	12
111013	2	4	2	12	30	8	0	 	 	 	1	12
111015	1	10	2	7	10	2	0	 	 	 	0	0
111015	2	13	3	12	26	8	1	1700	 	4	1	3
111016	1	12	1	6	26	11	1	70	 	2	1	10
111016	2	1	2	5	15	8	0	 	 	 	1	12
111017	1	4	2	12	30	2	0	 	 	 	1	12
111018	1	1	6	12	30	10	1	200	 	2	1	12
111018	2	11	2	4	10	6	0	 	 	 	1	12
111019	1	13	1	4	28	8	1	1850	 	4	1	12
111020	1	13	1	9	30	9	1	800	 	4	1	4
111021	1	9	6	12	23	7	1	70	 	2	1	12
111022	1	11	6	12	20	10	1	400	 	2	1	12
111023	1	13	1	12	30	8	1	2700	 	4	1	12
111024	1	12	3	2	20	4	1	150	 	3	0	0
111025	1	1	2	12	30	8	0	 	 	 	1	12
111027	1	13	1	12	30	8	3	500	500	4	1	12
111028	1	1	2	12	20	10	0	 	 	 	1	12
111030	1	1	2	12	30	5	0	 	 	 	1	12
111031	1	11	1	10	27	6	1	200	 	2	1	12
111031	2	1	2	3	20	8	0	 	 	 	1	12
111034	1	11	2	12	30	6	0	 	 	 	1	-77
111035	1	13	1	5	26	8	1	700	 	4	1	10
111036	1	1	2	4	12	4	0	 	 	 	0	2
111037	1	10	2	12	12	12	0	 	 	 	1	12
111040	1	1	2	12	30	6	0	 	 	 	1	12
111041	1	11	6	8	16	8	1	200	 	2	1	-77
111042	1	1	2	12	24	8	0	 	 	 	1	12
111042	2	4	2	12	30	2	0	 	 	 	1	12
111043	1	1	2	3	10	4	0	 	 	 	1	3
111044	1	13	1	12	30	10	1	900	 	4	1	2
111045	1	1	6	6	21	4	0	 	 	 	1	12
111045	2	11	1	12	20	6	1	100	 	2	1	12
111047	1	11	6	10	30	9	1	250	 	2	1	12
111047	2	4	2	12	30	1	0	 	 	 	1	12
111048	1	1	2	12	22	4	0	 	 	 	1	12
121002	1	1	2	12	25	7	0	 	 	 	1	6
121003	1	10	6	6	16	10	1	50	 	2	1	3
121003	2	1	2	12	20	5	0	 	 	 	1	3
121005	1	10	6	2	12	10	1	50	 	2	1	12
121007	1	2	6	12	30	10	1	200	 	2	1	12
121008	1	10	2	8	30	13	0	 	 	 	0	12
121008	2	12	3	4	2	6	1	150	 	2	1	2
121009	1	9	6	11	25	6	1	75	 	3	1	10
121009	2	1	2	4	3	3	0	 	 	 	1	10
121011	1	10	2	12	30	10	0	 	 	 	1	12
121012	1	9	6	4	30	4	1	75	 	2	0	0
121012	2	1	2	4	1	1	0	 	 	 	1	0
121012	3	12	1	2	3	8	1	70	 	2	0	0
121013	1	10	2	12	30	15	0	 	 	 	1	12
121014	1	19	2	2	30	7	1	500	 	4	1	3
121015	1	9	6	4	30	12	1	80	 	2	0	0
121018	1	9	1	5	26	9	1	50	 	2	0	0
121018	2	1	2	12	16	8	1	5000	 	7	1	2
121021	1	6	3	12	15	8	1	50	 	2	1	0
121022	1	10	6	3	21	7	1	50	 	4	0	0
121023	1	10	6	4	8	10	1	100	 	2	0	0
