CHILDCODE	HHDCIDR5	HVEMDER5	MADDECR5	WHOPRVR5
21016	5	1	1	7
21016	6	0	1	6
21016	7	0	1	6
21016	8	0	1	1
21016	9	0	1	6
21016	10	0	0	88
21017	1	1	1	7
21017	2	1	1	7
21017	3	1	1	7
21017	4	1	1	7
21017	5	1	1	7
21017	6	0	1	6
21017	7	0	1	6
21017	8	1	1	4
21017	9	1	1	4
21017	10	0	0	88
21018	1	1	1	1
21018	2	1	1	7
21018	3	0	1	7
21018	4	1	1	7
21018	5	1	79	1
21018	6	0	1	1
21018	7	0	1	1
21018	8	1	1	7
21018	9	1	1	7
21018	10	0	0	88
21019	1	1	1	6
21019	2	1	1	6
21019	3	1	1	6
21019	4	1	1	6
21019	5	1	1	1
21019	6	1	1	6
21019	7	1	1	6
21019	8	1	1	6
21019	9	1	1	6
21019	10	0	0	88
21020	1	1	1	7
21020	2	1	1	7
21020	3	1	1	7
21020	4	1	1	7
21020	5	1	1	7
21020	6	0	1	6
21020	7	0	1	6
21020	8	1	1	7
21020	9	1	1	7
21020	10	0	0	88
21021	1	1	1	1
21021	2	1	1	1
21021	3	1	1	7
21021	4	1	1	7
21021	5	1	1	1
21021	6	1	1	1
21021	7	1	1	1
21021	8	1	1	3
21021	9	1	1	7
21021	10	0	0	88
21023	1	1	1	1
21023	2	1	1	1
21023	3	1	1	1
21023	4	1	1	7
21023	5	1	1	7
21023	6	0	1	7
21023	7	0	1	6
21023	8	1	1	8
21023	9	1	1	7
21023	10	0	1	88
21025	1	1	1	7
21025	2	1	1	7
21025	3	1	1	7
21025	4	1	1	7
21025	5	1	1	7
21025	6	0	1	6
21025	7	0	1	6
21025	8	1	1	7
21025	9	1	1	7
21025	10	0	0	88
21030	1	1	1	1
21030	2	1	1	1
21030	3	1	1	7
21030	4	1	1	7
21030	5	1	1	1
21030	6	0	1	1
21030	7	0	1	1
21030	8	1	1	7
21030	9	1	1	7
21030	10	0	0	88
21031	1	1	1	1
21031	2	1	1	1
21031	3	1	1	1
21031	4	1	1	1
21031	5	1	1	1
21031	6	0	1	1
21031	7	0	1	1
21031	8	1	1	7
21031	9	1	1	7
21031	10	0	0	88
21032	1	1	1	1
21032	2	1	1	1
21032	3	1	1	1
21032	4	0	1	1
21032	5	1	1	1
21032	6	1	1	1
21032	7	1	1	1
21032	8	1	1	3
21032	9	1	1	3
21032	10	0	0	88
21033	1	1	1	7
21033	2	1	1	7
21033	3	1	1	7
21033	4	1	1	7
21033	5	1	1	7
21033	6	0	1	6
21033	7	0	1	6
21033	8	1	1	7
21033	9	1	1	7
21033	10	0	0	88
21036	1	1	1	3
21036	2	1	1	1
21036	3	1	1	1
21036	4	1	1	1
21036	5	1	1	1
21036	6	1	1	1
21036	7	1	1	1
21036	8	1	1	3
21036	9	1	1	3
21036	10	1	1	3
21037	1	1	1	1
21037	2	1	1	2
21037	3	1	1	7
21037	4	0	1	7
21037	5	1	1	2
21037	6	0	1	1
21037	7	0	1	1
21037	8	1	1	7
21037	9	1	1	7
21037	10	0	1	88
21038	1	1	1	1
21038	2	1	1	1
21038	3	1	1	7
21038	4	1	1	7
21038	5	1	1	1
21038	6	0	1	1
21038	7	0	1	1
21038	8	1	1	7
21038	9	1	1	7
21038	10	0	0	88
21039	1	1	1	1
21039	2	1	1	1
21039	3	1	1	7
21039	4	1	1	7
21039	5	1	1	7
21039	6	0	1	1
21039	7	0	1	1
21039	8	1	1	7
21039	9	1	1	7
21039	10	0	1	88
21040	1	1	1	7
21040	2	1	1	7
21040	3	1	1	7
21040	4	1	1	7
21040	5	1	1	7
21040	6	0	1	6
21040	7	0	1	6
21040	8	1	1	7
21040	9	1	1	7
21040	10	0	0	88
21041	1	1	1	1
21041	2	1	1	1
21041	3	1	1	7
21041	4	1	1	7
21041	5	1	1	7
21041	6	0	1	1
21041	7	0	1	1
21041	8	1	1	7
21041	9	1	1	7
21041	10	0	0	88
21042	1	1	1	7
21042	2	1	1	7
21042	3	1	1	7
21042	4	1	1	7
21042	5	1	1	7
21042	6	0	1	6
21042	7	0	1	6
21042	8	1	1	7
21042	9	1	1	7
21042	10	0	0	88
21043	1	1	1	1
21043	2	1	1	1
21043	3	1	1	1
21043	4	1	1	1
21043	5	1	1	1
21043	6	0	1	1
21043	7	0	1	1
21043	8	1	1	7
21043	9	1	1	7
21043	10	0	1	88
21045	1	1	1	1
21045	2	1	1	1
21045	3	1	1	1
21045	4	1	1	1
21045	5	1	1	1
21045	6	0	1	1
21045	7	0	1	1
21045	8	1	1	3
21045	9	1	1	3
21045	10	0	0	88
21046	1	1	1	1
21046	2	1	1	1
21046	3	1	1	1
21046	4	1	1	1
21046	5	1	1	1
21046	6	0	1	1
21046	7	0	1	1
21046	8	1	1	3
21046	9	1	1	3
21046	10	0	0	88
21047	1	1	1	1
21047	2	1	1	1
21047	3	1	1	1
21047	4	1	1	1
21047	5	1	1	1
21047	6	0	1	1
21047	7	0	1	1
21047	8	1	1	3
21047	9	1	1	3
21047	10	0	0	88
21048	1	1	1	1
21048	2	1	1	1
21048	3	1	1	1
21048	4	1	1	1
21048	5	1	1	1
21048	6	0	1	1
21048	7	0	1	1
21048	8	1	1	3
21048	9	1	1	3
21048	10	0	0	88
31001	1	1	1	1
31001	2	1	1	1
31001	3	1	1	1
31001	4	1	1	1
31001	5	1	1	1
31001	6	0	1	1
31001	7	0	1	1
31001	8	0	1	3
31001	9	0	1	2
31001	10	0	77	88
31002	1	1	1	7
31002	2	1	1	7
31002	3	1	1	7
31002	4	1	1	7
31002	5	1	1	7
31002	6	0	1	6
31002	7	0	1	6
31002	8	1	1	7
31002	9	1	1	7
31002	10	0	0	88
31003	1	1	1	1
31003	2	1	1	1
31003	3	1	1	7
31003	4	1	1	7
31003	5	1	1	1
31003	6	0	1	1
31003	7	0	1	1
31003	8	0	1	3
31003	9	1	1	3
31003	10	0	1	88
31006	1	1	1	7
31006	2	1	1	7
31006	3	1	1	7
31006	4	1	1	7
31006	5	1	1	7
31006	6	0	1	6
31006	7	0	1	6
31006	8	1	1	7
31006	9	1	1	7
31006	10	0	0	88
31009	1	1	1	1
31009	2	1	1	1
31009	3	1	1	1
31009	4	1	1	1
31009	5	1	1	1
31009	6	0	1	1
31009	7	0	1	1
31009	8	1	1	3
31009	9	1	1	3
31009	10	0	0	88
31010	1	1	1	3
31010	2	1	1	1
31010	3	1	1	3
31010	4	1	1	1
31010	5	1	1	3
31010	6	1	1	1
31010	7	1	1	1
31010	8	1	1	3
31010	9	1	1	3
31010	10	0	0	88
31011	1	1	1	7
31011	2	1	1	7
31011	3	1	1	7
31011	4	1	1	7
31011	5	1	1	7
31011	6	0	1	6
31011	7	0	1	6
31011	8	1	1	7
31011	9	1	1	7
31011	10	0	0	88
31012	1	1	1	1
31012	2	1	1	7
31012	3	1	1	1
31012	4	1	1	7
31012	5	1	1	1
31012	6	0	1	6
31012	7	0	1	6
31012	8	1	1	7
31012	9	1	1	7
31012	10	0	0	88
31013	1	1	1	1
31013	2	1	1	1
31013	3	1	1	7
31013	4	0	1	7
31013	5	1	1	7
31013	6	0	1	7
31013	7	0	1	1
31013	8	1	1	1
31013	9	1	1	3
31013	10	0	1	88
31015	1	1	1	8
31015	2	1	1	8
31015	3	1	1	1
31015	4	1	1	8
31015	5	1	1	1
31015	6	0	1	6
31015	7	0	1	6
31015	8	1	1	8
31015	9	1	1	8
31015	10	0	0	88
31016	1	1	1	9
31016	2	1	1	7
31016	3	1	1	7
31016	4	1	1	7
31016	5	1	1	7
31016	6	0	1	7
31016	7	0	1	6
31016	8	1	1	7
31016	9	1	1	7
31016	10	0	0	88
31017	1	1	1	1
31017	2	1	1	1
31017	3	1	1	1
31017	4	1	1	1
31017	5	1	1	1
31017	6	0	1	3
31017	7	0	1	3
31017	8	1	1	3
31017	9	1	1	3
31017	10	0	0	88
31018	1	1	1	7
31018	2	1	1	7
31018	3	1	1	7
31018	4	1	1	7
31018	5	1	1	7
31018	6	0	1	1
31018	7	0	1	2
31018	8	1	0	3
31018	9	1	0	3
31018	10	0	0	88
31020	1	1	1	1
31020	2	1	79	1
31020	3	1	1	1
31020	4	1	1	1
31020	5	1	1	1
31020	6	0	1	1
31020	7	0	1	1
31020	8	1	1	3
31020	9	1	1	3
31020	10	0	0	88
31022	1	1	1	1
31022	2	1	1	1
31022	3	1	1	1
31022	4	0	0	1
31022	5	1	1	7
31022	6	0	1	7
31022	7	0	1	6
31022	8	1	1	1
31022	9	1	1	7
31022	10	0	0	88
31023	1	1	1	7
31023	2	1	1	7
31023	3	1	1	7
31023	4	1	1	7
31023	5	1	1	7
31023	6	0	1	1
31023	7	0	1	1
31023	8	1	1	7
31023	9	1	1	7
31023	10	0	0	88
31024	1	1	1	6
31024	2	1	1	6
31024	3	1	1	6
31024	4	1	1	6
31024	5	1	1	1
31024	6	1	1	1
31024	7	1	1	6
31024	8	1	1	6
31024	9	1	1	6
31024	10	0	1	88
31025	1	1	1	1
31025	2	1	1	1
31025	3	1	1	1
31025	4	1	1	7
31025	5	1	1	1
31025	6	0	1	1
31025	7	0	1	1
31025	8	1	1	7
31025	9	1	1	7
31025	10	0	1	88
31027	1	1	1	1
31027	2	1	1	1
31027	3	1	1	1
31027	4	0	1	1
31027	5	1	1	9
31027	6	0	1	7
31027	7	0	1	1
31027	8	1	1	1
31027	9	1	1	1
31027	10	0	1	88
31029	1	1	1	1
31029	2	1	1	7
31029	3	1	1	7
31029	4	0	1	7
31029	5	1	1	7
31029	6	0	1	7
31029	7	0	1	1
31029	8	1	1	7
31029	9	1	1	7
31029	10	0	1	88
31031	1	1	1	1
31031	2	1	1	1
31031	3	1	1	1
31031	4	1	1	1
31031	5	1	1	8
31031	6	0	1	1
31031	7	0	79	1
31031	8	1	1	7
31031	9	1	1	7
31031	10	0	1	88
31033	1	1	1	1
31033	2	1	1	1
31033	3	1	1	1
31033	4	1	1	6
31033	5	1	1	6
31033	6	0	1	1
31033	7	0	1	8
31033	8	1	1	3
31033	9	1	1	3
31033	10	0	0	88
31034	1	1	1	1
31034	2	1	1	7
31034	3	1	1	7
31034	4	1	1	7
31034	5	1	1	7
31034	6	0	1	6
31034	7	0	1	6
31034	8	1	1	7
31034	9	1	1	7
31034	10	0	0	88
31035	1	1	1	7
31035	2	1	1	7
31035	3	1	1	7
31035	4	1	1	7
31035	5	1	1	7
31035	6	0	1	1
31035	7	0	1	6
31035	8	1	1	7
31035	9	1	1	7
31035	10	0	0	88
31036	1	1	1	1
31036	2	1	1	1
31036	3	1	1	1
31036	4	1	1	7
31036	5	1	1	7
31036	6	0	1	1
31036	7	0	1	1
31036	8	1	1	7
31036	9	1	1	7
31036	10	0	1	88
31037	1	1	1	7
31037	2	1	1	7
31037	3	1	1	7
31037	4	1	1	7
31037	5	1	1	7
31037	6	0	1	1
31037	7	0	1	1
31037	8	1	1	7
31037	9	1	1	7
31037	10	0	1	88
31038	1	1	1	1
31038	2	1	1	1
31038	3	1	1	1
31038	4	1	1	7
31038	5	1	1	7
31038	6	0	1	1
31038	7	0	1	1
31038	8	1	1	3
31038	9	1	1	3
31038	10	0	1	88
31039	1	1	1	1
31039	2	1	1	1
31039	3	1	1	1
31039	4	0	1	7
31039	5	1	1	1
31039	6	0	1	7
31039	7	0	1	1
31039	8	1	1	1
31039	9	1	1	7
31039	10	0	1	88
31042	1	1	1	1
31042	2	1	1	1
31042	3	1	1	1
31042	4	1	1	1
31042	5	1	1	1
31042	6	0	1	1
31042	7	0	1	1
31042	8	1	1	3
31042	9	1	1	3
31042	10	0	0	88
31043	1	1	1	1
31043	2	1	1	1
31043	3	1	1	1
31043	4	1	1	1
31043	5	1	1	1
31043	6	0	1	7
31043	7	0	1	1
31043	8	1	1	1
31043	9	1	1	1
31043	10	0	1	88
31044	1	1	1	1
31044	2	1	1	7
31044	3	1	1	6
31044	4	1	1	7
31044	5	1	1	7
31044	6	0	1	6
31044	7	0	1	6
31044	8	1	1	7
31044	9	1	1	7
31044	10	0	0	88
31045	1	0	1	1
31045	2	0	1	8
31045	3	0	1	7
31045	4	0	1	7
31045	5	0	1	7
31045	6	0	1	1
31045	7	0	1	1
31045	8	1	1	7
31045	9	1	1	3
31045	10	0	1	88
31046	1	1	1	1
31046	2	1	1	1
31046	3	1	1	1
31046	4	0	1	1
31046	5	1	1	1
31046	6	0	1	7
31046	7	0	1	1
31046	8	1	1	7
31046	9	1	1	4
31046	10	0	0	88
31047	1	1	1	3
31047	2	1	1	3
31047	3	1	1	1
31047	4	1	1	3
31047	5	1	1	1
31047	6	0	1	1
31047	7	0	1	1
31047	8	1	1	3
31047	9	1	1	3
31047	10	0	0	88
31050	1	1	1	1
31050	2	1	1	1
31050	3	0	1	7
31050	4	1	1	7
31050	5	1	1	7
31050	6	0	1	1
31050	7	0	1	1
31050	8	1	1	7
31050	9	1	1	7
31050	10	0	1	88
41001	1	1	1	3
41001	2	1	1	1
41001	3	0	1	1
41001	4	1	1	1
41001	5	1	1	1
41001	6	0	1	1
41001	7	0	1	1
41001	8	1	1	3
41001	9	1	1	3
41001	10	1	1	3
41002	1	1	1	6
41002	2	1	1	6
41002	3	1	1	6
41002	4	1	1	1
41002	5	1	1	6
41002	6	1	1	7
41002	7	1	1	6
41002	8	0	1	2
41002	9	1	1	1
41002	10	1	1	2
41003	1	1	1	1
41003	2	1	1	1
41003	3	1	1	1
41003	4	1	1	1
41003	5	1	1	1
41003	6	0	1	1
41003	7	0	1	1
41003	8	1	1	1
41003	9	1	1	1
41003	10	0	1	88
41005	1	1	1	1
41005	2	1	1	1
41005	3	1	1	1
41005	4	1	1	1
41005	5	1	1	1
41005	6	0	1	1
41005	7	0	1	1
41005	8	0	1	1
41005	9	1	1	1
41005	10	0	1	1
41006	1	1	1	6
41006	2	1	1	6
41006	3	1	1	6
41006	4	1	1	6
41006	5	1	1	6
41006	6	0	1	1
41006	7	0	1	6
41006	8	1	1	6
41006	9	1	1	6
41006	10	1	0	2
41007	1	0	1	1
41007	2	0	1	1
41007	3	0	1	1
41007	4	0	1	1
41007	5	0	1	1
41007	6	0	1	1
41007	7	0	1	2
41007	8	1	1	7
41007	9	1	1	8
41007	10	0	0	88
41008	1	1	1	6
41008	2	1	1	1
41008	3	1	1	6
41008	4	0	1	1
41008	5	1	1	1
41008	6	1	0	3
41008	7	1	1	6
41008	8	1	1	6
41008	9	1	1	6
41008	10	1	1	2
41009	1	1	1	7
41009	2	1	1	7
41009	3	1	1	7
41009	4	1	1	7
41009	5	1	1	7
41009	6	0	1	1
41009	7	0	1	1
41009	8	1	1	7
41009	9	1	1	7
41009	10	0	0	88
