childid	planid	plan	peplan	penplan
PE208034	1	2	 	2
PE208035	1	4	 	4
PE208036	1	8	8	 
PE208037	1	4	 	4
PE208038	1	5	5	 
PE208039	1	10	10	 
PE208040	1	10	10	 
PE208040	2	4	4	 
PE208041	1	10	 	10
PE208042	1	10	 	10
PE208043	1	4	 	4
PE208043	2	2	 	2
PE208044	1	5	 	5
PE208045	1	2	2	 
PE208046	1	9	9	1
PE208047	1	4	1	4
PE208048	1	4	1	4
PE208049	1	4	1	4
PE208050	1	1	1	 
PE208051	1	1	 	1
