CHILDCODE	SCSTIDR4	FEESR4	PAYPERR4	NUMPERR4
38006	5	 	 	 
38006	6	 	 	 
38006	7	 	 	 
38006	8	 	 	 
38007	1	 	 	 
38007	2	 	 	 
38007	3	 	 	 
38007	4	 	 	 
38007	5	 	 	 
38007	6	 	 	 
38007	7	 	 	 
38007	8	 	 	 
38008	1	120	3	1
38008	2	380	2	5
38008	3	0	88	-88
38008	4	0	88	-88
38008	5	0	88	-88
38008	6	40	2	5
38008	7	0	88	-88
38008	8	170	3	1
38010	1	 	 	 
38010	2	 	 	 
38010	3	 	 	 
38010	4	 	 	 
38010	5	 	 	 
38010	6	 	 	 
38010	7	 	 	 
38010	8	 	 	 
38011	1	176	3	1
38011	2	0	88	88
38011	3	0	88	88
38011	4	0	88	88
38011	5	50	2	11
38011	6	20	1	32
38011	7	45	3	1
38011	8	100	3	1
38012	1	 	 	 
38012	2	 	 	 
38012	3	 	 	 
38012	4	 	 	 
38012	5	 	 	 
38012	6	 	 	 
38012	7	 	 	 
38012	8	 	 	 
38013	1	130	3	2
38013	2	0	88	-88
38013	3	0	88	-88
38013	4	0	88	-88
38013	5	0	88	-88
38013	6	0	88	-88
38013	7	0	88	-88
38013	8	200	3	1
38015	1	50	2	10
38015	2	200	2	10
38015	3	50	2	10
38015	4	0	88	-88
38015	5	0	88	-88
38015	6	80	2	10
38015	7	0	88	-88
38015	8	120	3	1
38017	1	 	 	 
38017	2	 	 	 
38017	3	 	 	 
38017	4	 	 	 
38017	5	 	 	 
38017	6	 	 	 
38017	7	 	 	 
38017	8	 	 	 
38019	1	100	3	1
38019	2	0	88	0
38019	3	0	88	0
38019	4	0	88	0
38019	5	0	88	0
38019	6	40	2	12
38019	7	0	88	0
38019	8	0	88	0
38020	1	 	 	 
38020	2	 	 	 
38020	3	 	 	 
38020	4	 	 	 
38020	5	 	 	 
38020	6	 	 	 
38020	7	 	 	 
38020	8	 	 	 
38021	1	 	 	 
38021	2	 	 	 
38021	3	 	 	 
38021	4	 	 	 
38021	5	 	 	 
38021	6	 	 	 
38021	7	 	 	 
38021	8	 	 	 
38022	1	 	 	 
38022	2	 	 	 
38022	3	 	 	 
38022	4	 	 	 
38022	5	 	 	 
38022	6	 	 	 
38022	7	 	 	 
38022	8	 	 	 
38023	1	322	3	1
38023	2	0	88	-88
38023	3	400	3	1
38023	4	500	3	1
38023	5	0	88	-88
38023	6	140	2	10
38023	7	1500	3	1
38023	8	200	3	1
38024	1	150	5	1
38024	2	200	2	10
38024	3	150	6	2
38024	4	0	88	0
