CHILDCODE	SITUIDR4	LADCURR4	LADOLDR4
48018	5	8	2
48018	6	1	6
48018	7	1	1
48018	8	1	1
48019	1	5	6
48019	2	6	6
48019	3	7	6
48019	4	8	8
48019	5	6	6
48019	6	7	7
48019	7	6	7
48019	8	5	5
48020	1	8	5
48020	2	1	1
48020	3	8	8
48020	4	4	2
48020	5	8	8
48020	6	7	4
48020	7	2	2
48020	8	5	5
48021	1	1	6
48021	2	6	4
48021	3	7	5
48021	4	6	3
48021	5	5	4
48021	6	6	4
48021	7	6	5
48021	8	1	1
48022	1	5	7
48022	2	6	8
48022	3	7	8
48022	4	7	8
48022	5	6	8
48022	6	7	7
48022	7	6	8
48022	8	5	5
48023	1	6	8
48023	2	4	3
48023	3	8	6
48023	4	7	8
48023	5	7	6
48023	6	6	9
48023	7	4	3
48023	8	3	6
48024	1	5	2
48024	2	4	1
48024	3	8	4
48024	4	7	3
48024	5	6	2
48024	6	9	1
48024	7	5	1
48024	8	1	1
48025	1	6	2
48025	2	7	3
48025	3	8	5
48025	4	4	2
48025	5	8	3
48025	6	4	5
48025	7	4	6
48025	8	4	1
48026	1	6	4
48026	2	4	7
48026	3	6	6
48026	4	8	4
48026	5	6	5
48026	6	4	9
48026	7	7	5
48026	8	8	5
58002	1	4	6
58002	2	3	5
58002	3	6	5
58002	4	5	5
58002	5	7	4
58002	6	4	6
58002	7	4	4
58002	8	6	5
58003	1	3	2
58003	2	2	4
58003	3	4	5
58003	4	2	1
58003	5	4	3
58003	6	5	4
58003	7	6	4
58003	8	6	4
58004	1	7	4
58004	2	8	4
58004	3	7	5
58004	4	7	5
58004	5	6	4
58004	6	5	6
58004	7	3	4
58004	8	6	4
58006	1	5	3
58006	2	4	2
58006	3	3	3
58006	4	2	2
58006	5	4	5
58006	6	5	5
58006	7	1	1
58006	8	1	1
58007	1	4	2
58007	2	9	7
58007	3	8	7
58007	4	5	5
58007	5	5	4
58007	6	9	7
58007	7	8	3
58007	8	1	1
58008	1	6	4
58008	2	5	5
58008	3	6	4
58008	4	6	5
58008	5	4	4
58008	6	5	4
58008	7	5	6
58008	8	6	5
58011	1	7	8
58011	2	5	7
58011	3	6	4
58011	4	7	6
58011	5	8	5
58011	6	7	8
58011	7	6	4
58011	8	5	2
58012	1	2	1
58012	2	1	1
58012	3	7	2
58012	4	1	1
58012	5	2	1
58012	6	4	4
58012	7	4	2
58012	8	1	1
58013	1	6	8
58013	2	7	8
58013	3	8	9
58013	4	8	7
58013	5	7	6
58013	6	5	7
58013	7	8	7
58013	8	6	5
58014	1	8	8
58014	2	7	5
58014	3	9	4
58014	4	5	5
58014	5	6	6
58014	6	5	5
58014	7	4	6
58014	8	7	4
58015	1	6	6
58015	2	4	4
58015	3	5	4
58015	4	4	4
58015	5	4	4
58015	6	5	4
58015	7	5	4
58015	8	4	6
58016	1	3	6
58016	2	2	6
58016	3	5	4
58016	4	8	4
58016	5	4	2
58016	6	2	8
58016	7	3	1
58016	8	8	4
58017	1	7	5
58017	2	7	4
58017	3	6	4
58017	4	7	3
58017	5	7	4
58017	6	4	5
58017	7	4	4
58017	8	8	3
58019	1	5	5
58019	2	5	3
58019	3	5	4
58019	4	3	3
58019	5	4	4
58019	6	5	4
58019	7	5	8
58019	8	4	4
58020	1	7	4
58020	2	8	5
58020	3	5	8
58020	4	7	6
58020	5	7	5
58020	6	6	7
58020	7	3	3
58020	8	1	1
58021	1	2	2
58021	2	2	2
58021	3	3	3
58021	4	2	2
58021	5	3	3
58021	6	6	6
58021	7	8	8
58021	8	2	2
58022	1	8	4
58022	2	8	4
58022	3	3	6
58022	4	5	3
58022	5	6	5
58022	6	7	5
58022	7	2	6
58022	8	1	1
58023	1	9	4
58023	2	7	4
58023	3	6	5
58023	4	8	3
58023	5	8	5
58023	6	5	8
58023	7	5	8
58023	8	1	1
58025	1	4	3
58025	2	3	2
58025	3	5	5
58025	4	5	4
58025	5	5	5
58025	6	7	7
58025	7	4	4
58025	8	2	2
58026	1	5	3
58026	2	5	4
58026	3	6	4
58026	4	6	5
58026	5	7	6
58026	6	6	5
58026	7	6	5
58026	8	5	4
58027	1	7	2
58027	2	6	3
58027	3	5	7
58027	4	8	3
58027	5	6	4
58027	6	5	7
58027	7	77	7
58027	8	5	1
58028	1	6	5
58028	2	3	3
58028	3	3	6
58028	4	7	2
58028	5	8	4
58028	6	3	9
58028	7	6	6
58028	8	7	4
58029	1	7	3
58029	2	7	3
58029	3	5	4
58029	4	6	4
58029	5	6	3
58029	6	8	8
58029	7	6	6
58029	8	7	7
58030	1	4	3
58030	2	7	5
58030	3	8	5
58030	4	7	5
58030	5	7	5
58030	6	7	8
58030	7	6	8
58030	8	3	7
68001	1	8	7
68001	2	6	6
68001	3	7	6
68001	4	8	8
68001	5	8	6
68001	6	7	6
68001	7	6	5
68001	8	4	3
68002	1	7	5
68002	2	5	8
68002	3	6	7
68002	4	7	6
68002	5	7	8
68002	6	6	6
68002	7	7	8
68002	8	7	7
68003	1	8	4
68003	2	7	4
68003	3	2	3
68003	4	8	6
68003	5	5	4
68003	6	2	2
68003	7	8	8
68003	8	7	6
68004	1	7	5
68004	2	6	6
68004	3	5	3
68004	4	7	6
68004	5	5	4
68004	6	6	4
68004	7	7	7
68004	8	6	4
68005	1	6	6
68005	2	5	4
68005	3	5	3
68005	4	6	5
68005	5	5	4
68005	6	5	3
68005	7	6	6
68005	8	77	77
68006	1	4	2
68006	2	6	2
68006	3	6	2
68006	4	5	3
68006	5	8	3
68006	6	5	6
68006	7	2	5
68006	8	4	2
68007	1	9	7
68007	2	8	5
68007	3	9	5
68007	4	7	5
68007	5	8	5
68007	6	7	8
68007	7	8	8
68007	8	7	6
68008	1	1	7
68008	2	5	8
68008	3	5	5
68008	4	2	9
68008	5	3	6
68008	6	6	5
68008	7	8	8
68008	8	4	7
68009	1	7	5
68009	2	7	8
68009	3	9	6
68009	4	9	6
68009	5	9	5
68009	6	7	8
68009	7	8	7
68009	8	9	7
68010	1	4	2
68010	2	3	2
68010	3	5	4
68010	4	3	3
68010	5	5	4
68010	6	7	6
68010	7	7	8
68010	8	6	4
68011	1	9	2
68011	2	9	2
68011	3	9	2
68011	4	8	1
68011	5	9	3
68011	6	9	5
68011	7	6	2
68011	8	9	4
68012	1	7	6
68012	2	7	5
68012	3	7	4
68012	4	8	8
68012	5	8	8
68012	6	6	4
68012	7	4	4
68012	8	3	5
68013	1	6	6
68013	2	7	5
68013	3	7	6
68013	4	7	7
68013	5	6	6
68013	6	4	6
68013	7	5	4
68013	8	3	3
68015	1	7	5
68015	2	5	5
68015	3	6	2
68015	4	7	4
68015	5	4	3
68015	6	7	7
68015	7	4	4
68015	8	2	2
68016	1	7	5
68016	2	5	4
68016	3	5	3
68016	4	6	4
68016	5	7	5
68016	6	4	4
68016	7	2	1
68016	8	3	2
68017	1	3	3
68017	2	1	1
68017	3	6	4
68017	4	1	1
68017	5	7	4
68017	6	5	5
68017	7	4	4
68017	8	1	1
68018	1	7	5
68018	2	8	5
68018	3	8	4
68018	4	7	5
68018	5	7	5
68018	6	7	5
68018	7	8	6
68018	8	7	4
68019	1	8	7
68019	2	8	7
68019	3	8	7
68019	4	9	7
68019	5	9	8
68019	6	7	6
68019	7	7	6
68019	8	8	6
68020	1	4	3
68020	2	5	5
68020	3	7	7
68020	4	5	4
68020	5	7	5
68020	6	8	6
68020	7	5	4
68020	8	3	3
68021	1	6	5
68021	2	4	5
68021	3	5	4
68021	4	4	5
68021	5	4	5
68021	6	4	5
68021	7	5	5
68021	8	6	5
68022	1	6	4
68022	2	7	5
68022	3	6	6
68022	4	5	6
68022	5	5	5
68022	6	7	7
68022	7	4	4
68022	8	1	1
68023	1	6	4
68023	2	8	2
68023	3	7	5
68023	4	9	9
68023	5	9	9
68023	6	7	5
68023	7	9	5
68023	8	5	2
68024	1	7	5
68024	2	5	4
68024	3	6	4
68024	4	7	4
68024	5	5	4
68024	6	4	3
68024	7	4	3
68024	8	5	3
68025	1	6	6
68025	2	5	4
68025	3	6	5
68025	4	7	4
68025	5	4	4
68025	6	7	4
68025	7	5	5
68025	8	3	4
78001	1	6	6
78001	2	7	4
78001	3	3	6
78001	4	6	4
78001	5	8	6
78001	6	1	8
78001	7	4	7
78001	8	3	3
78002	1	7	7
78002	2	6	8
78002	3	6	7
78002	4	6	6
78002	5	3	6
78002	6	3	6
78002	7	3	3
78002	8	3	3
78003	1	5	3
78003	2	2	4
78003	3	5	3
78003	4	3	4
78003	5	2	8
78003	6	4	8
78003	7	3	8
78003	8	2	3
78005	1	8	6
78005	2	9	3
78005	3	8	8
78005	4	6	7
78005	5	8	8
78005	6	5	8
78005	7	2	1
78005	8	1	1
78006	1	8	5
78006	2	7	6
78006	3	3	3
78006	4	5	5
78006	5	6	6
78006	6	4	6
78006	7	8	8
78006	8	3	3
78007	1	9	9
78007	2	7	5
78007	3	5	8
78007	4	8	8
78007	5	8	6
78007	6	7	7
78007	7	8	6
78007	8	7	3
78008	1	8	6
78008	2	9	5
78008	3	8	6
78008	4	9	6
78008	5	7	4
78008	6	7	6
78008	7	8	5
78008	8	8	5
78009	1	4	1
78009	2	5	2
78009	3	7	3
78009	4	6	4
78009	5	6	4
78009	6	2	1
78009	7	4	2
78009	8	2	1
78010	1	8	7
78010	2	7	5
78010	3	7	6
78010	4	8	8
78010	5	4	9
78010	6	6	5
78010	7	7	7
78010	8	1	1
78011	1	5	6
78011	2	6	5
78011	3	5	6
78011	4	6	7
78011	5	4	5
78011	6	4	6
78011	7	5	5
78011	8	4	5
78012	1	5	4
78012	2	5	5
78012	3	5	4
78012	4	3	6
78012	5	6	3
78012	6	5	5
78012	7	8	2
78012	8	3	3
78013	1	4	7
78013	2	5	6
78013	3	4	6
78013	4	5	7
78013	5	7	6
78013	6	3	8
78013	7	5	5
78013	8	4	6
78014	1	5	8
78014	2	6	6
78014	3	6	7
78014	4	7	7
78014	5	6	7
78014	6	6	5
78014	7	7	7
78014	8	5	6
78015	1	6	6
78015	2	7	6
78015	3	7	8
78015	4	4	4
78015	5	7	6
78015	6	5	6
78015	7	5	5
78015	8	6	6
78016	1	5	5
78016	2	6	4
78016	3	6	5
78016	4	5	5
78016	5	4	4
78016	6	5	5
78016	7	6	5
78016	8	5	5
78017	1	8	5
78017	2	3	7
78017	3	5	7
78017	4	6	2
78017	5	6	4
78017	6	4	6
78017	7	3	6
78017	8	3	3
78018	1	3	8
78018	2	7	5
78018	3	2	5
78018	4	6	8
78018	5	7	7
78018	6	3	6
78018	7	5	8
78018	8	4	5
78019	1	7	5
78019	2	6	5
78019	3	4	6
78019	4	4	6
78019	5	6	6
78019	6	5	5
78019	7	7	5
78019	8	3	5
78020	1	7	5
78020	2	7	4
78020	3	4	5
78020	4	7	5
78020	5	8	6
78020	6	6	3
78020	7	5	5
78020	8	6	4
78021	1	7	5
78021	2	7	5
78021	3	7	6
78021	4	6	5
78021	5	6	5
78021	6	6	7
78021	7	5	5
78021	8	6	5
78022	1	 	 
78022	2	 	 
78022	3	 	 
78022	4	 	 
78022	5	 	 
78022	6	 	 
78022	7	 	 
78022	8	 	 
78024	1	7	5
78024	2	6	8
78024	3	8	6
78024	4	7	7
78024	5	8	7
78024	6	5	8
78024	7	8	8
78024	8	8	8
78026	1	5	3
78026	2	6	4
78026	3	3	5
78026	4	1	1
78026	5	5	4
78026	6	6	7
78026	7	5	4
78026	8	2	2
78027	1	6	8
78027	2	5	4
78027	3	7	6
78027	4	5	5
78027	5	7	5
78027	6	5	7
78027	7	2	4
78027	8	8	3
78028	1	7	6
78028	2	5	5
78028	3	8	6
78028	4	8	8
78028	5	8	7
78028	6	5	6
78028	7	6	6
78028	8	3	2
78029	1	7	6
78029	2	6	6
78029	3	7	6
78029	4	7	7
78029	5	7	5
78029	6	6	7
78029	7	6	5
78029	8	6	6
78030	1	7	7
78030	2	6	6
78030	3	7	6
78030	4	7	7
78030	5	8	6
78030	6	6	6
78030	7	8	7
78030	8	1	1
78031	1	5	7
78031	2	4	6
78031	3	3	6
78031	4	5	6
78031	5	4	6
78031	6	7	7
78031	7	7	7
78031	8	3	3
78032	1	7	3
78032	2	7	2
78032	3	4	6
78032	4	8	3
78032	5	8	2
