CHILDCODE	EDCHSTR4	ATDSCHR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
28016	9	1	7	4	1	 
28016	10	1	8	4	1	 
28016	11	1	9	1	0	20
28016	12	1	10	4	0	20
28016	13	1	11	4	1	 
28017	9	1	9	4	1	 
28017	10	1	10	4	1	 
28017	11	1	11	4	1	 
28017	12	1	13	1	0	20
28017	13	0	 	 	 	 
28018	9	1	9	4	1	 
28018	10	0	 	 	 	 
28018	11	0	 	 	 	 
28018	12	0	 	 	 	 
28018	13	0	 	 	 	 
28020	9	1	9	4	1	 
28020	10	1	10	4	1	 
28020	11	1	11	4	1	 
28020	12	0	 	 	 	 
28020	13	0	 	 	 	 
28021	9	1	10	4	1	 
28021	10	1	11	4	1	 
28021	11	1	13	1	0	20
28021	12	1	13	1	1	 
28021	13	1	13	1	1	 
28022	9	1	9	4	1	 
28022	10	1	10	4	1	 
28022	11	1	11	4	1	 
28022	12	0	 	 	 	 
28022	13	0	 	 	 	 
28023	9	1	8	4	1	 
28023	10	1	9	4	1	 
28023	11	1	10	4	1	 
28023	12	0	 	 	 	 
28023	13	0	 	 	 	 
28024	9	1	8	4	1	 
28024	10	1	9	4	1	 
28024	11	1	10	4	1	 
28024	12	1	11	4	1	 
28024	13	0	 	 	 	 
28025	9	1	9	4	1	 
28025	10	0	 	 	 	 
28025	11	0	 	 	 	 
28025	12	0	 	 	 	 
28025	13	0	 	 	 	 
38001	9	0	 	 	 	 
38001	10	0	 	 	 	 
38001	11	0	 	 	 	 
38001	12	0	 	 	 	 
38001	13	0	 	 	 	 
38002	9	0	 	 	 	 
38002	10	0	 	 	 	 
38002	11	0	 	 	 	 
38002	12	0	 	 	 	 
38002	13	0	 	 	 	 
38003	9	1	8	4	1	 
38003	10	1	9	4	1	 
38003	11	0	 	 	 	 
38003	12	0	 	 	 	 
38003	13	0	 	 	 	 
38004	9	1	5	4	1	 
38004	10	0	 	 	 	 
38004	11	0	 	 	 	 
38004	12	0	 	 	 	 
38004	13	0	 	 	 	 
38005	9	0	 	 	 	 
38005	10	0	 	 	 	 
38005	11	0	 	 	 	 
38005	12	0	 	 	 	 
38005	13	0	 	 	 	 
38006	9	1	9	4	1	 
38006	10	1	10	4	1	 
38006	11	1	11	4	1	 
38006	12	0	 	 	 	 
38006	13	0	 	 	 	 
38007	9	1	8	4	1	 
38007	10	1	9	4	1	 
38007	11	1	10	4	1	 
38007	12	1	11	4	1	 
38007	13	0	 	 	 	 
38008	9	1	10	4	1	 
38008	10	1	11	4	1	 
38008	11	0	 	 	 	 
38008	12	0	 	 	 	 
38008	13	1	13	1	0	15
38010	9	1	9	4	1	 
38010	10	1	10	4	1	 
38010	11	1	11	4	1	 
38010	12	0	 	 	 	 
38010	13	0	 	 	 	 
38011	9	1	9	4	1	 
38011	10	1	10	4	1	 
38011	11	1	11	4	1	 
38011	12	1	15	4	0	20
38011	13	1	15	4	1	 
38012	9	 	 	 	 	 
38012	10	 	 	 	 	 
38012	11	 	 	 	 	 
38012	12	 	 	 	 	 
38012	13	 	 	 	 	 
38013	9	1	10	4	1	 
38013	10	1	11	4	1	 
38013	11	0	 	 	 	 
38013	12	0	 	 	 	 
38013	13	1	15	4	0	20
38015	9	1	9	4	1	 
38015	10	1	10	4	1	 
38015	11	1	11	4	1	 
38015	12	1	13	1	0	20
38015	13	1	13	1	1	 
38017	9	1	8	4	1	 
38017	10	1	9	4	1	 
38017	11	1	10	4	1	 
38017	12	0	 	 	 	 
38017	13	0	 	 	 	 
38019	9	1	4	4	3	20
38019	10	1	5	4	1	 
38019	11	1	6	4	1	 
38019	12	1	7	3	0	20
38019	13	1	18	1	0	20
38020	9	 	 	 	 	 
38020	10	 	 	 	 	 
38020	11	 	 	 	 	 
38020	12	 	 	 	 	 
38020	13	 	 	 	 	 
38021	9	1	9	4	1	 
38021	10	1	10	4	1	 
38021	11	1	11	4	1	 
38021	12	0	 	 	 	 
38021	13	0	 	 	 	 
38022	9	 	 	 	 	 
38022	10	 	 	 	 	 
38022	11	 	 	 	 	 
38022	12	 	 	 	 	 
38022	13	 	 	 	 	 
38023	9	1	10	4	1	 
38023	10	1	11	4	1	 
38023	11	0	 	 	 	 
38023	12	1	15	4	0	20
38023	13	1	15	4	1	 
38024	9	1	9	4	1	 
38024	10	1	10	4	1	 
38024	11	1	11	4	1	 
38024	12	0	 	 	 	 
