CHILDCODE	ACTIDR4	DESWRKR4	ECNSCTR4	ACTR4	ACTFORR4	ACTMTHR4	ACTDAYMTR4	ACTWEKR4	ACTDAYHR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
58012	1	 	1	7	2	12	16	4	4	8	0	 	 	 	 	1	12
58012	2	 	1	2	3	12	8	4	2	8	1	35	3	2	 	1	12
58012	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58013	1	 	1	2	3	12	24	4	6	8	1	40	0	2	 	1	12
58013	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58013	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58014	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58014	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58014	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58015	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58015	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58015	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58016	1	 	1	2	3	7	24	4	6	11	1	75	0	2	 	0	 
58016	2	 	1	8	3	3	24	4	6	9	1	35	0	2	 	0	 
58016	3	 	1	2	3	1	15	2	6	7	1	40	0	2	 	0	 
58017	1	 	13	11	1	12	24	4	6	8	1	600	40	3	 	1	0
58017	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58017	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58019	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58019	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58019	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58020	1	 	3	11	1	8	24	4	6	12	1	850	0	4	 	1	3
58020	2	 	3	11	1	5	24	4	6	11	1	190	0	3	 	0	 
58020	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58021	1	 	1	21	2	1	24	4	6	6	0	 	 	 	 	1	12
58021	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58021	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58022	1	 	1	2	1	2	12	4	3	8	1	25	0	2	 	0	 
58022	2	 	6	11	1	7	26	4	6	8	1	700	0	4	 	0	 
58022	3	 	3	11	1	1	26	4	6	12	1	700	0	4	 	0	 
58023	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58023	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58023	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58025	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58025	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58025	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58026	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58026	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58026	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58027	1	 	1	7	1	12	12	4	3	4	2	0	15	2	 	1	12
58027	2	 	1	7	2	3	12	2	6	7	0	 	 	 	 	0	 
58027	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58028	1	 	6	12	1	6	26	4	6	9	1	400	0	3	 	1	12
58028	2	 	1	2	3	4	20	4	5	6	1	20	0	2	 	0	 
58028	3	 	1	7	2	4	8	4	2	6	0	 	 	 	 	1	0
58029	1	 	1	21	7	12	12	4	3	7	1	-77	-77	77	 	1	12
58029	2	 	1	2	3	12	16	4	4	7	1	20	0	2	 	1	0
58029	3	 	1	7	2	12	8	4	2	2	0	 	 	 	 	1	12
58030	1	 	9	11	1	11	26	4	6	10	1	1000	156	4	 	1	12
58030	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58030	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68001	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68001	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68001	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68002	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68002	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68002	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68003	1	 	9	15	2	1	15	2	6	7	0	 	 	 	 	0	 
68003	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68003	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68004	1	 	7	15	2	12	30	4	7	3	0	 	 	 	 	1	12
68004	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68004	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68005	1	 	7	11	1	3	30	4	7	12	1	750	0	4	 	1	12
68005	2	 	10	11	1	4	24	4	6	8	1	600	0	4	 	0	 
68005	3	 	7	11	1	3	24	4	6	8	1	500	0	4	 	0	 
68006	1	 	15	11	4	0	2	1	2	8	1	180	30	2	 	0	 
68006	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68006	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68007	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68007	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68007	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68008	1	 	20	11	2	3	30	4	7	15	1	200	12	2	 	0	 
68008	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68008	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68009	1	 	7	15	2	12	30	4	7	3	0	 	 	 	 	1	0
68009	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68009	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68010	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68010	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68010	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68012	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68012	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68012	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68013	1	 	13	12	1	0	0	1	6	9	1	150	35	3	 	1	3
68013	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68013	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68015	1	 	7	15	2	12	30	4	7	12	0	 	 	 	 	1	12
68015	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68015	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68016	1	 	7	11	1	2	30	4	7	8	1	50	3	3	 	0	 
68016	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68016	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68017	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68017	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68017	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68018	1	 	7	11	1	1	24	4	6	10	1	750	0	4	 	1	4
68018	2	 	7	11	1	0	16	4	4	8	1	450	0	8	 	0	 
68018	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68019	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68019	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68019	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68020	1	 	6	12	3	2	24	4	6	12	1	150	6	3	 	0	 
68020	2	 	1	12	2	2	12	4	3	8	2	0	15	2	 	0	 
68020	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68021	1	 	18	11	1	12	1	1	1	1	1	30	0	2	 	0	 
68021	2	 	7	15	2	12	24	4	6	3	0	 	 	 	 	1	12
68021	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68022	1	 	7	11	3	5	24	4	6	9	1	750	0	4	 	0	 
68022	2	 	7	14	7	4	16	4	4	5	1	100	0	3	 	0	 
68022	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68023	1	 	8	10	7	5	20	4	6	7	1	25	0	2	 	1	12
68023	2	 	7	10	7	1	22	4	6	12	1	40	0	2	 	1	12
68023	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68024	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68024	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68024	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68025	1	 	18	11	1	9	26	4	4	12	1	750	0	4	 	0	 
68025	2	 	7	15	2	3	30	4	6	12	0	 	 	 	 	1	0
68025	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78001	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78001	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78001	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78002	1	 	9	11	2	12	30	4	7	4	1	30	0	2	 	1	12
78002	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78002	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78003	1	 	7	11	2	5	16	4	4	5	1	200	0	4	 	1	10
78003	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78003	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78005	1	 	8	11	2	5	24	4	6	16	1	25	0	2	 	0	 
78005	2	 	18	12	3	1	12	4	3	9	1	50	0	2	 	0	 
78005	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78006	1	 	9	11	3	12	12	4	3	8	3	15	6	2	 	1	12
78006	2	 	7	11	1	12	3	1	3	7	3	50	9	2	 	1	12
78006	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78007	1	 	3	11	1	9	20	4	5	6	1	500	0	4	 	0	 
78007	2	 	18	11	1	1	12	4	3	14	1	1050	0	4	 	1	1
78007	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78008	1	 	14	12	1	0	15	3	5	10	1	50	0	3	 	1	0
78008	2	 	10	11	1	3	4	3	1	1	1	50	0	2	 	0	 
78008	3	 	18	12	1	2	8	4	2	3	1	100	0	2	 	0	 
78009	1	 	9	11	1	3	24	4	6	8	1	750	35	4	 	0	 
78009	2	 	18	12	7	12	8	4	2	3	3	10	4	2	 	1	12
78009	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78010	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78010	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78010	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78012	1	 	19	12	1	9	8	4	2	4	1	100	0	2	 	0	 
78012	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78012	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78013	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78013	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78013	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78014	1	 	7	15	2	12	24	4	6	2	2	10	0	2	 	1	10
78014	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78014	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78015	1	 	7	11	1	2	24	4	6	8	1	750	0	4	 	0	 
78015	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78015	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78016	1	 	8	10	2	0	24	4	6	9	3	30	0	2	 	1	1
78016	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78016	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78017	1	 	7	11	1	4	20	4	5	8	1	1000	80	4	 	1	12
78017	2	 	3	11	1	6	24	4	6	8	1	850	850	4	 	0	 
78017	3	 	2	11	1	2	24	4	6	12	1	20	0	2	 	0	 
78018	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78018	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78018	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78019	1	 	18	11	3	7	8	4	2	3	1	750	0	4	 	0	 
78019	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78019	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78020	1	 	7	11	1	12	30	4	7	10	1	500	-88	4	 	0	 
78020	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78020	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78021	1	 	7	15	2	12	6	2	2	3	0	 	 	 	 	1	12
78021	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78021	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78022	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78022	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78022	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78024	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78024	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78024	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78026	1	 	8	11	2	2	20	4	5	12	1	25	0	2	 	1	12
78026	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78026	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78027	1	 	8	11	3	9	20	4	5	12	1	30	0	2	 	1	12
78027	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78027	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78028	1	 	7	15	2	12	30	4	7	4	2	0	5	2	 	1	12
78028	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78028	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78029	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78029	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78029	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78030	1	 	16	11	1	1	22	4	5	6	1	200	0	4	 	1	12
78030	2	 	1	7	2	12	4	4	1	8	0	 	 	 	 	1	12
78030	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78031	1	 	6	11	1	4	22	4	5	9	1	150	0	3	 	1	1
78031	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78031	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78032	1	 	3	11	1	2	30	4	7	4	1	250	0	4	 	0	 
78032	2	 	7	11	1	3	26	4	6	10	1	500	0	4	 	0	 
78032	3	 	18	11	3	3	8	4	2	2	1	100	0	4	 	1	12
78033	1	 	10	11	1	3	17	4	4	6	1	100	0	4	 	1	12
78033	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78033	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78034	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78034	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78034	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78035	1	 	7	15	2	12	8	4	2	4	0	 	 	 	 	1	12
78035	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78035	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78036	1	 	7	11	1	3	24	4	6	8	1	20	120	4	 	1	12
78036	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78036	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78037	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78037	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78037	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78038	1	 	2	11	1	4	21	3	7	8	1	1200	735	4	 	0	 
78038	2	 	7	15	2	8	15	2	5	6	2	0	525	8	 	1	12
78038	3	 	6	15	3	0	7	1	3	6	0	 	 	 	 	1	1
78039	1	 	3	11	1	4	26	4	6	8	1	500	0	3	 	0	 
78039	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78039	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78040	1	 	19	12	1	5	24	4	6	9	1	200	0	3	 	0	 
78040	2	 	3	11	1	4	24	4	6	10	1	400	0	4	 	0	 
78040	3	 	19	10	3	1	24	4	6	9	1	180	0	3	 	0	 
78041	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78041	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78041	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78042	1	 	7	15	2	12	30	4	7	7	2	0	5	2	 	1	12
78042	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78042	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78043	1	 	7	11	1	4	26	4	6	8	1	200	0	4	 	0	 
78043	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78043	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78044	1	 	19	11	1	2	24	4	6	5	1	350	0	4	 	0	 
78044	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78044	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78045	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78045	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78045	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78046	1	 	7	11	1	3	24	4	6	12	1	100	0	4	 	0	 
78046	2	 	20	11	3	1	30	4	7	10	2	0	100	4	 	0	 
78046	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78047	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78047	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78047	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78048	1	 	20	11	3	10	24	4	6	11	1	800	0	4	 	1	3
78048	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78048	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78049	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78049	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78049	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78050	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78050	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78050	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78051	1	 	3	12	3	2	20	4	5	8	1	15	4	2	 	0	 
78051	2	 	3	12	2	1	20	4	5	8	1	15	0	2	 	1	5
78051	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78052	1	 	9	14	7	4	20	4	5	3	1	20	0	3	 	0	 
78052	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78052	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88001	1	 	7	15	2	7	26	4	6	6	0	 	 	 	 	1	5
88001	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88001	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88002	1	 	7	11	1	0	24	4	6	4	1	750	0	4	 	1	12
88002	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88002	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88003	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88003	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88003	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88004	1	 	6	11	2	3	24	4	6	8	1	180	0	3	 	0	 
88004	2	 	7	11	3	4	30	4	7	8	1	10	0	2	 	0	 
88004	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88005	1	 	16	11	1	12	20	4	5	5	1	350	0	4	 	1	12
88005	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88005	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88007	1	 	6	11	3	12	24	4	6	8	1	160	0	3	 	1	12
88007	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88007	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88008	1	 	8	10	2	12	24	4	6	8	1	25	0	2	 	1	12
88008	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88008	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88009	1	 	7	11	1	11	24	4	6	9	1	170	30	3	 	1	12
88009	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88009	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88010	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88010	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88010	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88011	1	 	7	11	3	7	20	4	5	9	1	600	0	4	 	0	 
88011	2	 	7	11	3	4	24	4	6	9	1	450	0	4	 	0	 
88011	3	 	6	11	3	1	16	4	4	8	1	200	0	3	 	0	 
88012	1	 	7	15	2	12	4	4	1	5	0	 	 	 	 	1	12
88012	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88012	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88013	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88013	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88013	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88014	1	 	3	9	2	10	24	4	6	10	1	450	0	4	 	1	12
88014	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88014	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88015	1	 	14	11	3	12	12	4	3	8	1	35	0	2	 	1	12
88015	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88015	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88016	1	 	7	11	1	12	24	4	6	8	1	180	0	3	 	1	12
88016	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88016	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88017	1	 	3	11	3	5	24	4	6	8	1	180	0	3	 	1	6
88017	2	 	7	11	1	1	24	4	6	8	1	900	32	4	 	0	 
88017	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88019	1	 	9	11	3	6	30	4	7	6	1	250	0	3	 	0	 
88019	2	 	9	11	3	6	30	4	7	6	1	280	0	3	 	1	12
88019	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88020	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88020	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88020	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88021	1	 	9	11	1	12	24	4	6	10	1	700	240	4	 	0	 
88021	2	 	9	11	1	1	30	4	6	8	1	800	0	4	 	1	12
88021	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88022	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88022	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88022	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88024	1	 	6	12	2	9	24	4	6	8	1	250	0	3	 	0	 
88024	2	 	19	12	3	4	24	4	6	8	1	200	0	3	 	0	 
88024	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88025	1	 	7	11	3	1	30	4	7	10	1	280	0	8	 	0	 
88025	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88025	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88026	1	 	14	11	1	1	0	2	6	5	1	400	0	4	 	1	12
88026	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88026	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88027	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88027	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88027	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88028	1	 	9	11	3	1	26	4	6	8	1	650	195	4	 	0	 
88028	2	 	9	11	3	1	16	4	4	4	1	200	20	3	 	0	 
88028	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88029	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88029	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88029	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88031	1	 	11	11	1	12	24	4	6	8	1	700	0	4	 	0	 
88031	2	 	14	12	1	4	24	4	6	8	1	750	0	4	 	0	 
88031	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98001	1	 	3	11	1	3	24	4	6	9	1	820	52	4	 	1	77
98001	2	 	6	11	3	8	24	4	6	8	1	1200	0	4	 	0	 
98001	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98002	1	 	1	21	2	3	30	4	7	4	0	 	 	 	 	0	 
98002	2	 	7	11	1	6	30	4	7	4	1	15	0	2	 	0	 
98002	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98004	1	 	7	11	1	12	24	4	6	11	1	180	48	3	 	1	2
98004	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98004	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98006	1	 	1	7	2	12	30	4	7	4	0	 	 	 	 	1	12
98006	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98006	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98007	1	 	20	23	3	12	24	4	6	12	1	600	504	4	 	1	9
98007	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98007	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98008	1	 	9	11	1	8	12	4	3	10	1	400	0	4	 	0	 
98008	2	 	9	11	1	12	8	4	2	6	1	300	20	4	 	0	 
98008	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98009	1	 	1	7	2	12	30	4	7	2	0	 	 	 	 	1	3
98009	2	 	1	7	2	12	30	4	7	2	0	 	 	 	 	1	3
98009	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98010	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
