CHILDID	planid	plan
VN181010	2	4
VN181011	1	4
VN181011	2	7
VN181012	1	5
VN181013	1	4
VN181013	2	2
VN181014	1	4
VN181015	1	4
VN181016	1	1
VN181017	1	4
VN181018	1	4
VN181018	2	8
VN181019	1	9
VN181019	2	4
VN181020	1	2
VN181020	2	7
VN181021	1	2
VN181022	1	4
VN181023	1	4
VN181023	2	10
VN181024	1	8
VN181026	1	8
VN181026	2	4
VN181027	1	4
VN181029	1	4
VN181030	1	4
VN181033	1	4
VN181034	1	4
VN181036	1	4
VN181037	1	4
VN181037	2	10
VN181039	1	4
VN181041	1	4
VN181042	1	4
VN181042	2	9
VN181043	1	10
VN181043	2	4
VN181044	1	4
VN181045	1	10
VN181046	1	10
VN181047	1	4
VN181049	1	10
VN181049	2	4
VN181050	1	4
VN181052	1	4
VN181054	1	4
VN181054	2	10
VN181056	1	1
VN181058	1	4
VN181059	1	4
VN181069	1	2
VN181073	1	4
VN181073	2	10
VN181076	1	2
VN181076	2	7
VN181078	1	1
VN191001	1	1
VN191002	1	4
VN191003	1	4
VN191004	1	4
VN191005	1	2
VN191005	2	3
VN191006	1	4
VN191007	1	4
VN191008	1	4
VN191009	1	4
VN191009	2	10
VN191011	1	4
VN191012	1	4
VN191013	1	10
VN191014	1	4
VN191015	1	1
VN191016	1	3
VN191017	1	4
VN191018	1	4
VN191019	1	8
VN191019	2	2
VN191020	1	10
VN191021	1	3
VN191022	1	4
VN191023	1	4
VN191024	1	2
VN191025	1	1
VN191026	1	4
VN191027	1	4
VN191028	1	4
VN191029	1	4
VN191030	1	4
VN191032	1	1
VN191033	1	4
VN191035	1	4
VN191036	1	1
VN191037	1	7
VN191037	2	4
VN191038	1	4
VN191039	1	2
VN191039	2	10
VN191040	1	4
VN191041	1	4
VN191043	1	1
VN191044	1	4
VN191045	1	4
VN191045	2	10
VN191046	1	4
VN191047	1	4
VN191048	1	2
VN191049	1	3
VN191049	2	4
VN191050	1	4
VN191052	1	8
VN191055	1	4
VN191057	1	4
VN191070	1	1
VN201002	1	4
VN201002	2	2
VN201003	1	4
VN201004	1	4
VN201005	1	10
VN201005	2	4
VN201006	1	4
VN201006	2	10
VN201007	1	7
VN201008	1	2
VN201008	2	3
VN201009	1	8
VN201010	1	4
VN201010	2	8
VN201011	1	8
VN201011	2	4
VN201012	1	2
VN201012	2	3
VN201013	1	4
VN201014	1	3
VN201015	1	1
VN201016	1	4
VN201017	1	1
VN201023	1	4
VN201024	1	4
VN201025	1	4
VN201030	1	2
VN201031	1	3
VN201031	2	7
VN201032	1	4
VN201034	1	10
VN201037	1	4
VN201038	1	4
VN201039	1	4
VN201042	1	8
VN201042	2	4
VN201043	1	4
VN201044	1	10
VN201044	2	10
VN201045	1	4
VN201045	2	7
VN201046	1	4
VN201049	1	4
VN201050	1	4
VN201051	1	2
VN201051	2	4
VN201052	1	10
VN201052	2	4
VN201054	1	4
VN201056	1	4
VN201059	1	4
VN201064	1	4
VN201064	2	2
VN201065	1	4
VN201068	1	2
VN201068	2	3
VN201071	1	4
VN201073	1	4
VN201073	2	8
VN201074	1	10
VN201082	1	1
VN201084	1	4
VN201086	1	4
VN201089	1	2
VN201089	2	4
VN201090	1	3
VN201090	2	2
VN201104	1	4
