CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
VN021078	6	4	2	12	2	52
VN021078	7	5	2	12	2	52
VN021083	1	1	1	9	1	5
VN021083	2	1	2	12	4	15
VN021083	3	2	2	12	2	15
VN021083	4	2	1	10	1	17
VN021089	1	1	2	7	1	5
VN021089	2	1	2	4	3	1
VN021089	3	2	2	12	1	1
VN021089	4	2	2	4	2	1
VN021089	5	2	2	9	1	52
VN021089	6	3	2	9	1	52
VN021089	7	4	2	9	2	52
VN021090	1	1	2	12	2	5
VN021090	2	1	2	12	1	52
VN021090	3	2	2	12	1	52
VN021090	4	2	2	2	4	5
VN021094	1	1	2	4	1	1
VN021094	2	1	2	12	2	1
VN021094	3	1	2	9	1	60
VN021094	4	2	2	5	1	1
VN021094	5	2	2	4	2	1
VN021094	6	2	2	12	2	1
VN021094	7	3	2	12	2	1
VN021094	8	4	2	12	2	1
VN021094	9	5	2	12	2	1
VN031001	1	1	1	12	1	80
VN031001	2	1	2	6	2	1
VN031001	3	1	2	12	1	1
VN031001	4	2	1	12	1	85
VN031002	1	1	2	3	1	1
VN031002	2	1	2	4	2	1
VN031002	3	1	2	12	3	1
VN031002	4	2	2	3	2	1
VN031002	5	2	2	4	2	1
VN031002	6	2	2	12	1	1
VN031002	7	3	2	3	1	1
VN031002	8	3	2	4	2	1
VN031002	9	3	2	12	3	1
VN031002	10	4	2	2	4	1
VN031002	11	4	2	2	4	1
VN031002	12	4	2	12	3	1
VN031003	1	1	2	5	3	1
VN031003	2	1	2	1	3	1
VN031003	3	1	2	12	1	1
VN031003	4	2	2	6	1	1
VN031003	5	2	2	3	3	1
VN031003	6	2	2	12	1	1
VN031003	7	3	2	6	1	1
VN031003	8	3	2	3	3	1
VN031003	10	3	2	12	3	1
VN031004	1	2	2	9	2	1
VN031004	2	2	2	12	2	1
VN031004	3	2	1	12	3	93
VN031004	4	3	1	12	1	1
VN031004	5	3	2	9	1	1
VN031004	6	3	2	9	2	1
VN031004	7	4	2	9	2	1
VN031004	8	4	2	9	2	1
VN031004	9	4	1	12	3	93
VN031004	10	5	1	12	1	1
VN031004	11	5	2	9	3	1
VN031004	12	5	2	9	3	1
VN031004	13	6	2	12	3	1
VN031004	14	6	2	9	3	1
VN031004	15	6	1	12	3	1
VN031005	1	1	2	3	1	1
VN031005	2	1	2	3	1	1
VN031005	3	1	2	12	1	1
VN031005	4	2	2	3	1	1
VN031005	5	2	2	2	3	1
VN031005	6	2	2	12	3	1
VN031006	1	1	2	6	1	1
VN031006	2	1	2	3	2	20
VN031006	3	1	2	12	2	1
VN031006	4	2	2	12	1	15
VN031006	5	2	2	12	1	52
VN031006	6	2	2	12	3	1
VN031006	7	3	1	12	3	93
VN031006	8	3	2	12	1	1
VN031006	9	4	1	3	3	93
VN031006	10	4	2	12	2	1
VN031006	11	5	2	12	1	1
VN031006	12	5	2	12	1	15
VN031006	13	5	2	12	1	1
VN031007	1	1	2	12	1	1
VN031007	2	1	2	12	1	1
VN031007	3	1	2	12	2	1
VN031007	4	2	2	12	1	1
VN031007	5	2	2	12	2	1
VN031007	6	2	2	12	1	1
VN031007	7	3	2	4	3	1
VN031007	8	3	2	12	3	1
VN031008	1	1	2	11	1	1
VN031008	2	1	2	9	2	1
VN031008	3	1	2	9	3	1
VN031008	4	2	2	11	1	1
VN031008	5	2	2	9	2	1
VN031008	6	2	2	9	3	1
VN031008	7	3	2	11	2	1
VN031008	8	3	2	9	3	1
VN031008	9	3	2	9	4	1
VN031008	10	4	2	11	1	1
VN031008	11	4	2	9	2	1
VN031008	12	4	2	9	3	1
VN031008	13	5	2	11	3	1
VN031008	14	5	2	9	3	1
VN031008	15	5	2	9	4	1
VN031008	16	6	2	11	2	1
VN031008	17	6	2	9	2	1
VN031008	18	6	2	9	3	1
VN031009	1	2	2	12	1	1
VN031009	2	2	2	5	1	1
VN031009	3	2	2	12	1	1
VN031009	4	3	2	12	1	1
VN031009	5	3	2	5	1	1
VN031009	6	3	2	12	1	1
VN031009	7	4	2	12	1	1
VN031009	8	4	2	5	1	1
VN031009	9	4	2	12	1	1
VN031009	10	5	2	12	2	1
VN031009	11	5	2	12	1	1
VN031009	12	5	2	5	3	1
VN031010	1	1	2	12	2	1
VN031010	2	1	2	4	2	1
VN031010	3	1	2	12	1	1
VN031010	4	2	2	12	1	1
VN031010	5	2	2	4	2	1
VN031010	6	2	2	12	2	1
VN031010	7	3	2	6	3	1
VN031010	8	4	2	6	3	1
VN031011	1	1	1	12	1	80
VN031011	2	2	2	10	1	1
VN031011	3	2	2	12	1	1
VN031011	4	2	2	12	1	1
VN031012	1	1	1	6	2	93
VN031012	2	1	2	12	2	1
VN031012	3	1	2	4	2	1
VN031012	4	2	2	8	2	1
VN031012	5	2	2	4	2	1
VN031012	6	2	2	6	2	1
VN031012	7	3	2	3	2	1
VN031012	8	3	2	3	2	1
VN031012	9	4	2	3	3	1
VN031012	10	4	2	3	3	1
VN031013	1	1	2	6	1	1
VN031013	2	1	2	3	1	1
VN031013	3	1	2	6	1	1
VN031013	4	2	2	6	1	1
VN031013	5	2	2	3	1	1
VN031013	6	2	2	6	1	1
VN031013	7	3	2	4	1	1
VN031013	8	3	2	3	1	1
VN031013	9	3	2	6	1	1
VN031013	10	4	2	6	1	1
VN031013	11	4	2	3	1	1
VN031013	12	4	2	6	1	1
VN031013	13	5	1	12	1	1
VN031013	14	5	2	6	2	1
VN031013	15	5	2	3	2	1
VN031018	1	1	2	3	2	1
VN031018	2	1	2	12	1	1
VN031018	3	1	2	9	2	1
VN031018	4	2	2	7	2	1
VN031018	5	2	2	7	2	1
VN031018	6	2	2	5	2	1
VN031018	7	3	2	12	2	1
VN031018	8	3	2	3	2	1
VN031020	1	1	1	4	3	93
VN031020	2	1	2	4	4	1
VN031020	3	1	2	8	4	1
VN031020	4	2	1	2	4	93
VN031020	5	2	2	2	4	1
VN031020	6	2	2	8	4	1
VN031020	7	3	1	1	2	93
VN031020	8	4	1	4	1	93
VN031021	1	1	2	4	1	1
VN031021	2	1	2	12	1	1
VN031021	3	1	1	3	2	1
VN031021	4	2	2	4	2	52
VN031021	5	2	2	4	2	1
VN031021	6	2	2	12	2	1
VN031021	7	3	2	4	2	18
VN031021	8	3	1	4	2	1
VN031021	9	3	2	4	2	1
VN031021	10	4	1	2	1	15
VN031021	11	4	2	3	2	1
VN031021	12	5	2	5	1	1
