CHILDID	REMID	REMREL	REMQNT	REMTYPE	V2070403
VN141003	1	3	48	2	2
VN141003	2	2	12	3	2
VN141004	1	3	100	2	2
VN141004	2	2	50	2	2
VN141004	3	5	20	2	2
VN141005	1	2	12	2	2
VN141005	2	3	6	2	1
VN141005	3	5	10	2	1
VN141006	1	3	48	3	2
VN141006	2	2	24	3	2
VN141006	3	5	12	3	2
VN141007	1	3	25	2	1
VN141008	1	2	20	3	1
VN141008	2	5	20	3	1
VN141008	3	3	5	1	1
VN141009	1	3	20	3	1
VN141009	2	2	20	3	1
VN141009	3	4	5	3	1
VN141009	4	5	4	3	1
VN141010	1	3	10	3	1
VN141010	2	2	6	1	1
VN141011	1	2	12	2	1
VN141011	2	3	96	2	1
VN141012	1	2	1	1	1
VN141012	2	3	10	3	1
VN141012	3	5	10	2	1
VN141013	1	2	100	3	1
VN141013	2	3	24	3	2
VN141013	3	5	1	1	1
VN141014	1	3	200	3	1
VN141014	2	2	60	2	1
VN141014	3	4	10	2	1
VN141015	1	3	5	3	1
VN141016	1	2	36	2	2
VN141016	2	3	3	2	1
VN141016	3	5	4	2	1
VN141017	1	3	10	3	1
VN141019	1	2	5	2	1
VN141019	2	3	25	3	2
VN141019	3	4	30	3	2
VN141020	1	2	6	2	1
VN141020	2	3	4	2	1
VN141025	1	3	15	3	1
VN141025	2	2	20	3	1
VN141025	3	4	7	3	1
VN141025	4	5	5	2	1
VN141026	1	3	30	2	1
VN141026	2	2	35	3	1
VN141027	1	2	10	3	1
VN141027	2	3	12	3	1
VN141027	3	5	3	2	1
VN141028	1	3	36	2	2
VN141029	1	2	10	3	1
VN141029	2	3	50	3	1
VN141029	3	5	3	3	1
VN141030	1	3	20	2	1
VN141030	2	2	10	3	1
VN141031	1	3	120	3	1
VN141031	2	2	10	3	1
VN141031	3	5	7	2	1
VN141032	1	2	20	3	1
VN141032	2	3	20	3	1
VN141032	3	5	5	3	1
VN141033	1	2	10	3	1
VN141033	2	3	30	3	2
VN141033	3	5	7	3	2
VN141034	1	2	8	3	1
VN141034	2	3	10	1	1
VN141034	3	5	5	1	1
VN141035	1	2	10	3	1
VN141035	2	3	10	3	1
VN141036	1	2	5	3	1
VN141036	2	3	8	3	1
VN141037	1	2	10	3	2
VN141037	2	5	10	3	2
VN141037	3	3	15	3	1
VN141039	1	3	10	2	2
VN141039	2	2	15	2	1
VN141040	1	2	9	1	1
VN141040	2	3	4	1	1
VN141041	1	3	4	3	2
VN141041	2	2	4	1	2
VN141041	3	5	6	3	2
VN141042	1	2	3	1	1
VN141042	2	3	5	1	1
VN141043	1	2	3	3	2
VN141044	1	2	20	2	1
VN141044	2	3	15	3	1
VN141044	3	4	10	3	1
VN141045	1	3	24	2	1
VN141047	1	3	1	1	2
VN141048	1	3	28	3	2
VN141048	2	2	8	1	2
VN141050	1	3	14	3	2
VN141050	2	2	16	1	2
VN141050	3	5	2	1	2
VN141051	1	1	10	3	2
VN141051	2	2	15	3	1
VN141051	3	5	10	1	1
VN141052	1	3	5	3	1
VN141062	1	6	3	2	1
VN141062	2	2	1	1	1
VN141062	3	3	3	1	1
VN141062	4	5	2	3	1
VN141066	1	3	5	3	1
VN141066	2	2	7	3	1
VN141066	3	4	3	2	1
VN141066	4	5	4	2	1
VN141073	1	3	36	3	2
VN141073	2	2	11	1	2
VN141073	3	4	6	1	2
