CHILDID	ID	AGE	SEX	RELATE	STILL	YRSCHOOL	DISABLED	SUPPORT	V2020510	V2020511
VN031011	5	13	2	5	1	43	2	2	0	0
VN031011	6	11	2	5	1	42	2	2	0	0
VN031012	1	44	1	1	2	42	2	1	10	0
VN031012	2	34	2	1	2	0	2	1	0	0
VN031012	3	14	2	5	1	42	2	2	0	0
VN031012	4	12	2	5	1	42	2	2	0	0
VN031013	1	56	1	1	2	43	2	1	3	0
VN031013	2	43	2	1	2	0	2	1	0	0
VN031013	3	21	2	5	2	0	2	1	0	0
VN031013	4	16	2	5	2	0	2	1	0	0
VN031013	5	11	2	5	2	42	2	1	0	0
VN031013	6	5	2	5	2	0	2	2	0	0
VN031013	17	0	2	13	88	88	2	88	88	88
VN031018	1	43	1	1	2	42	2	1	10	0
VN031018	2	33	2	1	2	0	2	1	4	0
VN031018	3	18	1	4	2	0	2	1	0	0
VN031018	17	2	1	5	88	88	2	88	88	88
VN031020	1	41	1	1	2	0	2	1	4	0
VN031020	2	40	2	1	2	0	2	1	0	0
VN031020	3	18	2	5	2	0	2	2	0	0
VN031020	4	15	1	5	2	0	2	2	0	0
VN031020	5	11	2	5	1	42	2	2	0	0
VN031021	1	45	1	1	2	45	2	1	10	0
VN031021	2	44	2	1	2	0	2	1	0	0
VN031021	3	21	2	5	2	42	2	1	0	0
VN031021	4	17	2	5	2	42	2	1	0	0
VN031021	5	15	1	5	1	43	2	2	0	0
VN031021	6	12	2	5	1	43	2	2	0	0
VN031021	7	9	1	5	1	42	2	2	0	0
VN031023	1	45	1	1	2	0	2	1	0	0
VN031023	2	43	2	1	2	0	2	1	2	0
VN031023	3	20	1	5	2	43	2	1	0	0
VN031023	4	18	2	5	2	0	2	1	0	0
VN031023	5	15	2	5	2	0	2	2	0	0
VN031023	6	13	1	5	1	43	2	2	0	0
VN031023	7	10	2	5	1	42	2	2	0	0
VN031024	1	36	1	1	2	42	2	1	20	0
VN031024	2	27	2	1	2	0	2	1	0	0
VN031024	3	6	1	5	1	42	2	2	0	0
VN031025	1	70	2	3	2	0	2	2	10	0
VN031025	2	48	1	1	2	0	2	1	20	0
VN031025	3	40	2	1	2	0	2	1	10	0
VN031025	4	21	1	5	2	42	2	1	15	0
VN031025	5	20	2	13	2	42	2	1	0	0
VN031025	6	19	1	5	2	43	2	1	0	0
VN031025	7	17	2	5	1	43	2	2	0	0
VN031025	8	16	2	5	1	43	2	2	0	0
VN031025	9	13	2	5	1	43	2	2	0	0
VN031025	10	6	2	5	1	42	2	2	0	0
VN031025	17	3	1	5	88	88	2	88	88	88
VN031025	18	0	2	13	88	88	2	88	88	88
VN031027	1	28	1	1	2	0	2	1	10	0
VN031027	2	26	2	1	2	0	2	1	0	0
VN031027	3	5	1	5	2	0	2	2	0	0
VN031027	17	2	1	5	88	88	2	88	88	88
VN031028	1	45	1	1	2	42	2	1	99	99
VN031028	2	38	2	1	2	0	2	1	2	0
VN031028	3	17	1	5	2	42	2	2	0	0
VN031028	4	16	1	5	2	42	2	2	0	0
VN031028	5	15	1	5	2	42	2	2	0	0
VN031028	6	6	1	5	2	42	1	2	0	0
VN031029	1	47	1	1	2	42	2	1	20	0
VN031029	2	39	2	1	2	0	2	1	0	0
VN031029	3	18	2	5	1	44	2	2	0	0
VN031029	4	16	2	5	1	44	2	2	0	0
VN031029	5	13	1	5	1	43	2	2	0	0
