CHILDCODE	ACTIDR5	ACTR5	ACTOWNR5	ACTMTHR5	ACTDAYR5	ACTHRSR5	PYMRECR5	PDCASHR5	PDKINDR5	PDTIMER5	PDNMPCR5	KEEPMYR5
50026	2	3	1	12	20	1	0	 	 	 	 	 
50027	1	1	1	9	16	4	0	 	 	 	 	 
50027	2	2	1	10	15	3	0	 	 	 	 	 
50028	1	1	1	12	22	7	0	 	 	 	 	 
50028	2	2	1	10	15	2	0	 	 	 	 	 
50030	1	2	1	12	18	3	0	 	 	 	 	 
50031	1	2	1	12	22	3	0	 	 	 	 	 
50031	2	3	1	10	20	2	0	 	 	 	 	 
50032	1	2	1	12	20	4	0	 	 	 	 	 
50032	2	3	1	12	30	2	0	 	 	 	 	 
50032	3	1	1	4	12	11	0	 	 	 	 	 
50033	1	2	1	12	15	2	0	 	 	 	 	 
50034	1	2	1	12	8	2	0	 	 	 	 	 
50035	1	2	1	12	20	3	0	 	 	 	 	 
50035	2	3	1	12	15	2	0	 	 	 	 	 
50036	1	6	2	12	30	9	1	8	 	6	5	2
50036	2	2	1	12	25	1	0	 	 	 	 	 
50038	1	1	1	12	26	5	0	 	 	 	 	 
50038	2	2	1	12	20	3	0	 	 	 	 	 
50039	1	6	2	12	30	5	1	10	 	6	3	2
50039	2	2	1	12	24	1	0	 	 	 	 	 
50040	1	2	1	10	22	6	0	 	 	 	 	 
