PLACEID	RSID	MODULE	SECTION	SECTION2	SECTION3	AGERES	SEXRES	INFCASTE	CAPAC	LIVRES
IN017	16	2	5	 	 	59	1	3	8	59
IN017	17	2	4	 	 	35	1	3	3	1
IN017	18	2	4	 	 	45	2	4	3	4
IN017	19	2	4	 	 	48	1	4	3	17
IN017	20	2	4	 	 	26	2	3	3	1
IN017	21	2	4	 	 	28	2	1	8	9
IN017	22	2	3	 	 	40	2	3	8	22
IN017	23	2	3	 	 	46	1	3	4	5
IN017	24	2	3	 	 	28	1	3	4	3
IN017	25	2	3	 	 	40	1	1	8	40
IN017	26	2	3	 	 	38	1	3	8	38
IN017	27	2	2	 	 	26	2	3	8	7
IN017	28	2	2	 	 	26	2	3	8	8
IN017	29	2	2	 	 	31	2	3	8	13
IN017	30	2	2	 	 	55	2	4	8	55
IN017	31	2	4	 	 	28	2	1	8	12
IN017	32	2	3	 	 	35	1	3	8	35
IN017	33	 	 	 	 	44	1	3	8	44
IN018	1	2	4	 	 	27	1	3	3	2
IN018	2	2	4	 	 	28	2	3	3	4
IN018	3	1	5	3	 	45	1	3	8	45
IN018	4	1	1	 	 	38	1	3	8	38
IN018	5	1	3	 	 	50	1	3	6	50
IN018	6	1	5	 	 	37	1	3	8	37
IN018	7	2	4	5	 	50	1	3	8	50
IN018	8	1	5	 	 	28	1	3	4	28
IN018	9	2	4	 	 	20	2	3	3	1
IN018	10	2	2	4	 	32	2	3	8	9
IN018	11	2	2	 	 	25	2	3	8	25
IN018	12	2	2	 	 	25	2	3	8	25
IN018	13	2	2	 	 	30	2	3	8	10
IN018	14	1	4	5	 	40	1	3	8	40
IN018	15	1	3	5	 	35	2	3	6	35
IN018	16	1	3	 	 	55	1	3	8	55
IN018	17	1	1	2	3	62	1	4	9	62
IN018	18	1	3	5	 	52	1	3	8	52
IN018	19	1	2	 	 	38	1	1	1	38
IN018	20	2	4	5	 	28	1	3	1	28
IN018	21	1	2	 	 	50	1	1	8	50
IN018	22	1	4	3	 	65	2	1	8	65
IN018	23	1	4	 	 	40	1	1	8	40
IN018	24	1	4	 	 	30	1	3	8	30
IN018	25	2	1	3	 	29	1	1	4	4
IN018	26	2	1	3	 	40	1	3	8	40
IN018	27	2	1	3	 	24	1	1	8	24
IN018	28	2	3	 	 	58	1	4	8	58
IN018	29	1	5	1	3	38	1	3	1	38
IN018	30	1	5	 	 	36	1	4	8	36
IN018	31	1	5	 	 	27	1	4	8	27
IN018	32	1	5	 	 	42	1	3	8	5
IN018	33	2	5	 	 	38	1	3	1	38
IN018	34	1	4	 	 	38	1	3	1	38
IN019	1	1	1	2	 	38	2	3	1	20
IN019	2	1	1	2	4	42	1	3	7	42
IN019	3	1	1	2	5	22	1	3	4	22
IN019	4	1	5	 	 	35	1	3	8	35
IN019	5	1	5	 	 	40	2	4	8	25
IN019	6	1	1	3	 	57	1	3	9	2
IN019	7	1	3	4	 	45	1	4	6	20
IN019	8	1	3	5	4	42	2	4	3	20
IN019	9	2	5	2	 	37	2	2	8	37
IN019	10	1	3	 	 	50	2	3	6	50
IN019	11	1	4	 	 	35	1	3	6	35
IN019	12	1	4	 	 	35	2	3	6	16
IN019	13	1	4	 	 	45	2	3	6	26
