PLACEID	LOCLTYID	CODE	ROUTE	TRNSPTNT	TIMEARRV
IN097	5	2	2	12	30
IN097	6	2	1	8	60
IN099	1	2	2	1	10
IN099	2	2	2	8	50
IN099	3	2	2	8	60
IN099	4	2	2	8	80
IN099	5	2	2	8	50
IN101	1	2	2	1	10
IN101	2	1	2	1	30
IN101	3	1	2	1	10
IN101	4	1	2	1	20
IN101	5	1	2	1	30
IN102	1	1	2	5	15
IN102	2	1	2	8	20
IN102	3	2	2	8	80
IN102	4	2	2	8	60
IN102	5	2	2	8	40
IN102	6	2	2	8	60
IN102	7	2	2	8	45
IN102	8	2	2	8	30
