CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
ET040089	3	3	2	4	1	1
ET040089	4	3	2	4	1	1
ET040089	5	4	2	4	1	1
ET040089	6	4	2	4	1	1
ET040090	1	1	1	12	1	45
ET040090	3	2	2	12	1	52
ET040091	1	1	1	12	1	91
ET040092	1	2	1	12	2	80
ET040092	2	3	1	12	3	80
ET040093	1	2	1	2	1	93
ET040093	2	2	1	2	1	95
ET040094	1	1	2	6	1	52
ET040095	1	2	2	12	1	52
ET040095	2	1	2	4	1	52
ET040097	1	1	1	5	1	45
ET040097	2	1	1	5	1	45
ET040098	1	1	1	12	1	67
ET040098	2	3	2	12	1	52
ET040098	3	3	2	12	1	93
ET040099	1	1	1	8	1	45
ET040100	2	2	1	12	1	74
ET040100	3	2	1	12	1	95
ET050001	1	1	2	10	3	1
ET050001	2	2	2	12	1	15
ET050001	3	2	2	12	1	97
ET050002	1	1	2	2	3	1
ET050002	2	1	2	12	3	15
ET050003	1	1	2	10	2	1
ET050003	2	3	2	12	1	97
ET050004	1	1	2	9	2	1
ET050004	2	1	1	12	3	74
ET050004	3	2	2	3	3	1
ET050005	1	1	2	2	3	1
ET050005	2	2	2	12	3	97
ET050005	3	2	2	12	1	97
ET050005	4	1	2	4	3	15
ET050006	1	1	2	12	2	1
ET050006	2	1	2	12	3	28
ET050006	3	2	2	4	2	1
ET050006	4	3	2	4	2	1
ET050006	8	4	2	5	3	1
ET050007	1	1	2	8	2	1
ET050007	2	2	2	3	3	1
ET050007	3	2	2	4	3	15
ET050008	1	1	2	3	2	15
ET050009	1	1	2	10	2	1
ET050009	2	1	2	12	3	52
ET050009	3	2	2	12	3	97
ET050009	4	2	2	2	2	1
ET050009	5	2	2	3	2	1
ET050009	6	3	2	12	2	97
ET050009	7	4	2	12	1	1
ET050010	1	1	2	12	2	1
ET050010	2	2	2	12	2	1
ET050010	3	2	2	12	3	97
ET050010	4	3	2	12	3	97
ET050010	5	3	2	12	4	97
ET050011	1	1	2	6	2	1
ET050011	2	1	2	12	1	1
ET050011	3	2	2	6	2	1
ET050011	4	2	2	12	3	1
ET050012	1	1	2	12	2	1
ET050012	2	2	2	12	2	1
ET050012	3	3	2	12	4	97
ET050012	4	3	2	12	4	97
ET050013	1	1	2	12	1	1
ET050013	2	2	2	3	2	1
ET050013	3	4	2	12	1	1
ET050014	1	1	2	4	3	15
ET050014	2	1	2	12	3	74
ET050014	3	1	2	6	3	1
ET050015	1	1	2	9	2	1
ET050015	2	1	1	12	1	74
ET050015	3	2	2	9	3	1
ET050015	4	3	2	6	3	97
ET050016	1	1	2	2	3	1
ET050016	2	1	1	12	2	74
ET050016	3	1	1	6	2	14
ET050016	4	2	2	12	3	97
ET050016	5	3	2	6	2	97
ET050016	6	2	2	6	2	97
ET050016	7	3	2	6	2	97
ET050017	1	1	2	12	1	18
