CHILDID	PLANID	PLAN
ET080039	1	1
ET080040	1	2
ET080041	1	4
ET080041	2	2
ET080042	1	1
ET080043	1	2
ET080044	1	1
ET080045	1	2
ET080045	2	4
ET080046	1	1
ET080047	1	2
ET080048	1	2
ET080049	1	1
ET080050	1	2
ET080051	1	2
ET080052	1	2
ET080053	1	2
ET080054	1	1
ET080055	1	1
ET080056	1	1
ET080057	1	1
ET080058	1	1
ET080059	1	1
ET080060	1	2
ET080061	1	2
ET080061	2	4
ET080062	1	1
ET080063	1	1
ET080064	1	4
ET080064	2	2
ET080065	1	1
ET080066	1	1
ET080067	1	2
ET080068	1	1
ET080069	1	1
ET080070	1	1
ET080071	1	1
ET080072	1	1
ET080073	1	2
ET080074	1	2
ET080075	1	1
ET080076	1	1
ET080077	1	1
ET080078	1	3
ET080079	1	2
ET080080	1	1
ET080081	1	1
ET080082	1	2
ET080082	2	4
ET080083	1	2
ET080084	1	2
ET080085	1	2
ET080085	2	4
ET080086	1	2
ET080086	2	4
ET080087	1	2
ET080087	2	4
ET080088	1	3
ET080088	2	4
ET080089	1	1
ET080090	1	1
ET080091	1	1
ET080092	1	2
ET080093	1	2
ET080094	1	1
ET080095	1	4
ET080095	2	2
ET080096	1	1
ET080097	1	2
ET080098	1	1
ET080099	1	1
ET080100	1	1
ET090001	1	4
ET090001	2	6
ET090002	1	6
ET090003	1	4
ET090003	2	6
ET090004	1	6
ET090005	1	6
ET090006	1	2
ET090007	1	1
ET090008	1	1
ET090009	1	1
ET090010	1	6
ET090011	1	6
ET090012	1	6
ET090013	1	6
ET090014	1	6
ET090015	1	4
ET090015	2	6
ET090016	1	6
ET090017	1	6
ET090018	1	1
ET090019	1	1
ET090020	1	4
ET090021	1	1
ET090022	1	1
ET090023	1	1
ET090024	1	1
ET090025	1	10
ET090026	1	8
ET090026	2	10
ET090027	1	10
ET090028	1	10
ET090029	1	4
ET090030	1	10
ET090031	1	10
ET090032	1	10
ET090033	1	10
ET090034	1	10
ET090035	1	10
ET090036	1	6
ET090036	2	3
ET090037	1	6
ET090037	2	4
ET090038	1	4
ET090038	2	2
ET090039	1	6
ET090039	2	2
ET090040	1	6
ET090040	2	3
ET090041	1	6
ET090041	2	4
ET090042	1	6
ET090042	2	3
ET090043	1	6
ET090043	2	2
ET090044	1	6
ET090044	2	3
ET090045	1	6
ET090045	2	2
ET090046	1	6
ET090046	2	3
ET090047	1	4
ET090048	1	6
ET090049	1	6
ET090049	2	10
ET090050	1	3
ET090050	2	6
ET090051	1	6
ET090051	2	4
ET090052	1	2
ET090052	2	3
ET090053	1	1
ET090054	1	1
ET090055	1	6
ET090055	2	4
ET090056	1	2
ET090056	2	4
ET090057	1	6
ET090058	1	6
ET090058	2	4
ET090059	1	1
ET090060	1	6
ET090060	2	2
ET090061	1	1
ET090062	1	1
ET090063	1	6
ET090063	2	2
ET090064	1	6
ET090064	2	2
ET090065	1	6
ET090065	2	3
ET090066	1	6
ET090066	2	2
ET090067	1	1
ET090068	1	1
ET090069	1	1
ET090070	1	1
ET090071	1	1
ET090072	1	1
ET090073	1	1
ET090074	1	1
ET090075	1	1
ET090076	1	1
ET090077	1	1
ET090078	1	1
ET090079	1	1
ET090080	1	1
ET090081	1	10
ET090082	1	1
ET090083	1	1
ET090084	1	1
ET090085	1	1
ET090086	1	2
ET090086	2	10
ET090087	1	1
ET090088	1	1
ET090089	1	1
ET090090	1	1
ET090091	1	1
ET090092	1	1
ET090093	1	1
ET090094	1	1
ET090095	1	1
ET090096	1	1
ET090097	1	1
ET090098	1	1
ET090099	1	10
ET090100	1	3
ET100001	1	4
ET100002	1	1
ET100003	1	1
ET100004	1	1
ET100005	1	1
ET100006	1	2
ET100006	2	8
ET100007	1	99
ET100008	1	1
ET100009	1	1
ET100010	1	1
ET100011	1	1
ET100012	1	1
ET100013	1	5
ET100013	2	9
ET100014	1	1
ET100015	1	5
ET100015	2	8
ET100016	1	2
ET100017	1	2
ET100017	2	6
ET100018	1	1
ET100019	1	8
ET100020	1	1
ET100021	1	1
ET100022	1	1
ET100023	1	2
ET100023	2	4
ET100024	1	1
ET100025	1	9
ET100026	1	9
ET100027	1	1
ET100028	1	1
ET100029	1	8
ET100030	1	1
ET100031	1	1
ET100032	1	1
ET100033	1	1
ET100034	1	7
ET100035	1	5
ET100036	1	9
ET100037	1	99
ET100038	1	5
ET100038	2	2
ET100039	1	4
ET100040	1	8
ET100041	1	8
ET100042	1	1
ET100043	1	1
ET100044	1	1
ET100045	1	1
ET100046	1	1
ET100047	1	1
ET100048	1	8
ET100048	2	5
ET100049	1	1
ET100050	1	8
ET100051	1	5
ET100052	1	1
ET100053	1	1
ET100054	1	9
ET100055	1	5
ET100056	1	4
ET100057	1	1
ET100058	1	3
ET100059	1	1
ET100060	1	1
ET100061	1	4
ET100062	1	1
ET100063	1	4
ET100064	1	1
ET100065	1	5
ET100066	1	5
ET100067	1	2
ET100068	1	1
ET100069	1	5
ET100070	1	9
ET100071	1	8
ET100072	1	1
ET100073	1	1
ET100074	1	8
ET100075	1	5
ET100076	1	4
ET100077	1	4
ET100078	1	4
ET100079	1	1
ET100080	1	8
ET100081	1	8
ET100082	1	1
ET100083	1	1
ET100084	1	5
ET100085	1	1
ET100086	1	1
ET100087	1	1
ET100088	1	1
ET100089	1	1
ET100090	1	9
ET100091	1	5
ET100092	1	1
ET100093	1	1
ET100094	1	4
ET100095	1	9
ET100096	1	4
ET100097	1	5
ET100098	1	9
ET100099	1	9
ET100100	1	1
ET110001	1	4
ET110002	1	1
ET110003	1	9
ET110003	2	8
ET110004	1	5
ET110005	1	8
ET110006	1	8
ET110007	1	5
ET110007	2	2
ET110008	1	4
ET110008	2	2
ET110009	1	5
ET110010	1	8
ET110010	2	9
ET110011	1	8
ET110012	1	4
ET110013	1	8
ET110014	1	9
ET110015	1	2
ET110016	1	8
ET110016	2	4
ET110017	1	99
ET110019	1	2
ET110020	1	3
ET110021	1	9
ET110022	1	2
ET110023	1	8
ET110023	2	9
ET110024	1	8
ET110025	1	3
ET110025	2	8
ET110026	1	8
ET110026	2	9
ET110027	1	8
ET110027	2	9
ET110028	1	8
ET110028	2	9
ET110029	1	1
ET110030	1	5
ET110031	1	1
ET110032	1	2
ET110033	1	2
ET110033	2	3
ET110034	1	1
ET110035	1	8
ET110036	1	8
ET110037	1	8
ET110038	1	5
ET110039	1	2
ET110039	2	5
ET110040	1	1
ET110041	1	99
ET110042	1	8
ET110043	1	8
ET110044	1	2
ET110044	2	3
ET110045	1	8
ET110046	1	8
ET110047	1	2
ET110047	2	4
ET110048	1	2
ET110048	2	5
ET110049	1	5
ET110049	2	7
ET110050	1	1
ET110051	1	1
ET110052	1	1
ET110053	1	1
ET110054	1	8
ET110054	2	9
ET110055	1	9
ET110055	2	8
ET110056	1	6
ET110057	1	4
ET110057	2	5
ET110058	1	2
ET110058	2	4
ET110059	1	2
ET110059	2	3
ET110060	1	8
ET110061	1	8
ET110062	1	1
ET110063	1	1
ET110064	1	2
ET110065	1	5
ET110065	2	7
ET110066	1	4
ET110066	2	5
ET110067	1	1
ET110068	1	8
ET110068	2	9
ET110069	1	9
ET110069	2	8
ET110070	1	8
ET110070	2	9
ET110071	1	8
ET110072	1	8
ET110073	1	3
ET110074	1	7
ET110075	1	8
ET110076	1	8
ET110076	2	9
ET110077	1	5
ET110077	2	9
ET110078	1	4
ET110078	2	8
ET110079	1	8
ET110079	2	9
ET110080	1	8
ET110080	2	9
ET110081	1	9
ET110081	2	8
ET110082	1	8
ET110082	2	9
ET110083	1	8
ET110083	2	9
ET110084	1	1
ET110085	1	1
ET110086	1	1
ET110087	1	1
ET110088	1	1
ET110089	1	1
ET110090	1	1
ET110091	1	8
ET110091	2	9
ET110092	1	9
ET110093	1	1
ET110094	1	5
ET110094	2	9
ET110095	1	2
ET110095	2	3
ET110096	1	8
ET110097	1	1
ET110098	1	99
ET110099	1	2
ET110099	2	3
ET110100	1	1
ET120001	1	2
ET120001	2	5
ET120002	1	2
ET120002	2	4
ET120003	1	1
ET120004	1	8
ET120004	2	2
ET120005	1	3
ET120005	2	4
ET120006	1	7
ET120006	2	6
ET120007	1	3
ET120007	2	6
ET120008	1	3
ET120009	1	4
ET120010	1	9
ET120010	2	6
ET120011	1	4
ET120011	2	2
ET120012	1	2
ET120012	2	4
ET120013	1	1
ET120014	1	3
ET120014	2	8
ET120015	1	4
ET120015	2	2
ET120016	1	3
ET120016	2	8
ET120017	1	2
ET120017	2	4
ET120018	1	2
ET120019	1	8
ET120020	1	8
ET120020	2	2
ET120021	1	4
ET120022	1	3
ET120022	2	4
ET120023	1	4
ET120023	2	2
ET120024	1	8
ET120024	2	3
ET120025	1	6
ET120025	2	10
ET120026	1	4
ET120026	2	6
ET120027	1	10
ET120028	1	8
ET120028	2	3
ET120029	1	6
ET120030	1	6
ET120031	1	4
ET120032	1	6
ET120033	1	7
ET120033	2	4
ET120034	1	2
ET120034	2	6
ET120035	1	6
ET120036	1	6
ET120036	2	7
ET120037	1	4
ET120038	1	2
ET120038	2	3
ET120039	1	4
ET120039	2	2
ET120040	1	2
ET120040	2	8
ET120041	1	10
ET120042	1	2
ET120042	2	6
ET120043	1	4
ET120043	2	7
ET120044	1	8
ET120044	2	4
ET120045	1	2
ET120045	2	3
ET120046	1	6
ET120047	1	4
ET120047	2	7
ET120048	1	2
ET120049	1	6
ET120050	1	2
ET120050	2	3
ET120051	1	1
ET120052	1	4
ET120053	1	4
ET120054	1	3
ET120055	1	10
ET120056	1	6
ET120057	1	4
ET120057	2	8
ET120058	1	4
ET120058	2	2
ET120059	1	4
ET120060	1	4
ET120061	1	8
ET120061	2	4
ET120062	1	8
ET120063	1	6
ET120064	1	6
ET120065	1	6
ET120065	2	8
ET120066	1	8
ET120066	2	10
ET120067	1	4
ET120068	1	3
ET120069	1	10
ET120070	1	2
ET120070	2	9
ET120071	1	8
ET120072	1	3
ET120073	1	6
ET120073	2	8
ET120074	1	3
ET120074	2	6
ET120075	1	2
ET120075	2	3
ET120076	1	3
ET120076	2	10
ET120077	1	1
ET120078	1	2
ET120079	1	8
ET120080	1	2
ET120080	2	3
ET120081	1	4
ET120082	1	4
ET120082	2	2
ET120083	1	4
ET120083	2	2
ET120084	1	3
ET120084	2	6
ET120085	1	2
ET120085	2	3
ET120086	1	2
ET120086	2	3
ET120087	1	3
ET120087	2	6
ET120088	1	3
ET120088	2	6
ET120089	1	4
ET120089	2	2
ET120090	1	8
ET120090	2	4
ET120091	1	2
ET120091	2	6
ET120092	1	2
ET120092	2	6
ET120093	1	2
ET120093	2	6
ET120094	1	6
ET120095	1	10
ET120096	1	4
ET120097	1	2
ET120098	1	8
ET120098	2	2
ET120099	1	7
ET120099	2	4
ET120100	1	6
ET120100	2	4
ET130001	1	1
ET130002	1	1
ET130003	1	10
ET130004	1	1
ET130005	1	1
ET130006	1	1
ET130007	1	1
ET130008	1	10
ET130008	2	8
ET130009	1	8
ET130009	2	6
ET130010	1	99
ET130011	1	1
ET130012	1	1
ET130013	1	1
ET130014	1	4
ET130015	1	1
ET130016	1	1
ET130017	1	5
ET130018	1	4
ET130019	1	4
ET130020	1	3
ET130021	1	1
ET130022	1	1
ET130023	1	9
ET130023	2	5
ET130024	1	5
ET130024	2	8
ET130025	1	1
ET130026	1	3
ET130027	1	4
ET130028	1	1
ET130029	1	8
ET130030	1	4
ET130030	2	8
ET130031	1	5
ET130031	2	6
ET130032	1	9
ET130032	2	8
ET130033	1	8
ET130033	2	2
ET130034	1	1
ET130035	1	5
ET130035	2	7
ET130036	1	8
ET130037	1	3
ET130037	2	4
ET130038	1	2
ET130038	2	3
ET130039	1	8
ET130040	1	4
ET130040	2	8
ET130041	1	10
ET130041	2	2
ET130042	1	5
ET130042	2	4
ET130043	1	9
ET130043	2	5
ET130044	1	1
ET130045	1	1
ET130046	1	5
ET130047	1	2
ET130047	2	4
ET130048	1	6
ET130049	1	4
ET130050	1	2
ET130050	2	4
ET130051	1	7
ET130052	1	4
ET130053	1	7
ET130053	2	2
ET130054	1	1
ET130055	1	4
ET130055	2	2
ET130056	1	4
ET130056	2	10
ET130057	1	4
ET130058	1	5
ET130059	1	99
ET130060	1	4
ET130060	2	8
ET130061	1	4
ET130062	1	8
ET130063	1	7
ET130064	1	4
ET130065	1	8
ET130066	1	1
ET130067	1	4
ET130068	1	1
ET130069	1	1
ET130070	1	1
ET130071	1	1
ET130072	1	1
ET130073	1	1
ET130074	1	4
ET130075	1	1
ET130076	1	7
ET130077	1	4
ET130077	2	8
ET130078	1	9
ET130078	2	8
ET130079	1	9
ET130079	2	3
ET130080	1	4
ET130081	1	8
ET130082	1	7
ET130082	2	4
