childid	id	age	sex	relate	still	yrschool	disabled	care	support
ET100089	3	7	2	5	2	0	2	2	2
ET100090	1	32	1	1	2	 	2	1	1
ET100090	2	21	2	1	2	3	2	1	2
ET100090	3	13	1	5	1	6	2	1	2
ET100090	4	12	1	5	1	5	2	1	2
ET100090	5	8	2	5	1	3	2	1	2
ET100090	6	7	2	5	1	1	2	1	2
ET100090	7	7	2	5	1	1	2	1	2
ET100090	8	5	2	5	2	0	2	2	2
ET100090	15	3	1	5	 	 	2	 	 
ET100091	1	27	1	1	2	6	2	2	1
ET100091	2	22	2	1	2	0	2	1	1
ET100092	1	70	2	4	2	0	2	2	2
ET100092	2	45	1	4	2	12	2	2	2
ET100092	3	30	2	1	2	7	2	1	1
ET100092	4	6	2	5	2	0	2	2	2
ET100092	5	6	1	5	2	0	2	2	2
ET100093	1	65	1	1	2	5	2	1	1
ET100093	2	37	2	1	2	0	2	1	1
ET100093	3	25	1	5	1	10	2	2	2
ET100093	4	21	1	5	2	0	2	2	2
ET100093	5	12	1	5	1	6	2	2	2
ET100093	6	10	2	5	1	4	2	2	2
ET100093	7	7	2	5	1	0	2	2	2
ET100094	1	49	1	3	2	4	2	1	1
ET100094	2	27	1	1	2	12	2	1	1
ET100094	3	27	2	1	2	8	2	1	1
ET100094	4	11	2	4	1	1	2	1	2
ET100095	1	30	1	1	2	0	2	2	1
ET100095	2	24	2	1	2	5	2	1	1
ET100095	15	2	2	5	 	 	2	 	 
ET100096	1	45	1	1	2	0	2	1	1
ET100096	2	22	2	1	1	4	2	1	2
ET100096	3	19	2	5	1	6	2	1	2
ET100097	1	28	1	1	1	12	2	2	1
ET100097	2	21	2	1	2	12	2	1	1
ET100097	3	20	2	7	2	0	2	1	2
ET100098	1	34	1	1	2	12	2	1	1
ET100098	2	30	2	7	2	0	2	1	2
ET100098	3	26	2	1	2	12	2	1	1
ET100098	4	16	2	4	1	1	2	1	2
ET100099	1	35	1	1	2	5	2	1	1
ET100099	2	20	2	1	2	8	2	1	1
ET100099	3	18	2	4	2	10	2	2	2
ET100099	4	15	2	4	1	9	2	2	2
ET100099	5	14	2	4	1	6	2	2	2
ET100099	6	13	1	4	1	8	2	2	2
ET100099	7	10	1	4	1	6	2	2	2
ET100099	8	7	2	4	1	2	2	2	2
ET100099	15	3	1	5	 	 	2	 	 
ET100100	1	32	1	1	2	12	2	1	1
ET100100	2	25	2	1	2	0	2	1	1
ET100100	3	15	2	7	2	0	2	1	2
ET100100	4	7	2	7	2	0	2	1	2
ET110001	1	40	2	1	2	0	1	1	1
ET110001	2	20	1	5	1	6	1	2	2
ET110001	3	11	2	5	1	2	2	1	2
ET110001	4	6	1	5	2	0	2	2	2
ET110002	1	35	2	1	2	0	2	1	2
ET110002	2	13	2	5	1	5	1	1	2
ET110002	3	8	2	5	1	1	1	2	2
ET110002	4	5	2	5	2	0	2	2	2
ET110003	1	46	1	1	2	0	1	2	2
ET110003	2	46	2	1	2	0	2	2	2
ET110003	3	16	1	5	2	0	1	2	2
ET110003	4	14	1	5	2	0	2	2	2
ET110003	5	12	1	5	2	0	1	2	2
ET110003	6	10	2	5	2	0	2	2	2
ET110003	7	8	2	5	2	0	1	2	2
ET110003	8	7	2	5	2	0	1	2	2
ET110003	9	6	1	5	2	0	1	2	2
ET110003	10	5	2	5	2	0	1	2	2
ET110003	15	4	1	5	 	 	1	 	 
ET110004	1	39	1	1	2	0	2	1	1
ET110004	2	30	2	1	2	0	2	1	1
ET110004	3	13	2	5	1	1	2	2	2
ET110004	4	12	2	5	1	1	2	2	2
ET110004	5	10	2	5	1	1	2	2	2
ET110004	6	7	2	5	2	0	2	2	2
ET110004	15	4	1	5	 	 	2	 	 
ET110005	1	38	1	1	2	6	2	1	1
ET110005	2	36	2	1	2	0	1	1	2
ET110006	1	45	1	1	2	3	2	1	2
ET110006	2	34	2	1	2	8	2	1	1
ET110006	3	9	2	5	1	3	2	1	2
ET110006	4	7	2	5	1	2	2	1	2
ET110006	5	6	2	5	1	1	2	1	2
ET110006	15	3	2	5	 	 	2	 	 
ET110007	1	60	2	3	2	2	2	1	1
ET110007	2	17	2	1	1	6	2	1	1
ET110007	3	6	1	6	2	0	2	2	2
ET110008	1	110	1	3	2	0	2	2	2
ET110008	2	70	2	3	2	0	2	1	2
ET110008	3	18	2	1	2	3	2	1	1
ET110009	1	32	1	1	2	10	2	1	1
ET110009	2	26	2	1	2	8	2	1	1
ET110009	3	6	1	5	2	0	2	1	2
ET110009	15	3	1	5	 	 	2	 	 
ET110010	1	36	1	1	2	 	1	1	1
ET110010	2	30	2	1	2	 	1	1	1
ET110010	3	8	2	5	2	 	2	2	2
ET110011	1	40	2	1	2	0	2	1	1
ET110011	2	19	1	5	2	5	2	2	2
ET110011	3	15	2	5	1	4	2	1	2
ET110011	4	14	2	5	1	4	2	1	2
ET110011	5	12	1	5	1	2	2	2	2
ET110011	6	10	1	5	1	1	2	2	2
ET110011	7	6	1	5	2	0	2	2	2
ET110012	1	30	1	1	2	4	2	2	1
ET110012	2	27	2	1	2	9	2	1	1
ET110012	3	12	2	6	1	4	1	1	2
ET110013	1	30	1	1	2	3	2	1	1
ET110013	2	20	2	1	2	2	2	1	1
ET110013	15	2	2	5	 	 	2	 	 
ET110014	1	34	1	1	2	3	2	2	2
ET110014	2	32	2	1	2	8	2	1	2
ET110014	3	22	1	7	2	0	2	2	2
ET110014	4	13	1	7	2	0	2	2	2
ET110014	5	7	1	5	2	0	2	2	2
ET110014	6	6	1	5	2	0	2	2	2
ET110015	1	70	1	3	2	0	1	1	1
ET110015	2	66	2	3	2	0	1	1	1
ET110015	3	25	2	1	2	0	1	1	2
ET110016	1	50	1	1	2	0	2	2	1
ET110016	2	43	2	1	2	0	2	1	1
ET110016	3	20	2	5	2	12	2	2	2
ET110016	4	18	1	5	1	5	2	2	2
ET110016	5	16	1	5	1	7	2	2	2
ET110016	6	12	1	5	1	3	2	2	2
ET110016	7	10	1	5	1	0	2	2	2
ET110016	8	10	1	7	2	0	2	2	2
ET110016	9	8	2	5	2	0	2	2	2
ET110017	1	30	1	1	2	0	2	2	2
ET110017	2	27	2	1	2	0	2	1	2
ET110017	3	10	1	5	1	2	2	2	2
ET110017	4	7	1	5	2	0	2	2	2
ET110017	15	4	1	5	 	 	2	 	 
ET110017	16	3	2	5	 	 	2	 	 
ET110019	1	35	1	1	2	 	2	2	1
ET110019	2	22	2	1	2	 	2	1	1
ET110019	3	18	1	 	2	 	2	2	2
ET110019	4	12	2	5	1	4	2	2	2
ET110019	5	9	2	5	1	4	2	2	2
ET110019	6	8	1	5	1	1	2	2	2
ET110020	1	28	1	1	2	9	2	2	1
ET110020	2	22	2	1	2	 	2	1	1
ET110020	3	10	2	4	1	 	2	2	2
ET110020	15	2	2	5	 	 	2	 	 
ET110021	1	24	1	1	1	14	2	1	2
ET110021	2	24	2	1	1	6	2	1	2
ET110022	1	35	1	1	2	4	2	1	1
ET110022	2	30	2	1	2	 	2	1	1
ET110022	3	12	2	5	1	5	2	2	2
ET110022	4	11	1	5	1	5	2	2	2
ET110022	5	10	2	5	1	2	2	2	2
ET110022	6	8	2	5	2	 	2	1	2
ET110022	7	6	1	5	2	 	2	2	2
ET110023	1	32	1	1	2	 	2	1	2
ET110023	2	32	2	1	2	 	1	1	2
ET110024	1	27	1	1	1	6	2	2	2
ET110024	2	20	2	1	2	 	2	2	2
ET110025	1	28	1	1	2	2	2	2	2
ET110025	2	23	2	1	2	0	2	2	2
ET110025	3	8	2	5	1	1	2	1	2
ET110025	4	6	2	5	1	0	2	2	2
ET110025	5	5	2	5	2	0	2	2	2
ET110026	1	45	1	1	2	 	1	2	2
ET110026	2	45	2	1	2	 	2	2	2
ET110026	3	16	1	5	1	2	2	2	2
ET110026	4	14	2	5	1	2	1	2	2
ET110026	5	12	2	5	1	2	1	2	2
ET110026	6	10	1	5	1	2	2	2	2
ET110026	7	7	2	5	1	2	1	2	2
ET110026	8	6	2	5	1	2	1	2	2
ET110027	1	60	1	1	2	 	2	2	2
ET110027	2	28	2	1	2	 	2	2	2
ET110027	3	8	1	5	2	 	2	2	2
ET110027	4	6	2	5	2	 	2	2	2
ET110027	15	4	1	5	 	 	2	 	 
ET110027	16	4	2	5	 	 	2	 	 
ET110028	1	22	2	1	2	 	1	2	2
ET110028	2	7	2	5	2	 	1	2	2
ET110028	3	5	2	5	2	 	1	2	2
ET110029	1	38	1	1	2	0	1	1	1
ET110029	2	27	2	1	2	0	2	1	1
ET110029	3	7	2	5	1	0	1	1	2
ET110029	15	4	1	5	 	 	1	 	 
ET110030	1	74	1	7	2	0	1	2	2
ET110030	2	39	1	1	2	0	1	1	1
ET110030	3	25	2	1	2	0	2	1	1
ET110031	1	65	1	1	2	0	1	2	2
ET110031	2	18	2	1	2	0	2	1	1
ET110031	3	17	1	5	1	6	2	2	2
ET110031	4	15	1	5	1	4	2	2	2
ET110032	1	27	1	1	2	0	2	2	1
ET110032	2	19	2	1	2	5	2	1	1
ET110033	1	 	1	1	2	 	2	2	1
ET110033	2	 	2	1	2	 	2	1	1
ET110033	3	15	1	5	1	5	2	2	2
ET110033	4	10	2	5	2	3	2	1	2
ET110034	1	45	1	1	2	0	2	1	2
ET110034	2	35	2	1	2	0	2	1	1
ET110034	3	21	1	5	2	0	2	1	2
ET110034	4	14	2	5	1	2	2	1	2
ET110034	5	10	1	5	1	0	1	1	2
ET110034	6	8	1	5	2	0	1	2	2
ET110034	7	6	1	5	2	0	2	2	2
ET110034	15	3	2	5	 	 	2	 	 
ET110035	1	35	1	1	2	12	1	1	1
ET110035	2	30	2	1	2	0	2	1	2
ET110035	3	10	1	5	1	3	2	1	2
ET110035	4	8	2	5	2	0	2	1	2
ET110036	1	45	2	3	2	0	1	2	2
ET110036	2	19	1	1	2	0	2	1	1
ET110036	3	18	2	1	2	5	2	1	1
ET110037	1	55	1	1	2	0	1	1	1
ET110037	2	40	2	1	2	0	2	1	2
ET110037	3	5	1	5	2	0	2	1	2
ET110038	1	22	1	1	2	0	2	1	1
ET110038	2	18	2	1	2	0	2	1	1
ET110039	1	22	1	1	2	4	1	1	1
ET110039	2	20	2	1	2	9	2	1	1
ET110039	3	8	2	6	1	3	2	2	2
ET110039	4	7	1	6	1	1	2	2	2
ET110040	1	23	1	1	2	 	2	1	2
ET110040	2	20	2	1	1	10	2	1	1
ET110040	3	18	1	5	1	 	2	2	2
ET110041	1	40	1	1	2	 	2	1	 
ET110041	2	20	2	1	2	 	2	 	 
ET110042	1	53	1	1	2	 	2	2	1
ET110042	2	42	2	1	2	 	2	2	1
ET110042	15	4	2	5	 	 	2	 	 
ET110043	1	50	1	3	1	 	1	1	2
ET110043	2	42	2	3	2	 	1	1	2
ET110043	3	18	2	1	1	 	1	1	2
ET110044	1	41	1	1	2	0	2	1	1
ET110044	2	31	2	1	2	0	2	1	1
ET110045	1	28	1	1	2	 	1	1	2
ET110045	2	28	2	1	2	 	1	1	2
ET110045	3	9	1	5	1	 	1	1	2
ET110045	4	6	1	5	2	 	1	1	2
ET110046	1	29	1	1	2	 	1	1	2
ET110046	2	29	2	1	2	 	1	1	2
ET110046	3	8	2	5	2	 	1	1	2
ET110047	1	32	1	1	2	0	2	1	1
ET110047	2	30	2	1	2	9	2	1	1
ET110047	15	4	1	5	 	 	2	 	 
ET110048	1	38	1	1	2	0	2	1	1
ET110048	2	32	2	1	2	0	2	1	1
ET110048	3	25	1	7	2	0	2	2	2
ET110048	4	8	1	4	2	0	2	2	2
ET110049	1	29	2	4	2	3	1	1	2
ET110049	2	28	1	1	2	3	2	1	1
ET110049	3	26	2	1	2	0	2	1	2
ET110049	4	8	2	6	2	0	2	1	2
ET110049	5	8	1	5	2	0	2	2	2
ET110049	6	6	1	5	2	0	2	2	2
ET110049	15	3	2	6	 	 	2	 	 
ET110050	1	50	1	1	2	0	1	1	1
ET110050	2	35	2	1	2	0	2	1	1
ET110050	3	8	1	5	2	0	1	2	2
ET110050	4	5	2	5	2	0	2	1	2
ET110051	1	30	1	1	2	 	2	1	2
ET110051	2	25	2	1	2	0	2	1	1
ET110051	3	26	1	7	2	0	2	2	2
ET110051	15	3	1	5	 	 	2	 	 
ET110052	1	38	1	1	2	0	1	1	1
ET110052	2	27	2	1	2	0	2	1	1
ET110052	3	8	2	5	1	0	2	1	2
ET110052	4	8	2	5	2	0	2	2	2
ET110053	1	25	1	1	2	0	2	1	1
ET110053	2	20	2	1	2	0	1	1	2
ET110053	15	3	1	5	 	 	1	 	 
ET110054	1	54	1	1	2	0	1	1	2
ET110054	2	42	2	1	2	 	1	2	2
ET110054	3	30	2	5	2	 	1	2	2
ET110054	4	26	1	5	2	 	1	2	2
ET110054	5	22	1	5	2	 	1	2	2
ET110054	6	20	2	2	2	 	1	2	2
ET110054	7	14	1	5	2	 	1	2	2
ET110055	1	35	1	1	2	 	1	1	2
ET110055	2	30	2	1	2	 	2	1	2
ET110055	3	17	1	5	1	 	1	1	2
ET110055	4	15	2	5	2	 	2	1	2
ET110055	5	13	1	5	1	7	2	1	2
ET110055	6	12	1	5	1	2	2	1	2
ET110055	7	11	2	5	2	 	2	1	2
ET110055	8	8	1	5	1	2	1	1	2
ET110055	9	6	2	5	2	 	2	1	2
ET110055	15	4	2	5	 	 	1	 	 
ET110056	1	87	1	3	2	0	1	2	2
ET110056	2	30	1	1	2	4	2	1	1
ET110056	3	20	2	1	2	4	2	1	1
ET110057	1	29	1	1	2	10	2	1	1
ET110057	2	22	2	1	2	8	2	1	1
ET110057	15	2	1	5	 	 	2	 	 
ET110058	1	35	1	1	2	10	2	2	1
ET110058	2	26	2	1	2	 	2	1	1
ET110059	1	40	1	1	2	6	2	2	1
ET110059	2	28	2	1	2	4	2	1	1
ET110059	3	7	2	5	2	 	2	2	2
ET110060	1	32	1	1	 	 	2	2	1
ET110060	2	36	2	1	 	 	2	2	2
ET110060	3	25	1	5	 	 	2	2	2
ET110060	4	20	2	5	1	5	2	2	2
ET110060	5	10	2	5	 	 	2	2	2
ET110060	15	3	2	5	 	 	2	 	 
ET110061	1	37	1	1	2	 	2	2	2
ET110061	2	26	2	1	2	 	2	2	2
ET110062	1	41	1	1	2	0	2	1	1
ET110062	2	28	2	1	2	0	2	1	2
ET110062	15	4	1	5	 	 	1	 	 
ET110063	1	25	1	1	2	10	2	1	1
ET110063	2	18	2	1	2	0	2	1	2
ET110064	1	60	1	3	2	0	1	1	1
ET110064	2	60	2	3	2	0	2	1	1
ET110064	3	24	2	1	2	2	1	1	2
ET110064	4	21	2	4	2	0	2	1	2
ET110064	5	18	1	4	2	0	2	1	2
ET110064	6	15	1	4	1	5	2	2	2
ET110064	7	10	2	4	1	1	2	1	2
ET110064	9	6	1	4	2	1	2	2	2
ET110064	15	4	2	4	 	 	2	 	 
ET110065	1	38	1	1	2	0	2	1	1
ET110065	2	28	2	1	2	3	2	1	1
ET110065	3	10	2	5	2	2	2	1	2
ET110065	4	6	2	5	2	0	2	1	2
ET110065	15	3	2	5	 	 	2	 	 
ET110066	1	42	2	3	2	0	2	1	1
ET110066	2	27	1	1	2	0	2	1	1
ET110066	3	19	2	1	2	0	2	1	1
ET110067	1	30	1	1	2	3	2	1	1
ET110067	2	22	2	1	2	5	2	1	2
ET110068	1	32	1	1	2	 	2	1	2
ET110068	2	30	2	1	2	 	2	1	2
ET110069	1	44	1	1	2	 	1	2	2
ET110069	2	44	2	1	2	 	1	2	2
ET110069	3	7	1	5	2	 	1	2	2
ET110069	4	6	2	5	2	 	1	2	2
ET110070	1	39	1	1	2	 	1	1	2
ET110070	2	39	2	1	2	 	1	1	2
ET110070	3	18	1	5	1	 	1	1	2
ET110070	4	15	2	5	2	 	1	1	2
ET110070	5	13	1	5	1	4	1	1	2
ET110070	6	10	2	5	2	 	1	1	2
ET110070	7	8	1	5	2	 	1	1	2
ET110070	8	6	1	5	2	 	1	1	2
ET110070	15	3	1	5	 	 	1	 	 
ET110071	1	42	1	1	2	 	2	2	2
ET110071	2	35	2	1	2	 	2	2	2
ET110071	3	17	2	5	1	7	2	2	2
ET110071	4	15	2	5	1	4	2	2	2
ET110071	5	13	1	5	1	6	2	2	2
ET110071	6	11	2	5	1	2	1	2	2
ET110071	7	8	2	5	1	0	2	2	2
ET110071	8	7	2	5	2	 	2	2	2
ET110071	9	5	2	5	2	 	2	2	2
ET110072	1	25	1	1	2	 	2	2	2
ET110072	2	18	2	1	2	 	2	2	2
ET110073	1	40	1	1	2	 	2	2	1
ET110073	2	30	2	1	2	 	2	1	1
ET110073	3	12	1	5	2	 	2	2	2
ET110073	4	10	1	5	1	2	2	2	2
ET110073	5	8	1	5	1	0	2	2	2
ET110074	1	50	1	1	2	 	1	1	 
ET110074	2	30	2	1	2	 	2	2	 
ET110074	3	11	2	5	1	1	2	2	 
ET110074	4	9	1	5	2	 	2	2	 
ET110074	5	8	1	5	2	 	2	2	 
ET110074	15	3	1	5	 	 	2	 	 
ET110075	1	40	1	1	2	 	2	1	2
ET110075	2	28	2	1	2	 	2	1	2
ET110075	15	3	2	5	 	 	2	 	 
ET110076	1	40	1	1	2	 	1	1	2
ET110076	2	42	2	1	1	 	1	1	2
ET110076	3	16	1	5	2	 	1	1	2
ET110076	4	14	1	5	2	 	1	1	2
ET110076	5	12	1	5	2	 	1	1	2
ET110076	6	10	2	5	2	 	1	1	2
ET110076	7	8	1	5	2	 	1	1	2
ET110076	8	6	2	5	2	 	1	1	2
ET110076	15	4	2	5	 	 	2	 	 
ET110077	1	44	1	1	2	0	2	1	1
ET110077	2	36	2	1	2	2	2	1	1
ET110077	3	10	2	5	1	2	2	2	2
ET110077	4	8	1	5	2	0	2	2	2
ET110077	5	6	1	5	2	0	2	2	2
ET110078	1	58	1	1	2	1	2	2	2
ET110078	2	30	2	1	2	0	2	2	2
ET110078	3	20	1	5	1	7	1	2	2
ET110078	4	18	2	5	1	0	2	2	2
ET110078	5	16	1	5	1	9	2	2	2
ET110078	6	14	2	5	1	8	2	2	2
ET110078	7	12	1	5	1	6	2	2	2
ET110078	8	10	2	5	1	2	2	2	2
ET110078	9	24	1	 	2	 	2	2	2
ET110078	10	30	1	 	2	 	2	2	2
ET110079	1	29	1	1	2	 	2	2	1
ET110079	2	22	2	1	2	 	2	2	1
ET110079	3	8	2	5	1	0	2	2	2
ET110079	4	5	2	5	2	 	2	2	2
ET110080	1	42	1	1	2	 	1	2	2
ET110080	2	42	2	1	2	 	1	2	2
ET110080	3	11	2	5	1	 	2	2	2
ET110080	4	8	2	5	1	 	2	2	2
ET110080	5	7	1	5	2	 	1	2	2
ET110081	1	32	1	1	1	12	1	2	2
ET110081	2	22	2	 	1	 	2	2	2
ET110081	3	8	1	5	1	 	1	2	2
ET110081	4	6	2	5	2	 	2	2	2
ET110081	5	 	2	1	 	1	2	1	1
ET110082	1	26	1	1	2	6	2	2	2
ET110082	2	18	2	1	2	2	2	2	2
ET110083	1	43	1	1	2	 	2	2	1
ET110083	2	35	2	1	2	 	2	2	1
ET110083	3	9	2	5	1	1	2	2	2
ET110083	4	7	1	5	2	 	2	2	2
ET110083	15	4	2	5	 	 	2	 	 
ET110084	1	30	1	1	2	 	2	1	1
ET110084	2	22	2	1	2	0	2	1	2
ET110084	3	5	1	5	2	0	2	1	2
ET110085	1	28	1	1	2	0	2	1	1
ET110085	2	18	2	1	2	2	2	1	1
ET110086	1	45	2	3	2	0	1	1	2
ET110086	2	20	2	1	2	0	2	2	1
ET110087	1	44	1	1	2	0	2	1	1
ET110087	2	28	2	1	2	0	2	1	1
ET110088	1	27	1	1	2	0	2	1	1
ET110088	2	20	2	1	2	0	2	1	2
ET110089	1	26	1	1	2	12	2	2	2
ET110089	2	19	2	1	2	0	2	1	2
ET110089	3	12	2	4	1	3	2	1	2
ET110090	1	30	2	1	2	3	2	1	 
ET110090	2	15	1	5	1	2	2	2	2
ET110090	3	11	2	5	1	2	2	2	2
ET110090	4	7	2	5	2	0	2	2	2
ET110091	1	38	1	1	2	 	2	2	1
ET110091	2	34	2	1	2	 	2	2	1
ET110091	3	11	2	5	1	2	2	2	2
ET110091	4	9	1	5	2	 	2	2	2
ET110091	5	7	2	5	2	 	2	2	2
ET110091	6	5	2	5	2	 	2	2	2
ET110091	15	3	1	5	 	 	2	 	 
ET110092	1	22	1	1	2	 	1	2	2
ET110092	2	22	2	1	2	 	1	2	2
ET110093	1	35	1	1	2	12	2	1	2
ET110093	2	22	2	1	2	0	2	1	1
ET110093	3	10	1	5	2	0	2	1	2
ET110093	4	8	2	5	2	0	2	1	2
ET110093	5	6	2	5	2	0	2	1	2
ET110094	1	33	1	1	2	10	2	1	1
ET110094	2	28	2	1	2	6	2	1	1
ET110094	3	8	1	5	1	0	2	1	2
ET110094	15	4	2	5	 	 	2	 	 
ET110095	1	32	1	1	2	0	2	1	1
ET110095	2	27	2	1	2	0	2	1	1
ET110095	3	7	1	5	2	0	2	2	2
ET110095	4	5	2	5	2	0	2	2	2
ET110095	15	3	1	5	 	 	2	 	 
ET110096	1	8	1	 	2	 	2	2	2
ET110096	2	16	2	1	2	5	2	1	1
ET110096	3	19	2	4	1	6	2	2	2
ET110096	4	20	1	12	2	12	2	2	2
ET110096	5	50	2	3	2	0	1	1	2
ET110096	6	65	1	3	2	0	2	2	2
ET110097	1	22	1	1	2	0	2	1	1
ET110097	2	18	2	1	2	0	2	1	1
ET110098	1	38	1	1	2	4	2	2	2
ET110098	2	15	2	5	1	6	2	2	2
ET110098	3	12	1	5	1	2	2	2	2
ET110098	4	8	2	5	2	0	2	2	2
ET110098	5	6	2	5	2	0	2	2	2
ET110098	7	30	2	1	2	0	2	1	2
ET110098	15	4	1	5	 	 	2	 	 
ET110099	1	39	1	1	2	0	2	1	1
ET110099	2	23	2	1	2	0	2	1	1
ET110099	3	7	1	5	2	0	2	2	2
ET110100	1	36	1	1	2	2	2	2	1
ET110100	2	32	2	1	2	2	2	2	1
ET110100	3	14	1	5	2	2	2	2	2
ET110100	4	4	2	5	 	 	2	 	 
ET120001	1	46	1	1	2	0	2	1	1
ET120001	2	36	2	1	2	0	2	1	1
ET120001	3	12	1	5	2	 	2	2	1
ET120001	4	10	1	5	2	0	2	2	1
ET120001	5	10	2	5	2	0	2	2	1
ET120001	6	10	1	5	2	0	2	2	2
ET120001	15	3	2	5	 	 	2	 	 
ET120002	1	30	1	1	2	0	2	1	1
ET120002	2	25	2	1	2	0	2	1	1
ET120002	15	2	1	5	 	 	2	 	 
ET120003	1	56	2	3	2	0	2	1	1
ET120003	2	24	1	1	2	0	2	1	1
ET120003	3	23	2	1	2	0	2	1	1
ET120003	15	4	2	5	 	 	2	 	 
ET120004	1	40	1	1	2	0	2	2	1
ET120004	2	28	2	1	2	0	2	1	2
ET120004	15	4	2	5	 	 	2	 	 
ET120005	1	30	1	1	2	2	2	1	1
ET120005	2	22	2	1	2	1	2	1	2
ET120006	1	39	1	1	2	0	1	1	1
ET120006	2	36	2	1	2	0	2	1	1
ET120006	3	19	1	4	2	1	2	2	2
ET120006	4	13	2	5	2	0	2	1	2
ET120006	5	8	2	5	2	0	2	2	2
ET120006	6	5	1	5	2	0	2	2	2
ET120006	7	15	1	5	1	4	2	2	2
ET120007	1	76	1	1	2	0	2	2	1
ET120007	2	32	2	1	2	0	2	1	1
ET120007	3	6	2	5	2	0	2	2	2
ET120007	15	4	1	5	 	 	2	 	 
ET120008	1	36	1	1	2	0	2	1	1
ET120008	2	29	2	1	2	0	2	1	1
ET120008	3	23	1	13	2	0	2	2	2
ET120008	4	13	1	5	2	0	2	2	2
ET120008	5	6	2	5	2	0	2	2	2
ET120008	6	5	1	5	2	0	2	2	2
ET120008	15	3	1	5	 	 	2	 	 
ET120008	16	1	2	5	 	 	2	 	 
ET120009	1	35	1	1	2	7	2	1	1
ET120009	2	25	2	1	2	0	2	1	1
ET120009	3	7	1	5	2	0	2	1	2
ET120009	15	4	2	5	 	 	2	 	 
ET120009	16	1	1	5	 	 	2	 	 
ET120010	1	37	1	1	2	 	2	1	1
ET120010	2	31	2	1	2	0	2	1	2
ET120010	3	12	1	5	1	4	2	1	2
ET120010	4	9	1	5	1	0	2	1	2
ET120010	5	7	1	5	2	0	2	2	2
ET120010	15	3	1	5	 	 	2	 	 
ET120011	1	44	1	1	2	0	2	1	1
ET120011	2	30	2	1	2	0	2	1	1
ET120011	3	8	2	5	2	0	2	2	2
ET120011	4	6	1	5	2	0	2	2	2
ET120011	15	3	2	5	 	 	2	 	 
ET120012	1	53	1	3	2	0	2	1	1
ET120012	2	46	2	3	2	0	2	1	1
ET120012	3	27	2	1	2	0	2	1	2
ET120012	4	16	1	5	2	0	2	2	2
ET120012	5	14	1	5	1	6	2	2	2
ET120012	6	12	1	5	2	0	2	2	2
ET120012	7	10	2	5	2	0	2	2	2
ET120012	8	8	2	5	2	0	2	2	2
ET120012	9	6	1	5	2	0	2	2	2
ET120012	15	3	1	5	 	 	2	 	 
ET120013	1	35	1	1	2	0	2	1	1
ET120013	2	29	2	1	2	0	2	1	1
ET120013	3	8	1	5	1	0	2	2	2
ET120013	4	5	2	5	2	0	2	2	2
ET120014	1	35	1	1	1	6	2	2	1
ET120014	2	20	2	1	2	0	2	1	1
ET120015	1	32	1	1	2	0	2	1	1
ET120015	2	28	2	1	2	0	2	1	2
ET120015	3	12	1	5	1	2	2	1	2
ET120015	4	8	2	5	2	0	2	1	2
ET120015	5	5	2	5	2	0	2	2	2
ET120016	1	45	1	1	2	0	2	1	1
ET120016	2	35	2	1	2	0	2	2	1
ET120016	3	15	1	5	1	3	2	2	1
ET120016	4	10	2	5	2	0	2	2	2
ET120016	5	8	1	5	2	0	2	2	2
ET120017	1	70	1	1	2	0	2	1	1
ET120017	2	40	2	1	2	0	2	1	1
ET120017	3	12	2	5	2	2	2	2	2
ET120017	4	8	1	5	2	0	2	2	2
ET120017	5	5	1	5	2	0	2	2	2
ET120017	15	3	2	5	 	 	2	 	 
ET120017	16	1	2	5	 	 	2	 	 
ET120018	1	26	1	1	2	0	2	1	1
ET120018	2	18	2	1	2	0	2	1	1
ET120018	3	40	1	3	2	 	2	2	2
ET120018	4	30	2	3	2	0	1	2	2
ET120018	5	21	1	4	2	0	1	2	2
ET120018	6	18	2	4	2	0	2	1	2
ET120018	7	15	1	4	2	0	2	2	2
ET120018	8	13	1	4	2	0	2	2	2
ET120018	9	10	1	4	2	0	1	1	2
ET120019	1	30	1	1	2	0	2	1	1
ET120019	2	28	2	1	2	0	1	1	1
ET120019	3	12	2	5	2	0	2	1	2
ET120019	4	10	2	5	1	4	2	1	2
ET120019	5	8	1	5	2	0	2	2	2
ET120019	6	5	2	5	2	0	2	2	2
ET120019	15	4	1	5	 	 	2	 	 
ET120020	1	28	1	1	2	3	2	2	1
ET120020	2	18	2	1	2	0	2	1	2
ET120020	3	10	1	4	1	0	2	2	2
ET120021	1	33	1	1	2	0	1	1	1
ET120021	2	26	2	1	2	0	2	1	1
ET120021	3	10	2	5	1	0	2	1	2
ET120021	4	8	2	5	2	0	1	1	2
ET120021	15	3	2	5	 	 	2	 	 
ET120022	1	35	1	1	2	0	2	2	1
ET120022	2	25	2	1	2	0	2	1	1
ET120022	3	20	1	4	2	0	 	2	2
ET120023	1	33	1	1	2	6	2	1	1
ET120023	2	26	2	1	2	0	2	1	1
ET120023	3	7	2	5	2	0	2	1	2
ET120023	4	5	2	5	2	0	2	2	2
ET120024	1	30	1	1	2	0	2	1	1
ET120024	2	20	2	1	2	0	2	2	1
ET120024	3	20	2	4	2	0	2	1	1
ET120025	1	35	1	1	2	0	2	1	1
ET120025	2	30	2	1	2	0	2	1	2
ET120025	3	12	2	5	1	4	2	1	2
ET120025	4	10	1	5	1	2	2	1	2
ET120025	5	8	2	5	2	0	2	1	2
