CHILDID	PLOT	LAREA	LOWN	LUSE
ET070016	2	5000	4	1
ET070016	3	3750	4	1
ET070017	1	5000	4	1
ET070017	2	3750	4	1
ET070017	3	2500	4	1
ET070018	1	6250	4	1
ET070018	2	3750	4	1
ET070018	3	3750	4	1
ET070019	1	5000	4	1
ET070019	2	2500	4	1
ET070020	1	2500	4	1
ET070020	2	2500	4	1
ET070020	3	2500	4	1
ET070020	4	2500	4	1
ET070021	1	2500	4	1
ET070021	2	2500	4	1
ET070021	3	2500	4	1
ET070022	1	5000	4	1
ET070022	2	2500	4	1
ET070022	3	2500	4	1
ET070023	1	2500	4	1
ET070023	2	2500	4	1
ET070023	3	2500	4	1
ET070024	1	3750	4	1
ET070024	2	2500	4	1
ET070025	1	2500	4	1
ET070025	2	2500	4	1
ET070026	1	2500	4	1
ET070026	2	2500	4	1
ET070030	1	7500	4	1
ET070030	2	2500	4	1
ET070030	3	2500	4	1
ET070030	4	2500	1	1
ET070030	5	1250	1	1
ET070031	1	5000	3	1
ET070031	2	2500	3	1
ET070031	3	2500	3	1
ET070032	1	3750	4	1
ET070032	2	2500	4	1
ET070032	3	2500	3	1
ET070033	1	2500	4	1
ET070033	2	2500	4	1
ET070033	3	2500	4	1
ET070034	1	2500	4	1
ET070034	2	2500	4	1
ET070034	3	2500	3	1
ET070034	4	2500	3	1
ET070035	1	15000	3	1
ET070035	2	5000	4	1
ET070035	3	5000	4	1
ET070035	4	5000	3	1
ET070035	5	2500	4	1
ET070035	6	2500	4	1
ET070035	7	1750	4	1
ET070035	8	1750	4	1
ET070036	1	7500	4	1
ET070036	2	5000	4	1
ET070037	1	2500	4	3
ET070037	2	2500	4	1
ET070038	1	7500	4	1
ET070038	2	5000	4	1
ET070038	3	2500	4	1
ET070039	1	3750	4	1
ET070039	2	2500	4	1
ET070039	3	2500	4	3
ET070039	4	2500	4	1
ET070040	1	2500	4	1
ET070040	2	2500	4	1
ET070041	1	7500	4	1
ET070041	2	5000	4	1
ET070041	3	2500	4	1
ET070042	1	5000	3	1
ET070042	2	5000	4	1
ET070042	3	2500	3	1
ET070042	4	2500	4	1
ET070043	1	5000	4	1
ET070043	2	3750	4	1
ET070043	3	3750	3	1
ET070043	4	2500	3	1
ET070044	1	5000	4	1
ET070044	2	2500	4	1
ET070044	3	2500	3	1
ET070045	1	5000	4	1
ET070045	2	2500	4	1
ET070045	3	2500	3	1
ET070046	1	10000	4	1
ET070046	2	1250	4	1
ET070047	1	5000	4	1
ET070047	2	1250	4	1
ET070047	3	1250	4	1
ET070048	1	10000	4	1
ET070048	2	2500	4	1
ET070048	3	1250	4	1
ET070049	1	7500	4	1
ET070049	2	3750	4	1
ET070049	3	2500	4	1
ET070050	1	7500	4	1
ET070050	2	5000	4	1
ET070050	3	3750	4	1
ET070050	4	2500	3	1
ET070051	1	7500	4	1
ET070051	2	5000	4	1
ET070051	3	2500	4	1
ET070052	1	2500	3	1
ET070052	2	2500	3	1
ET070053	1	5000	4	1
ET070053	2	2500	4	1
ET070053	3	2500	4	1
ET070054	1	7500	4	1
ET070054	2	5000	4	1
ET070054	3	2500	4	1
ET070055	1	5000	4	1
ET070055	2	2500	4	1
ET070055	3	1250	4	1
ET070056	1	5000	4	1
ET070056	2	3000	4	1
ET070056	3	1500	4	1
ET070056	4	250	4	1
ET070057	1	5000	4	1
ET070057	2	2500	1	1
ET070058	1	2500	4	1
ET070058	2	2500	4	1
ET070058	3	2500	3	1
ET070059	1	7500	4	1
ET070059	2	2500	4	1
ET070059	3	2500	4	1
ET070060	1	2500	4	1
ET070060	2	2500	4	1
ET070060	3	2500	3	1
ET070061	1	7500	4	1
ET070061	2	10000	4	1
ET070062	1	2500	4	1
ET070062	2	2500	4	1
ET070063	1	2500	4	1
ET070063	2	625	4	1
ET070063	3	2500	3	1
ET070064	1	5000	4	1
ET070064	2	2500	4	1
ET070064	3	2500	4	1
ET070065	1	5000	4	1
ET070065	2	5000	4	1
ET070065	3	2500	4	1
ET070065	4	2500	3	1
ET070066	1	10000	4	1
ET070066	2	7500	4	1
ET070066	3	5000	4	1
ET070066	4	5000	3	1
ET070067	1	7500	4	1
ET070067	2	5000	4	1
ET070068	1	7500	4	1
ET070068	2	3750	4	1
ET070069	1	5000	4	1
ET070069	2	2500	4	1
ET070069	3	2500	3	1
ET070070	1	2500	4	1
ET070070	2	2500	4	1
ET070071	1	5000	4	1
ET070071	2	1250	4	1
ET070071	3	1250	3	1
ET070071	4	1250	3	1
ET070072	1	2500	4	1
ET070072	2	1250	4	1
ET070073	1	5000	3	1
ET070074	1	7500	4	1
ET070074	2	2500	4	1
