CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5
111047	2	2	1	11	0
111047	3	3	1	11	0
111048	1	1	10	11	10
111048	2	4	5	11	5
111048	3	2	1	11	1
111048	4	21	2	26	2
111050	1	1	2	11	2
111055	1	1	1	11	1
111056	1	12	1	8	1
111057	1	30	10	7	10
121002	1	1	3	11	1
121002	2	4	3	11	0
121002	3	2	1	11	0
121003	1	1	4	11	4
121003	2	2	1	11	1
121003	3	3	1	11	0
121003	4	4	2	11	0
121003	5	7	1	11	0
121004	1	1	15	11	15
121006	1	1	7	11	7
121008	1	30	5	16	5
121012	1	1	3	11	3
121012	2	7	1	11	0
121012	3	4	3	11	3
121013	1	7	1	24	0
121013	2	12	2	32	2
121014	1	1	3	11	3
121014	2	21	1	21	1
121015	1	1	10	11	10
121015	2	3	1	11	1
121016	1	1	3	11	3
121016	2	2	1	11	0
121016	3	4	3	11	0
121017	1	1	3	11	3
121017	2	7	1	11	1
121017	3	4	3	11	3
121020	1	1	13	11	0
121020	2	3	1	11	0
121020	3	7	1	11	0
121021	1	30	5	6	5
121022	1	21	3	26	3
121023	1	1	3	11	3
121023	2	2	1	11	0
121023	3	4	3	11	0
121025	1	1	3	11	3
121025	2	7	1	11	0
121025	3	3	1	11	0
121026	1	1	5	11	5
121026	2	3	1	11	1
121026	3	7	1	11	0
121026	4	4	2	11	2
121027	1	4	4	11	4
121027	2	1	10	11	10
121028	1	7	1	11	1
121028	2	5	1	11	1
121028	3	1	20	11	20
121029	1	1	4	11	4
121029	2	7	1	11	0
121029	3	3	1	11	0
121030	1	1	25	11	25
121030	2	5	1	11	1
121030	3	4	2	11	2
121032	1	1	3	11	3
121032	2	2	1	11	0
121032	3	8	7	11	7
121034	1	30	1	23	1
121035	1	1	2	26	2
121036	1	1	3	11	3
121036	2	4	3	11	0
121036	3	7	1	11	0
121037	1	1	15	11	15
121038	1	1	3	11	3
121038	2	4	3	11	0
121038	3	8	10	11	10
121039	1	1	1	11	1
121039	2	7	1	9	1
121039	3	3	1	11	0
121039	4	8	2	11	2
121044	1	1	3	11	3
121044	2	7	1	11	0
121046	1	26	1	26	0
121047	1	1	26	11	26
121047	2	5	1	11	1
121049	1	1	3	11	0
121049	2	7	1	11	0
121050	1	1	3	11	3
121050	2	3	1	11	1
121050	3	4	3	11	3
131001	1	1	6	11	6
131001	2	2	1	11	0
131001	3	4	3	11	0
131001	4	7	1	11	0
131003	1	1	3	11	2
131003	2	4	3	11	0
131003	3	2	1	11	0
131005	1	7	1	11	0
131005	2	4	1	11	0
131006	1	1	2	11	2
131006	2	7	1	11	0
131010	1	1	3	11	3
131010	2	4	3	11	3
131010	3	5	2	11	2
131011	1	1	5	11	5
131011	2	3	1	11	1
131011	3	5	1	11	1
131013	1	5	1	11	1
131013	2	1	5	11	5
131013	3	3	1	11	1
131013	4	7	1	11	0
131013	5	4	3	11	0
131014	1	1	3	11	3
131014	2	4	3	11	3
131014	3	2	1	11	0
131014	4	8	7	11	7
131014	5	5	1	11	1
131015	1	30	1	23	1
131016	1	30	5	23	5
131017	1	1	8	11	8
131019	1	1	20	11	20
131020	1	1	4	11	4
131020	2	3	1	11	0
131020	3	7	1	11	0
131020	4	4	3	11	0
131022	1	1	10	11	10
131023	1	1	3	11	3
131023	2	4	3	11	3
131023	3	3	1	11	0
131024	1	13	10	7	10
131025	1	1	6	11	6
131026	1	1	10	11	10
131026	2	2	1	11	0
131026	3	4	3	11	0
131026	4	7	1	11	0
131027	1	23	1	23	0
131027	2	30	1	23	0
131028	1	7	1	11	0
131029	1	1	6	11	6
131030	1	4	4	11	0
131030	2	5	1	11	1
131030	3	7	1	11	0
131030	4	3	1	11	0
131031	1	4	1	11	1
131031	2	30	40	11	40
131031	3	1	4	11	4
131031	4	3	1	11	0
131031	5	30	6	26	6
131032	1	1	3	11	3
131032	2	4	3	11	0
131032	3	7	1	11	0
131034	1	7	1	11	0
131035	1	1	5	11	5
131035	2	5	1	11	1
131035	3	7	1	11	0
131036	1	8	2	27	2
131037	1	4	3	11	3
131037	2	1	10	11	10
131038	1	1	4	11	4
131038	2	3	1	11	0
131038	3	7	1	11	0
131039	1	1	6	11	6
131039	2	7	1	11	0
131039	3	4	3	11	0
131039	4	2	1	11	0
131040	1	30	9	23	9
131040	2	1	3	11	3
131041	1	7	1	11	1
131041	2	1	2	11	2
131042	1	1	5	11	5
131042	2	7	1	11	1
131043	1	7	1	11	1
131043	2	4	2	11	2
131044	1	5	2	11	2
131044	2	4	3	11	3
131044	3	1	6	11	6
131044	4	23	1	26	1
131045	1	7	1	11	1
131045	2	3	1	11	1
131045	3	4	3	11	3
131045	4	1	4	11	4
131046	1	5	1	11	1
131046	2	1	7	11	7
131046	3	7	1	11	0
131046	4	30	6	26	6
131047	1	1	20	11	20
131047	2	2	1	11	0
131047	3	7	1	11	0
131048	1	25	1	24	1
131049	1	1	4	11	4
131049	2	3	1	11	0
131049	3	7	1	11	0
131050	1	30	30	16	30
141001	1	23	20	23	20
141005	1	14	20	26	20
141007	1	17	4	16	4
141008	1	 	 	 	 
141009	1	17	50	16	40
141013	1	21	1	21	1
141015	1	17	10	16	10
141020	1	30	5	23	5
141021	1	5	2	11	2
141021	2	4	5	11	5
141021	3	3	1	11	1
141021	4	1	1	11	1
141022	1	25	1	24	1
141023	1	21	1	21	1
141024	1	30	30	26	30
141025	1	23	8	23	8
141027	1	30	1	23	1
141029	1	23	16	23	14
141033	1	25	1	24	1
141034	1	30	1	23	0
141035	1	23	8	23	8
141037	1	21	10	23	10
141040	1	17	10	16	10
141041	1	11	20	5	0
141048	1	25	1	24	0
151001	1	7	1	5	1
151001	2	5	1	11	1
151001	3	3	1	11	1
151001	4	4	3	11	1
151002	1	1	10	11	6
151002	2	4	2	11	2
151002	3	3	1	11	1
151002	4	7	1	11	1
151003	1	1	5	11	5
151003	2	3	1	11	1
151003	3	8	5	11	5
