CHILDCODE	LANDIDR5	TOTINDR5	TOTLNDR5	PRIRRR5
71039	1	.0399999991059303	3	1
71039	2	0	0	 
71040	1	.00999999977648258	0	 
71040	2	0	0	 
71041	1	0	 	 
71041	2	.00999999977648258	 	 
71042	1	.0900000035762787	1	4
71042	2	0	0	 
71043	1	.0299999993294477	0	 
71043	2	0	1.5	4
71044	1	.0500000007450581	7	4
71044	2	0	0	 
71045	1	0	 	 
71045	2	0	 	 
71046	1	.0599999986588955	.300000011920929	4
71046	2	0	0	 
71047	1	.0199999995529652	0	 
71047	2	0	0	 
71048	1	.600000023841858	0	 
71048	2	0	0	 
71049	1	.0199999995529652	.600000023841858	2
71049	2	0	0	 
71050	1	 	 	 
71050	2	 	 	 
81001	1	.0199999995529652	0	 
81001	2	0	0	 
81002	1	.0299999993294477	0	 
81002	2	0	0	 
81003	1	.0299999993294477	1	5
81003	2	0	.5	5
81004	1	.0199999995529652	0	 
81004	2	0	0	 
81006	1	.0299999993294477	0	 
81006	2	0	1.5	5
81007	1	.0199999995529652	0	 
81007	2	0	2	5
81008	1	.0299999993294477	1	4
81008	2	0	0	 
81009	1	.0500000007450581	0	 
81009	2	0	0	 
81010	1	.0299999993294477	.5	1
81010	2	0	0	 
81012	1	.0299999993294477	2	5
81012	2	0	3	5
81015	1	.0199999995529652	0	 
81015	2	0	0	 
81016	1	.0500000007450581	0	 
81016	2	0	0	 
81017	1	.0299999993294477	6	5
81017	2	0	0	 
81018	1	0	 	 
81018	2	0	 	 
81019	1	.0299999993294477	0	 
81019	2	0	0	 
81020	1	.0299999993294477	10	5
81020	2	0	0	 
81021	1	.0299999993294477	.100000001490116	5
81021	2	0	.5	4
81022	1	.0199999995529652	0	 
81022	2	0	0	 
81023	1	0	.0299999993294477	5
81023	2	0	0	 
81025	1	.0399999991059303	0	 
81025	2	0	0	 
81027	1	.0599999986588955	10	2
81027	2	0	0	 
81028	1	0	 	 
81028	2	0	 	 
81029	1	.0500000007450581	0	 
81029	2	0	0	 
81030	1	0	1	5
81030	2	.0199999995529652	0	 
81032	1	0	0	 
81032	2	0	0	 
81033	1	3	.0399999991059303	3
81033	2	0	0	 
81034	1	.0299999993294477	.600000023841858	4
81034	2	0	2	4
