CHILDCODE	MOVEIDR5	YRMOVER5	MTHSTYR5	WHMOVER5	TYPKEBR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVALLHR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
41043	1	2016	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	4	88	1	5
41047	1	2014	18	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	0	 
41047	2	2016	11	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	9	1	4
41049	1	2016	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
41049	2	2015	1	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	4
41049	3	2015	18	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	22	1	4
41050	1	2014	6	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
41059	1	2015	11	1	3	N	N	Y	N	N	N	N	N	N	N	N	N	13	17	1	4
41092	1	2014	25	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	1	0	 
41106	1	2014	0	2	3	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
41109	1	2014	0	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	1	5
41114	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41130	1	2014	12	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	35	1	4
41130	2	2015	24	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
51002	1	2014	0	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51003	1	2013	37	3	4	N	N	Y	N	N	N	N	N	N	N	N	N	22	88	1	4
51003	2	2016	14	1	4	N	N	N	N	Y	N	N	N	N	N	N	N	11	88	1	3
51004	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
51005	1	2016	5	2	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
51009	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51011	1	2013	12	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51015	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
51017	1	2014	0	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	79	0	 
51020	1	2013	40	2	3	N	N	N	N	N	N	N	N	Y	N	N	N	1	88	0	 
51022	1	2014	23	1	5	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	0	 
51023	1	2014	27	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
51024	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
51025	1	2015	12	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	6
51026	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
51031	1	2015	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51034	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	2
51036	1	2016	0	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
51037	1	2013	36	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51039	1	2013	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	1	1	1
51040	1	2015	0	2	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
51041	1	2013	33	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51046	1	2013	0	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
61001	1	2016	0	2	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
61006	1	2015	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
61011	1	2016	9	2	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
61012	1	2016	5	2	4	N	N	N	Y	N	N	N	N	N	N	N	N	1	88	0	 
61013	1	2014	0	2	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	2
61014	1	2013	36	1	4	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	1	3
61016	1	2016	0	2	4	N	N	N	N	Y	N	N	N	N	N	N	N	1	88	1	5
61019	1	2016	2	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61020	1	2014	28	3	1	N	N	N	Y	N	N	N	N	N	N	N	N	1	88	1	5
61021	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61025	1	2015	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
61026	1	2016	0	1	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
61029	1	2014	0	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61030	1	2014	0	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	1	0	 
61031	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
61032	1	2014	19	2	4	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61033	1	2014	18	2	4	N	N	N	N	Y	N	N	N	N	N	N	N	11	88	0	 
61034	1	2015	15	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61037	1	2014	22	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61038	1	2016	4	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
61041	1	2015	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
61042	1	2014	0	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61043	1	2015	8	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
61044	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	7
61047	1	2016	3	2	4	N	N	N	N	Y	N	N	N	N	N	N	N	11	88	0	 
61048	1	2014	12	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
61049	1	2015	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	4
61050	1	2016	2	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
61052	1	2015	0	1	4	N	N	N	N	N	N	N	Y	N	N	N	N	12	88	1	1
61076	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
61079	1	2015	6	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
61079	2	2016	2	1	5	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
61104	1	2016	0	3	2	N	N	N	N	Y	N	N	Y	N	N	N	N	7	88	1	7
