CHILDCODE	MEMIDR4	AGER3	MEMAGER4	AGEMTHR4	MEMSEXR4	RELATER3	RELATER4	THSVILR4	LIVHSER4	YRDIEDR4	CHCSTER3	CHCSTER4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	EDCH18R4	STLL18R4	HSSTRTR4	GRADER4	STILLR4	WHYNOTR4	AGEGRDR4	TYPATDR4	MEMCNSR4
71030	1	57	61	 	1	1	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71030	2	52	56	 	2	1	1	 	1	 	 	21	2	1	0	98	98	1	8	0	0	 	 	 	 	 	 	N
71030	3	24	28	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71030	4	21	25	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71031	0	15	19	 	1	0	0	0	1	 	23	23	3	0	0	3	98	1	12	1	1	 	 	 	 	 	 	N
71031	1	77	81	 	2	6	6	 	3	2003	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71031	2	52	56	 	1	1	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71031	3	42	46	 	2	1	1	 	1	 	 	23	1	1	0	98	98	1	2	0	0	 	 	 	 	 	 	N
71031	4	20	24	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71032	0	15	19	 	2	0	0	1	1	 	23	23	5	0	0	98	98	1	11	1	1	 	 	 	 	 	 	N
71032	1	42	46	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71032	2	33	37	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71032	3	19	23	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71032	4	16	20	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71032	5	13	17	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	1	9	1	 	 	4	N
71032	6	 	62	 	2	 	5	 	1	 	 	23	1	5	0	98	98	1	3	0	0	 	 	 	 	 	 	N
71032	7	 	17	 	1	 	14	 	1	 	 	23	5	0	0	98	98	 	 	 	 	1	12	1	 	 	2	N
71032	8	 	16	 	2	 	14	 	1	 	 	23	5	0	0	98	98	 	 	 	 	1	11	1	 	 	2	N
71033	0	15	19	 	1	0	0	1	2	 	23	23	3	0	0	2	1	1	10	0	0	 	 	 	 	 	 	N
71033	1	41	45	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	2	0	0	 	 	 	 	 	 	N
71033	2	37	41	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71033	3	14	18	 	1	7	7	 	1	 	 	23	3	0	0	2	1	1	10	0	0	 	 	 	 	 	 	N
71034	0	14	18	 	1	0	0	1	1	 	23	23	3	0	0	3	2	1	12	1	1	 	 	 	 	 	 	N
71034	1	72	76	 	2	6	6	 	3	2008	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71034	2	52	56	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	3	0	0	 	 	 	 	 	 	N
71034	3	42	46	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	1	0	0	 	 	 	 	 	 	N
71034	4	23	27	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71034	5	19	23	 	2	7	7	 	1	 	 	23	3	0	0	3	2	1	9	0	0	 	 	 	 	 	 	N
71034	6	1	5	 	2	15	15	 	4	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	 	 	2	N
71035	0	15	19	 	1	0	0	1	1	 	23	23	5	0	0	5	3	1	11	1	0	 	 	 	 	 	 	N
71035	1	75	79	 	1	6	6	 	1	 	 	23	1	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
71035	2	67	71	 	2	6	6	 	1	 	 	23	2	1	1	98	98	0	 	 	 	 	 	 	 	 	 	N
71035	3	47	51	 	1	1	1	 	1	 	 	23	3	1	0	2	1	1	7	0	0	 	 	 	 	 	 	N
71035	4	45	49	 	2	13	13	 	1	 	 	23	3	0	1	2	1	0	 	 	 	 	 	 	 	 	 	N
71035	5	43	47	 	2	1	1	 	1	 	 	23	5	1	0	5	3	0	 	 	 	 	 	 	 	 	 	N
71035	6	25	29	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71035	7	19	23	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71036	0	15	19	 	2	0	0	1	1	 	23	23	4	1	0	98	98	1	11	0	0	 	 	 	 	 	 	N
71036	1	44	48	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71036	2	40	44	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71036	28	10	14	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	1	8	1	 	 	3	N
71036	29	 	67	 	1	 	26	 	1	 	 	23	1	1	1	98	98	0	 	 	 	 	 	 	 	 	 	N
71036	30	 	64	 	2	 	26	 	1	 	 	23	2	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
71036	31	 	25	 	1	 	25	 	1	 	 	23	3	1	0	30	29	1	10	0	0	 	 	 	 	 	 	N
71036	32	 	23	 	1	 	16	 	1	 	 	23	3	0	0	30	29	1	16	0	0	 	 	 	 	 	 	N
71038	0	15	19	 	1	0	0	0	1	 	23	23	3	0	0	4	3	1	6	0	0	 	 	 	 	 	 	N
71038	1	69	73	 	2	5	5	 	3	2005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71038	2	61	65	 	2	6	6	 	1	 	 	23	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71038	3	47	51	 	1	1	1	 	1	 	 	23	1	1	0	2	98	0	 	 	 	 	 	 	 	 	 	N
71038	4	45	49	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71038	5	19	23	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71038	6	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71038	28	8	12	 	1	7	7	 	1	 	 	23	3	0	0	4	3	 	 	 	 	1	7	1	 	 	11	N
71039	0	15	19	 	2	0	0	0	1	 	23	23	4	1	0	98	98	1	11	0	0	 	 	 	 	 	 	N
71039	1	67	71	 	1	5	5	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71039	2	62	66	 	2	5	5	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71039	3	39	43	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71039	4	30	34	 	1	13	13	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71039	5	26	30	 	1	13	13	 	1	 	 	23	3	1	0	2	1	0	 	 	 	 	 	 	 	 	 	N
71039	6	13	17	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	1	11	1	 	 	8	N
71039	7	42	46	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71039	8	 	3	 	2	 	19	 	1	 	 	23	5	0	0	0	5	 	 	 	 	 	 	 	 	 	 	N
71039	9	 	0	8	2	 	19	 	1	 	 	23	5	0	0	0	5	 	 	 	 	 	 	 	 	 	 	N
71040	0	15	19	 	2	0	0	1	1	 	24	24	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
71040	1	44	48	 	1	1	1	 	1	 	 	24	6	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
71040	2	37	41	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
71040	3	18	22	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71041	0	15	19	 	2	0	0	0	1	 	23	23	2	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
71041	1	72	76	 	2	6	6	 	3	2012	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71041	2	37	41	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71041	3	32	36	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71041	4	18	22	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71041	5	 	27	 	1	 	25	 	1	 	 	23	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
71041	6	 	2	 	1	 	27	 	1	 	 	23	3	0	0	0	5	 	 	 	 	 	 	 	 	 	 	N
71041	7	 	1	 	2	 	27	 	1	 	 	23	3	0	0	0	5	 	 	 	 	 	 	 	 	 	 	N
71042	0	14	18	 	1	0	0	0	1	 	24	24	3	0	0	2	1	1	14	1	1	 	 	 	 	 	 	N
71042	1	43	47	 	1	1	1	 	1	 	 	24	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71042	2	39	43	 	2	1	1	 	1	 	 	24	2	1	0	4	98	1	6	0	0	 	 	 	 	 	 	N
71042	3	18	22	 	1	7	7	 	1	 	 	24	3	0	0	2	1	1	9	0	1	 	 	 	 	 	 	N
71042	4	63	67	 	2	5	5	 	1	 	 	24	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71043	0	15	19	 	1	0	0	0	1	 	23	23	3	0	0	4	3	1	12	1	0	 	 	 	 	 	 	N
71043	1	62	66	 	1	6	6	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71043	2	57	61	 	2	6	6	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71043	3	34	38	 	1	1	1	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71043	4	32	36	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71043	5	32	36	 	1	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71043	6	27	31	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71043	7	26	30	 	1	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71043	8	25	29	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71043	9	24	28	 	1	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71043	10	23	27	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71043	28	11	15	 	2	7	7	 	1	 	 	23	3	0	0	4	3	 	 	 	 	1	10	1	 	 	3	N
71043	29	10	14	 	1	7	7	 	1	 	 	23	3	0	0	4	3	 	 	 	 	1	8	1	 	 	3	N
71043	30	10	14	 	2	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71043	31	9	13	 	1	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71043	32	8	12	 	2	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71044	0	15	19	 	1	0	0	1	1	 	24	24	3	0	0	4	3	1	12	1	1	 	 	 	 	 	 	N
71044	1	69	73	 	1	6	6	 	1	 	 	24	12	1	0	98	98	1	6	0	0	 	 	 	 	 	 	N
71044	2	64	68	 	2	6	6	 	1	 	 	24	12	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71044	3	43	47	 	1	1	1	 	1	 	 	24	1	1	0	2	1	1	10	0	0	 	 	 	 	 	 	N
71044	4	35	39	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	8	0	0	 	 	 	 	 	 	N
71044	5	32	36	 	1	13	13	 	1	 	 	24	11	1	0	2	1	1	10	0	0	 	 	 	 	 	 	N
71044	6	25	29	 	2	13	13	 	1	 	 	24	7	1	0	98	98	1	8	0	0	 	 	 	 	 	 	N
71044	7	14	18	 	2	7	7	 	1	 	 	24	3	0	0	4	3	1	10	1	0	 	 	 	 	 	 	N
71044	8	14	18	 	2	7	7	 	1	 	 	24	3	0	0	4	3	1	10	1	0	 	 	 	 	 	 	N
71044	9	6	10	 	1	14	14	 	1	 	 	24	7	0	0	6	5	 	 	 	 	1	5	1	 	 	3	N
71044	10	4	8	 	2	14	14	 	1	 	 	24	7	0	0	6	5	 	 	 	 	1	3	1	 	 	3	N
71045	0	14	18	 	2	0	0	1	1	 	23	23	3	1	0	2	4	1	7	0	0	 	 	 	 	 	 	N
71045	1	37	41	 	1	1	1	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71045	2	27	31	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71045	3	16	20	 	1	7	7	 	1	 	 	23	3	0	0	2	98	1	10	0	0	 	 	 	 	 	 	N
71045	4	 	25	 	1	 	25	 	1	 	 	23	4	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
71046	0	15	19	 	1	0	0	0	1	 	23	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
71046	1	37	41	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
71046	2	34	38	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	1	0	0	 	 	 	 	 	 	N
71046	3	19	23	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71046	4	70	74	 	2	6	6	 	3	2010	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71047	0	15	19	 	1	0	0	1	1	 	23	23	3	0	0	2	1	1	14	1	0	 	 	 	 	 	 	N
71047	1	42	46	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	11	0	0	 	 	 	 	 	 	N
71047	2	33	37	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	8	0	0	 	 	 	 	 	 	N
71047	3	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
71048	0	15	19	 	1	0	0	0	1	 	24	24	3	0	0	2	1	1	12	0	1	 	 	 	 	 	 	N
71048	1	44	48	 	1	1	1	 	1	 	 	24	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71048	2	35	39	 	2	1	1	 	1	 	 	24	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
71048	3	18	22	 	1	7	7	 	1	 	 	24	3	0	0	2	1	1	12	0	0	 	 	 	 	 	 	N
71048	4	13	17	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	0	8	0	23	 	 	 
71049	0	15	19	 	2	0	0	1	1	 	21	21	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
71049	1	52	56	 	1	1	1	 	1	 	 	21	1	1	0	98	98	1	16	0	0	 	 	 	 	 	 	N
71049	2	39	43	 	2	1	1	 	1	 	 	21	2	1	0	98	98	1	11	0	0	 	 	 	 	 	 	N
71049	3	22	26	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71049	4	18	22	 	1	7	7	 	1	 	 	21	3	0	0	2	1	1	15	0	0	 	 	 	 	 	 	N
71050	0	15	19	 	2	0	0	0	1	 	23	23	3	0	0	2	1	1	13	0	1	 	 	 	 	 	 	N
71050	1	42	46	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
71050	2	39	43	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	4	0	0	 	 	 	 	 	 	N
71050	3	19	23	 	1	7	7	 	1	 	 	23	3	0	0	2	1	1	10	0	0	 	 	 	 	 	 	N
81001	0	15	19	 	1	0	0	1	2	 	21	21	3	0	0	3	2	1	13	1	1	 	 	 	 	 	 	N
81001	1	62	66	 	2	6	6	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81001	2	40	44	 	1	1	1	 	1	 	 	21	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81001	3	36	40	 	2	1	1	 	1	 	 	21	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81001	4	18	22	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81001	28	10	14	 	1	7	7	 	1	 	 	21	3	0	0	3	2	 	 	 	 	1	11	1	 	 	1	N
81002	0	15	19	 	1	0	0	1	1	 	21	21	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
81002	1	41	45	 	1	1	1	 	1	 	 	21	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81002	2	33	37	 	2	1	1	 	1	 	 	21	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81002	3	17	21	 	2	7	7	 	1	 	 	21	3	0	0	2	1	1	14	1	1	 	 	 	 	 	 	N
81002	28	10	14	 	2	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
81003	0	15	19	 	2	0	0	0	1	 	21	21	4	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
81003	1	39	43	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81003	2	34	38	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81003	3	13	17	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81003	4	 	53	 	1	 	26	 	1	 	 	21	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81003	5	 	50	 	2	 	26	 	1	 	 	21	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81003	6	 	27	 	1	 	25	 	1	 	 	21	3	1	0	5	4	1	13	0	0	 	 	 	 	 	 	N
81003	7	 	25	 	1	 	28	 	1	 	 	21	3	1	0	5	4	1	15	1	0	 	 	 	 	 	 	N
81003	8	 	18	 	2	 	19	 	1	 	 	21	4	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
81004	0	14	18	 	1	0	0	1	1	 	24	24	3	0	0	2	1	1	6	0	0	 	 	 	 	 	 	N
81004	1	49	53	 	1	1	1	 	1	 	 	24	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81004	2	42	46	 	2	1	1	 	1	 	 	24	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81004	3	25	29	 	1	7	7	 	1	 	 	24	3	1	0	2	1	0	 	 	 	 	 	 	 	 	 	N
81004	4	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
81004	5	 	23	 	2	 	16	 	1	 	 	24	4	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
81006	0	15	19	 	1	0	0	1	1	 	21	21	3	0	0	2	1	1	13	1	1	 	 	 	 	 	 	N
81006	1	52	56	 	1	1	1	 	1	 	 	21	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81006	2	43	47	 	2	1	1	 	1	 	 	21	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81006	3	18	22	 	2	7	7	 	1	 	 	21	3	0	0	2	1	1	14	1	0	 	 	 	 	 	 	N
81006	4	12	16	 	1	7	7	 	1	 	 	21	3	0	0	2	1	 	 	 	 	1	11	1	 	 	1	N
81007	0	15	19	 	1	0	0	1	1	 	21	21	3	0	0	5	1	1	14	1	1	 	 	 	 	 	 	N
81007	1	36	40	 	1	1	1	 	1	 	 	21	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81007	2	29	33	 	2	1	1	 	3	2002	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81007	3	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81007	4	13	17	 	1	7	7	 	1	 	 	21	3	0	0	5	1	 	 	 	 	1	10	1	 	 	3	N
81007	5	28	32	 	2	2	2	 	1	 	 	21	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81007	6	4	8	 	2	7	7	 	1	 	 	21	3	0	0	5	1	 	 	 	 	1	2	1	 	 	3	N
81008	0	14	18	 	2	0	0	1	2	 	24	24	3	0	0	2	1	1	15	1	1	 	 	 	 	 	 	N
81008	1	41	45	 	1	1	1	 	1	 	 	24	1	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
81008	2	35	39	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
81008	3	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81008	4	13	17	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81009	0	15	19	 	1	0	0	1	2	 	24	24	3	0	0	4	3	1	13	1	1	 	 	 	 	 	 	N
81009	1	75	79	 	1	6	6	 	1	 	 	24	6	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
81009	2	62	66	 	2	6	6	 	1	 	 	24	6	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81009	3	45	49	 	1	1	1	 	1	 	 	24	1	1	0	2	1	1	14	0	0	 	 	 	 	 	 	N
81009	4	37	41	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	9	0	0	 	 	 	 	 	 	N
81009	5	13	17	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81010	0	15	19	 	2	0	0	1	1	 	21	21	3	0	0	2	1	1	10	0	0	 	 	 	 	 	 	N
81010	1	37	41	 	1	1	1	 	1	 	 	21	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81010	2	30	34	 	2	1	1	 	1	 	 	21	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81010	3	19	23	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
81010	28	11	15	 	1	7	7	 	1	 	 	21	3	0	0	98	98	 	 	 	 	1	8	1	 	 	3	N
81011	0	15	19	 	2	0	0	1	1	 	24	24	4	1	0	98	98	1	6	0	0	 	 	 	 	 	 	N
81011	1	62	66	 	1	5	5	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81011	2	52	56	 	2	5	5	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81011	3	41	45	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81011	4	32	36	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81011	5	17	21	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81011	6	 	29	 	1	 	25	 	1	 	 	24	3	1	0	8	7	1	10	0	0	 	 	 	 	 	 	N
81011	7	 	55	 	1	 	26	 	1	 	 	24	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81011	8	 	50	 	2	 	26	 	1	 	 	24	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81011	9	 	32	 	1	 	28	 	1	 	 	24	3	0	1	8	7	0	 	 	 	 	 	 	 	 	 	N
81011	10	 	8	 	1	 	28	 	1	 	 	24	3	0	0	8	7	 	 	 	 	1	1	1	 	 	1	N
81011	11	 	50	 	2	 	22	 	1	 	 	24	7	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81011	12	 	0	2	1	 	27	 	1	 	 	24	5	0	0	0	6	 	 	 	 	 	 	 	 	 	 	N
81011	13	 	0	2	1	 	27	 	1	 	 	24	5	0	0	0	6	 	 	 	 	 	 	 	 	 	 	N
81012	0	14	18	 	1	0	0	1	2	 	24	24	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
81012	1	40	44	 	1	1	1	 	1	 	 	24	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
81012	2	34	38	 	2	1	1	 	1	 	 	24	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81012	3	13	17	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81013	0	15	19	 	2	0	0	0	1	 	 	23	3	0	0	1	98	1	6	0	0	 	 	 	 	 	 	N
81013	1	52	56	 	2	1	1	 	1	 	 	23	1	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81013	2	22	26	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81013	3	19	23	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81013	4	13	17	 	2	7	7	 	1	 	 	23	3	0	0	1	98	 	 	 	 	1	6	0	2	12	 	N
81013	28	10	14	 	2	7	7	 	1	 	 	23	3	0	0	1	98	 	 	 	 	1	6	0	20	11	 	N
81014	0	15	19	 	2	0	0	0	1	 	22	22	2	1	0	98	98	1	4	0	0	 	 	 	 	 	 	N
81014	2	39	43	 	1	1	1	 	3	2009	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81014	3	67	71	 	2	6	6	 	3	2013	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
81014	4	 	29	 	1	 	25	 	1	 	 	22	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81015	0	15	19	 	2	0	0	1	1	 	23	23	3	0	0	2	1	1	7	0	0	 	 	 	 	 	 	N
81015	1	47	51	 	1	1	1	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81015	2	42	46	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81015	3	21	25	 	1	7	7	 	1	 	 	23	3	1	0	2	1	1	10	0	0	 	 	 	 	 	 	N
81015	4	19	23	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81015	5	19	23	 	2	13	13	 	1	 	 	23	4	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
81015	6	 	4	 	2	 	15	 	1	 	 	23	5	0	0	5	3	 	 	 	 	 	 	 	 	 	 	N
81015	7	 	1	 	1	 	15	 	1	 	 	23	5	0	0	5	3	 	 	 	 	 	 	 	 	 	 	N
81016	0	15	19	 	2	0	0	0	1	 	24	24	4	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
81016	1	67	71	 	2	6	6	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81016	2	60	64	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81016	3	55	59	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81016	4	22	26	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81016	28	11	15	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
81016	29	 	70	 	2	 	26	 	1	 	 	24	1	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
81016	30	 	32	 	2	 	25	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
