CHILDCODE	IMEVIDR4	RKEVR4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4	RESEVR41	RESEVR42	RESEVR43
31020	3	88	 	 	 	 	 	 	 
31022	1	38	 	2	 	 	16	9	88
31022	2	88	 	 	 	 	 	 	 
31022	3	88	 	 	 	 	 	 	 
31023	1	45	 	 	4	 	16	18	88
31023	2	47	 	 	 	2	2	7	88
31023	3	88	 	 	 	 	 	 	 
31024	1	47	 	 	 	2	2	88	 
31024	2	88	 	 	 	 	 	 	 
31024	3	88	 	 	 	 	 	 	 
31025	1	47	 	2	3	3	18	16	88
31025	2	88	 	 	 	 	 	 	 
31025	3	88	 	 	 	 	 	 	 
31026	1	88	 	 	 	 	 	 	 
31026	2	88	 	 	 	 	 	 	 
31026	3	88	 	 	 	 	 	 	 
31027	1	47	 	 	 	2	2	7	88
31027	2	88	 	 	 	 	 	 	 
31027	3	88	 	 	 	 	 	 	 
31028	1	45	2	 	 	 	17	88	 
31028	2	88	 	 	 	 	 	 	 
31028	3	88	 	 	 	 	 	 	 
31029	1	40	 	 	 	1	88	 	 
31029	2	88	 	 	 	 	 	 	 
31029	3	88	 	 	 	 	 	 	 
31030	1	34	 	 	3	 	9	16	18
31030	2	47	 	 	 	2	2	18	7
31030	3	88	 	 	 	 	 	 	 
31031	1	35	 	79	 	 	17	88	 
31031	2	45	 	 	 	2	17	88	 
31031	3	88	 	 	 	 	 	 	 
31032	1	35	 	 	3	 	9	16	88
31032	2	88	 	 	 	 	 	 	 
31032	3	88	 	 	 	 	 	 	 
31033	1	39	 	 	 	3	16	88	 
31033	2	88	 	 	 	 	 	 	 
31033	3	88	 	 	 	 	 	 	 
31034	1	38	 	 	 	2	9	88	 
31034	2	47	 	 	 	2	2	88	 
31034	3	88	 	 	 	 	 	 	 
31035	1	47	 	 	 	2	2	88	 
31035	2	88	 	 	 	 	 	 	 
31035	3	88	 	 	 	 	 	 	 
31036	1	42	 	2	2	2	2	16	88
31036	2	47	 	 	2	2	2	7	88
31036	3	88	 	 	 	 	 	 	 
31038	1	37	2	2	 	 	21	16	88
31038	2	42	 	2	3	3	18	21	16
31038	3	88	 	 	 	 	 	 	 
31039	1	45	 	 	4	 	19	88	 
31039	2	88	 	 	 	 	 	 	 
31039	3	88	 	 	 	 	 	 	 
31040	1	42	 	 	4	4	16	88	 
31040	2	47	 	 	 	2	7	88	 
31040	3	88	 	 	 	 	 	 	 
31041	1	42	 	 	2	4	10	9	88
31041	2	88	 	 	 	 	 	 	 
31041	3	88	 	 	 	 	 	 	 
31042	1	42	 	 	2	2	17	88	 
31042	2	47	 	 	 	2	2	88	 
31042	3	88	 	 	 	 	 	 	 
31043	1	29	 	 	4	4	21	79	88
31043	2	42	 	 	2	 	16	88	 
31043	3	38	 	 	2	 	16	88	 
31047	1	45	 	 	 	3	2	88	 
31047	2	88	 	 	 	 	 	 	 
31047	3	88	 	 	 	 	 	 	 
31048	1	88	 	 	 	 	 	 	 
31048	2	88	 	 	 	 	 	 	 
31048	3	88	 	 	 	 	 	 	 
31049	1	88	 	 	 	 	 	 	 
31049	2	88	 	 	 	 	 	 	 
31049	3	88	 	 	 	 	 	 	 
31050	1	88	 	 	 	 	 	 	 
31050	2	88	 	 	 	 	 	 	 
31050	3	88	 	 	 	 	 	 	 
41001	1	47	 	 	 	2	2	16	88
41001	2	88	 	 	 	 	 	 	 
41001	3	88	 	 	 	 	 	 	 
41002	1	47	 	 	2	2	2	22	18
41002	2	88	 	 	 	 	 	 	 
41002	3	88	 	 	 	 	 	 	 
41003	1	47	 	 	 	2	2	17	88
41003	2	88	 	 	 	 	 	 	 
41003	3	88	 	 	 	 	 	 	 
41004	1	34	 	 	4	 	2	17	18
41004	2	47	 	 	 	2	2	17	88
41004	3	88	 	 	 	 	 	 	 
41005	1	47	 	 	2	2	2	88	 
41005	2	88	 	 	 	 	 	 	 
41005	3	88	 	 	 	 	 	 	 
41006	1	47	 	 	 	3	8	88	 
41006	2	88	 	 	 	 	 	 	 
41006	3	88	 	 	 	 	 	 	 
41007	1	29	 	 	 	3	2	8	88
41007	2	47	 	 	 	2	18	88	 
41007	3	88	 	 	 	 	 	 	 
41009	1	47	 	 	 	2	9	2	88
41009	2	88	 	 	 	 	 	 	 
41009	3	88	 	 	 	 	 	 	 
41010	1	41	 	 	 	3	9	2	88
41010	2	47	 	 	 	3	2	88	 
41010	3	88	 	 	 	 	 	 	 
41011	1	28	 	 	2	 	8	18	88
41011	2	47	 	 	 	3	2	9	88
41011	3	88	 	 	 	 	 	 	 
41012	1	47	 	 	 	2	2	88	 
41012	2	88	 	 	 	 	 	 	 
41012	3	88	 	 	 	 	 	 	 
41013	1	39	 	2	 	 	21	2	88
41013	2	88	 	 	 	 	 	 	 
41013	3	88	 	 	 	 	 	 	 
41014	1	47	 	 	 	2	2	17	88
41014	2	88	 	 	 	 	 	 	 
41014	3	88	 	 	 	 	 	 	 
41015	1	47	 	 	 	2	2	88	 
41015	2	88	 	 	 	 	 	 	 
41015	3	88	 	 	 	 	 	 	 
41016	1	47	 	 	 	2	2	88	 
41016	2	88	 	 	 	 	 	 	 
41016	3	88	 	 	 	 	 	 	 
41017	1	13	 	 	3	 	18	6	16
41017	2	47	 	 	 	2	2	18	17
41017	3	88	 	 	 	 	 	 	 
41018	1	47	 	 	 	3	2	10	88
41018	2	29	 	 	2	2	2	12	16
41018	3	88	 	 	 	 	 	 	 
41019	1	47	 	 	 	2	16	88	 
41019	2	88	 	 	 	 	 	 	 
41019	3	88	 	 	 	 	 	 	 
41020	1	36	 	 	2	 	2	17	88
41020	2	47	 	 	 	2	2	9	88
41020	3	88	 	 	 	 	 	 	 
41021	1	47	 	 	 	2	17	2	16
41021	2	88	 	 	 	 	 	 	 
41021	3	88	 	 	 	 	 	 	 
41022	1	13	 	 	2	 	17	18	88
41022	2	47	 	 	 	2	2	88	 
41022	3	88	 	 	 	 	 	 	 
41023	1	47	 	 	2	2	2	17	18
41023	2	88	 	 	 	 	 	 	 
41023	3	88	 	 	 	 	 	 	 
41024	1	47	 	 	 	2	2	88	 
41024	2	88	 	 	 	 	 	 	 
41024	3	88	 	 	 	 	 	 	 
41025	1	47	 	 	 	2	17	16	88
41025	2	88	 	 	 	 	 	 	 
41025	3	88	 	 	 	 	 	 	 
41026	1	29	 	 	2	 	2	18	22
41026	2	47	 	 	2	3	2	88	 
41026	3	88	 	 	 	 	 	 	 
41027	1	47	 	 	 	2	2	88	 
41027	2	88	 	 	 	 	 	 	 
41027	3	88	 	 	 	 	 	 	 
41028	1	47	 	 	 	2	17	16	88
41028	2	88	 	 	 	 	 	 	 
41028	3	88	 	 	 	 	 	 	 
41029	1	47	 	 	 	2	2	88	 
41029	2	88	 	 	 	 	 	 	 
41029	3	88	 	 	 	 	 	 	 
41030	1	88	 	 	 	 	 	 	 
41030	2	88	 	 	 	 	 	 	 
41030	3	88	 	 	 	 	 	 	 
41031	1	47	 	 	 	2	2	88	 
41031	2	88	 	 	 	 	 	 	 
41031	3	88	 	 	 	 	 	 	 
41032	1	34	 	 	4	 	2	17	9
41032	2	47	 	 	 	2	2	17	88
41032	3	88	 	 	 	 	 	 	 
41033	1	34	 	3	 	 	17	16	88
41033	2	47	 	 	 	2	17	2	88
41033	3	88	 	 	 	 	 	 	 
41034	1	88	 	 	 	 	 	 	 
41034	2	88	 	 	 	 	 	 	 
41034	3	88	 	 	 	 	 	 	 
41035	1	39	 	 	 	2	16	17	88
41035	2	47	 	 	 	2	17	16	88
41035	3	88	 	 	 	 	 	 	 
41036	1	47	 	 	2	2	1	6	16
41036	2	88	 	 	 	 	 	 	 
41036	3	88	 	 	 	 	 	 	 
41037	1	47	 	 	 	2	2	6	88
41037	2	88	 	 	 	 	 	 	 
41037	3	88	 	 	 	 	 	 	 
41039	1	47	 	 	 	2	2	88	 
41039	2	88	 	 	 	 	 	 	 
41039	3	88	 	 	 	 	 	 	 
41040	1	47	 	 	 	2	9	2	88
41040	2	88	 	 	 	 	 	 	 
41040	3	88	 	 	 	 	 	 	 
41041	1	42	 	 	2	 	16	17	88
41041	2	47	 	 	3	2	2	17	88
41041	3	36	1	 	 	 	17	88	 
41042	1	39	 	 	2	 	17	88	 
41042	2	47	 	 	 	2	2	88	 
41042	3	88	 	 	 	 	 	 	 
41043	1	47	 	 	 	2	2	88	 
41043	2	88	 	 	 	 	 	 	 
41043	3	88	 	 	 	 	 	 	 
41044	1	42	 	 	2	2	9	17	88
41044	2	47	 	 	3	3	2	88	 
41044	3	88	 	 	 	 	 	 	 
41045	1	47	 	 	 	2	2	88	 
41045	2	88	 	 	 	 	 	 	 
41045	3	88	 	 	 	 	 	 	 
41046	1	37	 	 	 	3	9	10	88
41046	2	47	 	 	3	3	2	88	 
41046	3	88	 	 	 	 	 	 	 
41047	1	47	 	 	 	2	2	88	 
41047	2	88	 	 	 	 	 	 	 
41047	3	88	 	 	 	 	 	 	 
41048	1	37	 	 	2	 	16	88	 
41048	2	47	 	2	2	2	24	27	88
41048	3	25	 	 	2	 	2	6	88
41049	1	47	 	 	 	2	17	16	88
41049	2	88	 	 	 	 	 	 	 
41049	3	88	 	 	 	 	 	 	 
41050	1	47	 	 	3	3	17	88	 
41050	2	88	 	 	 	 	 	 	 
41050	3	88	 	 	 	 	 	 	 
51001	1	25	2	 	 	2	16	88	 
51001	2	29	 	 	 	2	2	18	88
51001	3	88	 	 	 	 	 	 	 
51002	1	14	 	 	3	 	16	18	7
51002	2	25	 	 	2	 	21	17	22
51002	3	42	 	 	 	2	18	2	88
51003	1	47	 	 	 	2	22	18	88
51003	2	88	 	 	 	 	 	 	 
51003	3	88	 	 	 	 	 	 	 
51004	1	37	 	 	2	 	16	88	 
51004	2	88	 	 	 	 	 	 	 
51004	3	88	 	 	 	 	 	 	 
51005	1	47	 	 	2	2	2	88	 
51005	2	88	 	 	 	 	 	 	 
51005	3	88	 	 	 	 	 	 	 
51006	1	37	 	 	3	 	16	18	88
51006	2	38	 	 	 	2	16	18	7
51006	3	88	 	 	 	 	 	 	 
51007	1	37	 	 	 	3	16	21	7
51007	2	29	 	 	 	2	7	88	 
51007	3	38	 	 	2	2	17	16	7
51008	1	25	 	4	3	 	10	16	88
51008	2	38	 	 	2	 	16	88	 
51008	3	28	 	 	2	 	10	18	88
51009	1	37	 	 	 	4	17	9	88
51009	2	25	 	2	 	 	10	18	88
51009	3	88	 	 	 	 	 	 	 
51010	1	39	 	4	 	 	16	88	 
51010	2	37	 	 	2	 	17	88	 
51010	3	88	 	 	 	 	 	 	 
51011	1	36	 	 	3	 	17	16	88
51011	2	88	 	 	 	 	 	 	 
51011	3	88	 	 	 	 	 	 	 
51012	1	29	 	2	 	 	9	88	 
51012	2	47	 	 	2	2	2	88	 
51012	3	88	 	 	 	 	 	 	 
51013	1	38	 	 	3	 	16	18	88
51013	2	39	 	 	2	 	16	88	 
51013	3	24	 	 	2	 	18	88	 
51014	1	38	2	3	2	2	16	6	2
51014	2	47	 	 	 	2	2	16	7
51014	3	88	 	 	 	 	 	 	 
51015	1	37	 	 	3	2	16	88	 
51015	2	88	 	 	 	 	 	 	 
51015	3	88	 	 	 	 	 	 	 
51016	1	24	 	 	2	 	16	88	 
51016	2	38	 	 	 	2	16	88	 
51016	3	88	 	 	 	 	 	 	 
51018	1	45	2	 	 	 	16	88	 
51018	2	88	 	 	 	 	 	 	 
51018	3	88	 	 	 	 	 	 	 
51019	1	88	 	 	 	 	 	 	 
51019	2	88	 	 	 	 	 	 	 
51019	3	88	 	 	 	 	 	 	 
51020	1	39	 	 	 	4	9	88	 
51020	2	88	 	 	 	 	 	 	 
51020	3	88	 	 	 	 	 	 	 
51021	1	45	 	 	 	4	8	10	16
51021	2	37	 	 	3	4	2	16	7
51021	3	38	 	3	3	 	16	2	7
51022	1	25	 	 	 	2	2	88	 
51022	2	88	 	 	 	 	 	 	 
51022	3	88	 	 	 	 	 	 	 
51023	1	38	 	 	 	2	16	88	 
51023	2	47	 	 	 	2	2	88	 
51023	3	88	 	 	 	 	 	 	 
51024	1	47	 	 	 	2	2	88	 
51024	2	88	 	 	 	 	 	 	 
51024	3	88	 	 	 	 	 	 	 
51025	1	88	 	 	 	 	 	 	 
51025	2	88	 	 	 	 	 	 	 
51025	3	88	 	 	 	 	 	 	 
51026	1	37	 	 	2	 	16	17	7
51026	2	38	 	 	2	 	16	18	21
51026	3	47	 	 	 	2	2	18	7
51027	1	39	 	 	2	 	2	16	7
51027	2	41	2	 	 	 	16	18	21
51027	3	47	 	 	 	2	2	7	88
51028	1	37	 	2	 	 	16	18	88
51028	2	39	2	 	 	 	16	88	 
51028	3	88	 	 	 	 	 	 	 
51029	1	32	 	 	 	4	9	88	 
51029	2	42	 	 	4	 	9	18	88
51029	3	88	 	 	 	 	 	 	 
51030	1	36	3	 	 	 	1	88	 
51030	2	88	 	 	 	 	 	 	 
51030	3	88	 	 	 	 	 	 	 
51031	1	37	 	 	 	4	16	18	88
51031	2	29	 	 	4	 	21	88	 
51031	3	88	 	 	 	 	 	 	 
51032	1	45	 	 	 	4	21	16	88
51032	2	38	 	4	 	 	16	88	 
51032	3	88	 	 	 	 	 	 	 
51033	1	38	3	 	 	 	16	21	20
51033	2	14	3	 	 	 	7	88	 
51033	3	42	3	3	3	 	16	21	2
51034	1	41	 	 	 	2	9	88	 
51034	2	47	 	 	 	2	2	88	 
51034	3	88	 	 	 	 	 	 	 
