PLACEID	PRANIDR5	AVGPRCAN	MINPRCAN	MAXPRCAN
802	5	-88	 	 
802	6	-88	 	 
802	7	-88	 	 
802	8	-88	 	 
802	9	-88	 	 
802	10	-88	 	 
802	11	-88	 	 
802	12	-88	 	 
802	13	-88	 	 
802	14	-88	 	 
803	1	-88	 	 
803	2	-88	 	 
803	3	-88	 	 
803	4	-88	 	 
803	5	-88	 	 
803	6	-88	 	 
803	7	-88	 	 
803	8	-88	 	 
803	9	-88	 	 
803	10	-88	 	 
803	11	30	 	 
803	12	-88	 	 
803	13	-88	 	 
803	14	-88	 	 
901	1	-88	 	 
901	2	700	 	 
901	3	1200	 	 
901	4	700	 	 
901	5	-88	 	 
901	6	120	 	 
901	7	70	 	 
901	8	350	 	 
901	9	24	 	 
901	10	15	 	 
901	11	15	 	 
901	12	-88	 	 
901	13	1500	 	 
901	14	-88	 	 
902	1	-88	 	 
902	2	800	 	 
902	3	-88	 	 
902	4	400	 	 
902	5	-88	 	 
902	6	100	 	 
902	7	60	 	 
902	8	120	 	 
902	9	20	 	 
902	10	20	 	 
902	11	15	 	 
902	12	-88	 	 
902	13	1500	 	 
902	14	0	 	 
903	1	-88	 	 
903	2	800	 	 
903	3	-88	 	 
903	4	500	 	 
903	5	-88	 	 
903	6	120	 	 
903	7	80	 	 
903	8	200	 	 
903	9	25	 	 
903	10	20	 	 
903	11	20	 	 
903	12	-88	 	 
903	13	1500	 	 
903	14	-88	 	 
904	1	-88	 	 
904	2	800	 	 
904	3	-88	 	 
904	4	700	 	 
904	5	-88	 	 
904	6	200	 	 
904	7	100	 	 
904	8	250	 	 
904	9	20	 	 
904	10	20	 	 
904	11	20	 	 
904	12	-88	 	 
904	13	1200	 	 
904	14	-88	 	 
905	1	-88	 	 
905	2	-77	1000	1200
905	3	-77	1500	2000
905	4	600	 	 
905	5	-88	 	 
905	6	-77	150	200
905	7	70	 	 
905	8	200	 	 
905	9	20	 	 
905	10	20	 	 
905	11	15	 	 
905	12	-88	 	 
905	13	1500	 	 
905	14	-88	 	 
906	1	-88	 	 
906	2	1000	 	 
906	3	-88	 	 
906	4	600	 	 
906	5	-88	 	 
906	6	120	 	 
906	7	70	 	 
906	8	400	 	 
906	9	30	 	 
906	10	20	 	 
906	11	20	 	 
906	12	-88	 	 
