placeid	rsid	module	module2	module3	section	section2	section3	ageres	sexres	ethnic	capac	livres
ET4141	17	2	 	 	5	 	 	25	1	10	1	8
ET4141	18	2	3	 	4	4	 	29	1	2	3	9
ET4141	19	1	 	 	5	 	 	34	2	2	3	17
ET4144	1	1	2	2	1	1	4	35	2	6	2	2
ET4144	2	1	3	2	1	3	1	32	1	7	1	1
ET4144	3	1	3	1	2	3	4	37	1	7	2	14
ET4144	4	1	3	1	2	3	4	35	1	7	1	2
ET4144	5	1	3	1	1	2	3	30	1	7	1	6
ET4144	6	1	1	1	1	2	4	34	1	7	1	1
ET4144	7	1	1	1	1	2	4	40	1	9	7	30
ET4144	8	2	3	 	4	4	 	29	1	2	3	1
ET4144	9	2	2	 	3	5	 	44	1	2	4	5
ET4144	10	2	 	 	3	 	 	37	2	7	4	4
ET4144	11	1	2	 	3	5	 	55	1	2	7	25
ET4144	12	1	2	2	3	1	5	39	1	2	4	20
ET4144	13	1	2	 	3	5	 	76	1	7	7	16
ET4144	14	2	 	 	3	 	 	32	1	2	4	2
ET4144	15	1	2	 	5	4	 	34	2	2	3	17
ET4144	16	3	3	 	2	3	 	24	1	7	2	1
ET4144	17	3	3	 	4	3	 	50	2	6	4	1
ET4144	18	3	 	 	3	 	 	42	2	2	4	2
ET4144	19	2	 	 	4	 	 	25	1	9	3	3
ET4144	20	2	 	 	5	 	 	33	1	7	2	11
ET4144	21	2	 	 	5	 	 	25	1	2	2	8
ET4141	79	 	 	 	 	 	 	0	88	88	88	0
ET4144	79	 	 	 	 	 	 	0	88	88	88	0
ET4121	16	2	 	 	4	 	 	 	1	3	3	 
