CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
IN061007	5	7	1	2	2	1
IN061008	1	2	2	4	3	1
IN061008	2	2	2	4	3	93
IN061008	3	3	2	3	3	1
IN061008	4	3	2	4	3	93
IN061009	1	3	1	2	1	1
IN061009	2	4	1	3	1	1
IN061010	1	1	2	8	2	1
IN061010	2	1	2	12	1	1
IN061010	3	2	2	6	2	1
IN061010	4	2	1	6	3	1
IN061011	1	1	1	6	2	1
IN061011	2	2	1	6	2	1
IN061012	1	2	2	1	2	1
IN061012	2	2	1	4	1	45
IN061012	3	3	1	4	1	45
IN061013	1	1	2	6	1	1
IN061013	2	2	1	3	1	1
IN061014	1	1	2	6	2	1
IN061014	2	1	1	3	3	1
IN061014	3	2	2	4	2	1
IN061014	4	2	1	3	3	1
IN061015	1	3	2	8	2	1
IN061015	2	3	1	6	3	1
IN061015	3	4	2	8	2	1
IN061015	4	4	1	6	3	1
IN061016	1	1	2	6	2	1
IN061017	1	1	2	5	1	1
IN061017	2	2	1	5	1	1
IN061018	1	2	2	12	1	1
IN061018	2	2	2	3	2	1
IN061019	1	1	1	2	1	60
IN061019	2	3	2	6	2	1
IN061019	3	3	1	3	2	1
IN061019	4	5	2	6	2	1
IN061019	5	6	2	5	3	1
IN061019	6	6	1	3	3	1
IN061020	1	1	2	12	1	52
IN061021	1	1	2	8	2	1
IN061021	2	1	1	5	2	1
IN061021	3	2	2	8	2	1
IN061021	4	2	1	4	3	1
IN061022	1	1	1	8	2	1
IN061022	2	1	1	6	2	45
IN061022	3	2	1	6	2	1
IN061022	4	2	1	5	3	1
IN061023	1	1	1	5	2	1
IN061023	2	1	1	3	3	1
IN061023	3	2	1	4	3	1
IN061023	4	2	1	4	3	1
IN061024	1	3	2	3	2	1
IN061024	2	4	1	3	2	1
IN061025	1	1	1	6	2	1
IN061025	2	1	1	6	2	1
IN061025	3	2	1	6	2	1
IN061025	4	2	1	5	2	1
IN061026	1	1	1	5	2	1
IN061026	2	1	1	8	2	1
IN061026	3	2	1	6	2	1
IN061026	4	2	1	5	2	1
IN061027	1	2	1	12	1	75
IN061027	2	3	1	7	2	1
IN061028	1	1	1	12	1	75
IN061028	2	2	1	8	2	1
IN061029	1	1	1	5	2	1
IN061029	2	2	1	5	2	1
IN061030	1	2	2	5	2	1
IN061030	2	3	1	5	2	1
IN061030	3	4	1	2	4	1
IN061031	1	1	2	2	1	26
IN061031	2	1	1	4	2	1
IN061031	3	2	1	3	2	1
IN061031	4	4	1	2	2	1
IN061032	1	1	2	4	3	1
IN061032	2	1	1	11	1	1
IN061032	3	2	2	5	2	1
IN061032	4	2	1	6	2	1
IN061033	1	1	2	8	2	1
IN061033	2	1	1	6	2	1
IN061033	3	2	2	6	2	1
IN061033	4	2	1	6	2	1
IN061034	1	1	1	10	1	26
IN061034	2	2	1	3	2	1
IN061034	3	3	1	3	2	1
IN061035	1	3	1	10	1	1
IN061035	2	4	1	10	1	1
IN061036	1	1	1	6	2	1
IN061036	2	2	1	6	2	1
IN061037	1	2	2	12	1	52
IN061037	2	1	2	10	2	52
IN061037	3	3	2	5	2	52
IN061038	1	3	2	6	1	1
IN061038	2	3	1	6	2	1
IN061038	3	4	2	10	1	1
IN061039	1	1	1	10	2	20
IN061040	1	1	1	8	2	60
IN061040	2	3	1	10	1	60
IN061040	3	4	1	2	2	1
IN061041	1	3	2	9	1	1
IN061041	2	3	1	3	2	1
IN061041	3	4	1	3	1	1
IN061042	1	1	2	12	1	74
IN061043	1	1	2	12	1	1
IN061043	2	2	1	4	3	1
IN061044	1	2	1	12	1	75
IN061044	2	3	2	5	2	1
IN061045	1	1	1	6	1	1
IN061045	2	1	1	2	2	1
IN061045	3	2	1	4	2	1
IN061046	1	2	1	6	2	45
IN061046	2	3	2	5	2	74
IN061047	1	1	1	12	1	1
IN061047	2	2	1	5	3	1
IN061048	1	1	2	10	2	60
IN061048	2	1	1	5	3	45
IN061048	3	2	1	6	2	1
IN061048	4	2	1	5	3	1
IN061049	1	1	1	5	2	1
IN061049	2	1	1	8	2	1
IN061049	3	2	1	5	2	1
IN061049	4	2	1	7	2	1
IN061050	1	2	2	6	2	1
IN061050	2	2	1	3	3	1
IN061050	3	2	2	5	2	1
IN071001	1	1	2	6	1	1
IN071001	2	1	1	3	2	1
IN071001	3	2	2	3	1	1
IN071001	4	2	1	3	2	1
IN071002	1	2	1	2	2	45
IN071002	2	3	1	1	2	45
IN071003	1	1	2	10	1	60
IN071003	2	1	2	8	3	93
IN071004	1	1	1	12	1	1
