childid	id	age	sex	relate	still	yrschool	disabled	support	grading
IN021042	29	3	1	5	 	 	2	 	0
IN021043	1	35	2	1	2	0	2	1	0
IN021043	2	11	1	5	1	23	2	2	5
IN021044	1	30	1	1	2	23	2	1	5
IN021044	2	28	2	1	2	0	2	1	0
IN021044	3	7	2	5	1	23	2	2	3
IN021045	1	45	1	1	2	23	2	1	5
IN021045	2	40	2	1	2	0	2	1	0
IN021045	3	12	2	5	1	23	2	2	4
IN021046	1	35	1	1	2	0	2	1	0
IN021046	2	30	2	1	2	0	2	1	0
IN021046	3	5	2	5	2	0	2	2	0
IN021047	1	35	2	1	2	23	2	1	5
IN021048	1	25	1	1	2	0	2	1	0
IN021048	2	20	2	1	2	24	2	2	7
IN021048	3	6	1	5	1	23	2	2	1
IN021048	28	4	2	5	 	 	2	 	0
IN021049	1	29	2	1	2	25	2	1	10
IN021049	2	12	2	5	1	24	2	2	6
IN021049	3	10	2	5	1	24	2	2	6
IN021049	4	5	2	5	1	23	2	2	4
IN021050	1	35	1	1	2	0	2	2	0
IN021050	2	30	2	1	2	0	2	1	0
IN031001	1	68	1	3	2	25	2	2	15
IN031001	2	55	2	3	2	24	2	2	7
IN031001	3	43	1	1	2	25	2	1	15
IN031001	4	38	1	4	2	25	2	1	15
IN031001	5	36	2	1	2	25	2	1	15
IN031001	6	14	1	6	1	25	2	2	9
IN031001	7	11	2	5	1	24	2	1	6
IN031002	1	41	1	1	2	24	2	1	7
IN031002	2	29	2	1	2	25	2	1	10
IN031002	3	6	2	5	1	23	2	2	1
IN031003	1	62	1	3	2	23	2	1	3
IN031003	2	56	2	3	2	0	2	2	0
IN031003	3	30	1	1	2	24	2	1	6
IN031003	4	27	2	1	2	25	2	2	9
IN031003	5	21	1	4	2	25	2	1	9
IN031003	6	18	1	4	2	24	2	1	6
IN031003	7	15	2	4	2	23	2	1	4
IN031003	8	6	1	5	1	23	2	2	1
IN031003	28	3	2	5	 	 	2	 	0
IN031004	1	75	1	3	2	23	2	2	4
IN031004	2	60	2	3	2	24	2	2	6
IN031004	3	37	1	1	2	25	2	1	10
IN031004	4	28	2	1	2	25	2	2	10
IN031004	28	2	2	5	 	 	2	 	0
IN031005	1	51	1	3	2	0	2	1	0
IN031005	2	42	2	3	2	0	2	2	0
IN031005	3	30	1	1	2	23	2	1	4
IN031005	4	30	2	4	2	0	2	2	0
IN031005	5	25	2	1	2	24	2	2	6
IN031005	6	7	1	5	1	23	2	2	2
IN031006	1	73	2	3	2	23	1	1	4
IN031006	2	42	1	1	2	25	2	1	15
IN031006	3	30	2	1	2	24	2	2	7
IN031006	4	6	2	5	1	23	2	2	2
IN031007	1	30	1	1	2	25	2	1	15
IN031007	2	27	2	1	2	25	2	2	10
IN031008	1	36	1	1	2	25	2	1	12
IN031008	2	30	2	1	2	24	2	2	7
IN031008	3	6	2	5	1	23	2	2	1
IN031009	1	55	2	3	2	23	2	2	4
IN031009	2	35	1	4	2	25	2	1	15
IN031009	3	35	1	1	2	23	2	1	3
IN031009	4	30	2	1	2	23	2	1	5
IN031009	5	7	2	5	1	23	2	2	3
IN031010	1	45	1	1	2	25	2	1	10
IN031010	2	37	2	1	2	0	2	2	0
IN031010	3	15	2	5	1	25	2	2	9
IN031010	4	11	1	5	1	23	2	2	4
IN031011	1	79	2	3	2	25	2	2	8
IN031011	2	50	1	4	2	25	2	1	15
IN031011	3	48	1	1	2	25	2	1	15
IN031011	4	45	2	1	2	25	2	2	15
IN031011	5	43	2	4	2	25	2	2	15
IN031011	6	22	2	6	2	25	2	2	15
IN031011	7	21	1	6	2	25	2	2	14
IN031011	8	18	1	6	1	25	2	2	12
IN031011	9	14	2	6	1	25	2	2	9
IN031011	10	12	1	5	1	24	2	2	6
IN031012	1	45	2	1	2	23	2	2	3
IN031012	2	40	1	2	2	25	2	1	10
IN031012	3	5	1	5	1	23	2	2	1
IN031013	1	78	1	3	2	25	2	2	15
IN031013	2	74	2	3	2	24	2	2	7
IN031013	3	74	2	3	2	24	2	2	7
IN031013	4	42	1	1	2	25	2	1	15
IN031013	5	36	2	1	2	25	2	1	10
IN031013	6	10	1	5	1	23	1	2	4
IN031014	1	28	1	1	2	24	2	1	7
IN031014	2	26	2	1	2	0	2	2	0
IN031014	3	9	1	13	1	23	2	2	4
IN031014	4	6	1	6	1	23	2	2	2
IN031015	1	34	1	1	2	24	2	1	7
IN031015	2	32	2	1	2	25	2	2	10
IN031015	3	10	1	5	1	23	2	2	3
IN031016	1	31	1	1	2	23	2	1	3
IN031016	2	28	2	1	2	0	2	2	0
IN031016	28	4	1	5	 	 	2	 	0
IN031016	29	1	1	5	 	 	2	 	0
IN031017	1	36	1	1	2	25	2	1	15
IN031017	2	28	2	1	2	25	2	1	10
IN031017	3	9	1	5	1	23	2	2	4
IN031018	1	38	1	1	2	25	2	1	15
IN031018	2	32	2	1	2	25	2	1	15
IN031018	3	10	2	5	1	23	2	2	4
IN031018	4	7	2	5	1	0	2	2	0
IN031019	1	40	1	1	2	25	2	1	12
IN031019	2	30	2	1	2	25	2	1	15
IN031019	3	6	1	5	1	23	2	2	1
IN031019	28	3	2	5	 	 	2	 	0
IN031020	1	34	1	1	2	25	2	1	11
IN031020	2	28	2	1	2	24	2	2	7
IN031020	3	6	1	5	1	22	2	2	0
IN031021	1	30	1	1	2	23	2	1	1
IN031021	2	26	2	1	2	24	2	1	6
IN031021	3	6	1	5	1	23	2	2	1
IN031022	1	42	1	1	2	0	2	1	0
IN031022	2	34	2	1	2	0	2	1	0
IN031022	3	19	2	5	2	25	2	1	10
IN031023	1	40	1	1	2	25	2	1	10
IN031023	2	30	2	1	2	24	2	1	7
IN031023	3	6	2	5	1	23	2	2	1
IN031024	1	37	1	1	2	0	2	1	0
IN031024	2	28	2	1	2	23	2	2	5
IN031025	1	45	1	1	2	25	2	1	10
IN031025	2	35	2	1	2	25	2	2	10
IN031025	3	10	2	5	1	23	2	2	4
IN031025	4	9	2	5	1	23	2	2	2
IN031025	5	6	2	5	1	23	2	2	2
IN031025	6	5	2	5	1	23	2	2	1
IN031026	1	65	2	3	2	0	1	2	0
IN031026	2	43	1	1	2	25	2	1	10
IN031026	3	38	2	1	2	25	2	1	10
