CHILDID	ACTIDR3	ACTR3	ACTOWNR3	ACTMTHR3	ACTDAYHR3	ACTHRSR3	PYMRECR3
IN141001	1	2	1	12	30	2	0
IN141002	1	2	1	12	15	1	0
IN141003	1	2	1	12	30	2	0
IN141004	1	2	1	12	15	3	0
IN141005	1	2	1	11	20	1	0
IN141006	1	2	1	4	15	2	0
IN141007	1	2	1	11	28	1	0
IN141009	1	1	1	10	4	1	0
IN141010	1	4	1	12	30	2	0
IN141011	1	2	1	12	30	2	0
IN141013	1	2	1	12	30	2	0
IN141014	1	2	1	10	15	1	0
IN141015	1	2	1	12	30	3	0
IN141016	1	2	1	12	6	2	0
IN141017	1	2	1	10	12	1	0
IN141018	1	2	1	11	24	1	0
IN141021	1	2	1	10	26	1	0
IN141022	1	2	1	10	8	1	0
IN141024	1	2	1	12	20	1	0
IN141026	1	2	1	12	25	1	0
IN141028	1	2	1	10	15	1	0
IN141029	1	2	1	1	22	1	0
IN141030	1	2	1	4	15	1	0
IN141031	1	2	1	12	25	2	0
IN141031	2	7	2	4	4	2	1
IN141032	1	2	1	10	4	1	0
IN141033	1	2	1	12	4	1	0
IN141034	1	2	1	12	15	1	0
IN141036	1	2	1	12	30	2	0
IN141037	1	5	1	12	25	1	0
IN141037	2	2	1	12	30	2	0
IN141038	1	6	1	8	24	8	1
IN141039	1	2	1	12	3	1	0
IN141040	1	2	1	8	10	1	1
IN141042	1	2	1	10	4	1	0
IN141043	1	2	1	2	10	2	0
IN141045	1	2	1	5	6	1	0
IN141046	1	2	1	12	30	1	0
IN141048	1	2	1	12	15	1	0
IN141049	1	2	1	12	4	1	0
IN141050	1	2	1	12	30	1	0
IN151001	1	2	1	12	22	2	0
IN151001	2	1	1	5	6	8	1
IN151002	1	2	1	2	25	1	0
IN151003	1	7	1	2	26	8	1
IN151004	1	2	1	12	30	1	0
IN151005	1	2	1	10	25	3	0
IN151005	2	1	1	4	5	8	0
IN151005	3	1	2	4	5	8	1
IN151006	1	6	1	2	22	8	1
IN151007	1	2	1	11	25	3	0
IN151007	2	1	2	2	5	8	1
IN151008	1	2	1	10	25	2	0
IN151008	2	1	2	5	3	8	1
IN151009	1	2	1	12	2	10	0
IN151010	1	2	1	11	23	1	0
IN151010	2	1	1	5	2	8	0
IN151011	1	1	1	2	15	8	1
IN151011	2	2	1	3	20	1	0
IN151012	1	2	1	4	15	6	0
IN151013	1	2	2	4	15	3	1
IN151013	2	1	1	2	5	8	0
IN151014	1	4	1	12	30	4	0
IN151015	1	2	1	10	10	1	0
IN151016	1	2	1	11	20	2	0
IN151017	1	1	1	6	5	8	1
IN151017	2	2	1	10	24	5	0
IN151018	1	1	1	8	4	8	1
IN151018	2	2	1	11	25	5	0
IN151019	1	2	1	3	10	3	0
IN151019	2	6	2	1	1	10	1
