CHILDCODE	SHCKIDR5	EVNTR5	EV2013R5	EV2014R5	EV2015R5	EV2016R5
11035	27	0	 	 	 	 
11035	28	0	 	 	 	 
11035	29	0	 	 	 	 
11035	30	0	 	 	 	 
11035	31	0	 	 	 	 
11035	32	0	 	 	 	 
11035	34	1	Y	N	N	N
11035	35	0	 	 	 	 
11035	36	0	 	 	 	 
11035	37	0	 	 	 	 
11035	38	0	 	 	 	 
11035	39	0	 	 	 	 
11035	40	0	 	 	 	 
11035	41	0	 	 	 	 
11035	42	0	 	 	 	 
11035	45	0	 	 	 	 
11035	47	0	 	 	 	 
11035	48	0	 	 	 	 
11035	61	0	 	 	 	 
11037	1	0	 	 	 	 
11037	10	0	 	 	 	 
11037	12	0	 	 	 	 
11037	13	0	 	 	 	 
11037	14	0	 	 	 	 
11037	16	0	 	 	 	 
11037	23	0	 	 	 	 
11037	24	0	 	 	 	 
11037	25	0	 	 	 	 
11037	26	0	 	 	 	 
11037	27	0	 	 	 	 
11037	28	0	 	 	 	 
11037	29	0	 	 	 	 
11037	30	0	 	 	 	 
11037	31	0	 	 	 	 
11037	32	0	 	 	 	 
11037	34	0	 	 	 	 
11037	35	0	 	 	 	 
11037	36	0	 	 	 	 
11037	37	0	 	 	 	 
11037	38	0	 	 	 	 
11037	39	0	 	 	 	 
11037	40	0	 	 	 	 
11037	41	0	 	 	 	 
11037	42	0	 	 	 	 
11037	45	0	 	 	 	 
11037	47	0	 	 	 	 
11037	48	0	 	 	 	 
11037	61	0	 	 	 	 
11038	1	0	 	 	 	 
11038	10	0	 	 	 	 
11038	12	0	 	 	 	 
11038	13	0	 	 	 	 
11038	14	0	 	 	 	 
11038	16	0	 	 	 	 
11038	23	0	 	 	 	 
11038	24	0	 	 	 	 
11038	25	0	 	 	 	 
11038	26	0	 	 	 	 
11038	27	0	 	 	 	 
11038	28	0	 	 	 	 
11038	29	0	 	 	 	 
11038	30	0	 	 	 	 
11038	31	0	 	 	 	 
11038	32	0	 	 	 	 
11038	34	0	 	 	 	 
11038	35	0	 	 	 	 
11038	36	0	 	 	 	 
11038	37	0	 	 	 	 
11038	38	0	 	 	 	 
11038	39	0	 	 	 	 
11038	40	0	 	 	 	 
11038	41	0	 	 	 	 
11038	42	0	 	 	 	 
11038	45	0	 	 	 	 
11038	47	0	 	 	 	 
11038	48	0	 	 	 	 
11038	61	0	 	 	 	 
11039	1	0	 	 	 	 
11039	10	0	 	 	 	 
11039	12	0	 	 	 	 
11039	13	0	 	 	 	 
11039	14	0	 	 	 	 
11039	16	0	 	 	 	 
11039	23	0	 	 	 	 
11039	24	0	 	 	 	 
11039	25	0	 	 	 	 
11039	26	0	 	 	 	 
11039	27	0	 	 	 	 
11039	28	0	 	 	 	 
11039	29	0	 	 	 	 
11039	30	0	 	 	 	 
