CHILDCODE	MEMIDR5	MEMMOVR5	LIVHSER5	YRDIEDR5	MEMAGER5	MEAGMTR5	MEMSEXR5	RELATER5	THSCOMR5	RELHHR5	MRTLSTR5	DISABR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	GRADER5	STILLR5	TYPATDR5	WHYNOTR5	AGEGRDR5
41059	0	 	1	 	22	 	2	0	 	5	6	0	2	98	1	14	0	 	 	 	 	 	 
41059	1	 	4	 	45	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41059	2	 	1	 	44	 	2	1	 	3	5	0	5	4	1	9	0	 	 	 	 	 	 
41059	3	 	4	 	26	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41059	4	 	1	 	85	 	1	5	 	1	3	0	98	98	1	5	0	 	 	 	 	 	 
41059	5	 	1	 	80	 	2	5	 	2	3	0	98	98	1	3	0	 	 	 	 	 	 
41059	6	 	4	 	49	 	1	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41059	7	 	4	 	46	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41059	8	 	4	 	27	 	1	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41059	9	 	4	 	23	 	1	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41092	0	 	1	 	23	 	2	0	 	3	6	0	2	1	1	7	0	 	 	 	 	 	 
41092	1	 	1	 	51	 	1	1	 	1	3	0	98	98	1	4	0	 	 	 	 	 	 
41092	2	 	1	 	49	 	2	1	 	2	3	0	98	98	1	3	0	 	 	 	 	 	 
41092	3	 	4	 	31	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41092	4	 	4	 	29	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41092	5	 	1	 	28	 	2	7	 	3	6	0	2	1	1	8	0	 	 	 	 	 	 
41092	6	 	1	 	25	 	2	7	 	3	6	0	2	1	1	6	0	 	 	 	 	 	 
41092	17	 	1	 	18	 	1	7	 	3	6	0	2	1	1	7	0	 	 	 	 	 	 
41092	18	 	4	 	33	 	2	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41092	19	 	4	 	9	 	1	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41106	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	12	1	 	 	 	 	 	 
41106	1	0	4	 	67	 	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41106	2	0	4	 	47	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41106	3	0	4	 	47	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41106	4	0	4	 	26	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41106	5	0	4	 	24	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41106	17	0	4	 	17	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41106	18	0	4	 	15	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41106	19	0	4	 	12	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41106	20	0	4	 	9	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41106	21	 	1	 	26	 	2	22	 	10	6	0	98	98	1	14	1	 	 	 	 	 	 
41109	0	1	1	 	22	 	1	0	 	1	6	0	98	98	1	12	0	 	 	 	 	 	 
41109	1	0	4	 	43	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41109	2	0	4	 	42	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41109	3	0	4	 	20	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41109	17	0	4	 	17	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41109	18	0	4	 	14	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41109	19	0	4	 	11	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	12	0	 	 	 	 	 	 
41110	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	2	0	4	 	57	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	3	0	4	 	32	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	4	0	4	 	29	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	5	0	4	 	27	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	6	0	4	 	25	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	17	0	4	 	18	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	18	 	1	 	19	 	2	14	 	7	6	0	98	98	1	9	0	 	 	 	 	 	 
41114	0	 	1	 	22	 	1	0	 	3	6	0	2	1	1	12	1	 	 	 	 	 	 
41114	1	 	1	 	48	 	1	1	 	1	3	0	98	98	1	5	0	 	 	 	 	 	 
41114	2	 	1	 	50	 	2	1	 	2	3	0	98	98	1	5	0	 	 	 	 	 	 
41114	3	 	1	 	29	 	1	7	 	3	6	0	2	1	1	13	0	 	 	 	 	 	 
41114	4	 	4	 	27	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41114	5	 	1	 	25	 	2	7	 	3	6	0	2	1	1	11	0	 	 	 	 	 	 
41130	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	12	1	 	 	 	 	 	 
41130	1	0	4	 	48	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41130	2	0	4	 	44	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41130	17	0	4	 	16	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41130	18	0	4	 	12	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51002	0	1	1	 	22	 	1	0	 	3	6	0	2	1	1	14	0	 	 	 	 	 	 
51002	1	1	1	 	50	 	1	1	 	1	3	0	98	98	1	14	0	 	 	 	 	 	 
51002	2	1	1	 	50	 	2	1	 	2	3	0	98	98	1	14	0	 	 	 	 	 	 
51002	3	1	1	 	27	 	1	7	 	3	6	0	2	1	1	14	0	 	 	 	 	 	 
51003	0	 	1	 	22	 	2	0	 	2	3	0	98	98	1	12	0	 	 	 	 	 	 
51003	1	 	4	 	43	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51003	2	 	4	 	43	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51003	17	 	4	 	19	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51003	18	 	4	 	60	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51003	19	 	4	 	-77	 	1	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51003	20	 	4	 	38	 	1	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51003	21	 	4	 	33	 	1	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51003	22	 	1	 	30	 	1	24	 	1	3	0	98	98	1	8	0	 	 	 	 	 	 
51004	0	1	1	 	23	 	2	0	 	1	6	0	98	98	1	10	0	 	 	 	 	 	 
51004	1	0	4	 	73	 	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51004	2	0	4	 	39	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51004	3	 	1	 	24	 	2	22	 	10	6	0	98	98	1	12	0	 	 	 	 	 	 
51005	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
51005	1	0	4	 	80	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51005	2	0	4	 	61	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51005	3	0	4	 	61	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51005	4	0	4	 	34	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51005	5	0	4	 	32	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51005	6	0	4	 	27	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51005	7	0	4	 	32	 	2	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51006	0	 	1	 	21	 	1	0	 	3	3	0	2	1	1	8	0	 	 	 	 	 	 
51006	1	 	1	 	44	 	1	1	 	1	3	0	98	98	1	7	0	 	 	 	 	 	 
51006	2	 	1	 	43	 	2	1	 	2	3	0	98	98	1	6	0	 	 	 	 	 	 
51006	3	 	1	 	18	 	2	7	 	3	6	0	2	1	1	11	0	 	 	 	 	 	 
51006	4	 	1	 	20	 	2	24	 	4	3	0	98	98	1	9	0	 	 	 	 	 	 
51008	0	1	1	 	22	 	1	0	 	1	6	0	98	98	1	7	0	 	 	 	 	 	 
51008	1	0	4	 	86	 	1	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51008	2	0	3	2012	-88	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51008	3	0	4	 	54	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51008	4	0	4	 	54	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51008	5	0	4	 	47	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51008	6	0	4	 	20	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51009	0	1	1	 	23	 	2	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
51009	1	0	3	2015	95	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51009	2	0	4	 	51	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51009	3	0	4	 	47	 	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51009	4	1	1	 	21	 	2	7	 	7	6	0	98	98	1	12	1	 	 	 	 	 	 
51009	17	0	4	 	15	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51010	0	 	1	 	22	 	1	0	 	3	6	0	98	1	1	9	0	 	 	 	 	 	 
51010	1	 	1	 	53	 	1	1	 	1	3	0	98	98	1	4	0	 	 	 	 	 	 
51010	2	 	4	 	48	 	2	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51010	3	 	1	 	27	 	1	7	 	3	6	0	98	1	1	7	0	 	 	 	 	 	 
51010	4	 	4	 	54	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51010	5	 	4	 	60	 	1	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51010	6	 	4	 	30	 	2	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51010	7	 	4	 	24	 	1	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51010	8	 	1	 	50	 	2	2	 	2	3	0	98	98	1	0	0	 	 	 	 	 	 
51011	0	 	1	 	22	 	2	0	 	3	6	0	2	1	1	13	0	 	 	 	 	 	 
51011	1	 	1	 	47	 	1	1	 	1	3	0	98	98	1	12	0	 	 	 	 	 	 
51011	2	 	1	 	47	 	2	1	 	2	3	0	98	3	1	9	0	 	 	 	 	 	 
51011	3	 	1	 	21	 	1	7	 	3	6	0	2	1	1	12	1	 	 	 	 	 	 
51013	0	 	1	 	21	 	2	0	 	3	6	0	2	1	1	10	0	 	 	 	 	 	 
51013	1	 	1	 	55	 	1	1	 	1	3	0	98	98	1	5	0	 	 	 	 	 	 
51013	2	 	1	 	53	 	2	1	 	2	3	0	98	98	1	3	0	 	 	 	 	 	 
51013	3	 	4	 	32	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51015	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	12	1	 	 	 	 	 	 
51015	1	0	4	 	54	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51015	2	0	4	 	47	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51015	3	0	4	 	12	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51016	0	1	1	 	23	 	1	0	 	1	6	0	98	98	1	12	1	 	 	 	 	 	 
51016	1	0	4	 	49	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51016	2	0	4	 	48	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51016	3	0	4	 	27	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51016	4	0	4	 	25	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51017	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	12	1	 	 	 	 	 	 
51017	1	0	4	 	48	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51017	2	0	4	 	45	 	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51017	17	0	4	 	19	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51018	0	 	1	 	22	 	2	0	 	3	3	0	2	1	1	8	0	 	 	 	 	 	 
51018	1	 	1	 	55	 	1	1	 	2	3	0	98	98	0	 	 	 	 	 	 	 	 
51018	2	 	1	 	53	 	2	1	 	1	3	0	98	98	0	 	 	 	 	 	 	 	 
51018	3	 	4	 	34	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51018	4	 	4	 	29	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51018	5	 	4	 	24	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51018	6	 	4	 	32	 	2	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51018	7	 	4	 	11	 	2	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51018	8	 	4	 	9	 	1	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51018	9	 	1	 	29	 	1	24	 	4	3	0	98	10	1	5	0	 	 	 	 	 	 
51018	10	 	1	 	0	10	1	27	 	5	 	 	0	9	 	 	 	 	 	 	 	 	 
51019	0	 	1	 	22	 	2	0	 	5	6	0	98	3	1	14	0	 	 	 	 	 	 
51019	1	 	1	 	71	 	2	6	 	1	4	0	98	98	1	7	0	 	 	 	 	 	 
51019	2	 	4	 	45	 	2	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51019	3	 	1	 	44	 	1	1	 	3	5	0	1	98	1	9	0	 	 	 	 	 	 
51019	4	 	4	 	40	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51019	5	 	4	 	19	 	2	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51019	6	 	4	 	13	 	2	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51020	0	 	1	 	22	 	2	0	 	1	6	0	98	98	1	12	0	 	 	 	 	 	 
51020	1	 	4	 	49	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51020	2	 	4	 	48	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51020	17	 	4	 	17	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51022	0	1	1	 	22	 	2	0	1	4	3	0	98	98	1	14	0	 	 	 	 	 	 
51022	1	0	4	 	56	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51022	2	0	4	 	55	 	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51022	3	0	4	 	31	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51022	4	 	1	 	60	 	1	28	 	1	3	0	98	98	1	13	0	 	 	 	 	 	 
51022	5	 	1	 	59	 	2	28	 	2	3	0	98	98	1	9	0	 	 	 	 	 	 
51022	6	 	1	 	33	 	2	29	 	3	3	0	5	4	1	14	0	 	 	 	 	 	 
51022	7	 	1	 	29	 	1	24	 	3	3	0	5	4	1	14	0	 	 	 	 	 	 
51022	8	 	1	 	0	11	1	27	 	5	 	 	0	7	 	 	 	 	 	 	 	 	 
51023	0	1	1	 	22	 	1	0	 	1	6	0	98	98	1	12	0	 	 	 	 	 	 
51023	1	0	4	 	49	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51023	2	0	4	 	46	 	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51023	3	0	4	 	27	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51023	4	0	4	 	25	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51024	0	1	1	 	23	 	2	0	 	2	1	0	98	98	1	14	0	 	 	 	 	 	 
51024	1	0	4	 	51	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51024	2	0	4	 	26	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51024	3	0	4	 	56	 	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51024	4	 	1	 	32	 	1	26	 	1	1	0	98	98	1	14	0	 	 	 	 	 	 
51025	0	 	1	 	21	 	1	0	 	3	6	0	2	1	1	9	0	 	 	 	 	 	 
51025	1	 	1	 	46	 	1	1	 	1	3	0	98	98	1	7	0	 	 	 	 	 	 
51025	2	 	1	 	44	 	2	1	 	2	3	0	98	98	1	4	0	 	 	 	 	 	 
51025	17	 	1	 	17	 	1	7	 	3	6	0	2	1	 	 	 	1	11	0	 	8	16
51026	0	1	1	 	23	 	1	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
51026	1	0	4	 	60	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51026	2	0	4	 	58	 	2	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51026	3	0	4	 	28	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51026	4	 	1	 	23	 	1	22	 	10	6	0	98	98	1	14	0	 	 	 	 	 	 
51026	5	 	1	 	21	 	1	22	 	10	6	0	98	98	1	12	1	 	 	 	 	 	 
51026	6	 	1	 	22	 	1	22	 	10	6	0	98	98	1	12	1	 	 	 	 	 	 
51028	0	 	1	 	22	 	1	0	 	3	6	0	2	1	1	7	0	 	 	 	 	 	 
51028	1	 	1	 	46	 	1	1	 	1	3	0	98	98	1	7	0	 	 	 	 	 	 
51028	2	 	1	 	43	 	2	1	 	2	3	0	98	98	0	 	 	 	 	 	 	 	 
51029	0	 	1	 	21	 	1	0	 	3	6	0	2	1	1	9	0	 	 	 	 	 	 
51029	1	 	1	 	54	 	1	1	 	1	3	0	98	98	1	2	0	 	 	 	 	 	 
51029	2	 	1	 	50	 	2	1	0	2	3	0	98	98	1	2	0	 	 	 	 	 	 
51029	3	 	1	 	28	 	1	7	 	3	6	0	2	1	1	9	0	 	 	 	 	 	 
51029	4	 	1	 	25	 	1	7	 	3	6	0	2	1	1	12	0	 	 	 	 	 	 
51031	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	12	1	 	 	 	 	 	 
51031	1	0	4	 	52	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51031	2	0	4	 	53	 	2	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51031	3	0	4	 	24	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51032	0	 	1	 	21	 	2	0	 	3	6	0	2	1	1	12	0	 	 	 	 	 	 
51032	1	 	1	 	50	 	1	1	 	1	3	0	98	98	1	12	0	 	 	 	 	 	 
51032	2	 	1	 	40	 	2	1	 	2	3	0	98	98	1	9	0	 	 	 	 	 	 
51032	3	 	1	 	11	 	1	7	 	3	 	0	2	1	 	 	 	1	5	1	3	 	 
51033	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	12	1	 	 	 	 	 	 
51033	1	0	4	 	52	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51033	2	0	4	 	51	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51033	3	0	4	 	14	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51034	0	1	1	 	22	 	1	0	 	7	6	0	98	98	1	12	1	 	 	 	 	 	 
51034	1	0	4	 	50	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51034	2	0	4	 	50	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51034	3	1	1	 	28	 	2	7	 	1	3	0	98	98	1	14	1	 	 	 	 	 	 
51034	4	 	1	 	40	 	1	16	 	2	3	0	98	98	1	14	0	 	 	 	 	 	 
51035	0	 	1	 	22	 	1	0	 	3	6	0	3	2	1	12	0	 	 	 	 	 	 
51035	1	 	1	 	76	 	2	6	 	6	4	0	98	98	1	5	0	 	 	 	 	 	 
51035	2	 	1	 	45	 	1	1	 	1	3	0	1	98	1	9	0	 	 	 	 	 	 
51035	3	 	1	 	46	 	2	1	 	2	3	0	98	98	1	5	0	 	 	 	 	 	 
51035	4	 	4	 	27	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51035	5	 	1	 	11	 	1	7	 	3	 	0	3	2	 	 	 	1	5	1	3	 	 
51035	6	 	4	 	24	 	2	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51035	7	 	4	 	5	 	1	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51036	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	13	0	 	 	 	 	 	 
51036	1	0	3	2010	-88	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51036	2	0	4	 	55	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51036	3	0	4	 	53	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51037	0	 	1	 	22	 	2	0	 	5	6	0	98	2	1	14	0	 	 	 	 	 	 
51037	1	 	1	 	86	 	1	6	 	1	4	0	98	98	1	5	0	 	 	 	 	 	 
51037	2	 	1	 	50	 	1	1	 	3	4	0	98	98	1	6	0	 	 	 	 	 	 
51037	3	 	3	2011	-88	 	2	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51037	4	 	4	 	29	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51037	17	 	1	 	17	 	1	7	 	5	6	0	98	98	 	 	 	1	11	1	3	 	 
51037	18	 	4	 	27	 	1	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51038	0	 	1	 	21	 	2	0	 	3	3	0	2	1	1	11	0	 	 	 	 	 	 
51038	1	 	1	 	49	 	1	1	 	1	3	0	98	98	1	12	0	 	 	 	 	 	 
51038	2	 	1	 	41	 	2	1	 	2	3	0	98	98	1	6	0	 	 	 	 	 	 
51038	3	 	1	 	26	 	1	24	 	4	3	0	98	98	1	10	0	 	 	 	 	 	 
51038	4	 	1	 	4	 	2	27	 	5	 	 	0	3	 	 	 	 	 	 	 	 	 
51039	0	 	1	 	23	 	1	0	0	3	6	0	2	1	1	9	0	 	 	 	 	 	 
51039	1	 	1	 	53	 	1	1	 	1	3	0	98	98	1	5	0	 	 	 	 	 	 
51039	2	 	1	 	53	 	2	1	0	2	3	0	98	98	1	3	0	 	 	 	 	 	 
51039	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51039	4	 	4	 	-77	 	1	19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51039	5	 	4	 	-77	 	2	19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51039	6	 	4	 	-77	 	1	19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51039	7	 	4	 	-77	 	2	19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51040	0	1	1	 	22	 	2	0	 	1	3	0	98	98	1	4	0	 	 	 	 	 	 
51040	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51040	2	0	4	 	-88	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51040	3	0	4	 	49	 	1	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51040	4	0	4	 	45	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51040	5	0	4	 	42	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51040	6	0	4	 	34	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51040	7	0	4	 	19	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51040	17	0	4	 	17	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51040	18	0	4	 	26	 	1	24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51040	19	0	4	 	6	 	1	27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51040	20	 	1	 	23	 	1	24	 	2	3	0	98	98	1	12	0	 	 	 	 	 	 
51040	21	 	1	 	0	0	2	27	 	3	 	 	0	20	 	 	 	 	 	 	 	 	 
51041	0	 	1	 	22	 	2	0	 	3	6	0	2	1	1	14	0	 	 	 	 	 	 
51041	1	 	1	 	48	 	1	1	 	1	3	0	98	98	1	5	0	 	 	 	 	 	 
51041	2	 	1	 	47	 	2	1	 	2	3	0	98	98	1	4	0	 	 	 	 	 	 
51041	3	 	1	 	10	 	1	7	 	3	 	0	98	1	 	 	 	1	4	1	3	 	 
51042	0	 	1	 	23	 	1	0	 	3	6	0	2	1	1	12	0	 	 	 	 	 	 
51042	1	 	1	 	51	 	1	1	 	1	3	0	98	98	1	9	0	 	 	 	 	 	 
51042	2	 	1	 	45	 	2	1	1	2	3	0	98	98	1	2	0	 	 	 	 	 	 
51042	3	 	3	2016	20	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51043	0	1	1	 	22	 	1	0	 	1	6	0	98	98	1	12	1	 	 	 	 	 	 
51043	1	0	4	 	57	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51043	2	0	4	 	55	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51043	17	0	4	 	16	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51044	0	1	1	 	21	 	2	0	 	2	3	0	98	98	1	8	0	 	 	 	 	 	 
51044	1	0	3	2012	-88	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51044	2	0	4	 	60	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51044	3	0	4	 	59	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51044	4	0	4	 	37	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51044	5	0	4	 	33	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51044	6	0	4	 	30	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51044	7	0	4	 	28	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51044	8	0	4	 	4	 	2	27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51044	9	 	1	 	27	 	1	24	 	1	3	0	98	98	1	5	0	 	 	 	 	 	 
51044	10	 	1	 	2	 	2	27	 	3	 	 	0	9	 	 	 	 	 	 	 	 	 
51045	0	1	1	 	23	 	1	0	 	1	6	0	98	98	1	12	1	 	 	 	 	 	 
51045	1	0	4	 	46	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51045	2	0	4	 	45	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51045	17	0	4	 	18	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51046	0	1	1	 	22	 	1	0	 	1	6	0	98	98	1	8	0	 	 	 	 	 	 
