CHILDCODE	ASSTIDR5	ASSETR5	TOTASSR5	ASACTR5	NMOWNR5	VLASTR5
41028	1	 	 	 	 	 
41028	2	 	 	 	 	 
41028	3	 	 	 	 	 
41030	1	 	 	 	 	 
41030	2	 	 	 	 	 
41030	3	 	 	 	 	 
41031	1	30	1	30	1	100000
41031	2	40	1	30	1	25000
41031	3	40	1	30	1	20000
41032	1	30	1	30	1	300000
41032	2	40	1	30	1	120000
41032	3	40	20	26	20	6000
41034	1	30	1	30	1	40000
41034	2	40	1	30	1	30000
41034	3	88	 	 	 	 
41036	1	 	 	 	 	 
41036	2	 	 	 	 	 
41036	3	 	 	 	 	 
41037	1	40	2	30	2	6000
41037	2	30	1	30	1	5000
41037	3	40	500	12	500	2000
41038	1	 	 	 	 	 
41038	2	 	 	 	 	 
41038	3	 	 	 	 	 
41039	1	30	1	30	1	25000
41039	2	40	20	30	20	30000
41039	3	88	 	 	 	 
41041	1	30	1	30	1	40000
41041	2	40	3	30	3	40000
41041	3	40	3	26	3	20000
41042	1	30	1	30	1	15000
41042	2	14	1	9	1	7000
41042	3	40	1	30	1	3000
41043	1	 	 	 	 	 
41043	2	 	 	 	 	 
41043	3	 	 	 	 	 
41046	1	40	1	30	1	10000
41046	2	88	 	 	 	 
41046	3	88	 	 	 	 
41047	1	 	 	 	 	 
41047	2	 	 	 	 	 
41047	3	 	 	 	 	 
41049	1	88	 	 	 	 
41049	2	88	 	 	 	 
41049	3	88	 	 	 	 
41050	1	30	1	30	1	70000
41050	2	40	1	26	1	7000
41050	3	24	1	23	1	1000
41059	1	1	4	11	4	360
41059	2	88	 	 	 	 
41059	3	88	 	 	 	 
41092	1	30	1	30	1	30000
41092	2	40	5	30	5	15000
41092	3	40	10	30	10	10000
41106	1	 	 	 	 	 
41106	2	 	 	 	 	 
41106	3	 	 	 	 	 
41109	1	 	 	 	 	 
41109	2	 	 	 	 	 
41109	3	 	 	 	 	 
41110	1	 	 	 	 	 
41110	2	 	 	 	 	 
41110	3	 	 	 	 	 
41114	1	40	2	26	2	15000
41114	2	40	7	26	7	10000
41114	3	5	1	26	1	3000
41130	1	 	 	 	 	 
41130	2	 	 	 	 	 
41130	3	 	 	 	 	 
51002	1	 	 	 	 	 
51002	2	 	 	 	 	 
51002	3	 	 	 	 	 
51003	1	 	 	 	 	 
51003	2	 	 	 	 	 
51003	3	 	 	 	 	 
51004	1	 	 	 	 	 
51004	2	 	 	 	 	 
51004	3	 	 	 	 	 
51005	1	 	 	 	 	 
51005	2	 	 	 	 	 
51005	3	 	 	 	 	 
51006	1	 	 	 	 	 
51006	2	 	 	 	 	 
51006	3	 	 	 	 	 
51008	1	 	 	 	 	 
51008	2	 	 	 	 	 
51008	3	 	 	 	 	 
51009	1	 	 	 	 	 
51009	2	 	 	 	 	 
51009	3	 	 	 	 	 
51010	1	 	 	 	 	 
51010	2	 	 	 	 	 
51010	3	 	 	 	 	 
51011	1	15	25	23	25	2000
51011	2	88	 	 	 	 
51011	3	88	 	 	 	 
51013	1	 	 	 	 	 
51013	2	 	 	 	 	 
51013	3	 	 	 	 	 
51015	1	 	 	 	 	 
51015	2	 	 	 	 	 
51015	3	 	 	 	 	 
51016	1	 	 	 	 	 
51016	2	 	 	 	 	 
51016	3	 	 	 	 	 
51017	1	 	 	 	 	 
51017	2	 	 	 	 	 
51017	3	 	 	 	 	 
51018	1	5	8	26	8	8000
51018	2	40	10	26	10	15000
51018	3	88	 	 	 	 
51019	1	 	 	 	 	 
51019	2	 	 	 	 	 
51019	3	 	 	 	 	 
51020	1	 	 	 	 	 
51020	2	 	 	 	 	 
51020	3	 	 	 	 	 
51022	1	 	 	 	 	 
51022	2	 	 	 	 	 
51022	3	 	 	 	 	 
51023	1	 	 	 	 	 
51023	2	 	 	 	 	 
51023	3	 	 	 	 	 
51024	1	 	 	 	 	 
51024	2	 	 	 	 	 
51024	3	 	 	 	 	 
51025	1	 	 	 	 	 
51025	2	 	 	 	 	 
51025	3	 	 	 	 	 
51026	1	 	 	 	 	 
51026	2	 	 	 	 	 
51026	3	 	 	 	 	 
51028	1	 	 	 	 	 
51028	2	 	 	 	 	 
51028	3	 	 	 	 	 
51029	1	40	1	26	1	2500
51029	2	40	1	26	1	1800
51029	3	1	2	11	2	20
51031	1	 	 	 	 	 
51031	2	 	 	 	 	 
51031	3	 	 	 	 	 
51032	1	 	 	 	 	 
51032	2	 	 	 	 	 
51032	3	 	 	 	 	 
51033	1	 	 	 	 	 
51033	2	 	 	 	 	 
51033	3	 	 	 	 	 
51034	1	 	 	 	 	 
51034	2	 	 	 	 	 
51034	3	 	 	 	 	 
51035	1	5	6	11	6	6000
51035	2	3	2	11	2	1000
51035	3	1	100	11	100	10000
51036	1	 	 	 	 	 
51036	2	 	 	 	 	 
51036	3	 	 	 	 	 
51037	1	5	1	11	1	1000
51037	2	3	1	11	1	500
51037	3	1	6	11	6	300
51038	1	 	 	 	 	 
51038	2	 	 	 	 	 
51038	3	 	 	 	 	 
51039	1	 	 	 	 	 
51039	2	 	 	 	 	 
51039	3	 	 	 	 	 
51040	1	 	 	 	 	 
51040	2	 	 	 	 	 
51040	3	 	 	 	 	 
51041	1	3	1	11	1	1000
51041	2	1	5	11	5	500
51041	3	88	 	 	 	 
51042	1	 	 	 	 	 
51042	2	 	 	 	 	 
51042	3	 	 	 	 	 
51043	1	 	 	 	 	 
51043	2	 	 	 	 	 
51043	3	 	 	 	 	 
51044	1	 	 	 	 	 
51044	2	 	 	 	 	 
51044	3	 	 	 	 	 
51045	1	 	 	 	 	 
51045	2	 	 	 	 	 
51045	3	 	 	 	 	 
51046	1	 	 	 	 	 
51046	2	 	 	 	 	 
51046	3	 	 	 	 	 
51047	1	3	1	11	1	1000
51047	2	3	1	11	1	800
51047	3	1	4	11	4	300
51048	1	 	 	 	 	 
51048	2	 	 	 	 	 
51048	3	 	 	 	 	 
51049	1	 	 	 	 	 
51049	2	 	 	 	 	 
51049	3	 	 	 	 	 
51057	1	 	 	 	 	 
51057	2	 	 	 	 	 
51057	3	 	 	 	 	 
51070	1	 	 	 	 	 
51070	2	 	 	 	 	 
51070	3	 	 	 	 	 
61001	1	 	 	 	 	 
61001	2	 	 	 	 	 
61001	3	 	 	 	 	 
61003	1	1	4	11	4	200
61003	2	88	 	 	 	 
61003	3	88	 	 	 	 
61004	1	 	 	 	 	 
61004	2	 	 	 	 	 
61004	3	 	 	 	 	 
61006	1	 	 	 	 	 
61006	2	 	 	 	 	 
61006	3	 	 	 	 	 
61008	1	 	 	 	 	 
61008	2	 	 	 	 	 
61008	3	 	 	 	 	 
61009	1	 	 	 	 	 
61009	2	 	 	 	 	 
61009	3	 	 	 	 	 
61011	1	 	 	 	 	 
61011	2	 	 	 	 	 
61011	3	 	 	 	 	 
61012	1	 	 	 	 	 
