CHILDCODE	NONFODR4	SPYRR4
21036	1	500
21036	2	500
21036	3	0
21036	4	0
21036	5	100
21036	6	40
21036	7	0
21036	8	0
21036	17	50
21036	18	200
21036	19	0
21036	20	20
21036	32	400
21037	1	500
21037	2	500
21037	3	0
21037	4	200
21037	5	60
21037	6	30
21037	7	0
21037	8	40
21037	17	800
21037	18	2500
21037	19	0
21037	20	0
21037	32	0
21038	1	600
21038	2	400
21038	3	0
21038	4	300
21038	5	150
21038	6	50
21038	7	0
21038	8	50
21038	17	700
21038	18	300
21038	19	0
21038	20	30
21038	32	290
21039	1	2000
21039	2	1500
21039	3	0
21039	4	2000
21039	5	1000
21039	6	1000
21039	7	0
21039	8	800
21039	17	200
21039	18	1200
21039	19	0
21039	20	200
21039	32	560
21041	1	1500
21041	2	0
21041	3	0
21041	4	0
21041	5	500
21041	6	0
21041	7	0
21041	8	0
21041	17	600
21041	18	1800
21041	19	0
21041	20	600
21041	32	0
21042	1	500
21042	2	1400
21042	3	0
21042	4	400
21042	5	200
21042	6	170
21042	7	0
21042	8	150
21042	17	0
21042	18	0
21042	19	0
21042	20	0
21042	32	510
21044	1	1100
21044	2	2300
21044	3	940
21044	4	0
21044	5	200
21044	6	450
21044	7	180
21044	8	0
21044	17	1500
21044	18	120
21044	19	0
21044	20	0
21044	32	0
21046	1	0
21046	2	0
21046	3	0
21046	4	0
21046	5	0
21046	6	0
21046	7	0
21046	8	0
21046	17	80
21046	18	520
21046	19	0
21046	20	0
21046	32	0
21047	1	1500
21047	2	1500
21047	3	0
21047	4	0
21047	5	400
21047	6	300
21047	7	0
21047	8	0
21047	17	2000
21047	18	1200
21047	19	0
21047	20	120
21047	32	290
21048	1	1100
21048	2	3090
21048	3	0
21048	4	0
21048	5	230
21048	6	530
21048	7	0
21048	8	0
21048	17	4500
21048	18	2000
21048	19	0
21048	20	0
21048	32	1300
21049	1	2000
21049	2	2000
21049	3	0
21049	4	500
21049	5	300
21049	6	400
21049	7	0
21049	8	0
21049	17	0
21049	18	100
21049	19	0
21049	20	0
21049	32	290
21056	1	450
21056	2	0
21056	3	0
21056	4	0
21056	5	0
21056	6	22
21056	7	0
21056	8	0
21056	17	0
21056	18	0
21056	19	0
21056	20	0
21056	32	0
21069	1	0
21069	2	4500
21069	3	0
21069	4	0
21069	5	100
21069	6	1500
21069	7	0
21069	8	0
21069	17	1000
21069	18	6000
21069	19	1000
21069	20	0
21069	32	600
21072	1	0
21072	2	200
21072	3	0
21072	4	400
21072	5	100
21072	6	50
21072	7	0
21072	8	200
21072	17	1100
21072	18	10000
21072	19	0
21072	20	1200
21072	32	520
21083	1	200
21083	2	500
21083	3	0
21083	4	300
21083	5	100
21083	6	250
21083	7	0
21083	8	120
21083	17	250
21083	18	300
21083	19	0
21083	20	0
21083	32	290
21090	1	1620
21090	2	1160
21090	3	1200
21090	4	1010
21090	5	450
21090	6	570
21090	7	0
21090	8	240
21090	17	1600
21090	18	120
21090	19	0
21090	20	0
21090	32	790
21094	1	300
21094	2	300
21094	3	0
21094	4	0
21094	5	50
21094	6	50
21094	7	0
21094	8	0
21094	17	2400
21094	18	5000
21094	19	0
21094	20	3000
21094	32	1000
31001	1	0
31001	2	1000
31001	3	0
31001	4	175
31001	5	0
31001	6	300
31001	7	0
31001	8	100
31001	17	0
31001	18	0
31001	19	0
31001	20	0
31001	32	390
31002	1	2000
31002	2	2000
31002	3	0
31002	4	0
31002	5	400
31002	6	500
31002	7	0
31002	8	0
31002	17	0
31002	18	250
31002	19	0
31002	20	0
31002	32	-77
31004	1	200
31004	2	200
31004	3	200
31004	4	0
31004	5	150
31004	6	150
31004	7	100
31004	8	0
31004	17	0
31004	18	0
31004	19	0
31004	20	0
31004	32	0
31005	1	2000
31005	2	500
31005	3	0
31005	4	400
31005	5	600
31005	6	150
31005	7	0
31005	8	120
31005	17	0
31005	18	100
31005	19	0
31005	20	0
31005	32	-77
31006	1	1500
31006	2	2000
31006	3	0
31006	4	500
31006	5	300
31006	6	400
31006	7	0
31006	8	100
31006	17	0
31006	18	0
31006	19	0
31006	20	0
31006	32	360
31007	1	1000
31007	2	800
31007	3	2000
31007	4	0
31007	5	250
31007	6	250
31007	7	300
31007	8	0
31007	17	0
31007	18	0
31007	19	0
31007	20	0
31007	32	0
31008	1	1000
31008	2	400
31008	3	0
31008	4	700
31008	5	300
31008	6	100
31008	7	0
31008	8	400
31008	17	0
31008	18	500
31008	19	0
31008	20	0
31008	32	0
31010	1	2000
31010	2	2000
31010	3	0
31010	4	0
31010	5	0
31010	6	0
31010	7	0
31010	8	0
31010	17	2000
31010	18	1000
31010	19	0
31010	20	0
31010	32	0
31011	1	3000
31011	2	1000
31011	3	0
31011	4	0
31011	5	1000
31011	6	500
31011	7	0
31011	8	0
31011	17	300
31011	18	500
31011	19	0
31011	20	0
31011	32	3000
31012	1	600
31012	2	600
31012	3	0
31012	4	0
31012	5	100
31012	6	300
31012	7	0
31012	8	0
31012	17	1000
31012	18	500
31012	19	200
31012	20	0
31012	32	0
31013	1	150
31013	2	200
31013	3	200
31013	4	150
31013	5	100
31013	6	100
31013	7	100
31013	8	100
31013	17	0
31013	18	0
31013	19	0
31013	20	0
31013	32	0
31018	1	500
31018	2	500
31018	3	200
31018	4	0
31018	5	100
31018	6	-77
31018	7	0
31018	8	0
31018	17	200
31018	18	200
31018	19	0
31018	20	0
31018	32	0
31020	1	1500
31020	2	360
31020	3	0
31020	4	0
31020	5	200
31020	6	50
31020	7	0
31020	8	0
31020	17	2900
31020	18	50
31020	19	0
31020	20	0
31020	32	0
31021	1	500
31021	2	500
31021	3	0
31021	4	0
31021	5	200
31021	6	300
31021	7	0
31021	8	0
31021	17	0
31021	18	0
31021	19	0
31021	20	0
31021	32	0
31023	1	1500
31023	2	300
31023	3	0
31023	4	0
31023	5	800
31023	6	200
31023	7	0
31023	8	0
31023	17	0
31023	18	0
31023	19	0
31023	20	0
31023	32	0
31024	1	500
31024	2	-77
31024	3	0
31024	4	500
31024	5	300
31024	6	-77
31024	7	0
31024	8	-77
31024	17	-77
31024	18	-77
31024	19	0
31024	20	-77
31024	32	0
31025	1	200
31025	2	220
31025	3	600
31025	4	200
31025	5	100
31025	6	80
31025	7	120
31025	8	40
31025	17	0
31025	18	130
31025	19	0
31025	20	0
31025	32	0
31027	1	500
31027	2	500
31027	3	0
31027	4	200
31027	5	0
31027	6	0
31027	7	0
31027	8	0
31027	17	0
31027	18	100
31027	19	0
31027	20	0
31027	32	0
31028	1	150
31028	2	350
31028	3	0
31028	4	0
31028	5	50
31028	6	70
31028	7	0
31028	8	0
31028	17	300
31028	18	500
31028	19	0
31028	20	0
31028	32	0
31029	1	200
31029	2	1000
31029	3	100
31029	4	0
31029	5	50
31029	6	200
31029	7	20
31029	8	0
31029	17	0
31029	18	200
31029	19	0
31029	20	0
31029	32	0
31031	1	600
31031	2	1000
31031	3	0
31031	4	500
31031	5	300
31031	6	300
31031	7	0
31031	8	0
31031	17	400
31031	18	5000
31031	19	0
31031	20	0
31031	32	0
31032	1	2000
31032	2	-77
31032	3	0
31032	4	1000
31032	5	500
31032	6	-77
31032	7	0
31032	8	500
31032	17	0
31032	18	300
31032	19	0
31032	20	0
31032	32	-77
31035	1	600
31035	2	700
31035	3	200
31035	4	0
31035	5	200
31035	6	200
31035	7	80
31035	8	0
31035	17	0
31035	18	300
31035	19	0
31035	20	0
31035	32	0
31036	1	1000
31036	2	1000
31036	3	0
31036	4	500
31036	5	500
31036	6	0
31036	7	0
31036	8	200
31036	17	15000
31036	18	-77
31036	19	1000
31036	20	0
31036	32	-77
31037	1	2000
31037	2	2000
31037	3	0
31037	4	0
31037	5	1000
31037	6	1000
31037	7	0
31037	8	0
31037	17	0
31037	18	0
31037	19	0
31037	20	0
31037	32	0
31038	1	0
31038	2	0
31038	3	1400
31038	4	1400
31038	5	0
31038	6	0
31038	7	300
31038	8	300
31038	17	0
31038	18	0
31038	19	0
31038	20	0
31038	32	880
31039	1	0
31039	2	400
31039	3	0
31039	4	0
31039	5	150
31039	6	150
31039	7	0
31039	8	0
31039	17	9000
31039	18	0
31039	19	0
31039	20	0
31039	32	0
31040	1	0
31040	2	0
31040	3	0
31040	4	0
31040	5	0
31040	6	0
31040	7	0
31040	8	0
31040	17	3000
31040	18	2400
31040	19	200
31040	20	0
31040	32	560
31041	1	500
31041	2	2000
31041	3	0
31041	4	0
31041	5	200
31041	6	400
31041	7	0
31041	8	0
31041	17	35000
31041	18	0
31041	19	0
31041	20	0
31041	32	1200
31043	1	400
31043	2	200
31043	3	0
31043	4	0
31043	5	200
31043	6	150
31043	7	0
31043	8	0
31043	17	0
31043	18	500
31043	19	0
31043	20	0
31043	32	0
31044	1	2000
31044	2	200
31044	3	400
31044	4	0
31044	5	530
31044	6	360
31044	7	200
31044	8	0
31044	17	0
31044	18	0
31044	19	0
31044	20	0
31044	32	1684
31045	1	1000
31045	2	1000
31045	3	0
31045	4	1000
31045	5	500
31045	6	500
31045	7	0
31045	8	500
31045	17	15000
31045	18	5000
31045	19	0
31045	20	0
31045	32	290
31046	1	2000
31046	2	4000
31046	3	1000
31046	4	0
31046	5	500
31046	6	1500
31046	7	200
31046	8	0
31046	17	7000
31046	18	2400
31046	19	1000
31046	20	0
31046	32	1500
31048	1	0
31048	2	2000
31048	3	0
31048	4	0
31048	5	500
31048	6	200
31048	7	0
31048	8	0
31048	17	480
31048	18	3000
31048	19	500
31048	20	0
31048	32	0
31049	1	1500
31049	2	500
31049	3	0
31049	4	0
31049	5	700
31049	6	200
31049	7	0
31049	8	0
31049	17	0
31049	18	0
31049	19	0
31049	20	0
31049	32	-77
31050	1	4000
31050	2	2000
31050	3	0
31050	4	0
31050	5	1000
31050	6	400
31050	7	0
31050	8	0
31050	17	300
31050	18	300
31050	19	0
31050	20	0
31050	32	0
31052	1	7000
31052	2	2000
31052	3	5000
31052	4	0
31052	5	300
31052	6	400
31052	7	0
31052	8	0
31052	17	300
31052	18	500
31052	19	3000
31052	20	400
31052	32	0
31058	1	200
31058	2	1000
31058	3	0
31058	4	0
31058	5	0
31058	6	200
31058	7	0
31058	8	0
31058	17	1000
31058	18	500
31058	19	400
31058	20	0
31058	32	560
31059	1	300
31059	2	300
31059	3	0
31059	4	300
31059	5	100
31059	6	100
31059	7	0
31059	8	100
31059	17	700
31059	18	200
31059	19	0
31059	20	0
31059	32	0
31060	1	1500
31060	2	500
31060	3	0
31060	4	500
31060	5	300
31060	6	100
31060	7	0
31060	8	100
31060	17	300
31060	18	200
31060	19	0
31060	20	0
31060	32	0
31079	1	450
31079	2	90
31079	3	0
31079	4	0
31079	5	50
31079	6	0
31079	7	0
31079	8	0
31079	17	3000
31079	18	2000
31079	19	1500
31079	20	0
31079	32	0
31096	1	1000
31096	2	1000
31096	3	0
31096	4	0
31096	5	300
31096	6	500
31096	7	0
31096	8	0
31096	17	500
31096	18	500
31096	19	0
31096	20	0
31096	32	0
31098	1	400
31098	2	500
31098	3	300
31098	4	0
31098	5	80
31098	6	100
31098	7	70
31098	8	0
31098	17	400
31098	18	0
31098	19	0
31098	20	0
31098	32	0
31108	1	250
31108	2	300
31108	3	1000
31108	4	0
31108	5	80
31108	6	100
31108	7	200
31108	8	0
31108	17	0
31108	18	200
31108	19	0
31108	20	0
31108	32	0
31134	1	1000
31134	2	800
31134	3	300
31134	4	0
31134	5	500
31134	6	300
31134	7	150
31134	8	0
31134	17	0
31134	18	0
31134	19	0
31134	20	0
31134	32	780
41001	1	3000
41001	2	1000
41001	3	0
41001	4	1000
41001	5	300
41001	6	500
41001	7	0
41001	8	200
41001	17	200
41001	18	500
41001	19	0
41001	20	0
41001	32	290
41002	1	200
41002	2	1500
41002	3	200
41002	4	0
41002	5	100
41002	6	500
41002	7	0
41002	8	0
41002	17	300
41002	18	700
41002	19	0
41002	20	0
41002	32	0
41003	1	3000
41003	2	2000
41003	3	0
41003	4	0
41003	5	1000
41003	6	400
41003	7	0
41003	8	0
41003	17	25000
41003	18	400
41003	19	0
41003	20	5000
41003	32	0
41004	1	0
41004	2	670
41004	3	210
41004	4	180
41004	5	0
41004	6	420
41004	7	100
41004	8	110
41004	17	0
41004	18	90
41004	19	0
41004	20	0
41004	32	0
41005	1	350
41005	2	0
41005	3	0
41005	4	0
41005	5	130
41005	6	0
41005	7	0
41005	8	0
41005	17	0
41005	18	160
41005	19	0
41005	20	0
41005	32	0
41006	1	1500
41006	2	400
41006	3	0
41006	4	400
41006	5	600
41006	6	300
41006	7	0
41006	8	200
41006	17	0
41006	18	1000
41006	19	0
41006	20	0
41006	32	0
41007	1	4000
41007	2	1000
41007	3	0
41007	4	1000
41007	5	200
41007	6	100
41007	7	0
41007	8	100
41007	17	1500
41007	18	2000
41007	19	0
41007	20	0
41007	32	0
41009	1	1950
41009	2	2050
41009	3	0
41009	4	0
41009	5	960
41009	6	740
41009	7	0
41009	8	0
41009	17	0
41009	18	230
41009	19	0
41009	20	0
41009	32	0
41010	1	4000
41010	2	500
41010	3	0
41010	4	0
41010	5	2000
41010	6	200
41010	7	0
41010	8	0
41010	17	2000
41010	18	2000
41010	19	0
41010	20	0
41010	32	1000
41011	1	270
41011	2	0
41011	3	0
41011	4	0
41011	5	0
41011	6	50
41011	7	0
41011	8	0
41011	17	0
41011	18	120
41011	19	0
41011	20	0
41011	32	0
