CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	THSCOMR4	LIVHSER4	YRDIEDR4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	STLL18R4	EDCH18R4	HSSTRTR4	GRADER4	STILLR4	TYPATDR4	WHYNOTR4	AGEGRDR4	EDCH17R4	MEMCNSR4
11018	3	13	17	 	2	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	7	0	 	1	13	0	N
11018	4	6	10	 	2	7	7	 	1	 	3	 	0	2	1	 	 	 	 	1	4	1	3	 	 	1	N
11019	0	14	18	 	2	0	0	1	2	 	3	6	0	3	2	 	 	 	 	1	14	1	3	 	 	1	 
11019	1	72	-88	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	2	46	51	 	1	1	1	 	1	 	1	3	0	98	98	1	14	0	0	 	 	 	 	 	 	 	N
11019	3	42	46	 	2	1	1	 	1	 	2	3	0	98	98	1	14	0	0	 	 	 	 	 	 	 	N
11019	4	19	23	 	2	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	5	17	21	 	2	7	7	 	1	 	3	6	0	3	2	1	13	0	1	 	 	 	 	 	 	 	N
11019	6	12	16	 	1	7	7	 	1	 	3	6	0	3	2	 	 	 	 	1	10	1	3	 	 	1	N
11020	0	15	19	 	2	0	0	1	1	 	3	6	0	2	1	1	12	1	1	 	 	 	 	 	 	 	Y
11020	1	46	50	 	1	1	1	 	1	 	1	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
11020	2	46	50	 	2	1	1	 	1	 	2	1	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
11020	3	26	30	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11020	4	24	27	 	1	7	7	 	1	 	3	3	0	2	1	1	12	0	0	 	 	 	 	 	 	 	N
11020	5	 	27	 	2	 	16	 	1	 	4	3	0	98	98	1	12	0	 	 	 	 	 	 	 	 	N
11020	6	 	3	 	2	 	15	 	1	 	5	 	 	5	4	 	 	 	 	 	 	 	 	 	 	 	N
11021	0	15	19	 	2	0	0	0	2	 	3	6	0	2	1	 	 	 	 	1	12	1	3	 	 	1	 
11021	1	37	41	 	1	1	1	 	1	 	1	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
11021	2	37	41	 	2	1	1	0	1	 	2	3	0	98	98	1	8	0	0	 	 	 	 	 	 	 	N
11021	17	11	15	 	1	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	8	1	3	 	 	1	N
11022	0	14	18	 	1	0	0	1	1	 	3	6	0	2	1	1	12	1	1	 	 	 	 	 	 	 	Y
11022	1	48	52	 	1	1	1	 	1	 	1	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
11022	2	49	53	 	2	1	1	 	1	 	2	3	0	98	98	1	7	0	0	 	 	 	 	 	 	 	N
11022	3	26	30	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11022	4	24	28	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11022	5	22	26	 	1	7	7	 	1	 	3	6	0	2	1	1	12	0	0	 	 	 	 	 	 	 	N
11024	0	14	19	 	2	0	0	0	1	 	3	6	0	2	1	1	9	0	1	 	 	 	 	 	 	 	N
11024	1	64	68	 	1	1	1	 	1	 	1	3	0	98	98	1	3	0	0	 	 	 	 	 	 	 	N
11024	2	59	63	 	2	1	1	0	1	 	2	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
11024	3	32	36	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	4	25	29	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	5	20	24	 	1	7	7	 	1	 	3	6	0	2	1	1	9	0	0	 	 	 	 	 	 	 	N
11025	0	14	18	 	2	0	0	1	1	 	3	6	0	1	2	1	12	1	1	 	 	 	 	 	 	 	Y
11025	1	50	54	 	2	1	1	 	1	 	2	3	0	98	98	1	2	0	0	 	 	 	 	 	 	 	N
11025	2	44	48	 	1	1	1	 	1	 	1	3	0	98	98	1	4	0	0	 	 	 	 	 	 	 	N
11025	3	25	29	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11025	4	18	22	 	1	7	7	 	1	 	3	6	0	1	2	1	10	0	0	 	 	 	 	 	 	 	N
11025	5	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11026	0	15	19	 	2	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	8	0	 	 	 	0	 
11026	1	51	55	 	1	1	1	 	1	 	1	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	Y
11026	2	49	53	 	2	1	1	1	1	 	2	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
11026	3	23	27	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	4	21	25	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
