CHILDCODE	IMEVIDR4	RKEVR4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4
61006	1	88	 	 	 	 
61006	2	88	 	 	 	 
61006	3	88	 	 	 	 
61009	1	45	 	3	 	 
61009	2	88	 	 	 	 
61009	3	88	 	 	 	 
61011	1	88	 	 	 	 
61011	2	88	 	 	 	 
61011	3	88	 	 	 	 
61012	1	29	2	2	 	 
61012	2	16	2	2	 	 
61012	3	47	1	1	 	 
61013	1	88	 	 	 	 
61013	2	88	 	 	 	 
61013	3	88	 	 	 	 
61014	1	88	 	 	 	 
61014	2	88	 	 	 	 
61014	3	88	 	 	 	 
61015	1	31	 	2	3	 
61015	2	13	 	2	2	 
61015	3	88	 	 	 	 
61016	1	37	 	 	1	 
61016	2	39	 	2	 	 
61016	3	88	 	 	 	 
61017	1	88	 	 	 	 
61017	2	88	 	 	 	 
61017	3	88	 	 	 	 
61018	1	88	 	 	 	 
61018	2	88	 	 	 	 
61018	3	88	 	 	 	 
61019	1	88	 	 	 	 
61019	2	88	 	 	 	 
61019	3	88	 	 	 	 
61020	1	88	 	 	 	 
61020	2	88	 	 	 	 
61020	3	88	 	 	 	 
61021	1	45	 	3	 	 
61021	2	88	 	 	 	 
61021	3	88	 	 	 	 
61023	1	39	3	 	 	 
61023	2	88	 	 	 	 
61023	3	88	 	 	 	 
61024	1	16	2	2	 	 
61024	2	88	 	 	 	 
61024	3	88	 	 	 	 
61025	1	88	 	 	 	 
61025	2	88	 	 	 	 
61025	3	88	 	 	 	 
61026	1	88	 	 	 	 
61026	2	88	 	 	 	 
61026	3	88	 	 	 	 
61028	1	88	 	 	 	 
61028	2	88	 	 	 	 
61028	3	88	 	 	 	 
61029	1	1	 	 	 	2
61029	2	88	 	 	 	 
61029	3	88	 	 	 	 
61030	1	88	 	 	 	 
61030	2	88	 	 	 	 
61030	3	88	 	 	 	 
61031	1	88	 	 	 	 
61031	2	88	 	 	 	 
61031	3	88	 	 	 	 
61032	1	31	 	 	4	 
61032	2	88	 	 	 	 
61032	3	88	 	 	 	 
61033	1	88	 	 	 	 
61033	2	88	 	 	 	 
61033	3	88	 	 	 	 
61034	1	88	 	 	 	 
61034	2	88	 	 	 	 
61034	3	88	 	 	 	 
61035	1	88	 	 	 	 
61035	2	88	 	 	 	 
61035	3	88	 	 	 	 
61036	1	88	 	 	 	 
61036	2	88	 	 	 	 
61036	3	88	 	 	 	 
61037	1	37	 	 	2	 
61037	2	88	 	 	 	 
61037	3	88	 	 	 	 
61038	1	14	 	 	 	1
61038	2	88	 	 	 	 
61038	3	88	 	 	 	 
61039	1	88	 	 	 	 
61039	2	88	 	 	 	 
61039	3	88	 	 	 	 
61040	1	88	 	 	 	 
61040	2	88	 	 	 	 
61040	3	88	 	 	 	 
61041	1	29	 	 	2	 
61041	2	38	 	 	1	 
61041	3	88	 	 	 	 
61042	1	88	 	 	 	 
61042	2	88	 	 	 	 
61042	3	88	 	 	 	 
61043	1	88	 	 	 	 
61043	2	88	 	 	 	 
61043	3	88	 	 	 	 
61044	1	45	 	4	4	 
61044	2	88	 	 	 	 
61044	3	88	 	 	 	 
61046	1	39	 	 	 	1
61046	2	45	 	 	 	2
61046	3	88	 	 	 	 
61047	1	88	 	 	 	 
61047	2	88	 	 	 	 
61047	3	88	 	 	 	 
61048	1	13	2	 	 	 
61048	2	88	 	 	 	 
61048	3	88	 	 	 	 
61049	1	88	 	 	 	 
61049	2	88	 	 	 	 
61049	3	88	 	 	 	 
61050	1	16	 	 	 	1
61050	2	88	 	 	 	 
61050	3	88	 	 	 	 
61052	1	88	 	 	 	 
61052	2	88	 	 	 	 
61052	3	88	 	 	 	 
61055	1	1	 	 	 	2
61055	2	37	 	 	2	 
61055	3	88	 	 	 	 
61056	1	88	 	 	 	 
61056	2	88	 	 	 	 
61056	3	88	 	 	 	 
61057	1	29	 	 	3	 
61057	2	88	 	 	 	 
61057	3	88	 	 	 	 
61076	1	88	 	 	 	 
61076	2	88	 	 	 	 
61076	3	88	 	 	 	 
61079	1	88	 	 	 	 
61079	2	88	 	 	 	 
61079	3	88	 	 	 	 
61104	1	14	 	 	 	1
61104	2	41	 	 	2	 
61104	3	38	 	 	 	1
71001	1	88	 	 	 	 
71001	2	88	 	 	 	 
71001	3	88	 	 	 	 
71002	1	37	2	2	2	2
71002	2	38	 	 	 	4
71002	3	88	 	 	 	 
71003	1	37	4	 	 	 
71003	2	39	 	 	 	3
71003	3	88	 	 	 	 
71004	1	88	 	 	 	 
71004	2	88	 	 	 	 
71004	3	88	 	 	 	 
71005	1	14	 	 	 	2
71005	2	29	 	 	2	 
71005	3	88	 	 	 	 
71006	1	88	 	 	 	 
71006	2	88	 	 	 	 
71006	3	88	 	 	 	 
71007	1	13	 	1	1	 
71007	2	88	 	 	 	 
71007	3	88	 	 	 	 
71008	1	10	1	1	1	1
71008	2	13	 	 	1	 
71008	3	88	 	 	 	 
71009	1	12	 	 	 	1
71009	2	47	 	1	1	1
