FORMNO	CHILDID	SASSID	SASSET	NUMSRNT	NUMSASS	VALSASS	DECSASS
R2INDX	ET120025	1	2	0	2	1300	80
R2INDX	ET120026	1	23	0	5	50	80
R2INDX	ET120026	2	26	0	3	10	80
R2INDX	ET120026	3	25	0	1	650	80
R2INDX	ET120027	1	23	0	1	11	2
R2INDX	ET120028	1	30	0	2	3	2
R2INDX	ET120029	1	30	0	2	10	4
R2INDX	ET120029	2	30	0	2	10	5
R2INDX	ET120031	1	15	0	2	8	19
R2INDX	ET120034	1	23	0	8	32	80
R2INDX	ET120037	1	30	2	2	21.5	2
R2INDX	ET120040	1	1	4	1	5	1
R2INDX	ET120041	1	25	1	0	-88	90
R2INDX	ET120041	2	23	0	2	15	80
R2INDX	ET120044	1	12	0	2	2	1
R2INDX	ET120044	2	12	0	1	1	1
R2INDX	ET120045	1	1	0	1	4	2
R2INDX	ET120052	1	1	8	8	30	80
R2INDX	ET120052	2	4	1	1	10	80
R2INDX	ET120053	1	1	2	2	13	80
R2INDX	ET120054	1	15	0	10	40	80
R2INDX	ET120055	1	30	0	4	11.5	2
R2INDX	ET120056	1	23	0	5	20	80
R2INDX	ET120058	1	1	0	3	30	80
R2INDX	ET120059	1	23	0	3	140	2
R2INDX	ET120060	1	23	1	0	-88	90
R2INDX	ET120061	1	23	0	2	10	1
R2INDX	ET120062	1	23	0	5	25	2
R2INDX	ET120063	1	30	0	2	30	2
R2INDX	ET120065	1	30	0	2	3	2
R2INDX	ET120066	1	1	0	3	28	1
R2INDX	ET120068	1	1	0	3	6	1
R2INDX	ET120070	1	23	0	2	10	2
R2INDX	ET120072	1	23	0	1	23	2
R2INDX	ET120074	1	15	0	9	37	2
R2INDX	ET120075	1	1	0	2	305	1
R2INDX	ET120076	1	2	0	1	400	80
R2INDX	ET120078	1	1	2	1	60	1
R2INDX	ET120079	1	13	0	5	35	1
R2INDX	ET120082	1	23	0	1	5	2
R2INDX	ET120086	1	1	0	2	30	4
R2INDX	ET120087	1	23	0	2	20	2
R2INDX	ET120088	1	8	0	1	8	2
R2INDX	ET120094	1	4	0	1	25	2
R2INDX	ET120094	2	1	0	3	30	2
R2INDX	ET120095	1	23	0	2	2	3
R2INDX	ET120097	1	23	0	8	16	2
R2INDX	ET120099	1	30	0	2	3	2
R2INDX	ET130013	1	30	0	22	45	80
R2INDX	ET130015	1	15	0	26	103	2
R2INDX	ET130016	1	1	0	4	45	1
R2INDX	ET130016	2	6	0	6	22.5	1
R2INDX	ET130016	3	4	0	1	10	1
R2INDX	ET130017	1	23	0	2	15	2
R2INDX	ET130022	1	30	0	2	8	4
R2INDX	ET130024	1	23	0	2	15	2
R2INDX	ET130026	1	15	0	15	153	2
R2INDX	ET130029	1	30	0	3	80	1
R2INDX	ET130030	1	13	0	3	180	1
R2INDX	ET130031	1	25	0	2	450000	80
R2INDX	ET130033	1	1	0	3	22	1
R2INDX	ET130034	1	15	0	5	70	3
R2INDX	ET130036	1	1	0	2	480	2
R2INDX	ET130039	1	30	0	1	1	1
R2INDX	ET130042	1	15	0	4	40	80
R2INDX	ET130043	1	13	1	0	3000	90
R2INDX	ET130044	1	1	9	0	56	90
R2INDX	ET130044	2	4	2	0	30	90
R2INDX	ET130047	1	1	0	2	3	80
R2INDX	ET130048	1	13	6	0	-88	77
R2INDX	ET130049	1	1	2	6	60	80
R2INDX	ET130049	2	4	0	1	15	80
R2INDX	ET130050	1	15	0	5	8	2
R2INDX	ET130051	1	13	0	3	75	2
R2INDX	ET130055	1	23	0	2	70	80
R2INDX	ET130057	1	30	0	3	6	2
R2INDX	ET130059	1	30	88	2	15	3
R2INDX	ET130060	1	13	1	4	60	1
R2INDX	ET130062	1	1	2	4	12	80
R2INDX	ET130062	2	4	0	1	15	80
R2INDX	ET130063	1	13	0	3	160	1
R2INDX	ET130066	1	15	0	6	15	3
R2INDX	ET130070	1	1	0	4	120	1
R2INDX	ET130076	1	30	0	3	6	80
R2INDX	ET130079	1	15	0	9	250	2
R2INDX	ET130081	1	23	0	3	400	1
R2INDX	ET130082	1	1	0	2	5	1
R2INDX	ET130083	1	30	0	3	6	1
R2INDX	ET130084	1	15	0	5	20	9
R2INDX	ET130085	1	15	0	2	8	2
R2INDX	ET130086	1	1	0	4	60	1
R2INDX	ET130087	1	26	0	2	2	2
R2INDX	ET130089	1	1	0	4	4	1
R2INDX	ET130090	1	30	0	4	85	1
R2INDX	ET130091	1	1	0	7	36	1
R2INDX	ET130091	2	4	0	1	12	1
R2INDX	ET130095	1	15	0	5	13.5	2
R2INDX	ET130098	1	15	0	29	66	2
R2INDX	ET130099	1	23	0	2	20	2
R2INDX	ET130100	1	20	0	120	360	1
R2INDX	ET140002	1	30	-88	-88	-88	88
R2INDX	ET140005	1	13	0	11	130	3
R2INDX	ET140006	1	27	0	4	6000	1
R2INDX	ET140007	1	30	-88	-88	-88	88
R2INDX	ET140008	1	27	-88	1	10000	2
R2INDX	ET140009	1	30	-88	-88	-88	88
R2INDX	ET140016	1	27	0	8	80000	80
R2INDX	ET140017	1	27	0	3	6000	2
R2INDX	ET140023	1	30	-88	-88	-88	88
R2INDX	ET140024	1	12	0	2	8	2
R2INDX	ET140025	1	30	-88	-88	-88	88
R2INDX	ET140027	1	27	0	3	12520	1
R2INDX	ET140028	1	26	0	2	4	3
R2INDX	ET140029	1	27	0	1	2880	16
R2INDX	ET140030	1	30	-88	-88	-88	88
R2INDX	ET140031	1	30	-88	-88	-88	88
R2INDX	ET140034	1	30	-88	-88	-88	88
R2INDX	ET140035	1	23	0	1	8000	5
R2INDX	ET140036	1	27	0	4	25000	80
R2INDX	ET140038	1	23	0	4	10	2
R2INDX	ET140041	1	23	0	5	100	2
R2INDX	ET140043	1	23	0	4	150	3
R2INDX	ET140044	1	27	0	2	8000	1
R2INDX	ET140045	1	30	0	4	40	16
R2INDX	ET140046	1	23	0	5	25	2
R2INDX	ET140047	1	21	0	1	2	1
R2INDX	ET140049	1	27	0	4	30000	1
R2INDX	ET140059	1	23	0	10	1600	1
R2INDX	ET140062	1	30	-88	-88	-88	88
R2INDX	ET140063	1	25	0	3	1800	1
R2INDX	ET140064	1	30	0	2	1700	1
R2INDX	ET140064	2	2	0	1	1500	1
R2INDX	ET140065	1	15	0	5	65	2
R2INDX	ET140066	1	30	-88	-88	-88	88
R2INDX	ET140068	1	30	-88	-88	-88	88
R2INDX	ET140069	1	23	0	5	30	2
R2INDX	ET140071	1	30	-88	-88	-88	88
R2INDX	ET140072	1	30	-88	-88	-88	88
R2INDX	ET140074	1	23	0	4	10	2
R2INDX	ET140077	1	17	5	0	-77	1
R2INDX	ET140079	1	30	-88	-88	-88	88
R2INDX	ET140080	1	23	0	1	8000	2
R2INDX	ET140081	1	30	-88	-88	-88	88
R2INDX	ET140082	1	27	0	2	15000	1
R2INDX	ET140083	1	13	0	10	100	3
R2INDX	ET140087	1	27	0	1	2000	1
R2INDX	ET140089	1	30	-88	-88	-88	88
R2INDX	ET140090	1	27	0	6	10500	1
R2INDX	ET140091	1	23	0	4	20	2
R2INDX	ET140092	1	9	0	-77	-77	5
