FORMNO	CHILDID	ACTID	ACTYEST	WHOACT	CHOICE
R2INDX	ET030010	1	1	10	0
R2INDX	ET030010	2	2	8	0
R2INDX	ET030010	3	10	10	1
R2INDX	ET030010	4	12	1	1
R2INDX	ET030011	1	10	1	1
R2INDX	ET030012	1	18	1	1
R2INDX	ET030012	2	10	10	1
R2INDX	ET030012	3	12	8	1
R2INDX	ET030013	1	1	10	0
R2INDX	ET030013	2	1	1	0
R2INDX	ET030013	3	12	2	1
R2INDX	ET030013	4	10	11	1
R2INDX	ET030014	1	1	10	0
R2INDX	ET030014	2	9	6	1
R2INDX	ET030014	3	10	10	1
R2INDX	ET030014	4	12	1	1
R2INDX	ET030015	1	1	9	1
R2INDX	ET030015	2	10	11	1
R2INDX	ET030015	3	12	10	1
R2INDX	ET030016	1	1	1	1
R2INDX	ET030016	2	24	10	1
R2INDX	ET030017	1	1	10	0
R2INDX	ET030017	2	2	1	0
R2INDX	ET030017	3	10	1	1
R2INDX	ET030018	1	10	10	1
R2INDX	ET030019	1	1	1	0
R2INDX	ET030019	2	2	6	0
R2INDX	ET030019	3	12	6	1
R2INDX	ET030020	1	1	5	0
R2INDX	ET030020	2	10	1	1
R2INDX	ET030020	3	2	1	0
R2INDX	ET030021	1	1	5	0
R2INDX	ET030021	2	10	11	1
R2INDX	ET030021	3	12	10	1
R2INDX	ET030022	1	10	10	1
R2INDX	ET030022	2	2	12	1
R2INDX	ET030023	1	1	5	0
R2INDX	ET030023	2	2	1	1
R2INDX	ET030023	3	10	11	1
R2INDX	ET030023	4	12	1	1
R2INDX	ET030024	1	1	11	0
R2INDX	ET030024	2	2	1	0
R2INDX	ET030024	3	10	1	1
R2INDX	ET030024	4	12	1	2
R2INDX	ET030025	1	1	9	0
R2INDX	ET030025	2	2	6	1
R2INDX	ET030025	3	12	8	1
R2INDX	ET030026	1	1	5	0
R2INDX	ET030026	2	2	1	1
R2INDX	ET030026	3	10	11	1
R2INDX	ET030026	4	12	10	1
R2INDX	ET030026	5	17	7	1
R2INDX	ET030027	1	1	11	0
R2INDX	ET030027	2	2	1	0
R2INDX	ET030027	3	10	1	1
R2INDX	ET030027	4	12	1	1
R2INDX	ET030028	1	1	9	0
R2INDX	ET030028	2	2	8	1
R2INDX	ET030028	3	12	8	0
R2INDX	ET030028	4	24	10	1
R2INDX	ET030029	1	1	1	0
R2INDX	ET030029	2	2	6	0
R2INDX	ET030029	3	24	12	1
R2INDX	ET030031	1	1	1	0
R2INDX	ET030031	2	2	1	0
R2INDX	ET030031	3	17	7	1
R2INDX	ET030032	1	1	10	0
R2INDX	ET030032	2	2	6	0
R2INDX	ET030032	3	10	11	1
R2INDX	ET030033	1	1	10	0
R2INDX	ET030033	2	2	1	1
R2INDX	ET030034	1	1	10	0
R2INDX	ET030034	2	2	8	0
R2INDX	ET030034	3	10	8	1
R2INDX	ET030035	1	1	10	0
R2INDX	ET030035	2	10	6	1
R2INDX	ET030036	1	10	10	1
R2INDX	ET030037	1	10	1	1
R2INDX	ET030037	2	12	1	1
R2INDX	ET030038	1	1	6	0
R2INDX	ET030038	2	2	1	0
R2INDX	ET030038	3	10	1	1
R2INDX	ET030038	4	12	1	1
R2INDX	ET030039	1	1	5	0
R2INDX	ET030039	2	2	12	0
R2INDX	ET030039	3	12	1	1
R2INDX	ET030039	4	10	1	1
R2INDX	ET030040	1	1	10	1
R2INDX	ET030040	2	2	1	1
R2INDX	ET030040	3	10	10	1
R2INDX	ET030040	4	12	1	1
R2INDX	ET030041	1	10	10	1
R2INDX	ET030043	1	10	6	1
R2INDX	ET030044	1	1	5	1
R2INDX	ET030044	2	2	1	0
R2INDX	ET030044	3	10	11	0
R2INDX	ET030045	1	1	10	1
R2INDX	ET030045	2	2	1	1
R2INDX	ET030045	3	10	10	1
R2INDX	ET030046	1	1	10	0
R2INDX	ET030046	2	10	10	1
R2INDX	ET030046	3	2	1	1
R2INDX	ET030047	1	10	6	1
R2INDX	ET030048	1	12	6	1
