FORMNO	CHILDID	CROPID	CROP	QNTHARV	VLCRSLD	CROPCOST
R28YRS	IN091044	1	53	42	25000	15000
R28YRS	IN091046	1	53	20	0	7000
R28YRS	IN101045	1	53	17	9000	8000
R28YRS	IN111001	1	32	8	4000	4900
R28YRS	IN111001	2	37	2	0	600
R28YRS	IN111003	1	32	8	14000	8000
R28YRS	IN111003	2	68	3	4500	6000
R28YRS	IN111004	1	68	.5	1000	3000
R28YRS	IN111005	1	65	2.5	8000	8000
R28YRS	IN111006	1	68	2	3000	2130
R28YRS	IN111007	1	32	2.1	14200	8500
R28YRS	IN111007	2	30	.5	0	0
R28YRS	IN111008	1	32	8.8	14000	10000
R28YRS	IN111008	2	52	6	9000	7000
R28YRS	IN111009	1	32	3	0	4650
R28YRS	IN111009	2	37	10	5400	1700
R28YRS	IN111010	1	32	12	15000	15000
R28YRS	IN111010	2	30	1	0	80
R28YRS	IN111010	3	37	4	0	144
R28YRS	IN111011	1	32	6.6	7500	5000
R28YRS	IN111011	2	30	.5	0	100
R28YRS	IN111012	1	68	7	10500	6600
R28YRS	IN111013	1	23	20	32000	9000
R28YRS	IN111013	2	37	8	4000	3000
R28YRS	IN111014	1	32	14	28000	26000
R28YRS	IN111014	2	37	10	4800	6000
R28YRS	IN111015	1	52	2	0	1500
R28YRS	IN111018	1	30	10	10000	30000
R28YRS	IN111018	2	37	15	9000	0
R28YRS	IN111018	3	68	1.5	2250	0
R28YRS	IN111018	4	23	52	97600	48500
R28YRS	IN111019	1	32	72	33800	33100
R28YRS	IN111019	2	30	2	0	720
R28YRS	IN111019	3	68	3	6000	3600
R28YRS	IN111019	4	53	20	0	6300
R28YRS	IN111020	1	32	.8	0	4000
R28YRS	IN111021	1	32	0	0	2700
R28YRS	IN111022	1	32	9.68	16500	8000
R28YRS	IN111022	2	30	1	0	200
R28YRS	IN111023	1	32	8.8	10500	3900
R28YRS	IN111023	2	30	.5	0	100
R28YRS	IN111024	1	32	4.2	3600	2600
R28YRS	IN111024	2	30	1	0	0
R28YRS	IN111025	1	32	18	31500	24500
R28YRS	IN111025	2	30	1	0	120
R28YRS	IN111025	3	37	2	0	50
R28YRS	IN111025	4	53	10	0	3000
R28YRS	IN111026	1	32	12	18000	14500
R28YRS	IN111026	2	30	.5	0	500
R28YRS	IN111027	1	32	23	42350	11500
R28YRS	IN111027	2	30	1	0	0
R28YRS	IN111027	3	68	1	2050	4000
R28YRS	IN111029	1	32	65	46150	30400
R28YRS	IN111030	1	32	8.8	11700	9420
R28YRS	IN111031	1	32	9.5	3000	4950
R28YRS	IN111031	2	30	.5	0	0
R28YRS	IN111032	1	37	3	0	1600
R28YRS	IN111033	1	32	7	5200	7400
R28YRS	IN111033	2	30	1	0	0
R28YRS	IN111034	1	32	6	6300	9000
R28YRS	IN111034	2	30	1.5	0	150
R28YRS	IN111035	1	32	6.6	6000	5000
R28YRS	IN111035	2	30	.5	0	100
R28YRS	IN111036	1	32	14	21000	24700
R28YRS	IN111036	2	37	1	0	300
R28YRS	IN111037	1	32	38.95	57000	46000
R28YRS	IN111037	2	52	14	7000	6000
R28YRS	IN111038	1	32	8	12000	9900
R28YRS	IN111038	2	23	12	19000	10000
R28YRS	IN111038	3	30	.5	0	100
R28YRS	IN111039	1	32	30	50000	42000
R28YRS	IN111039	2	37	1	0	1500
R28YRS	IN111039	3	65	1.5	3000	1000
R28YRS	IN111040	1	32	13.2	18000	10000
R28YRS	IN111040	2	30	.7	0	200
R28YRS	IN111040	3	23	20	36000	15000
R28YRS	IN111041	1	32	2.54	4200	3000
R28YRS	IN111043	1	32	4.5	4000	2000
R28YRS	IN111043	2	65	10	10000	3000
R28YRS	IN111043	3	23	20	50000	10000
R28YRS	IN111044	1	32	6.4	11200	8900
R28YRS	IN111044	2	37	3	0	100
R28YRS	IN111046	1	32	125	76250	63500
R28YRS	IN111046	2	30	1.5	0	360
R28YRS	IN111047	1	32	32	36500	28500
R28YRS	IN111047	2	30	2	2000	1500
R28YRS	IN111048	1	32	70	52000	50540
R28YRS	IN111048	2	30	1.5	0	0
R28YRS	IN111049	1	32	1.76	3200	3600
R28YRS	IN111049	2	30	.06	0	50
R28YRS	IN111050	1	32	6	9750	7100
R28YRS	IN111050	2	23	15	22500	19375
R28YRS	IN111050	3	30	1	0	150
R28YRS	IN111051	1	32	6	10500	6500
R28YRS	IN111053	1	32	10	16800	6000
R28YRS	IN111053	2	30	1	0	0
R28YRS	IN111053	3	68	7	8400	11000
R28YRS	IN111054	1	32	9	6300	4900
R28YRS	IN111054	2	30	.2	0	240
R28YRS	IN111057	1	32	4	7000	6900
R28YRS	IN111057	2	30	.4	0	100
R28YRS	IN121001	1	32	1	0	5000
R28YRS	IN121002	1	32	4.4	8000	4500
R28YRS	IN121002	2	30	.15	0	100
R28YRS	IN121003	1	32	10	7500	5200
R28YRS	IN121003	2	30	1.3	0	150
R28YRS	IN121003	3	32	15	11250	6200
R28YRS	IN121004	1	32	1.7	3560	7000
R28YRS	IN121004	2	30	.1	0	100
R28YRS	IN121005	1	32	1.2	0	15000
R28YRS	IN121005	2	46	.5	2500	1500
R28YRS	IN121007	1	32	17	12750	11000
R28YRS	IN121007	2	30	.3	0	300
R28YRS	IN121010	1	32	5.06	9200	7000
R28YRS	IN121010	2	30	.01	0	120
R28YRS	IN121011	1	32	3	4900	2000
R28YRS	IN121011	2	30	.3	0	80
R28YRS	IN121012	1	75	1.5	1.5	5000
R28YRS	IN121012	2	32	35	35	23000
R28YRS	IN121012	3	30	1	0	200
R28YRS	IN121012	4	51	0	0	6000
R28YRS	IN121014	1	32	12.4	18000	12800
R28YRS	IN121014	2	30	.5	0	200
R28YRS	IN121015	1	32	3.6	5400	10000
R28YRS	IN121016	1	32	1	1400	7000
R28YRS	IN121016	2	30	.12	0	40
R28YRS	IN121017	1	32	10.08	14400	20500
R28YRS	IN121017	2	30	1	0	500
R28YRS	IN121017	3	68	20	42000	20000
R28YRS	IN121017	4	53	14.4	0	30000
R28YRS	IN121022	1	32	4.4	8500	10000
R28YRS	IN121022	2	30	.1	200	100
R28YRS	IN121023	1	32	3.5	4000	12000
R28YRS	IN121023	2	30	-88	-88	50
R28YRS	IN121025	1	53	7.6	0	3000
R28YRS	IN121025	2	32	1.6	3200	6000
R28YRS	IN121025	3	68	3	6000	2900
R28YRS	IN121027	1	32	5	7200	0
R28YRS	IN121027	2	30	2	2800	7100
R28YRS	IN121027	3	53	20	7000	7500
R28YRS	IN121027	4	68	8	14400	3000
R28YRS	IN121028	1	53	70	40000	26800
R28YRS	IN121028	2	53	16	0	2400
R28YRS	IN121028	3	46	1.5	22600	22200
R28YRS	IN121029	1	53	14	2000	2000
R28YRS	IN121029	2	68	3	6000	1500
R28YRS	IN121030	1	53	7	0	2000
R28YRS	IN121030	2	68	3.5	7000	3500
R28YRS	IN121030	3	30	1	0	2000
R28YRS	IN121030	4	32	1.2	1680	4000
R28YRS	IN121032	1	32	15	12000	5000
R28YRS	IN121032	2	30	.3	0	100
R28YRS	IN121035	1	46	2	20000	10000
R28YRS	IN121036	1	32	20	40000	38000
R28YRS	IN121036	2	53	20	0	6000
R28YRS	IN121036	3	46	2.5	25000	10000
R28YRS	IN121037	1	32	2	2	6000
R28YRS	IN121038	1	32	2.5	3000	2000
R28YRS	IN121038	2	46	1.2	12000	9000
R28YRS	IN121046	1	53	15	2400	5900
R28YRS	IN121046	2	46	2	12000	5700
R28YRS	IN121046	3	32	8	8000	6000
R28YRS	IN121046	4	30	.6	0	100
R28YRS	IN121048	1	53	5	0	3000
R28YRS	IN121048	2	32	4	5000	5400
R28YRS	IN121050	1	46	2	20000	13760
R28YRS	IN121050	2	32	8	10000	8000
R28YRS	IN121050	3	30	.3	0	200
R28YRS	IN131001	1	32	1	1300	0
R28YRS	IN131001	2	53	3	1500	0
R28YRS	IN131002	1	32	2	1000	5000
R28YRS	IN131002	2	46	2	15000	12000
R28YRS	IN131005	1	32	.75	0	2700
R28YRS	IN131006	1	32	2	0	4000
R28YRS	IN131007	1	32	.6	1200	1980
R28YRS	IN131007	2	57	0	0	310
R28YRS	IN131008	1	32	1.6	2900	3000
R28YRS	IN131009	1	53	50	10000	10500
R28YRS	IN131009	2	46	1.25	25000	17230
R28YRS	IN131009	3	48	50	70600	40000
R28YRS	IN131009	4	32	11.5	25250	14000
R28YRS	IN131010	1	37	4	0	4500
R28YRS	IN131010	2	57	15	6000	6000
R28YRS	IN131010	3	48	85	150000	50000
R28YRS	IN131010	4	37	7	0	1000
R28YRS	IN131010	5	53	10	0	5000
R28YRS	IN131011	1	32	2	4000	5930
R28YRS	IN131011	2	30	.1	0	70
R28YRS	IN131013	1	32	6	9000	9800
R28YRS	IN131013	2	30	.2	0	200
R28YRS	IN131013	3	53	13	0	4000
R28YRS	IN131013	4	57	12	0	4000
R28YRS	IN131013	5	37	0	0	1000
R28YRS	IN131013	6	48	10	8400	6000
R28YRS	IN131013	7	48	8	70000	30000
R28YRS	IN131014	1	32	.75	0	10000
R28YRS	IN131014	2	48	4	50000	245000
R28YRS	IN131015	1	68	1.4	3000	10000
R28YRS	IN131018	1	32	5	6750	5000
R28YRS	IN131019	1	32	1	1000	7800
R28YRS	IN131019	2	30	.2	0	200
R28YRS	IN131020	1	57	2	-88	700
R28YRS	IN131023	1	37	0	-88	1000
R28YRS	IN131025	1	52	0	0	1500
R28YRS	IN131025	2	32	0	0	5500
R28YRS	IN131025	3	37	1	0	2250
R28YRS	IN131026	1	32	10	10500	8000
R28YRS	IN131027	1	32	1	1400	3000
R28YRS	IN131028	1	24	10	25000	9500
R28YRS	IN131028	2	16	5	15000	7000
R28YRS	IN131030	1	16	5	10000	7000
R28YRS	IN131030	2	68	3	6900	3000
R28YRS	IN131032	1	32	.8	1000	3000
R28YRS	IN131034	1	32	1.2	0	8000
R28YRS	IN131034	2	30	.2	0	100
R28YRS	IN131035	1	32	4	6000	4000
R28YRS	IN131035	2	57	2	0	2000
R28YRS	IN131035	3	53	2	0	2000
R28YRS	IN131037	1	32	6.3	9600	5000
R28YRS	IN131037	2	30	.2	0	100
R28YRS	IN131038	1	32	0	0	2000
R28YRS	IN131039	1	32	3.5	0	8000
R28YRS	IN131039	2	53	5	0	2000
R28YRS	IN131039	3	46	1.5	18000	2500
R28YRS	IN131040	1	32	2	3600	4500
R28YRS	IN131040	2	30	0	0	0
R28YRS	IN131041	1	32	2.7	2700	10000
R28YRS	IN131041	2	30	.04	0	100
R28YRS	IN131042	1	57	4	2000	3000
R28YRS	IN131042	2	53	4	1200	3000
R28YRS	IN131042	3	32	10	10000	7000
R28YRS	IN131043	1	53	10	0	8000
R28YRS	IN131043	2	32	2.1	0	7000
R28YRS	IN131044	1	53	10	0	2800
R28YRS	IN131044	2	57	5	0	1300
R28YRS	IN131044	3	32	6	3600	5000
