FORMNO	CHILDID	PASSID	PASSET	NUMPASS	VALPASS	DECPASS
R28YRS	IN121003	3	4	1	500	1
R28YRS	IN121004	1	30	2	900	1
R28YRS	IN121006	1	30	5	600	1
R28YRS	IN121007	1	15	7	400	2
R28YRS	IN121008	1	1	15	3000	1
R28YRS	IN121009	1	25	0	0	0
R28YRS	IN121010	1	8	4	80	1
R28YRS	IN121012	1	23	10	3000	1
R28YRS	IN121013	1	30	2	1000	1
R28YRS	IN121014	1	9	8	10000	2
R28YRS	IN121015	1	1	4	200	1
R28YRS	IN121016	1	1	5	110	1
R28YRS	IN121017	1	1	7	450	2
R28YRS	IN121017	2	8	3	110	2
R28YRS	IN121019	1	1	7	110	1
R28YRS	IN121020	1	1	5	130	1
R28YRS	IN121020	2	8	2	40	1
R28YRS	IN121022	1	30	2	185	1
R28YRS	IN121024	1	1	2	30	2
R28YRS	IN121025	1	1	5	220	2
R28YRS	IN121026	1	1	4	80	4
R28YRS	IN121027	1	1	7	190	1
R28YRS	IN121028	1	1	9	900	1
R28YRS	IN121028	2	4	2	800	1
R28YRS	IN121028	3	7	1	300000	3
R28YRS	IN121029	1	1	12	150	2
R28YRS	IN121030	1	1	4	60	1
R28YRS	IN121031	1	1	2	200	1
R28YRS	IN121031	2	8	6	310	1
R28YRS	IN121031	3	8	2	20	1
R28YRS	IN121032	1	8	5	200	1
R28YRS	IN121033	1	1	5	120	1
R28YRS	IN121033	2	8	5	62	1
R28YRS	IN121033	3	8	4	80	1
R28YRS	IN121034	1	1	5	100	1
R28YRS	IN121035	1	1	5	200	1
R28YRS	IN121035	2	8	80	1200	1
R28YRS	IN121036	1	1	35	4000	3
R28YRS	IN121036	2	2	1	10000	3
R28YRS	IN121036	3	5	1	30000	3
R28YRS	IN121037	1	1	7	100	1
R28YRS	IN121038	1	1	6	400	1
R28YRS	IN121038	2	8	60	900	1
R28YRS	IN121039	1	1	1	80	3
R28YRS	IN121039	2	8	2	30	4
R28YRS	IN121040	1	1	3	50	2
R28YRS	IN121042	1	1	2	5	1
R28YRS	IN121042	2	8	1	206	1
R28YRS	IN121042	3	8	4	70	1
R28YRS	IN121043	1	30	1	10	1
R28YRS	IN121043	2	30	2	60	1
R28YRS	IN121044	1	1	2	30	1
R28YRS	IN121045	1	1	3	100	1
R28YRS	IN121046	1	8	15	200	1
R28YRS	IN121046	2	8	150	3000	1
R28YRS	IN121047	1	30	3	270	1
R28YRS	IN121048	1	22	1	100	6
R28YRS	IN121050	1	1	1	250	1
R28YRS	IN121050	2	8	8	300	1
R28YRS	IN121050	3	8	150	3650	1
R28YRS	IN131002	1	1	4	200	1
R28YRS	IN131002	2	8	63	1875	1
R28YRS	IN131002	3	5	1	20000	1
R28YRS	IN131003	1	1	4	300	2
R28YRS	IN131003	2	8	4	100	2
R28YRS	IN131005	1	30	1	60	1
R28YRS	IN131006	1	1	3	200	1
R28YRS	IN131006	2	8	3	100	1
R28YRS	IN131009	1	1	44	1950	1
R28YRS	IN131009	2	3	1	12000	1
R28YRS	IN131009	3	4	3	1000	1
R28YRS	IN131010	1	1	10	1000	3
R28YRS	IN131010	2	2	1	20000	3
R28YRS	IN131010	3	4	2	1000	3
R28YRS	IN131010	4	5	2	50000	3
R28YRS	IN131010	5	8	13	400	3
R28YRS	IN131014	1	1	6	250	2
R28YRS	IN131014	2	2	1	2000	2
R28YRS	IN131014	3	4	1	50000	2
R28YRS	IN131018	1	13	7	420	3
R28YRS	IN131022	1	1	5	600	2
R28YRS	IN131024	1	30	7	5000	1
R28YRS	IN131025	1	1	3	250	4
R28YRS	IN131025	2	4	1	1500	4
R28YRS	IN131027	1	23	3	1200	1
R28YRS	IN131027	2	30	1	3000	1
R28YRS	IN131028	1	1	7	500	3
R28YRS	IN131028	2	5	1	50000	3
R28YRS	IN131030	1	1	3	300	1
R28YRS	IN131030	2	4	1	500	1
R28YRS	IN131030	3	8	7	350	1
R28YRS	IN131031	1	15	7	1500	1
R28YRS	IN131032	1	1	3	250	3
R28YRS	IN131032	2	8	3	90	3
R28YRS	IN131033	1	1	4	200	2
R28YRS	IN131033	2	8	3	60	2
R28YRS	IN131035	1	1	4	400	2
R28YRS	IN131035	2	4	1	500	2
R28YRS	IN131035	3	8	4	100	2
R28YRS	IN131035	4	5	1	6000	2
R28YRS	IN131036	1	30	7	400	2
R28YRS	IN131036	2	8	3	150	2
R28YRS	IN131037	1	1	4	250	1
R28YRS	IN131037	2	4	1	1500	1
R28YRS	IN131037	3	8	5	1060	1
R28YRS	IN131038	1	1	1	50	2
R28YRS	IN131038	2	8	3	150	2
R28YRS	IN131039	1	1	7	360	1
R28YRS	IN131039	2	2	1	5000	1
R28YRS	IN131039	3	5	1	20000	1
R28YRS	IN131040	1	23	3	1300	1
R28YRS	IN131041	1	1	3	250	2
R28YRS	IN131041	2	4	1	1000	2
R28YRS	IN131041	3	8	7	300	2
R28YRS	IN131042	1	1	4	300	2
R28YRS	IN131042	2	4	1	150	2
R28YRS	IN131042	3	8	4	200	2
R28YRS	IN131043	1	1	8	530	1
R28YRS	IN131043	2	4	1	300	1
R28YRS	IN131043	3	8	21	500	1
R28YRS	IN131048	1	23	2	600	1
R28YRS	IN131049	1	1	4	280	1
R28YRS	IN131049	2	4	1	1000	1
R28YRS	IN131049	3	8	10	206	1
R28YRS	IN131050	1	17	15	1700	1
