CHILDCODE	MOVEIDR5	CNTRYR5	DSTRCTR5	TYPRESR5	YRMOVER5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
158016	4	51	 	4	2015	10	Y	 	 	 	 	 	 	 	 	 	 	4	88	0	 
158016	5	51	 	4	2016	12	Y	 	 	 	 	 	 	 	 	 	 	4	88	1	5
158016	6	51	 	3	2016	0	Y	 	 	 	 	 	 	 	 	 	 	4	88	1	1
158017	1	51	 	4	2013	36	Y	 	 	 	 	 	 	 	 	 	 	2	88	0	 
158017	2	51	 	4	2016	0	Y	 	 	 	 	 	 	 	 	 	 	23	88	1	4
158018	1	51	 	2	2014	18	Y	 	 	 	 	 	 	 	 	 	 	35	88	0	 
158018	2	51	 	3	2016	0	Y	 	 	 	 	 	 	 	 	 	 	35	88	0	 
158019	1	51	 	5	2014	12	N	N	N	N	N	N	N	Y	N	N	N	5	88	1	1
158019	2	51	 	5	2015	3	N	N	N	N	N	N	N	Y	N	N	N	20	11	1	4
158019	3	51	 	3	2015	0	N	N	N	N	Y	N	N	Y	N	N	N	13	28	1	4
158023	1	51	 	2	2015	0	N	N	N	N	Y	N	N	N	N	N	N	24	88	1	3
158025	1	51	 	3	2015	8	Y	 	 	 	 	 	 	 	 	 	 	35	88	1	1
158025	2	51	 	3	2015	0	Y	 	 	 	 	 	 	 	 	 	 	9	2	1	1
158032	1	51	 	2	2014	6	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	5
158032	2	51	 	2	2015	6	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
158032	3	51	 	2	2015	6	Y	 	 	 	 	 	 	 	 	 	 	13	88	1	7
158032	4	51	 	2	2016	0	Y	 	 	 	 	 	 	 	 	 	 	17	88	1	5
158033	1	51	 	3	2013	12	Y	 	 	 	 	 	 	 	 	 	 	13	2	1	2
158033	2	51	 	3	2014	0	N	N	Y	N	N	N	N	N	N	N	N	22	88	1	1
158034	1	51	 	2	2016	0	N	N	N	Y	N	N	N	N	N	N	N	2	35	0	 
158035	1	51	 	3	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
158036	1	51	 	3	2014	3	Y	 	 	 	 	 	 	 	 	 	 	6	88	0	 
158036	2	51	 	2	2014	21	Y	 	 	 	 	 	 	 	 	 	 	6	88	1	5
158036	3	51	 	5	2016	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	2
158037	1	51	 	4	2016	0	Y	 	 	 	 	 	 	 	 	 	 	4	11	0	 
158039	1	51	 	4	2013	26	Y	 	 	 	 	 	 	 	 	 	 	17	5	1	2
158039	2	51	 	4	2016	0	Y	 	 	 	 	 	 	 	 	 	 	22	88	1	1
158040	1	51	 	1	2015	0	N	N	N	N	Y	N	N	Y	N	N	N	9	2	1	4
158042	1	51	 	1	2015	0	N	Y	Y	Y	N	N	N	N	N	N	N	28	88	1	5
158046	1	51	 	5	2013	5	Y	 	 	 	 	 	 	 	 	 	 	23	2	1	1
158046	2	51	 	5	2014	0	Y	 	 	 	 	 	 	 	 	 	 	6	88	1	1
158047	1	80	 	7	2015	3	Y	 	 	 	 	 	 	 	 	 	 	1	88	0	 
158047	2	51	 	1	2016	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	88
158048	1	51	 	4	2009	36	Y	 	 	 	 	 	 	 	 	 	 	5	1	1	4
158048	2	51	 	2	2012	0	Y	 	 	 	 	 	 	 	 	 	 	2	88	0	 
