CHILDCODE	EDCHSTR5	GRDER5	CMPGRDR5	TYSCR5	SMESCHR5	PROVR5	DSSCR5	COD_MOD	ANEXO	NMSCSCR5	NIV_MOD	D_NIV_MOD	GESTION	D_GESTION	GES_DEP	D_GES_DEP	COD_ENAHO	TYSCR5_C	NMSCLSR5_C
18036	16	13	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18037	13	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18037	14	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18037	15	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18037	16	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18038	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18038	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18038	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18038	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18039	13	10	2	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18039	14	10	3	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18039	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18039	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18040	13	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18040	14	16	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18040	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18040	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18041	13	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18041	14	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18041	15	15	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18041	16	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18042	13	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18042	14	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18042	15	16	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18042	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
